"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"191"	"174"	"269"	"297"	"16"	"137"	"3"	"49"	"3"	"4"	"0"	"3"	"4"	"4"	"10"	"9"	"12"	"14"	"3"	"10"	"5"	"3"	"5"	"8"	"0"	"2"	"3"	"2"	"4"	"6"	"1"	"886"	"0"	"5"	"891"	"0"
"192"	"175"	"430"	"120"	"6"	"81"	"9"	"15"	"3"	"1"	"2"	"2"	"4"	"0"	"10"	"4"	"2"	"25"	"21"	"7"	"3"	"2"	"3"	"4"	"0"	"2"	"6"	"6"	"6"	"6"	"6"	"786"	"0"	"25"	"811"	"0"
"193"	"176"	"100"	"111"	"6"	"165"	"10"	"46"	"2"	"2"	"1"	"1"	"4"	"3"	"16"	"2"	"3"	"14"	"0"	"1"	"3"	"0"	"0"	"2"	"0"	"1"	"0"	"4"	"0"	"2"	"3"	"502"	"0"	"2"	"504"	"0"
"194"	"177"	"139"	"259"	"0"	"75"	"4"	"33"	"4"	"0"	"2"	"2"	"0"	"0"	"5"	"2"	"1"	"4"	"1"	"4"	"0"	"2"	"1"	"0"	"2"	"1"	"0"	"1"	"1"	"5"	"3"	"551"	"0"	"5"	"556"	"0"
"195"	"178"	"51"	"415"	"5"	"62"	"7"	"13"	"0"	"3"	"2"	"0"	"1"	"2"	"0"	"1"	"7"	"9"	"3"	"2"	"2"	"3"	"0"	"21"	"1"	"6"	"2"	"3"	"4"	"4"	"7"	"636"	"0"	"8"	"644"	"0"
"196"	"179"	"46"	"469"	"3"	"29"	"0"	"7"	"1"	"0"	"1"	"2"	"2"	"4"	"2"	"3"	"2"	"7"	"1"	"4"	"1"	"0"	"1"	"7"	"1"	"1"	"0"	"2"	"2"	"1"	"4"	"603"	"0"	"5"	"608"	"0"
"197"	"180"	"51"	"458"	"1"	"39"	"7"	"9"	"0"	"0"	"2"	"0"	"2"	"3"	"6"	"2"	"7"	"8"	"3"	"30"	"1"	"2"	"1"	"5"	"0"	"1"	"2"	"8"	"0"	"1"	"3"	"652"	"0"	"2"	"654"	"0"
"198"	"181"	"8"	"173"	"11"	"157"	"6"	"33"	"2"	"3"	"2"	"2"	"1"	"0"	"7"	"3"	"7"	"14"	"5"	"32"	"2"	"5"	"1"	"2"	"1"	"0"	"1"	"2"	"3"	"2"	"4"	"489"	"0"	"5"	"494"	"0"
"199"	"182"	"46"	"158"	"3"	"15"	"2"	"9"	"0"	"4"	"1"	"3"	"0"	"1"	"5"	"4"	"5"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"269"	"0"	"0"	"269"	"0"
"200"	"183"	"464"	"178"	"9"	"8"	"7"	"5"	"5"	"2"	"2"	"1"	"1"	"2"	"4"	"2"	"15"	"31"	"8"	"2"	"0"	"1"	"1"	"6"	"5"	"2"	"4"	"2"	"1"	"0"	"5"	"773"	"0"	"11"	"784"	"0"
"201"	"184"	"516"	"88"	"7"	"15"	"17"	"10"	"1"	"0"	"1"	"1"	"2"	"2"	"7"	"1"	"1"	"10"	"2"	"1"	"0"	"0"	"1"	"2"	"4"	"1"	"1"	"3"	"1"	"2"	"2"	"699"	"0"	"10"	"709"	"0"
"202"	"185"	"180"	"353"	"8"	"15"	"21"	"9"	"3"	"4"	"6"	"2"	"6"	"9"	"5"	"11"	"21"	"24"	"3"	"2"	"1"	"0"	"2"	"4"	"1"	"1"	"1"	"2"	"0"	"2"	"2"	"698"	"0"	"4"	"702"	"0"
"203"	"186"	"464"	"49"	"4"	"24"	"5"	"15"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"572"	"0"	"0"	"572"	"0"
"204"	"187"	"269"	"12"	"4"	"5"	"2"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"4"	"23"	"2"	"23"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"3"	"0"	"1"	"1"	"361"	"0"	"10"	"371"	"0"
"205"	"188"	"121"	"482"	"10"	"51"	"8"	"16"	"4"	"4"	"5"	"6"	"2"	"5"	"4"	"4"	"13"	"15"	"4"	"12"	"4"	"4"	"1"	"11"	"2"	"8"	"3"	"5"	"4"	"6"	"4"	"818"	"0"	"4"	"822"	"0"
"206"	"189"	"201"	"89"	"5"	"29"	"0"	"2"	"2"	"0"	"0"	"2"	"0"	"1"	"2"	"0"	"1"	"3"	"8"	"1"	"2"	"0"	"0"	"4"	"0"	"0"	"3"	"1"	"0"	"1"	"2"	"359"	"0"	"0"	"359"	"0"
"207"	"190"	"207"	"665"	"3"	"48"	"4"	"11"	"1"	"3"	"0"	"3"	"2"	"6"	"6"	"4"	"10"	"11"	"1"	"6"	"4"	"1"	"3"	"11"	"3"	"1"	"1"	"3"	"4"	"2"	"8"	"103
2"	"0"	"6"	"103
8"	"0"
"208"	"191"	"147"	"408"	"8"	"130"	"2"	"28"	"8"	"8"	"2"	"13"	"9"	"6"	"15"	"12"	"17"	"14"	"5"	"2"	"6"	"3"	"1"	"6"	"2"	"0"	"3"	"4"	"5"	"1"	"4"	"869"	"0"	"10"	"879"	"0"
"209"	"192"	"125"	"284"	"7"	"30"	"2"	"8"	"1"	"1"	"2"	"1"	"3"	"2"	"1"	"3"	"1"	"1"	"1"	"3"	"2"	"4"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"487"	"0"	"2"	"489"	"0"
"210"	"193"	"300"	"330"	"4"	"93"	"5"	"19"	"6"	"0"	"0"	"3"	"4"	"8"	"10"	"3"	"6"	"22"	"12"	"6"	"7"	"3"	"5"	"42"	"7"	"5"	"12"	"11"	"8"	"11"	"16"	"958"	"0"	"44"	"100
2"	"0"
"211"	"194"	"251"	"284"	"9"	"108"	"5"	"9"	"5"	"4"	"2"	"0"	"1"	"3"	"6"	"2"	"1"	"12"	"13"	"11"	"3"	"9"	"4"	"23"	"6"	"6"	"9"	"10"	"7"	"10"	"10"	"823"	"0"	"22"	"845"	"0"
"212"	"195"	"127"	"336"	"15"	"147"	"4"	"34"	"8"	"1"	"2"	"2"	"2"	"7"	"6"	"5"	"6"	"15"	"2"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"3"	"2"	"2"	"2"	"3"	"737"	"0"	"4"	"741"	"0"
"213"	"196"	"81"	"320"	"6"	"243"	"0"	"36"	"5"	"1"	"2"	"1"	"1"	"0"	"5"	"4"	"2"	"8"	"7"	"8"	"6"	"12"	"5"	"11"	"2"	"6"	"3"	"12"	"5"	"5"	"11"	"808"	"0"	"14"	"822"	"0"
"214"	"197"	"186"	"451"	"9"	"67"	"5"	"27"	"3"	"3"	"9"	"3"	"2"	"4"	"9"	"5"	"12"	"24"	"7"	"12"	"1"	"3"	"2"	"15"	"3"	"4"	"4"	"4"	"5"	"3"	"9"	"891"	"0"	"14"	"905"	"0"
"215"	"198"	"48"	"340"	"7"	"172"	"5"	"21"	"4"	"1"	"3"	"8"	"7"	"7"	"14"	"6"	"13"	"22"	"0"	"6"	"1"	"2"	"1"	"6"	"0"	"4"	"1"	"2"	"3"	"4"	"4"	"712"	"0"	"5"	"717"	"0"
"216"	"199"	"142"	"213"	"12"	"195"	"8"	"33"	"7"	"2"	"0"	"4"	"3"	"2"	"10"	"3"	"5"	"22"	"8"	"27"	"7"	"5"	"5"	"6"	"3"	"5"	"3"	"2"	"5"	"8"	"6"	"751"	"0"	"18"	"769"	"0"
"217"	"200"	"61"	"307"	"4"	"124"	"3"	"36"	"1"	"2"	"0"	"1"	"0"	"0"	"5"	"1"	"1"	"2"	"5"	"2"	"5"	"7"	"1"	"11"	"0"	"1"	"2"	"8"	"3"	"3"	"3"	"599"	"0"	"2"	"601"	"0"
"218"	"201"	"89"	"216"	"7"	"182"	"1"	"23"	"1"	"1"	"3"	"1"	"3"	"4"	"12"	"2"	"2"	"8"	"12"	"25"	"1"	"9"	"2"	"10"	"1"	"4"	"6"	"12"	"3"	"6"	"7"	"653"	"0"	"3"	"656"	"0"
"219"	"201
A"	"178"	"117"	"8"	"94"	"3"	"9"	"2"	"1"	"1"	"0"	"1"	"3"	"0"	"2"	"1"	"4"	"2"	"5"	"1"	"0"	"1"	"7"	"0"	"0"	"0"	"5"	"0"	"2"	"0"	"447"	"0"	"2"	"449"	"0"
"220"	"202"	"26"	"374"	"13"	"155"	"2"	"23"	"6"	"3"	"1"	"2"	"3"	"4"	"18"	"8"	"4"	"12"	"0"	"21"	"2"	"3"	"1"	"14"	"5"	"2"	"1"	"4"	"3"	"3"	"2"	"715"	"0"	"9"	"724"	"0"
"221"	"203"	"131"	"241"	"8"	"188"	"8"	"34"	"1"	"2"	"1"	"2"	"0"	"6"	"7"	"6"	"4"	"10"	"4"	"22"	"0"	"2"	"0"	"9"	"1"	"0"	"0"	"3"	"3"	"1"	"3"	"697"	"0"	"3"	"700"	"0"
"222"	"204"	"145"	"328"	"14"	"133"	"5"	"26"	"4"	"6"	"2"	"3"	"3"	"3"	"3"	"2"	"14"	"2"	"2"	"12"	"2"	"2"	"2"	"0"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"718"	"0"	"0"	"718"	"0"
"223"	"204
A"	"77"	"98"	"2"	"62"	"3"	"18"	"4"	"0"	"3"	"0"	"1"	"1"	"4"	"1"	"5"	"8"	"1"	"29"	"1"	"5"	"0"	"4"	"0"	"2"	"2"	"10"	"2"	"1"	"2"	"346"	"0"	"0"	"346"	"0"
"224"	"205"	"311"	"206"	"3"	"59"	"2"	"12"	"5"	"2"	"1"	"0"	"0"	"4"	"3"	"4"	"1"	"3"	"9"	"11"	"6"	"4"	"2"	"18"	"3"	"3"	"2"	"7"	"1"	"1"	"9"	"692"	"0"	"13"	"705"	"0"
"225"	"206"	"160"	"545"	"16"	"59"	"6"	"19"	"0"	"4"	"3"	"2"	"6"	"4"	"4"	"4"	"13"	"13"	"4"	"33"	"5"	"1"	"4"	"13"	"6"	"2"	"1"	"4"	"3"	"4"	"7"	"945"	"0"	"11"	"956"	"0"
"226"	"207"	"37"	"336"	"3"	"34"	"8"	"18"	"2"	"1"	"1"	"0"	"0"	"4"	"4"	"2"	"4"	"6"	"0"	"11"	"1"	"1"	"0"	"4"	"1"	"1"	"0"	"6"	"1"	"4"	"1"	"491"	"0"	"3"	"494"	"0"
"227"	"208"	"52"	"101"	"2"	"29"	"50"	"8"	"0"	"2"	"0"	"2"	"2"	"2"	"3"	"1"	"0"	"4"	"4"	"1"	"6"	"3"	"7"	"9"	"2"	"1"	"1"	"4"	"0"	"3"	"1"	"300"	"0"	"1"	"301"	"0"
"228"	"209"	"334"	"177"	"11"	"61"	"24"	"20"	"6"	"5"	"5"	"0"	"7"	"10"	"8"	"7"	"12"	"18"	"12"	"2"	"0"	"8"	"1"	"19"	"3"	"4"	"5"	"4"	"1"	"4"	"8"	"776"	"0"	"18"	"794"	"0"
"229"	"210"	"383"	"92"	"5"	"51"	"3"	"12"	"10"	"5"	"4"	"3"	"5"	"3"	"10"	"8"	"8"	"18"	"6"	"2"	"3"	"2"	"2"	"3"	"2"	"3"	"4"	"1"	"5"	"4"	"1"	"658"	"0"	"11"	"669"	"0"
"230"	"211"	"98"	"346"	"13"	"65"	"16"	"18"	"4"	"2"	"4"	"2"	"2"	"1"	"2"	"0"	"2"	"2"	"2"	"3"	"3"	"3"	"0"	"6"	"0"	"1"	"2"	"1"	"0"	"3"	"1"	"602"	"0"	"0"	"602"	"0"
"231"	"212"	"229"	"177"	"8"	"54"	"13"	"14"	"6"	"7"	"2"	"1"	"3"	"6"	"8"	"3"	"11"	"27"	"3"	"1"	"0"	"2"	"1"	"11"	"2"	"3"	"2"	"3"	"3"	"5"	"6"	"611"	"0"	"12"	"623"	"0"
"232"	"213"	"68"	"258"	"4"	"92"	"13"	"12"	"2"	"3"	"2"	"4"	"1"	"3"	"3"	"3"	"7"	"2"	"15"	"11"	"5"	"6"	"7"	"24"	"5"	"6"	"7"	"5"	"3"	"1"	"3"	"575"	"0"	"1"	"576"	"0"
"233"	"214"	"115"	"275"	"7"	"55"	"9"	"8"	"1"	"4"	"2"	"2"	"2"	"0"	"1"	"2"	"1"	"6"	"9"	"1"	"7"	"6"	"5"	"20"	"4"	"5"	"1"	"3"	"3"	"10"	"7"	"571"	"0"	"8"	"579"	"0"
"234"	"215"	"199"	"150"	"5"	"41"	"5"	"10"	"1"	"5"	"1"	"5"	"1"	"3"	"7"	"4"	"10"	"17"	"9"	"4"	"2"	"1"	"1"	"8"	"1"	"6"	"5"	"6"	"3"	"3"	"4"	"517"	"0"	"14"	"531"	"0"
"235"	"216"	"474"	"30"	"1"	"14"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"3"	"29"	"4"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"571"	"0"	"6"	"577"	"0"
"236"	"217"	"499"	"100"	"13"	"77"	"6"	"19"	"3"	"5"	"7"	"6"	"5"	"1"	"14"	"3"	"12"	"37"	"17"	"4"	"6"	"5"	"3"	"3"	"3"	"3"	"2"	"3"	"1"	"15"	"11"	"883"	"0"	"21"	"904"	"0"
"237"	"218"	"238"	"185"	"3"	"57"	"4"	"19"	"1"	"3"	"2"	"3"	"2"	"1"	"6"	"2"	"6"	"19"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"1"	"562"	"0"	"5"	"567"	"0"
"238"	"219"	"145"	"314"	"11"	"37"	"0"	"19"	"3"	"4"	"1"	"1"	"2"	"4"	"5"	"3"	"9"	"18"	"0"	"2"	"3"	"3"	"1"	"9"	"2"	"7"	"1"	"3"	"2"	"5"	"9"	"623"	"0"	"5"	"628"	"0"
"239"	"220"	"393"	"151"	"10"	"64"	"7"	"5"	"4"	"4"	"1"	"2"	"2"	"1"	"4"	"1"	"2"	"11"	"13"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"682"	"0"	"3"	"685"	"0"
"240"	"221"	"108"	"249"	"17"	"170"	"10"	"72"	"6"	"4"	"3"	"2"	"2"	"0"	"3"	"1"	"1"	"2"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"657"	"0"	"0"	"657"	"0"
"241"	"222"	"177"	"485"	"17"	"83"	"5"	"22"	"0"	"7"	"6"	"0"	"2"	"6"	"8"	"3"	"2"	"7"	"5"	"3"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"846"	"0"	"3"	"849"	"0"
"242"	"223"	"261"	"41"	"6"	"67"	"2"	"33"	"4"	"2"	"2"	"2"	"0"	"5"	"5"	"8"	"7"	"27"	"5"	"1"	"2"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"6"	"2"	"496"	"0"	"7"	"503"	"0"
"243"	"224"	"69"	"579"	"14"	"39"	"6"	"13"	"6"	"4"	"0"	"3"	"2"	"5"	"8"	"3"	"9"	"16"	"8"	"8"	"9"	"2"	"5"	"10"	"5"	"1"	"0"	"5"	"0"	"2"	"3"	"834"	"0"	"13"	"847"	"0"
"244"	"225"	"79"	"602"	"14"	"12"	"31"	"5"	"3"	"5"	"4"	"4"	"2"	"6"	"7"	"6"	"9"	"14"	"2"	"13"	"2"	"0"	"3"	"10"	"1"	"2"	"2"	"3"	"2"	"4"	"7"	"854"	"0"	"5"	"859"	"0"
"245"	"226"	"204"	"342"	"5"	"66"	"11"	"37"	"2"	"10"	"7"	"2"	"2"	"8"	"15"	"12"	"21"	"38"	"6"	"2"	"1"	"4"	"0"	"8"	"2"	"2"	"3"	"7"	"2"	"2"	"2"	"823"	"0"	"15"	"838"	"0"
"246"	"227"	"422"	"153"	"7"	"15"	"5"	"3"	"2"	"1"	"2"	"1"	"0"	"2"	"0"	"0"	"3"	"9"	"1"	"2"	"1"	"1"	"1"	"12"	"2"	"1"	"2"	"1"	"3"	"2"	"0"	"654"	"0"	"5"	"659"	"0"
"247"	"228"	"408"	"49"	"7"	"151"	"8"	"36"	"3"	"3"	"1"	"5"	"0"	"2"	"6"	"2"	"4"	"4"	"9"	"4"	"8"	"8"	"4"	"5"	"2"	"3"	"2"	"6"	"9"	"7"	"5"	"761"	"0"	"16"	"777"	"0"
"248"	"229"	"406"	"307"	"6"	"26"	"9"	"5"	"4"	"1"	"3"	"1"	"2"	"4"	"10"	"3"	"9"	"11"	"5"	"0"	"4"	"3"	"1"	"17"	"0"	"3"	"6"	"2"	"2"	"5"	"8"	"863"	"0"	"5"	"868"	"0"
"249"	"230"	"181"	"517"	"20"	"54"	"37"	"33"	"4"	"6"	"7"	"1"	"2"	"10"	"6"	"3"	"12"	"18"	"5"	"5"	"4"	"2"	"3"	"15"	"2"	"7"	"3"	"0"	"1"	"3"	"4"	"965"	"0"	"6"	"971"	"0"
"250"	"231"	"69"	"227"	"5"	"38"	"3"	"9"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"1"	"1"	"5"	"1"	"1"	"2"	"5"	"2"	"18"	"3"	"4"	"4"	"4"	"4"	"2"	"3"	"417"	"0"	"3"	"420"	"0"
"251"	"232"	"78"	"385"	"24"	"23"	"6"	"3"	"3"	"3"	"2"	"5"	"1"	"1"	"3"	"1"	"3"	"4"	"1"	"3"	"0"	"0"	"2"	"12"	"3"	"3"	"1"	"2"	"2"	"1"	"2"	"577"	"0"	"0"	"577"	"0"
"252"	"233"	"211"	"492"	"23"	"77"	"12"	"60"	"15"	"15"	"16"	"12"	"11"	"17"	"26"	"13"	"21"	"28"	"6"	"6"	"4"	"3"	"4"	"8"	"2"	"3"	"3"	"3"	"4"	"5"	"1"	"110
1"	"0"	"5"	"110
6"	"0"
"253"	"234"	"77"	"257"	"11"	"102"	"5"	"55"	"4"	"9"	"5"	"4"	"6"	"7"	"23"	"11"	"15"	"39"	"7"	"24"	"2"	"3"	"1"	"10"	"4"	"3"	"3"	"19"	"9"	"5"	"6"	"726"	"0"	"9"	"735"	"0"
"254"	"235"	"64"	"156"	"5"	"200"	"11"	"40"	"4"	"0"	"1"	"2"	"3"	"1"	"4"	"5"	"5"	"17"	"11"	"86"	"4"	"13"	"2"	"10"	"2"	"2"	"5"	"18"	"5"	"7"	"7"	"690"	"0"	"15"	"705"	"0"
"255"	"236"	"156"	"277"	"8"	"115"	"4"	"41"	"10"	"2"	"5"	"6"	"7"	"2"	"3"	"5"	"6"	"18"	"4"	"10"	"0"	"4"	"2"	"6"	"4"	"2"	"3"	"4"	"5"	"3"	"0"	"712"	"0"	"3"	"715"	"0"
"256"	"237"	"72"	"230"	"3"	"130"	"3"	"47"	"6"	"2"	"2"	"3"	"1"	"3"	"15"	"6"	"7"	"15"	"4"	"4"	"0"	"4"	"4"	"6"	"2"	"1"	"3"	"4"	"4"	"9"	"6"	"596"	"0"	"7"	"603"	"0"
"257"	"238"	"89"	"252"	"7"	"130"	"5"	"38"	"1"	"4"	"5"	"3"	"5"	"3"	"17"	"8"	"8"	"16"	"2"	"11"	"2"	"0"	"1"	"4"	"0"	"2"	"1"	"5"	"2"	"1"	"0"	"622"	"0"	"4"	"626"	"0"
"258"	"239"	"103"	"489"	"17"	"82"	"4"	"19"	"3"	"7"	"4"	"5"	"7"	"8"	"13"	"6"	"17"	"23"	"6"	"7"	"2"	"9"	"4"	"34"	"2"	"8"	"6"	"2"	"3"	"12"	"7"	"909"	"0"	"20"	"929"	"0"
"259"	"240"	"80"	"328"	"8"	"300"	"2"	"27"	"2"	"4"	"3"	"1"	"1"	"1"	"7"	"2"	"0"	"0"	"6"	"3"	"1"	"5"	"0"	"5"	"0"	"1"	"2"	"1"	"3"	"3"	"2"	"798"	"0"	"2"	"800"	"0"
"260"	"241"	"74"	"224"	"3"	"175"	"2"	"29"	"6"	"0"	"1"	"0"	"0"	"0"	"4"	"0"	"4"	"4"	"6"	"7"	"3"	"8"	"3"	"8"	"0"	"0"	"1"	"7"	"1"	"2"	"7"	"579"	"0"	"2"	"581"	"0"
"261"	"242"	"87"	"308"	"10"	"125"	"4"	"15"	"1"	"0"	"2"	"2"	"1"	"3"	"4"	"3"	"5"	"10"	"3"	"3"	"3"	"0"	"2"	"3"	"0"	"5"	"6"	"2"	"1"	"5"	"6"	"619"	"0"	"10"	"629"	"0"
"262"	"243"	"218"	"445"	"7"	"88"	"1"	"18"	"1"	"1"	"0"	"2"	"2"	"0"	"13"	"3"	"5"	"9"	"2"	"1"	"2"	"5"	"1"	"5"	"0"	"2"	"2"	"1"	"0"	"1"	"3"	"838"	"0"	"5"	"843"	"0"
"263"	"244"	"288"	"358"	"12"	"180"	"8"	"31"	"5"	"1"	"3"	"1"	"3"	"0"	"12"	"2"	"1"	"6"	"5"	"3"	"1"	"6"	"5"	"4"	"0"	"3"	"2"	"1"	"3"	"2"	"6"	"952"	"0"	"13"	"965"	"0"
"264"	"245"	"136"	"258"	"2"	"83"	"2"	"20"	"2"	"2"	"1"	"4"	"1"	"2"	"8"	"2"	"4"	"11"	"4"	"1"	"3"	"1"	"2"	"3"	"1"	"1"	"1"	"0"	"2"	"2"	"3"	"562"	"0"	"0"	"562"	"0"
"265"	"246"	"205"	"257"	"8"	"78"	"2"	"27"	"3"	"4"	"2"	"6"	"1"	"1"	"10"	"9"	"4"	"23"	"18"	"3"	"8"	"3"	"2"	"10"	"0"	"2"	"2"	"2"	"6"	"1"	"4"	"701"	"0"	"9"	"710"	"0"
"266"	"247"	"248"	"223"	"11"	"178"	"11"	"19"	"7"	"3"	"1"	"1"	"0"	"8"	"10"	"7"	"6"	"13"	"34"	"26"	"5"	"34"	"7"	"7"	"7"	"8"	"10"	"6"	"7"	"12"	"15"	"924"	"0"	"31"	"955"	"0"
"267"	"248"	"257"	"316"	"14"	"144"	"3"	"11"	"2"	"2"	"1"	"0"	"2"	"3"	"3"	"5"	"4"	"14"	"0"	"0"	"2"	"2"	"1"	"4"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"795"	"0"	"7"	"802"	"0"
"268"	"249"	"131"	"392"	"13"	"86"	"16"	"8"	"4"	"3"	"3"	"4"	"1"	"3"	"5"	"4"	"7"	"8"	"9"	"5"	"3"	"13"	"2"	"9"	"7"	"3"	"3"	"0"	"2"	"3"	"4"	"751"	"0"	"13"	"764"	"0"
"269"	"250"	"177"	"389"	"9"	"35"	"25"	"7"	"0"	"4"	"3"	"0"	"2"	"5"	"4"	"4"	"6"	"5"	"3"	"3"	"5"	"3"	"5"	"12"	"0"	"5"	"3"	"7"	"1"	"7"	"8"	"737"	"0"	"9"	"746"	"0"
"270"	"251"	"93"	"333"	"10"	"22"	"40"	"11"	"3"	"2"	"3"	"1"	"0"	"2"	"4"	"10"	"8"	"7"	"1"	"3"	"2"	"2"	"1"	"20"	"2"	"1"	"0"	"3"	"1"	"8"	"1"	"594"	"0"	"7"	"601"	"0"
"271"	"252"	"291"	"231"	"11"	"84"	"13"	"34"	"2"	"0"	"2"	"2"	"4"	"6"	"7"	"6"	"6"	"31"	"1"	"2"	"1"	"4"	"1"	"3"	"3"	"2"	"1"	"0"	"3"	"3"	"2"	"756"	"0"	"4"	"760"	"0"
"272"	"253"	"228"	"419"	"7"	"68"	"16"	"23"	"6"	"8"	"3"	"6"	"0"	"4"	"9"	"11"	"15"	"28"	"6"	"12"	"5"	"2"	"1"	"5"	"2"	"1"	"2"	"3"	"1"	"3"	"6"	"900"	"0"	"7"	"907"	"0"
"273"	"254"	"65"	"313"	"3"	"69"	"2"	"21"	"2"	"1"	"2"	"3"	"5"	"4"	"10"	"4"	"8"	"16"	"17"	"16"	"6"	"7"	"4"	"26"	"2"	"5"	"5"	"9"	"4"	"7"	"12"	"648"	"0"	"24"	"672"	"0"
"274"	"255"	"29"	"250"	"8"	"96"	"6"	"28"	"6"	"6"	"6"	"7"	"5"	"4"	"14"	"10"	"7"	"13"	"3"	"15"	"7"	"8"	"3"	"18"	"4"	"8"	"3"	"5"	"8"	"5"	"6"	"588"	"0"	"15"	"603"	"0"
"275"	"Gra nd Tot al"	"414
04"	"762
58"	"188
1"	"158
20"	"194
0"	"451
0"	"718"	"574"	"535"	"525"	"519"	"762"	"141
0"	"908"	"156
7"	"299
0"	"138
2"	"178
0"	"603"	"711"	"408"	"196
6"	"391"	"557"	"495"	"769"	"554"	"792"	"959"	"163
688"	"0"	"188
7"	"165
575"	"0"
"276"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Date : 22/05/2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"(Signed)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
