"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"78"	"47"	""	"18"	""	""	"31"	""	""	""	"8"	""	""	""	"47"	""	""	""	"4"	""	""	""	""	"40"	""	""	""	"5"	""	""	""	"28"	""	""	""	""	"6"	""	""	"5"	""	""	""	"144"	""	""	"7"	""	""	""	"62"	""	""	""	"9"	""	""	""	"6"	""	""	"20"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	""	"3"	""	""	"1"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"2"	""	""	"5"	""	""	""	""	"24"	""	""	""	""	"13"	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"517"	""	""	""	""	"0"	"517"	""	""	"0"	""	""
"79"	"48"	""	"8"	""	""	"43"	""	""	""	"6"	""	""	""	"15"	""	""	""	"2"	""	""	""	""	"43"	""	""	""	"5"	""	""	""	"7"	""	""	""	""	"2"	""	""	"5"	""	""	""	"22"	""	""	"14"	""	""	""	"80"	""	""	""	"6"	""	""	""	"3"	""	""	"20"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"8"	""	""	""	""	"14"	""	""	""	"12"	""	""	"12"	""	""	""	""	"95"	""	""	""	""	"10"	""	""	"12"	""	""	""	""	"136"	""	""	""	""	"580"	""	""	""	""	"0"	"580"	""	""	"0"	""	""
"80"	"49"	""	"7"	""	""	"139"	""	""	""	"8"	""	""	""	"71"	""	""	""	"5"	""	""	""	""	"28"	""	""	""	"6"	""	""	""	"21"	""	""	""	""	"3"	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	""	"88"	""	""	""	"4"	""	""	""	"1"	""	""	"12"	""	""	""	""	"2"	""	""	""	"15"	""	""	""	""	"1"	""	""	"5"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"0"	""	""	"4"	""	""	""	""	"21"	""	""	""	""	"3"	""	""	"0"	""	""	""	""	"7"	""	""	""	""	"464"	""	""	""	""	"0"	"464"	""	""	"0"	""	""
"81"	"50"	""	"20"	""	""	"123"	""	""	""	"8"	""	""	""	"13"	""	""	""	"5"	""	""	""	""	"79"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"2"	""	""	"2"	""	""	""	"37"	""	""	"6"	""	""	""	"33"	""	""	""	"4"	""	""	""	"5"	""	""	"13"	""	""	""	""	"9"	""	""	""	"13"	""	""	""	""	"7"	""	""	"8"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"2"	""	""	"6"	""	""	""	""	"11"	""	""	""	""	"3"	""	""	"0"	""	""	""	""	"32"	""	""	""	""	"456"	""	""	""	""	"0"	"456"	""	""	"0"	""	""
"82"	"51"	""	"2"	""	""	"6"	""	""	""	"0"	""	""	""	"23"	""	""	""	"1"	""	""	""	""	"17"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"7"	""	""	"3"	""	""	""	"13"	""	""	"17"	""	""	""	"171"	""	""	""	"9"	""	""	""	"9"	""	""	"28"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"10"	""	""	"6"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"3"	""	""	"2"	""	""	""	""	"102"	""	""	""	""	"4"	""	""	"6"	""	""	""	""	"100"	""	""	""	""	"570"	""	""	""	""	"0"	"570"	""	""	"0"	""	""
"83"	"52"	""	"4"	""	""	"22"	""	""	""	"2"	""	""	""	"172"	""	""	""	"5"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	"1"	""	""	""	""	"4"	""	""	"2"	""	""	""	"30"	""	""	"18"	""	""	""	"93"	""	""	""	"5"	""	""	""	"1"	""	""	"18"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"6"	""	""	"4"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	"3"	""	""	"0"	""	""	""	""	"29"	""	""	""	""	"1"	""	""	"4"	""	""	""	""	"8"	""	""	""	""	"472"	""	""	""	""	"0"	"472"	""	""	"0"	""	""
"84"	"53"	""	"5"	""	""	"24"	""	""	""	"34"	""	""	""	"172"	""	""	""	"7"	""	""	""	""	"32"	""	""	""	"10"	""	""	""	"6"	""	""	""	""	"7"	""	""	"5"	""	""	""	"29"	""	""	"8"	""	""	""	"326"	""	""	""	"15"	""	""	""	"14"	""	""	"43"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"3"	""	""	"2"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	"3"	""	""	""	""	"48"	""	""	""	""	"3"	""	""	"6"	""	""	""	""	"62"	""	""	""	""	"880"	""	""	""	""	"0"	"880"	""	""	"0"	""	""
"85"	"54"	""	"29"	""	""	"244"	""	""	""	"53"	""	""	""	"57"	""	""	""	"5"	""	""	""	""	"50"	""	""	""	"7"	""	""	""	"5"	""	""	""	""	"1"	""	""	"3"	""	""	""	"13"	""	""	"13"	""	""	""	"222"	""	""	""	"13"	""	""	""	"15"	""	""	"38"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	""	"39"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"822"	""	""	""	""	"0"	"822"	""	""	"0"	""	""
"86"	"55"	""	"20"	""	""	"15"	""	""	""	"7"	""	""	""	"80"	""	""	""	"2"	""	""	""	""	"23"	""	""	""	"7"	""	""	""	"6"	""	""	""	""	"2"	""	""	"6"	""	""	""	"80"	""	""	"4"	""	""	""	"49"	""	""	""	"3"	""	""	""	"1"	""	""	"10"	""	""	""	""	"18"	""	""	""	"3"	""	""	""	""	"9"	""	""	"3"	""	""	""	"9"	""	""	""	""	"6"	""	""	""	"3"	""	""	"4"	""	""	""	""	"40"	""	""	""	""	"7"	""	""	"1"	""	""	""	""	"22"	""	""	""	""	"440"	""	""	""	""	"0"	"440"	""	""	"0"	""	""
"87"	"56"	""	"5"	""	""	"24"	""	""	""	"91"	""	""	""	"22"	""	""	""	"3"	""	""	""	""	"47"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	""	"29"	""	""	""	"4"	""	""	""	"8"	""	""	"27"	""	""	""	""	"21"	""	""	""	"8"	""	""	""	""	"29"	""	""	"15"	""	""	""	"16"	""	""	""	""	"9"	""	""	""	"6"	""	""	"9"	""	""	""	""	"25"	""	""	""	""	"18"	""	""	"158"	""	""	""	""	"33"	""	""	""	""	"619"	""	""	""	""	"0"	"619"	""	""	"0"	""	""
"88"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Election to the Legislative assembly from the 141-BARARI constituency.                                      Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"(To be used both for Parliamentary and Assembly elections                                                Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""
"95"	""	""	"ABDUL HAMID"	""	""	"MANSOOR ALAM"	""	""	"MUHAMMAD SAKUR"	""	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	""	"PREMNATH JAISWAL"	""	""	""	"MOHAMMAD ISRAIL"	""	""	"VIMAL KUMAR MANDAL"	""	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	""	"YAMUNA PRASAD YADAV"	""	""	""	""	"RAJESHWAR CHOUDHARY"	""	"SAVIRURAHAMAN KHAN"	""	""	""	""	"SHIV PUJAN PASWAN"	""	""	""	"SANJAY SINGH"	""	""	""	""	"SAMSAD"	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"57"	""	"8"	""	""	"53"	""	""	"8"	""	""	""	""	"30"	""	""	"2"	""	""	""	""	"63"	""	""	""	"2"	""	""	""	"33"	""	""	""	""	"5"	""	""	""	"3"	""	""	"59"	""	""	""	"7"	""	""	""	"56"	""	""	"3"	""	""	""	"4"	""	""	"12"	""	""	""	""	"12"	""	""	""	"6"	""	""	""	"7"	""	""	""	"3"	""	""	""	"5"	""	""	""	"11"	""	""	""	""	"8"	""	"14"	""	""	""	""	"67"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"20"	""	""	""	"508"	""	""	""	""	"0"	""	""	"508"	""	"0"	""	""	""	""
"97"	"58"	""	"3"	""	""	"13"	""	""	"4"	""	""	""	""	"8"	""	""	"3"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"9"	""	""	""	""	"5"	""	""	""	"2"	""	""	"129"	""	""	""	"2"	""	""	""	"41"	""	""	"6"	""	""	""	"3"	""	""	"13"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"2"	""	"2"	""	""	""	""	"15"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"55"	""	""	""	"335"	""	""	""	""	"0"	""	""	"335"	""	"0"	""	""	""	""
"98"	"59"	""	"38"	""	""	"111"	""	""	"147"	""	""	""	""	"231"	""	""	"10"	""	""	""	""	"26"	""	""	""	"10"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"2"	""	""	"57"	""	""	""	"9"	""	""	""	"15"	""	""	"4"	""	""	""	"2"	""	""	"8"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	"6"	""	""	""	"6"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"2"	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"720"	""	""	""	""	"0"	""	""	"720"	""	"0"	""	""	""	""
"99"	"60"	""	"4"	""	""	"12"	""	""	"1"	""	""	""	""	"142"	""	""	"3"	""	""	""	""	"36"	""	""	""	"5"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	"1"	""	""	""	"8"	""	""	""	"11"	""	""	"3"	""	""	""	"0"	""	""	"7"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	"7"	""	""	""	"4"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"1"	""	"3"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"9"	""	""	""	"293"	""	""	""	""	"0"	""	""	"293"	""	"0"	""	""	""	""
"100"	"61"	""	"11"	""	""	"149"	""	""	"185"	""	""	""	""	"106"	""	""	"7"	""	""	""	""	"21"	""	""	""	"10"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"2"	""	""	"3"	""	""	""	"1"	""	""	""	"18"	""	""	"3"	""	""	""	"11"	""	""	"20"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"10"	""	""	""	"16"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"6"	""	"2"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"612"	""	""	""	""	"0"	""	""	"612"	""	"0"	""	""	""	""
"101"	"62"	""	"12"	""	""	"46"	""	""	"10"	""	""	""	""	"26"	""	""	"5"	""	""	""	""	"246"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"14"	""	""	""	"3"	""	""	"3"	""	""	""	"3"	""	""	""	"12"	""	""	"3"	""	""	""	"1"	""	""	"3"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"43"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"451"	""	""	""	""	"0"	""	""	"451"	""	"0"	""	""	""	""
"102"	"63"	""	"6"	""	""	"40"	""	""	"2"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"345"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"7"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"423"	""	""	""	""	"0"	""	""	"423"	""	"0"	""	""	""	""
"103"	"64"	""	"22"	""	""	"85"	""	""	"506"	""	""	""	""	"9"	""	""	"2"	""	""	""	""	"49"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	"9"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"6"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"710"	""	""	""	""	"0"	""	""	"710"	""	"0"	""	""	""	""
"104"	"65"	""	"7"	""	""	"62"	""	""	"36"	""	""	""	""	"64"	""	""	"6"	""	""	""	""	"29"	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"4"	""	""	"6"	""	""	""	"8"	""	""	""	"134"	""	""	"7"	""	""	""	"6"	""	""	"36"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"7"	""	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"0"	""	"1"	""	""	""	""	"27"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"45"	""	""	""	"527"	""	""	""	""	"0"	""	""	"527"	""	"0"	""	""	""	""
"105"	"66"	""	"21"	""	""	"16"	""	""	"104"	""	""	""	""	"293"	""	""	"8"	""	""	""	""	"47"	""	""	""	"7"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"3"	""	""	"2"	""	""	""	"2"	""	""	""	"100"	""	""	"3"	""	""	""	"1"	""	""	"1"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"1"	""	""	""	"24"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"3"	""	"1"	""	""	""	""	"19"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"8"	""	""	""	"684"	""	""	""	""	"0"	""	""	"684"	""	"0"	""	""	""	""
"106"	"67"	""	"8"	""	""	"113"	""	""	"14"	""	""	""	""	"155"	""	""	"7"	""	""	""	""	"34"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"2"	""	""	"3"	""	""	""	"7"	""	""	""	"51"	""	""	"4"	""	""	""	"5"	""	""	"41"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"5"	""	""	""	"22"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"2"	""	"1"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"146"	""	""	""	"662"	""	""	""	""	"0"	""	""	"662"	""	"0"	""	""	""	""
"107"	"68"	""	"1"	""	""	"3"	""	""	"158"	""	""	""	""	"54"	""	""	"3"	""	""	""	""	"58"	""	""	""	"4"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	""	"27"	""	""	"0"	""	""	""	"2"	""	""	"10"	""	""	""	""	"6"	""	""	""	"9"	""	""	""	"10"	""	""	""	"4"	""	""	""	"10"	""	""	""	"5"	""	""	""	""	"7"	""	"2"	""	""	""	""	"34"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	"20"	""	""	""	"446"	""	""	""	""	"0"	""	""	"446"	""	"0"	""	""	""	""
"108"	"69"	""	"9"	""	""	"36"	""	""	"109"	""	""	""	""	"163"	""	""	"7"	""	""	""	""	"122"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"26"	""	""	"0"	""	""	""	"3"	""	""	"10"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"7"	""	""	""	"2"	""	""	""	"8"	""	""	""	"1"	""	""	""	""	"2"	""	"5"	""	""	""	""	"17"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"552"	""	""	""	""	"0"	""	""	"552"	""	"0"	""	""	""	""
"109"	"70"	""	"16"	""	""	"36"	""	""	"298"	""	""	""	""	"15"	""	""	"4"	""	""	""	""	"19"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"11"	""	""	"1"	""	""	""	"0"	""	""	"5"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"422"	""	""	""	""	"0"	""	""	"422"	""	"0"	""	""	""	""
"110"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Election to the Legislative assembly from the 141-BARARI constituency.                                     Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"(To be used both for Parliamentary and Assembly elections                                                Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""
"117"	""	""	"ABDUL HAMID"	""	"MANSOOR ALAM"	""	""	""	"MUHAMMAD SAKUR"	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	"PABHAT KUMAR"	""	""	"PRAKASH GUPTA"	""	""	""	"PREMNATH JAISWAL"	""	""	""	""	"MOHAMMAD ISRAIL"	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	"YAMUNA PRASAD YADAV"	""	""	""	"RAJESHWAR CHOUDHARY"	""	""	"SAVIRURAHAMAN KHAN"	""	""	""	"SHIV PUJAN PASWAN"	""	""	"SANJAY SINGH"	""	""	""	"SAMSAD"	""	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
