"Conduct.of.Election.Rules.1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"325"	"Current Round Total"	"3311"	"284"	"892"	"782"	"68"	"1236"	"303"	"76"	"46"	"55"	"67"	"583"	"65"	"75"	"156"	"7999"	"0"	"7999"	"0"
"326"	"Previous Round Total"	"15038"	"2989"	"21655"	"2128"	"1452"	"16779"	"14185"	"5661"	"1472"	"5137"	"1257"	"3836"	"945"	"1430"	"2447"	"96411"	"0"	"96411"	"0"
"327"	"TOTAL"	"18349"	"3273"	"22547"	"2910"	"1520"	"18015"	"14488"	"5737"	"1518"	"5192"	"1324"	"4419"	"1010"	"1505"	"2603"	"104410"	"0"	"104410"	"0"
"328"	"(Statutory Rules and Order)                                                       ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"334"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"335"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"336"	"182"	"260"	"15"	"4"	"5"	"7"	"80"	"7"	"5"	"15"	"8"	"6"	"70"	"11"	"19"	"39"	"551"	""	"551"	""
"337"	"183"	"359"	"71"	"55"	"61"	"1"	"87"	"5"	"3"	"1"	"0"	"2"	"22"	"2"	"0"	"4"	"673"	""	"673"	""
"338"	"184"	"55"	"5"	"177"	"185"	"1"	"16"	"4"	"2"	"3"	"4"	"2"	"73"	"0"	"2"	"3"	"532"	""	"532"	""
"339"	"185"	"253"	"7"	"13"	"10"	"4"	"55"	"6"	"5"	"0"	"1"	"2"	"142"	"5"	"2"	"0"	"505"	""	"505"	""
"340"	"186"	"105"	"12"	"86"	"132"	"5"	"65"	"13"	"6"	"7"	"6"	"6"	"154"	"11"	"9"	"21"	"638"	""	"638"	""
"341"	"187"	"176"	"43"	"66"	"122"	"5"	"17"	"11"	"13"	"2"	"9"	"3"	"75"	"6"	"10"	"16"	"574"	""	"574"	""
"342"	"188"	"133"	"35"	"98"	"218"	"11"	"46"	"11"	"12"	"4"	"6"	"6"	"20"	"18"	"11"	"38"	"667"	""	"667"	""
"343"	"189"	"60"	"13"	"49"	"382"	"17"	"12"	"10"	"8"	"2"	"6"	"15"	"33"	"17"	"6"	"23"	"653"	""	"653"	""
"344"	"190"	"170"	"6"	"6"	"138"	"3"	"21"	"8"	"4"	"3"	"2"	"3"	"6"	"7"	"5"	"5"	"387"	""	"387"	""
"345"	"191"	"208"	"37"	"93"	"175"	"3"	"12"	"53"	"7"	"9"	"6"	"3"	"7"	"12"	"8"	"17"	"650"	""	"650"	""
"346"	"192"	"210"	"24"	"18"	"219"	"5"	"18"	"17"	"12"	"3"	"3"	"3"	"13"	"9"	"10"	"12"	"576"	""	"576"	""
"347"	"193"	"246"	"22"	"25"	"127"	"6"	"5"	"9"	"5"	"4"	"6"	"5"	"7"	"12"	"10"	"20"	"509"	""	"509"	""
"348"	"194"	"117"	"28"	"184"	"215"	"9"	"63"	"11"	"12"	"2"	"1"	"6"	"9"	"7"	"0"	"15"	"679"	""	"679"	""
"349"	"195"	"225"	"26"	"21"	"134"	"4"	"10"	"102"	"7"	"8"	"4"	"6"	"8"	"3"	"5"	"10"	"573"	""	"573"	""
"350"	"Current Round Total"	"2577"	"344"	"895"	"2123"	"81"	"507"	"267"	"101"	"63"	"62"	"68"	"639"	"120"	"97"	"223"	"8167"	"0"	"8167"	"0"
"351"	"Previous Round Total"	"18349"	"3273"	"22547"	"2910"	"1520"	"18015"	"14488"	"5737"	"1518"	"5192"	"1324"	"4419"	"1010"	"1505"	"2603"	"104410"	"0"	"104410"	"0"
"352"	"TOTAL"	"20926"	"3617"	"23442"	"5033"	"1601"	"18522"	"14755"	"5838"	"1581"	"5254"	"1392"	"5058"	"1130"	"1602"	"2826"	"112577"	"0"	"112577"	"0"
"353"	"(Statutory Rules and Order)                                                       ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"359"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"360"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"361"	"196"	"187"	"20"	"256"	"38"	"3"	"39"	"3"	"3"	"2"	"0"	"3"	"30"	"4"	"11"	"9"	"608"	""	"608"	""
"362"	"197"	"214"	"11"	"24"	"273"	"6"	"6"	"6"	"3"	"2"	"1"	"2"	"9"	"2"	"4"	"9"	"572"	""	"572"	""
"363"	"198"	"329"	"22"	"152"	"37"	"4"	"8"	"19"	"5"	"5"	"2"	"6"	"286"	"5"	"6"	"4"	"890"	""	"890"	""
"364"	"199"	"263"	"19"	"123"	"76"	"13"	"48"	"13"	"8"	"10"	"12"	"10"	"10"	"16"	"16"	"43"	"680"	""	"680"	""
"365"	"200"	"486"	"12"	"74"	"9"	"3"	"7"	"38"	"7"	"1"	"2"	"2"	"44"	"3"	"0"	"8"	"696"	""	"696"	""
"366"	"201"	"371"	"11"	"10"	"1"	"3"	"25"	"48"	"6"	"5"	"1"	"1"	"30"	"4"	"7"	"5"	"528"	""	"528"	""
"367"	"202"	"351"	"14"	"61"	"3"	"2"	"61"	"27"	"7"	"4"	"32"	"2"	"16"	"8"	"9"	"28"	"625"	""	"625"	""
"368"	"203"	"210"	"5"	"190"	"8"	"4"	"47"	"37"	"4"	"4"	"2"	"2"	"10"	"3"	"4"	"16"	"546"	""	"546"	""
"369"	"204"	"290"	"12"	"83"	"3"	"6"	"176"	"5"	"6"	"4"	"5"	"4"	"3"	"8"	"5"	"11"	"621"	""	"621"	""
"370"	"205"	"140"	"15"	"81"	"6"	"3"	"198"	"14"	"23"	"1"	"3"	"6"	"4"	"5"	"10"	"24"	"533"	""	"533"	""
"371"	"206"	"421"	"19"	"72"	"3"	"4"	"23"	"8"	"2"	"3"	"1"	"5"	"9"	"0"	"6"	"13"	"589"	""	"589"	""
"372"	"207"	"499"	"10"	"4"	"1"	"2"	"18"	"7"	"3"	"3"	"0"	"3"	"2"	"0"	"3"	"3"	"558"	""	"558"	""
"373"	"208"	"262"	"9"	"8"	"0"	"1"	"105"	"5"	"5"	"2"	"4"	"2"	"4"	"4"	"10"	"7"	"428"	""	"428"	""
"374"	"Current Round Total"	"4023"	"179"	"1138"	"458"	"54"	"761"	"230"	"82"	"46"	"65"	"48"	"457"	"62"	"91"	"180"	"7874"	"0"	"7874"	"0"
"375"	"Previous Round Total"	"20926"	"3617"	"23442"	"5033"	"1601"	"18522"	"14755"	"5838"	"1581"	"5254"	"1392"	"5058"	"1130"	"1602"	"2826"	"112577"	"0"	"112577"	"0"
"376"	"TOTAL"	"24949"	"3796"	"24580"	"5491"	"1655"	"19283"	"14985"	"5920"	"1627"	"5319"	"1440"	"5515"	"1192"	"1693"	"3006"	"120451"	"0"	"120451"	"0"
"377"	"R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"128-NARPATGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
