"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"269"	"3"	"114"	"6"	"160"	"4"	"16"	"22"	"0"	"1"	"1"	"2"	"4"	"0"	"4"	"1"	"1"	"3"	"4"	"3"	"6"	"2"	"0"	"5"	"245"	"0"	"245"	"0"
"270"	"4"	"114A"	"13"	"75"	"4"	"25"	"36"	"2"	"3"	"2"	"0"	"1"	"3"	"96"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"267"	"0"	"267"	"0"
"271"	"5"	"115"	"4"	"258"	"1"	"1"	"4"	"0"	"1"	"0"	"2"	"2"	"2"	"173"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"450"	"0"	"450"	"0"
"272"	"6"	"116"	"11"	"171"	"12"	"72"	"24"	"7"	"5"	"1"	"4"	"6"	"13"	"139"	"15"	"6"	"9"	"20"	"3"	"5"	"0"	"1"	"4"	"528"	"0"	"528"	"0"
"273"	"7"	"117"	"8"	"139"	"7"	"22"	"24"	"0"	"6"	"1"	"0"	"3"	"3"	"47"	"2"	"4"	"5"	"5"	"1"	"2"	"0"	"3"	"4"	"286"	"0"	"286"	"0"
"274"	"8"	"118"	"4"	"259"	"1"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"265"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"540"	"0"	"540"	"0"
"275"	"9"	"119"	"16"	"479"	"6"	"14"	"5"	"0"	"2"	"0"	"1"	"0"	"2"	"148"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"674"	"0"	"674"	"0"
"276"	"10"	"120"	"9"	"40"	"3"	"2"	"127"	"3"	"7"	"3"	"4"	"4"	"4"	"212"	"4"	"4"	"3"	"9"	"5"	"2"	"1"	"5"	"9"	"460"	"0"	"460"	"0"
"277"	"11"	"121"	"7"	"116"	"5"	"25"	"43"	"7"	"6"	"3"	"6"	"8"	"9"	"264"	"11"	"8"	"5"	"13"	"0"	"0"	"1"	"1"	"1"	"539"	"0"	"539"	"0"
"278"	"12"	"122"	"10"	"86"	"63"	"90"	"63"	"2"	"4"	"3"	"1"	"4"	"5"	"99"	"2"	"3"	"3"	"1"	"0"	"1"	"0"	"0"	"3"	"443"	"0"	"443"	"0"
"279"	"13"	"123"	"4"	"30"	"2"	"2"	"169"	"2"	"12"	"3"	"3"	"7"	"3"	"296"	"2"	"4"	"1"	"6"	"2"	"0"	"0"	"0"	"4"	"552"	"0"	"552"	"0"
"280"	"14"	"124"	"2"	"11"	"0"	"2"	"73"	"1"	"7"	"2"	"3"	"8"	"4"	"250"	"8"	"4"	"3"	"15"	"2"	"0"	"1"	"1"	"3"	"400"	"0"	"400"	"0"
"281"	"Total Votes Polled"	""	"111"	"2878"	"150"	"323"	"632"	"25"	"58"	"21"	"29"	"48"	"52"	"2054"	"48"	"35"	"37"	"87"	"19"	"18"	"6"	"12"	"47"	"6690"	"0"	"6690"	"0"
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"297"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"1"	"125"	"8"	"305"	"32"	"130"	"24"	"0"	"1"	"2"	"1"	"3"	"8"	"149"	"1"	"2"	"0"	"4"	"1"	"5"	"1"	"7"	"1"	"685"	"0"	"685"	"0"
"300"	"2"	"126"	"0"	"19"	"0"	"1"	"138"	"0"	"4"	"0"	"0"	"0"	"0"	"252"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"418"	"0"	"418"	"0"
"301"	"3"	"127"	"0"	"14"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"995"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1015"	"0"	"1015"	"0"
"302"	"4"	"128"	"6"	"155"	"8"	"62"	"4"	"0"	"2"	"2"	"0"	"1"	"2"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"249"	"0"	"249"	"0"
"303"	"5"	"129"	"34"	"622"	"6"	"22"	"5"	"1"	"0"	"0"	"0"	"3"	"3"	"63"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"763"	"0"	"763"	"0"
"304"	"6"	"130"	"2"	"135"	"2"	"1"	"21"	"1"	"5"	"0"	"2"	"2"	"4"	"78"	"2"	"0"	"1"	"0"	"8"	"2"	"0"	"1"	"3"	"270"	"0"	"270"	"0"
"305"	"7"	"131"	"2"	"61"	"84"	"1"	"12"	"2"	"1"	"1"	"1"	"0"	"0"	"25"	"1"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"197"	"0"	"197"	"0"
"306"	"8"	"132"	"7"	"111"	"80"	"2"	"8"	"2"	"2"	"1"	"0"	"1"	"9"	"51"	"2"	"7"	"2"	"8"	"0"	"1"	"0"	"1"	"1"	"296"	"0"	"296"	"0"
"307"	"9"	"133"	"2"	"325"	"2"	"1"	"11"	"0"	"0"	"1"	"0"	"0"	"4"	"375"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"721"	"0"	"721"	"0"
"308"	"10"	"134"	"0"	"170"	"1"	"3"	"4"	"0"	"0"	"1"	"0"	"2"	"5"	"217"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"407"	"0"	"407"	"0"
"309"	"11"	"135"	"40"	"111"	"4"	"10"	"18"	"3"	"8"	"3"	"5"	"6"	"3"	"235"	"7"	"1"	"2"	"9"	"3"	"3"	"2"	"8"	"20"	"501"	"0"	"501"	"0"
"310"	"12"	"136"	"3"	"18"	"0"	"2"	"6"	"3"	"2"	"1"	"2"	"6"	"10"	"477"	"8"	"5"	"5"	"4"	"1"	"0"	"1"	"1"	"0"	"555"	"0"	"555"	"0"
"311"	"13"	"137"	"6"	"168"	"5"	"2"	"11"	"1"	"2"	"0"	"2"	"5"	"1"	"108"	"2"	"2"	"3"	"7"	"4"	"1"	"4"	"1"	"8"	"343"	"0"	"343"	"0"
"312"	"14"	"138"	"0"	"188"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"185"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"379"	"0"	"379"	"0"
"313"	"Total Votes Polled"	""	"110"	"2402"	"225"	"238"	"265"	"14"	"27"	"12"	"13"	"31"	"49"	"3212"	"27"	"20"	"15"	"37"	"22"	"16"	"10"	"20"	"34"	"6799"	"0"	"6799"	"0"
"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"329"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"1"	"139"	"4"	"138"	"92"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"411"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"651"	"0"	"651"	"0"
"332"	"2"	"140R"	"31"	"110"	"7"	"11"	"148"	"2"	"4"	"4"	"6"	"1"	"6"	"40"	"0"	"3"	"3"	"2"	"6"	"3"	"1"	"0"	"8"	"396"	"0"	"396"	"0"
"333"	"3"	"141"	"9"	"79"	"32"	"11"	"190"	"6"	"3"	"0"	"0"	"3"	"0"	"106"	"2"	"2"	"4"	"6"	"0"	"2"	"0"	"0"	"1"	"456"	"0"	"456"	"0"
"334"	"4"	"142"	"11"	"157"	"2"	"2"	"169"	"1"	"4"	"3"	"0"	"2"	"0"	"61"	"1"	"0"	"0"	"1"	"1"	"3"	"0"	"0"	"1"	"419"	"0"	"419"	"0"
"335"	"5"	"143"	"93"	"103"	"0"	"30"	"37"	"1"	"6"	"0"	"1"	"2"	"4"	"93"	"2"	"1"	"2"	"3"	"4"	"2"	"0"	"2"	"0"	"386"	"0"	"386"	"0"
"336"	"6"	"144"	"38"	"61"	"6"	"3"	"30"	"2"	"7"	"1"	"3"	"0"	"3"	"220"	"3"	"3"	"3"	"4"	"5"	"1"	"0"	"0"	"12"	"405"	"0"	"405"	"0"
"337"	"7"	"145"	"4"	"212"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"252"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"480"	"0"	"480"	"0"
"338"	"8"	"146"	"13"	"130"	"2"	"52"	"18"	"2"	"6"	"3"	"4"	"2"	"6"	"83"	"1"	"0"	"1"	"4"	"1"	"2"	"0"	"1"	"1"	"332"	"0"	"332"	"0"
"339"	"9"	"147"	"4"	"73"	"4"	"43"	"14"	"3"	"3"	"0"	"0"	"3"	"2"	"119"	"4"	"2"	"3"	"6"	"2"	"4"	"0"	"0"	"4"	"293"	"0"	"293"	"0"
"340"	"10"	"148"	"2"	"192"	"26"	"101"	"15"	"0"	"3"	"0"	"0"	"0"	"2"	"36"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"379"	"0"	"379"	"0"
"341"	"11"	"149"	"5"	"76"	"45"	"151"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"54"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"345"	"0"	"345"	"0"
"342"	"12"	"150"	"2"	"190"	"6"	"135"	"20"	"1"	"0"	"3"	"1"	"1"	"2"	"53"	"3"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"422"	"0"	"422"	"0"
"343"	"13"	"151"	"1"	"55"	"61"	"77"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"92"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"0"	"304"	"0"
"344"	"14"	"151A-R"	"0"	"45"	"0"	"23"	"11"	"2"	"0"	"0"	"2"	"3"	"8"	"253"	"7"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"359"	"0"	"359"	"0"
"345"	"Total Votes Polled"	""	"217"	"1621"	"284"	"643"	"673"	"22"	"36"	"14"	"17"	"20"	"35"	"1873"	"27"	"16"	"19"	"33"	"20"	"21"	"1"	"4"	"31"	"5627"	"0"	"5627"	"0"
"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"361"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"1"	"152"	"1"	"12"	"219"	"17"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"14"	"1"	"1"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"278"	"0"	"278"	"0"
"364"	"2"	"153"	"3"	"49"	"130"	"29"	"8"	"3"	"0"	"3"	"0"	"0"	"2"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"250"	"0"	"250"	"0"
"365"	"3"	"154"	"5"	"124"	"66"	"64"	"12"	"2"	"2"	"1"	"1"	"1"	"1"	"24"	"1"	"1"	"0"	"5"	"0"	"1"	"1"	"1"	"4"	"317"	"0"	"317"	"0"
"366"	"4"	"155"	"2"	"112"	"84"	"228"	"7"	"0"	"0"	"2"	"0"	"0"	"0"	"72"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"516"	"0"	"516"	"0"
"367"	"5"	"156"	"3"	"146"	"50"	"188"	"10"	"0"	"2"	"0"	"2"	"1"	"0"	"77"	"0"	"0"	"0"	"5"	"0"	"1"	"0"	"1"	"2"	"488"	"0"	"488"	"0"
"368"	"6"	"157"	"6"	"137"	"14"	"166"	"13"	"1"	"4"	"2"	"0"	"1"	"0"	"77"	"1"	"2"	"0"	"2"	"1"	"4"	"1"	"1"	"2"	"435"	"0"	"435"	"0"
"369"	"7"	"158"	"5"	"132"	"1"	"185"	"8"	"3"	"2"	"0"	"1"	"1"	"1"	"75"	"2"	"2"	"3"	"2"	"0"	"1"	"1"	"1"	"3"	"429"	"0"	"429"	"0"
"370"	"8"	"159"	"3"	"100"	"1"	"7"	"77"	"2"	"2"	"3"	"2"	"0"	"1"	"187"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"390"	"0"	"390"	"0"
"371"	"9"	"160"	"4"	"118"	"1"	"4"	"130"	"5"	"9"	"0"	"1"	"5"	"4"	"210"	"2"	"5"	"0"	"2"	"4"	"0"	"2"	"0"	"6"	"512"	"0"	"512"	"0"
"372"	"10"	"161"	"1"	"44"	"1"	"0"	"48"	"1"	"4"	"0"	"0"	"2"	"5"	"461"	"3"	"2"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"580"	"0"	"580"	"0"
"373"	"11"	"161A"	"4"	"76"	"1"	"4"	"68"	"0"	"3"	"2"	"1"	"2"	"2"	"111"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"280"	"0"	"280"	"0"
"374"	"12"	"162"	"1"	"199"	"6"	"0"	"39"	"0"	"5"	"0"	"1"	"2"	"3"	"327"	"5"	"1"	"2"	"8"	"0"	"4"	"0"	"0"	"2"	"605"	"0"	"605"	"0"
"375"	"13"	"163"	"10"	"195"	"11"	"254"	"34"	"3"	"4"	"1"	"3"	"3"	"6"	"70"	"0"	"1"	"2"	"2"	"3"	"5"	"2"	"3"	"3"	"615"	"0"	"615"	"0"
"376"	"14"	"164"	"23"	"102"	"10"	"128"	"35"	"4"	"3"	"0"	"1"	"5"	"6"	"30"	"1"	"2"	"2"	"1"	"3"	"0"	"0"	"0"	"3"	"359"	"0"	"359"	"0"
"377"	"Total Votes Polled"	""	"71"	"1546"	"595"	"1274"	"492"	"28"	"40"	"14"	"13"	"23"	"31"	"1755"	"20"	"23"	"15"	"36"	"15"	"18"	"7"	"8"	"30"	"6054"	"0"	"6054"	"0"
"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"393"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"1"	"165"	"0"	"183"	"8"	"356"	"7"	"1"	"1"	"1"	"1"	"2"	"1"	"75"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"641"	"0"	"641"	"0"
"396"	"2"	"166R"	"0"	"54"	"1"	"28"	"13"	"0"	"4"	"1"	"1"	"2"	"0"	"162"	"0"	"0"	"2"	"3"	"1"	"3"	"1"	"0"	"2"	"278"	"0"	"278"	"0"
"397"	"3"	"167"	"5"	"315"	"4"	"341"	"7"	"0"	"3"	"0"	"1"	"1"	"0"	"56"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"737"	"0"	"737"	"0"
"398"	"4"	"168"	"101"	"83"	"6"	"68"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"38"	"2"	"1"	"3"	"6"	"1"	"0"	"0"	"0"	"0"	"316"	"0"	"316"	"0"
"399"	"5"	"169R"	"2"	"278"	"2"	"78"	"8"	"1"	"1"	"0"	"1"	"0"	"3"	"33"	"0"	"0"	"1"	"2"	"3"	"1"	"0"	"1"	"1"	"416"	"0"	"416"	"0"
"400"	"6"	"170R"	"1"	"406"	"5"	"102"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"20"	"0"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"546"	"0"	"546"	"0"
"401"	"7"	"171"	"23"	"71"	"3"	"60"	"14"	"2"	"3"	"1"	"3"	"9"	"3"	"227"	"1"	"2"	"3"	"2"	"0"	"1"	"0"	"0"	"2"	"430"	"0"	"430"	"0"
"402"	"8"	"172"	"3"	"112"	"20"	"87"	"21"	"2"	"2"	"0"	"4"	"3"	"2"	"181"	"3"	"4"	"1"	"2"	"0"	"0"	"1"	"0"	"2"	"450"	"0"	"450"	"0"
"403"	"9"	"173"	"7"	"119"	"39"	"106"	"12"	"1"	"2"	"2"	"0"	"1"	"6"	"41"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"341"	"0"	"341"	"0"
