"Total.No..of.Electors.in.Assembly.Constituency....218467"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"349"	"5"	"201"	"14"	"108"	"4"	"7"	"1"	"6"	"3"	"7"	"89"	"7"	"37"	"10"	""	"293"	""	""	""
"350"	"6"	"202"	"41"	"52"	"161"	"6"	"6"	"36"	"5"	"22"	"61"	"4"	"29"	"14"	""	"437"	""	""	""
"351"	"7"	"203"	"37"	"144"	"40"	"17"	"33"	"51"	"15"	"27"	"25"	"11"	"135"	"16"	""	"551"	""	""	""
"352"	"8"	"204"	"34"	"97"	"8"	"0"	"1"	"6"	"3"	"6"	"10"	"15"	"154"	"16"	""	"350"	""	""	""
"353"	"9"	"205"	"6"	"225"	"28"	"2"	"21"	"8"	"6"	"20"	"11"	"4"	"43"	"6"	""	"380"	""	""	""
"354"	"10"	"206"	"19"	"144"	"7"	"0"	"0"	"6"	"0"	"8"	"4"	"1"	"41"	"7"	""	"237"	""	""	""
"355"	""	"Total Round
15"	"198"	"1043"	"558"	"54"	"101"	"231"	"47"	"118"	"301"	"61"	"864"	"120"	"0"	"3696"	"0"	""	""
"356"	""	"Total No. of votes recorded at
Polling"	"4937"	"17035"	"15253"	"913"	"1846"	"6151"	"885"	"3246"	"4857"	"1685"	"23445"	"3268"	"0"	"83521"	"0"	""	""
"357"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""	""
"358"	""	"TOTAL VOTES POLLED"	"4937"	"17035"	"15253"	"913"	"1846"	"6151"	"885"	"3246"	"4857"	"1685"	"23445"	"3268"	"0"	"83521"	"0"	""	""
"359"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"83- Madhepur A.C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"83- Madhepur A.C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Observer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"83- Madhepur A.C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
