"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"109"	"67"	"79"	""	""	"15"	""	""	""	"21"	""	""	""	"122"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	""	""	""	"274"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"274"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"68"	"21"	""	""	"1"	""	""	""	"13"	""	""	""	"17"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"24"	""	""	""	""	"1"	""	""	""	""	""	""	""	"79"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"79"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"69"	"41"	""	""	"6"	""	""	""	"10"	""	""	""	"131"	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"30"	""	""	""	""	"7"	""	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Total"	"1514"	""	""	"578"	""	""	""	"330"	""	""	""	"1326"	""	""	""	""	""	"43"	""	""	""	""	"24"	""	""	""	""	""	""	"78"	""	""	""	""	""	""	"40"	""	""	""	""	""	""	"38"	""	""	""	""	""	""	"25"	""	""	""	""	""	"588"	""	""	""	""	"85"	""	""	""	""	""	""	""	"4669"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4669"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"114"	"of"	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"115"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"116"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""
"118"	"70"	"292"	""	""	"8"	""	""	""	"1"	""	""	""	"21"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"369"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"369"	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"71"	"224"	""	""	"15"	""	""	""	"8"	""	""	""	"114"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	"29"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"409"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"409"	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"72"	"79"	""	""	"105"	""	""	""	"16"	""	""	""	"139"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"4"	""	""	""	""	"32"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"73"	"165"	""	""	"23"	""	""	""	"4"	""	""	""	"34"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"244"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"244"	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"74"	"112"	""	""	"7"	""	""	""	"1"	""	""	""	"25"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"39"	""	""	""	""	""	""	""	"3"	""	""	""	""	"15"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"220"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"220"	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"75"	"136"	""	""	"5"	""	""	""	"2"	""	""	""	"103"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	"30"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"297"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"297"	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"76"	"133"	""	""	"2"	""	""	""	"3"	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	"109"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"77"	"124"	""	""	"86"	""	""	""	"34"	""	""	""	"105"	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	"20"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"78"	"71"	""	""	"25"	""	""	""	"22"	""	""	""	"697"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"841"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"841"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"79"	"156"	""	""	"8"	""	""	""	"15"	""	""	""	"73"	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	"33"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"80"	"293"	""	""	"77"	""	""	""	"8"	""	""	""	"39"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"2"	""	""	""	""	"25"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"474"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"474"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"81"	"316"	""	""	"11"	""	""	""	"1"	""	""	""	"31"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	"59"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"434"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"434"	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"82"	"263"	""	""	"29"	""	""	""	"1"	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"1"	""	""	""	""	"166"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"83"	"15"	""	""	"1"	""	""	""	"22"	""	""	""	"453"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	"27"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"523"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"523"	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total"	"2379"	""	""	"402"	""	""	""	"138"	""	""	""	"1850"	""	""	""	""	""	"30"	""	""	""	""	""	"16"	""	""	""	""	""	"76"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	"123"	""	""	""	""	""	""	""	"30"	""	""	""	""	"566"	""	""	""	""	""	"75"	""	""	""	""	""	""	""	"5708"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5708"	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"134"	"of"	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"135"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"136"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""
"138"	"84"	"287"	""	""	"39"	""	""	""	"2"	""	""	""	""	"42"	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"1"	""	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"85"	"222"	""	""	"18"	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	"15"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"291"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"291"	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"86"	"319"	""	""	"3"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"0"	""	""	""	""	""	"25"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"360"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"360"	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"87"	"0"	""	""	"1"	""	""	""	"140"	""	""	""	""	"676"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"827"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"827"	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"88"	"67"	""	""	"14"	""	""	""	"44"	""	""	""	""	"432"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"575"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"575"	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"89"	"28"	""	""	"20"	""	""	""	"10"	""	""	""	""	"86"	""	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	"292"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"90"	"0"	""	""	"0"	""	""	""	"45"	""	""	""	""	"958"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1005"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1005"	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"91"	"42"	""	""	"1"	""	""	""	"24"	""	""	""	""	"137"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"221"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"221"	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"92"	"136"	""	""	"7"	""	""	""	"26"	""	""	""	""	"145"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"329"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"93"	"123"	""	""	"8"	""	""	""	"5"	""	""	""	""	"23"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"119"	""	""	""	""	""	""	"10"	""	""	""	""	""	"13"	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"94"	"97"	""	""	"10"	""	""	""	"3"	""	""	""	""	"134"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"95"	"7"	""	""	"19"	""	""	""	"68"	""	""	""	""	"57"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"156"	""	""	""	""	""	""	"0"	""	""	""	""	""	"44"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"96"	"36"	""	""	"28"	""	""	""	"27"	""	""	""	""	"89"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"50"	""	""	""	""	""	""	"7"	""	""	""	""	""	"49"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"97"	"185"	""	""	"3"	""	""	""	"5"	""	""	""	""	"47"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"252"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"252"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Total"	"1549"	""	""	"171"	""	""	""	"405"	""	""	""	""	"2833"	""	""	""	""	"39"	""	""	""	""	""	"13"	""	""	""	""	""	"46"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"378"	""	""	""	""	""	""	"28"	""	""	""	""	""	"462"	""	""	""	""	""	"69"	""	""	""	""	""	""	""	"6018"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6018"	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"154"	"of"	"MAHESH SINGH YADAV"	""	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	"LALITA SINGH"	""	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"155"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"156"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"1"	"2"	""	""	""	"3"	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"158"	"98"	"63"	""	""	""	"3"	""	""	"97"	""	""	""	""	"44"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"210"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"210"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"99"	"38"	""	""	""	"69"	""	""	"6"	""	""	""	""	"458"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"29"	""	""	""	""	""	""	""	"2"	""	""	""	""	"91"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"699"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"100"	"159"	""	""	""	"35"	""	""	"5"	""	""	""	""	"63"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	"17"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"101"	"501"	""	""	""	"2"	""	""	"6"	""	""	""	""	"90"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	"11"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"618"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"102"	"227"	""	""	""	"6"	""	""	"0"	""	""	""	""	"23"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"103"	"143"	""	""	""	"4"	""	""	"5"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"197"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"197"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
