"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"
"96"	"of"	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""
"97"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""
"98"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""
"100"	"57"	"94"	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	""	"674"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"786"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"786"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"58"	"218"	""	""	"7"	""	""	""	"10"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	"111"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	"363"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"363"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"59"	"131"	""	""	"9"	""	""	""	"9"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	""	"205"	""	""	""	""	""	"7"	""	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	""	""	"418"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"60"	"22"	""	""	"5"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	"274"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"307"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"307"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"61"	"7"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"558"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"565"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"62"	"2"	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	""	"628"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"642"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"642"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"63"	"49"	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	""	"391"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"454"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"454"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"64"	"12"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	""	"201"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"231"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"231"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"65"	"6"	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"5"	""	""	""	""	""	""	"272"	""	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"302"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"66"	"7"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	""	"941"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"954"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"954"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"67"	"20"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"9"	""	""	""	"0"	""	""	""	""	""	""	"1180"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1212"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1212"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"68"	"82"	""	""	"5"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	"0"	""	""	""	""	""	""	"302"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"402"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"69"	"76"	""	""	"30"	""	""	""	"2"	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	"3"	""	""	""	""	""	""	"369"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"501"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"70"	"22"	""	""	"9"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	"7"	""	""	""	""	""	""	"157"	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"209"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"209"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Total"	"748"	""	""	"76"	""	""	""	"30"	""	""	""	"17"	""	""	""	""	""	"41"	""	""	""	"37"	""	""	""	""	""	""	"6263"	""	""	""	""	""	"32"	""	""	""	""	""	""	"19"	""	""	""	""	""	"11"	""	""	""	""	""	"20"	""	""	""	""	"7"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	"33"	""	""	""	""	""	"7346"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"7346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"116"	"of"	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"117"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"118"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""
"120"	"71"	"60"	""	""	"42"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	"452"	""	""	""	""	""	""	"12"	""	""	""	""	""	"11"	""	""	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"8"	""	""	""	""	""	"611"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"611"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"72"	"5"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"269"	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"285"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"73"	"469"	""	""	"8"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"164"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	"669"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"669"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"74"	"3"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"599"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"605"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"605"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"75"	"192"	""	""	"518"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"20"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"746"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"746"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"76"	"85"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"152"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"237"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"77"	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"222"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"225"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"78"	"278"	""	""	"15"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"63"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"364"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"79"	"167"	""	""	"342"	""	""	""	"29"	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"98"	""	""	""	""	""	""	"10"	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"13"	""	""	""	""	""	"687"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"80"	"276"	""	""	"10"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"187"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"475"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"81"	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"629"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"631"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"631"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"82"	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"766"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"768"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"768"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"83"	"29"	""	""	"11"	""	""	""	"28"	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"740"	""	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	"830"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"830"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"84"	"28"	""	""	"208"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	"833"	""	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1101"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Total"	"1594"	""	""	"1156"	""	""	""	"71"	""	""	""	"20"	""	""	""	""	""	"18"	""	""	""	""	"22"	""	""	""	""	""	"5194"	""	""	""	""	""	""	"43"	""	""	""	""	""	"25"	""	""	""	""	""	""	"12"	""	""	""	""	"9"	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"38"	""	""	""	""	""	"8234"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"8234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"136"	"of"	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"137"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"138"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""
"140"	"85"	"241"	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"51"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"298"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"86"	"362"	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"70"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"442"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"87"	"55"	""	""	"134"	""	""	""	"13"	""	""	""	""	"2"	""	""	""	""	"23"	""	""	""	""	"1"	""	""	""	""	""	"278"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"553"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"553"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"88"	"7"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"16"	""	""	""	""	"3"	""	""	""	""	""	"813"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"843"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"843"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
