"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"194"	"143"	"17"	"100"	""	"6"	""	"20"	""	"432"	""	""	"18"	""	""	"6"	""	"7"	""	""	"8"	""	""	"10"	""	""	"6"	""	"2"	""	""	"10"	""	"29"	""	""	"671"	""	""	""	"671"	""	""	""	""	""	""	""
"195"	"144"	"16"	"133"	""	"12"	""	"11"	""	"351"	""	""	"20"	""	""	"3"	""	"17"	""	""	"13"	""	""	"8"	""	""	"3"	""	"12"	""	""	"5"	""	"7"	""	""	"611"	""	""	""	"611"	""	""	""	""	""	""	""
"196"	"145"	"7"	"16"	""	"5"	""	"44"	""	"384"	""	""	"7"	""	""	"5"	""	"2"	""	""	"5"	""	""	"7"	""	""	"5"	""	"1"	""	""	"0"	""	"5"	""	""	"493"	""	""	""	"493"	""	""	""	""	""	""	""
"197"	"146"	"36"	"288"	""	"11"	""	"14"	""	"330"	""	""	"13"	""	""	"6"	""	"3"	""	""	"20"	""	""	"12"	""	""	"7"	""	"6"	""	""	"10"	""	"39"	""	""	"795"	""	""	""	"795"	""	""	""	""	""	""	""
"198"	"147"	"10"	"125"	""	"4"	""	"13"	""	"235"	""	""	"9"	""	""	"2"	""	"0"	""	""	"2"	""	""	"3"	""	""	"1"	""	"4"	""	""	"2"	""	"6"	""	""	"416"	""	""	""	"416"	""	""	""	""	""	""	""
"199"	"148"	"17"	"203"	""	"2"	""	"104"	""	"313"	""	""	"16"	""	""	"1"	""	"7"	""	""	"4"	""	""	"8"	""	""	"4"	""	"14"	""	""	"7"	""	"15"	""	""	"715"	""	""	""	"715"	""	""	""	""	""	""	""
"200"	"149"	"13"	"40"	""	"4"	""	"11"	""	"377"	""	""	"5"	""	""	"4"	""	"5"	""	""	"37"	""	""	"3"	""	""	"2"	""	"2"	""	""	"2"	""	"0"	""	""	"505"	""	""	""	"505"	""	""	""	""	""	""	""
"201"	"150"	"12"	"37"	""	"5"	""	"7"	""	"531"	""	""	"9"	""	""	"1"	""	"3"	""	""	"5"	""	""	"0"	""	""	"2"	""	"3"	""	""	"1"	""	"2"	""	""	"618"	""	""	""	"618"	""	""	""	""	""	""	""
"202"	"151"	"9"	"128"	""	"11"	""	"5"	""	"182"	""	""	"8"	""	""	"7"	""	"8"	""	""	"1"	""	""	"2"	""	""	"0"	""	"1"	""	""	"0"	""	"10"	""	""	"372"	""	""	""	"372"	""	""	""	""	""	""	""
"203"	"152"	"9"	"8"	""	"5"	""	"8"	""	"437"	""	""	"14"	""	""	"6"	""	"8"	""	""	"12"	""	""	"4"	""	""	"5"	""	"8"	""	""	"2"	""	"6"	""	""	"532"	""	""	""	"532"	""	""	""	""	""	""	""
"204"	"153"	"14"	"80"	""	"3"	""	"9"	""	"242"	""	""	"10"	""	""	"2"	""	"11"	""	""	"3"	""	""	"5"	""	""	"3"	""	"1"	""	""	"2"	""	"17"	""	""	"402"	""	""	""	"402"	""	""	""	""	""	""	""
"205"	"154"	"43"	"203"	""	"5"	""	"11"	""	"384"	""	""	"6"	""	""	"2"	""	"11"	""	""	"3"	""	""	"1"	""	""	"6"	""	"4"	""	""	"11"	""	"29"	""	""	"719"	""	""	""	"719"	""	""	""	""	""	""	""
"206"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"207"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"155"	"69"	"46"	""	"8"	""	"15"	""	"402"	""	""	"13"	""	""	"6"	""	"14"	""	""	"1"	""	""	"1"	""	""	"0"	""	"0"	""	""	"1"	""	"6"	""	""	"582"	"0"	""	""	"582"	""	""	""	""	""	""	""
"209"	"156"	"9"	"22"	""	"23"	""	"102"	""	"184"	""	""	"10"	""	""	"0"	""	"5"	""	""	"3"	""	""	"4"	""	""	"5"	""	"3"	""	""	"2"	""	"5"	""	""	"377"	""	""	""	"377"	""	""	""	""	""	""	""
"210"	"157"	"27"	"486"	""	"24"	""	"43"	""	"161"	""	""	"12"	""	""	"5"	""	"54"	""	""	"2"	""	""	"7"	""	""	"2"	""	"3"	""	""	"5"	""	"18"	""	""	"849"	""	""	""	"849"	""	""	""	""	""	""	""
"211"	"158"	"9"	"75"	""	"4"	""	"29"	""	"217"	""	""	"5"	""	""	"3"	""	"32"	""	""	"0"	""	""	"1"	""	""	"1"	""	"0"	""	""	"0"	""	"3"	""	""	"379"	""	""	""	"379"	""	""	""	""	""	""	""
"212"	"159"	"10"	"95"	""	"4"	""	"15"	""	"190"	""	""	"4"	""	""	"1"	""	"10"	""	""	"0"	""	""	"2"	""	""	"3"	""	"0"	""	""	"4"	""	"12"	""	""	"350"	""	""	""	"350"	""	""	""	""	""	""	""
"213"	"160"	"6"	"5"	""	"1"	""	"14"	""	"400"	""	""	"11"	""	""	"6"	""	"27"	""	""	"0"	""	""	"3"	""	""	"2"	""	"0"	""	""	"0"	""	"8"	""	""	"483"	""	""	""	"483"	""	""	""	""	""	""	""
"214"	"161"	"16"	"196"	""	"8"	""	"114"	""	"350"	""	""	"15"	""	""	"5"	""	"11"	""	""	"4"	""	""	"12"	""	""	"9"	""	"10"	""	""	"8"	""	"23"	""	""	"781"	""	""	""	"781"	""	""	""	""	""	""	""
"215"	"162"	"26"	"221"	""	"11"	""	"19"	""	"328"	""	""	"12"	""	""	"5"	""	"31"	""	""	"4"	""	""	"11"	""	""	"6"	""	"7"	""	""	"11"	""	"21"	""	""	"713"	""	""	""	"713"	""	""	""	""	""	""	""
"216"	"163"	"17"	"211"	""	"5"	""	"12"	""	"108"	""	""	"2"	""	""	"1"	""	"6"	""	""	"1"	""	""	"0"	""	""	"4"	""	"4"	""	""	"7"	""	"12"	""	""	"390"	""	""	""	"390"	""	""	""	""	""	""	""
"217"	"164"	"15"	"288"	""	"4"	""	"7"	""	"68"	""	""	"0"	""	""	"0"	""	"3"	""	""	"0"	""	""	"3"	""	""	"2"	""	"0"	""	""	"2"	""	"5"	""	""	"397"	""	""	""	"397"	""	""	""	""	""	""	""
"218"	"165"	"29"	"281"	""	"21"	""	"7"	""	"143"	""	""	"7"	""	""	"3"	""	"4"	""	""	"6"	""	""	"3"	""	""	"2"	""	"7"	""	""	"4"	""	"16"	""	""	"533"	""	""	""	"533"	""	""	""	""	""	""	""
"219"	"166"	"10"	"88"	""	"1"	""	"11"	""	"229"	""	""	"10"	""	""	"2"	""	"39"	""	""	"1"	""	""	"3"	""	""	"3"	""	"2"	""	""	"8"	""	"16"	""	""	"423"	""	""	""	"423"	""	""	""	""	""	""	""
"220"	"167"	"17"	"102"	""	"2"	""	"12"	""	"222"	""	""	"6"	""	""	"2"	""	"12"	""	""	"8"	""	""	"4"	""	""	"6"	""	"4"	""	""	"8"	""	"15"	""	""	"420"	""	""	""	"420"	""	""	""	""	""	""	""
"221"	"168"	"35"	"183"	""	"11"	""	"13"	""	"175"	""	""	"5"	""	""	"3"	""	"17"	""	""	"4"	""	""	"3"	""	""	"1"	""	"0"	""	""	"0"	""	"3"	""	""	"453"	""	""	""	"453"	""	""	""	""	""	""	""
"222"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"223"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"169"	"11"	"112"	""	"4"	""	"18"	""	"245"	""	""	"12"	""	""	"3"	""	"3"	""	""	"3"	""	""	"5"	""	""	"5"	""	"3"	""	""	"1"	""	"14"	""	""	"439"	"0"	""	""	"439"	""	""	""	""	""	""	""
"225"	"170"	"4"	"51"	""	"3"	""	"11"	""	"308"	""	""	"5"	""	""	"3"	""	"95"	""	""	"2"	""	""	"6"	""	""	"2"	""	"6"	""	""	"2"	""	"12"	""	""	"510"	""	""	""	"510"	""	""	""	""	""	""	""
"226"	"171"	"4"	"18"	""	"0"	""	"6"	""	"196"	""	""	"8"	""	""	"0"	""	"2"	""	""	"1"	""	""	"4"	""	""	"0"	""	"1"	""	""	"0"	""	"3"	""	""	"243"	""	""	""	"243"	""	""	""	""	""	""	""
"227"	"172"	"38"	"332"	""	"8"	""	"18"	""	"188"	""	""	"4"	""	""	"5"	""	"130"	""	""	"4"	""	""	"3"	""	""	"4"	""	"4"	""	""	"3"	""	"7"	""	""	"748"	""	""	""	"748"	""	""	""	""	""	""	""
"228"	"173"	"29"	"157"	""	"10"	""	"26"	""	"499"	""	""	"28"	""	""	"7"	""	"10"	""	""	"7"	""	""	"4"	""	""	"5"	""	"1"	""	""	"6"	""	"16"	""	""	"805"	""	""	""	"805"	""	""	""	""	""	""	""
"229"	"174"	"8"	"20"	""	"2"	""	"7"	""	"333"	""	""	"11"	""	""	"1"	""	"17"	""	""	"2"	""	""	"2"	""	""	"2"	""	"1"	""	""	"4"	""	"6"	""	""	"416"	""	""	""	"416"	""	""	""	""	""	""	""
"230"	"175"	"25"	"82"	""	"28"	""	"50"	""	"569"	""	""	"14"	""	""	"9"	""	"6"	""	""	"11"	""	""	"4"	""	""	"3"	""	"4"	""	""	"6"	""	"9"	""	""	"820"	""	""	""	"820"	""	""	""	""	""	""	""
"231"	"176"	"11"	"60"	""	"2"	""	"5"	""	"289"	""	""	"6"	""	""	"24"	""	"6"	""	""	"3"	""	""	"1"	""	""	"2"	""	"7"	""	""	"6"	""	"10"	""	""	"432"	""	""	""	"432"	""	""	""	""	""	""	""
"232"	"177"	"20"	"78"	""	"10"	""	"27"	""	"346"	""	""	"19"	""	""	"9"	""	"5"	""	""	"9"	""	""	"7"	""	""	"8"	""	"8"	""	""	"6"	""	"23"	""	""	"575"	""	""	""	"575"	""	""	""	""	""	""	""
"233"	"178"	"14"	"73"	""	"9"	""	"10"	""	"320"	""	""	"7"	""	""	"7"	""	"4"	""	""	"2"	""	""	"1"	""	""	"3"	""	"2"	""	""	"0"	""	"1"	""	""	"453"	""	""	""	"453"	""	""	""	""	""	""	""
"234"	"179"	"35"	"40"	""	"10"	""	"197"	""	"176"	""	""	"11"	""	""	"11"	""	"9"	""	""	"11"	""	""	"9"	""	""	"5"	""	"3"	""	""	"4"	""	"12"	""	""	"533"	""	""	""	"533"	""	""	""	""	""	""	""
"235"	"180"	"23"	"5"	""	"6"	""	"6"	""	"381"	""	""	"7"	""	""	"3"	""	"4"	""	""	"1"	""	""	"6"	""	""	"3"	""	"3"	""	""	"4"	""	"8"	""	""	"460"	""	""	""	"460"	""	""	""	""	""	""	""
"236"	"181"	"18"	"16"	""	"12"	""	"85"	""	"201"	""	""	"5"	""	""	"6"	""	"9"	""	""	"6"	""	""	"1"	""	""	"2"	""	"2"	""	""	"3"	""	"6"	""	""	"372"	""	""	""	"372"	""	""	""	""	""	""	""
"237"	"182"	"37"	"116"	""	"67"	""	"88"	""	"284"	""	""	"10"	""	""	"3"	""	"12"	""	""	"18"	""	""	"4"	""	""	"3"	""	"5"	""	""	"10"	""	"11"	""	""	"668"	""	""	""	"668"	""	""	""	""	""	""	""
"238"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Election to the Legislative assembly from the 140-KORHA constituency.                                              Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"(To be used both for Parliamentary and Assembly elections                                                                                         Total No. of Electors in Assembly constituency/Segment ............. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Serial No. of Polling Station"	""	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""
"244"	""	""	""	"MANOJ KUMAR"	""	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	""	"SITA RAM DAS"	""	""	"SUNITA DEVI"	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"183"	""	""	"32"	""	"29"	""	"24"	""	""	"33"	""	""	"430"	""	"11"	""	""	"3"	""	""	"3"	""	""	"6"	""	"5"	""	""	"2"	""	"3"	"6"	""	"7"	""	"594"	""	"0"	""	""	"594"	""	""	""	""	""
"246"	"184"	""	""	"3"	""	"2"	""	"2"	""	""	"22"	""	""	"297"	""	"7"	""	""	"2"	""	""	"1"	""	""	"2"	""	"1"	""	""	"3"	""	"3"	"2"	""	"13"	""	"360"	""	""	""	""	"360"	""	""	""	""	""
"247"	"185"	""	""	"5"	""	"49"	""	"5"	""	""	"42"	""	""	"299"	""	"10"	""	""	"1"	""	""	"6"	""	""	"6"	""	"9"	""	""	"4"	""	"15"	"5"	""	"11"	""	"467"	""	""	""	""	"467"	""	""	""	""	""
"248"	"186"	""	""	"10"	""	"24"	""	"3"	""	""	"246"	""	""	"319"	""	"12"	""	""	"1"	""	""	"4"	""	""	"10"	""	"3"	""	""	"2"	""	"1"	"1"	""	"6"	""	"642"	""	""	""	""	"642"	""	""	""	""	""
"249"	"187"	""	""	"25"	""	"165"	""	"49"	""	""	"74"	""	""	"446"	""	"20"	""	""	"8"	""	""	"13"	""	""	"7"	""	"11"	""	""	"4"	""	"6"	"14"	""	"19"	""	"861"	""	""	""	""	"861"	""	""	""	""	""
"250"	"188"	""	""	"18"	""	"161"	""	"3"	""	""	"56"	""	""	"227"	""	"8"	""	""	"1"	""	""	"3"	""	""	"2"	""	"1"	""	""	"1"	""	"3"	"1"	""	"2"	""	"487"	""	""	""	""	"487"	""	""	""	""	""
"251"	"189"	""	""	"9"	""	"96"	""	"9"	""	""	"28"	""	""	"231"	""	"3"	""	""	"1"	""	""	"5"	""	""	"1"	""	"9"	""	""	"1"	""	"4"	"3"	""	"5"	""	"405"	""	""	""	""	"405"	""	""	""	""	""
"252"	"190"	""	""	"32"	""	"107"	""	"14"	""	""	"87"	""	""	"553"	""	"15"	""	""	"4"	""	""	"6"	""	""	"7"	""	"7"	""	""	"5"	""	"3"	"5"	""	"13"	""	"858"	""	""	""	""	"858"	""	""	""	""	""
"253"	"191"	""	""	"2"	""	"20"	""	"3"	""	""	"37"	""	""	"495"	""	"7"	""	""	"2"	""	""	"0"	""	""	"1"	""	"2"	""	""	"1"	""	"0"	"0"	""	"3"	""	"573"	""	""	""	""	"573"	""	""	""	""	""
"254"	"192"	""	""	"16"	""	"319"	""	"39"	""	""	"16"	""	""	"55"	""	"6"	""	""	"1"	""	""	"3"	""	""	"3"	""	"4"	""	""	"4"	""	"4"	"6"	""	"15"	""	"491"	""	""	""	""	"491"	""	""	""	""	""
"255"	"Total no. of votes record at polling station"	""	""	"3744"	""	"27484"	""	"2922"	""	""	"8431"	""	""	"52930"	""	"1836"	""	""	"758"	""	""	"2391"	""	""	"885"	""	"1143"	""	""	"715"	""	"816"	"1023"	""	"2624"	""	"107702"	""	"0"	""	""	"107702"	""	""	"0"	""	""
"256"	"Nombers of votes record on postal ballot papers. (To be filled in the case of electon from an assembly constituency)"	""	""	"0"	""	"1"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	"0"	"0"	""	"0"	""	"1"	""	"0"	""	""	"1"	""	""	"0"	""	""
"257"	"Total votes polled"	""	""	"3744"	""	"27485"	""	"2922"	""	""	"8431"	""	""	"52930"	""	"1836"	""	""	"758"	""	""	"2391"	""	""	"885"	""	"1143"	""	""	"715"	""	"816"	"1023"	""	"2624"	""	"107703"	""	"0"	""	""	"107703"	""	""	"0"	""	""
"258"	"Place ----------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Date :-------------------------------------                                                                                      Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
