"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"294"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"300"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"301"	"182"	""	"6"	""	"0"	""	"8"	"138"	"3"	"6"	""	"1"	""	"2"	"3"	"2"	""	"6"	""	"5"	"-180"	""	""	"0"	""	"-180"	"0"
"302"	"183"	""	"465"	""	"0"	""	"9"	"69"	"2"	"0"	""	"0"	""	"0"	"1"	"1"	""	"3"	""	"0"	"-550"	""	""	"0"	""	"-550"	"0"
"303"	"184"	""	"266"	""	"7"	""	"1"	"101"	"6"	"0"	""	"0"	""	"2"	"5"	"2"	""	"4"	""	"18"	"-412"	""	""	"0"	""	"-412"	"0"
"304"	"185"	""	"226"	""	"18"	""	"5"	"76"	"2"	"2"	""	"3"	""	"1"	"2"	"3"	""	"2"	""	"20"	"-360"	""	""	"0"	""	"-360"	"0"
"305"	"186"	""	"268"	""	"10"	""	"2"	"69"	"3"	"2"	""	"2"	""	"6"	"8"	"18"	""	"4"	""	"23"	"-415"	""	""	"0"	""	"-415"	"0"
"306"	"187"	""	"294"	""	"10"	""	"6"	"56"	"2"	"3"	""	"2"	""	"4"	"6"	"1"	""	"6"	""	"8"	"-398"	""	""	"0"	""	"-398"	"0"
"307"	"188"	""	"199"	""	"9"	""	"12"	"272"	"2"	"4"	""	"1"	""	"2"	"1"	"2"	""	"3"	""	"0"	"-507"	""	""	"0"	""	"-507"	"0"
"308"	"189"	""	"357"	""	"3"	""	"0"	"64"	"1"	"13"	""	"0"	""	"1"	"16"	"2"	""	"1"	""	"2"	"-460"	""	""	"0"	""	"-460"	"0"
"309"	"190"	""	"250"	""	"16"	""	"12"	"133"	"3"	"5"	""	"1"	""	"3"	"3"	"6"	""	"5"	""	"8"	"-445"	""	""	"0"	""	"-445"	"0"
"310"	"191"	""	"2"	""	"0"	""	"0"	"174"	"0"	"3"	""	"0"	""	"0"	"0"	"1"	""	"1"	""	"0"	"-181"	""	""	"0"	""	"-181"	"0"
"311"	"192"	""	"48"	""	"0"	""	"1"	"208"	"1"	"2"	""	"0"	""	"0"	"6"	"0"	""	"0"	""	"0"	"-266"	""	""	"0"	""	"-266"	"0"
"312"	"193"	""	"254"	""	"7"	""	"5"	"218"	"43"	"10"	""	"2"	""	"2"	"5"	"5"	""	"7"	""	"10"	"-568"	""	""	"0"	""	"-568"	"0"
"313"	"194"	""	"214"	""	"7"	""	"7"	"134"	"123"	"6"	""	"4"	""	"11"	"4"	"7"	""	"4"	""	"13"	"-534"	""	""	"0"	""	"-534"	"0"
"314"	"195"	""	"275"	""	"5"	""	"2"	"13"	"7"	"0"	""	"0"	""	"0"	"0"	"0"	""	"1"	""	"0"	"-303"	""	""	"0"	""	"-303"	"0"
"315"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"324"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"325"	"196"	""	"254"	""	"2"	""	"5"	"164"	"68"	"2"	""	"1"	""	"5"	"2"	"0"	""	"2"	""	"1"	"-506"	""	""	"0"	""	"-506"	"0"
"326"	"197"	""	"128"	""	"183"	""	"4"	"137"	"3"	"2"	""	"2"	""	"2"	"26"	"1"	""	"0"	""	"6"	"-494"	""	""	"0"	""	"-494"	"0"
"327"	"198"	""	"196"	""	"13"	""	"8"	"266"	"7"	"0"	""	"0"	""	"1"	"3"	"1"	""	"0"	""	"0"	"-495"	""	""	"0"	""	"-495"	"0"
"328"	"199"	""	"678"	""	"4"	""	"21"	"229"	"24"	"3"	""	"5"	""	"4"	"9"	"4"	""	"6"	""	"14"	"-1001"	""	""	"0"	""	"-1001"	"0"
"329"	"200"	""	"319"	""	"7"	""	"6"	"35"	"22"	"3"	""	"2"	""	"0"	"1"	"4"	""	"7"	""	"13"	"-419"	""	""	"0"	""	"-419"	"0"
"330"	"201"	""	"125"	""	"16"	""	"4"	"33"	"7"	"3"	""	"0"	""	"0"	"3"	"2"	""	"2"	""	"6"	"-201"	""	""	"0"	""	"-201"	"0"
"331"	"202"	""	"97"	""	"0"	""	"1"	"201"	"4"	"0"	""	"0"	""	"0"	"11"	"1"	""	"0"	""	"1"	"-316"	""	""	"0"	""	"-316"	"0"
"332"	"203"	""	"104"	""	"5"	""	"5"	"143"	"12"	"2"	""	"2"	""	"2"	"4"	"6"	""	"8"	""	"29"	"-322"	""	""	"0"	""	"-322"	"0"
"333"	"204"	""	"288"	""	"6"	""	"2"	"132"	"9"	"4"	""	"4"	""	"1"	"4"	"4"	""	"2"	""	"7"	"-463"	""	""	"0"	""	"-463"	"0"
"334"	"205"	""	"367"	""	"0"	""	"6"	"7"	"2"	"0"	""	"0"	""	"0"	"4"	"0"	""	"0"	""	"0"	"-386"	""	""	"0"	""	"-386"	"0"
"335"	"206"	""	"217"	""	"18"	""	"9"	"62"	"8"	"3"	""	"8"	""	"4"	"14"	"8"	""	"11"	""	"49"	"-411"	""	""	"0"	""	"-411"	"0"
"336"	"207"	""	"304"	""	"21"	""	"26"	"38"	"4"	"4"	""	"1"	""	"2"	"23"	"0"	""	"2"	""	"2"	"-427"	""	""	"0"	""	"-427"	"0"
"337"	"208"	""	"239"	""	"13"	""	"3"	"35"	"33"	"3"	""	"3"	""	"4"	"3"	"5"	""	"6"	""	"25"	"-372"	""	""	"0"	""	"-372"	"0"
"338"	"209"	""	"650"	""	"9"	""	"5"	"143"	"6"	"0"	""	"2"	""	"0"	"1"	"5"	""	"3"	""	"9"	"-833"	""	""	"0"	""	"-833"	"0"
"339"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"348"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"349"	"210"	""	"306"	""	"4"	""	"1"	"268"	"0"	"0"	""	"0"	""	"1"	"0"	"0"	""	"1"	""	"0"	"-581"	""	""	"0"	""	"-581"	"0"
"350"	"211"	""	"355"	""	"30"	""	"9"	"209"	"24"	"3"	""	"4"	""	"5"	"4"	"5"	""	"8"	""	"15"	"-671"	""	""	"0"	""	"-671"	"0"
"351"	"212"	""	"356"	""	"1"	""	"0"	"44"	"0"	"0"	""	"0"	""	"0"	"12"	"0"	""	"1"	""	"3"	"-417"	""	""	"0"	""	"-417"	"0"
"352"	"213"	""	"141"	""	"11"	""	"3"	"404"	"4"	"0"	""	"0"	""	"1"	"0"	"1"	""	"0"	""	"3"	"-568"	""	""	"0"	""	"-568"	"0"
"353"	"214"	""	"167"	""	"46"	""	"19"	"245"	"2"	"3"	""	"0"	""	"2"	"4"	"3"	""	"9"	""	"2"	"-502"	""	""	"0"	""	"-502"	"0"
"354"	"215"	""	"186"	""	"4"	""	"12"	"80"	"6"	"9"	""	"1"	""	"0"	"0"	"1"	""	"4"	""	"8"	"-311"	""	""	"0"	""	"-311"	"0"
"355"	"216"	""	"7"	""	"1"	""	"1"	"194"	"2"	"0"	""	"1"	""	"0"	"4"	"1"	""	"1"	""	"3"	"-215"	""	""	"0"	""	"-215"	"0"
"356"	"217"	""	"3"	""	"0"	""	"0"	"502"	"2"	"12"	""	"0"	""	"0"	"0"	"2"	""	"0"	""	"0"	"-521"	""	""	"0"	""	"-521"	"0"
"357"	"218"	""	"29"	""	"0"	""	"4"	"731"	"0"	"0"	""	"0"	""	"0"	"1"	"0"	""	"0"	""	"0"	"-765"	""	""	"0"	""	"-765"	"0"
"358"	"219"	""	"20"	""	"0"	""	"1"	"181"	"4"	"0"	""	"0"	""	"1"	"1"	"5"	""	"8"	""	"7"	"-228"	""	""	"0"	""	"-228"	"0"
"359"	"220"	""	"79"	""	"2"	""	"22"	"231"	"2"	"1"	""	"0"	""	"4"	"4"	"5"	""	"4"	""	"12"	"-366"	""	""	"0"	""	"-366"	"0"
"360"	"221"	""	"196"	""	"20"	""	"23"	"92"	"0"	"4"	""	"0"	""	"9"	"2"	"6"	""	"5"	""	"6"	"-363"	""	""	"0"	""	"-363"	"0"
"361"	"222"	""	"231"	""	"20"	""	"28"	"276"	"12"	"6"	""	"6"	""	"4"	"11"	"17"	""	"19"	""	"25"	"-655"	""	""	"0"	""	"-655"	"0"
"362"	"223"	""	"133"	""	"7"	""	"5"	"301"	"10"	"3"	""	"3"	""	"9"	"9"	"6"	""	"3"	""	"12"	"-501"	""	""	"0"	""	"-501"	"0"
"363"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"372"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"373"	"224"	""	"385"	""	"2"	""	"4"	"50"	"3"	"3"	""	"2"	""	"1"	"23"	"1"	""	"2"	""	"4"	"-480"	""	""	"0"	""	"-480"	"0"
"374"	"225"	""	"29"	""	"0"	""	"12"	"295"	"0"	"3"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-339"	""	""	"0"	""	"-339"	"0"
"375"	"226"	""	"267"	""	"9"	""	"7"	"50"	"7"	"3"	""	"0"	""	"5"	"7"	"2"	""	"2"	""	"24"	"-383"	""	""	"0"	""	"-383"	"0"
"376"	"227"	""	"56"	""	"2"	""	"0"	"227"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"2"	"-287"	""	""	"0"	""	"-287"	"0"
"377"	"228"	""	"0"	""	"0"	""	"1"	"305"	"1"	"2"	""	"0"	""	"0"	"0"	"1"	""	"0"	""	"0"	"-310"	""	""	"0"	""	"-310"	"0"
"378"	"229"	""	"0"	""	"0"	""	"0"	"549"	"0"	"0"	""	"0"	""	"0"	"0"	"1"	""	"0"	""	"0"	"-550"	""	""	"0"	""	"-550"	"0"
"379"	"230"	""	"311"	""	"9"	""	"16"	"168"	"9"	"5"	""	"1"	""	"1"	"1"	"7"	""	"4"	""	"12"	"-544"	""	""	"0"	""	"-544"	"0"
"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-96010"	""
"381"	"39474"	"1949"	""	"1872"	""	"44046"	""	"2472"	"707"	""	"203"	""	"325"	"1846"	"889"	"947"	"1280"	""	"-96010"	""	""	""	""	""	""	""	""
"382"	"5"	"0"	""	"3"	""	"4"	""	"0"	"1"	""	"0"	""	"0"	"0"	"0"	"0"	"0"	""	"-13"	""	""	"-11"	"-24"	""	""	""	""
"383"	"       Total       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"Postal Ballot Paper"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"-96034"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Grand Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"39479           1949            1875             44050            2472               708                 203                325              1846              889               947            1280             96023               11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
