"izFke.pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"1"	"fuokZpuksa dk lapkyu fu;e] 1961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"izi= &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼fu;e 56 ¼7½ nsf[k;s ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vafre &ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼ fu;e 59, ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, iz;ksx fd;s tkus gsrq½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"24 & xksikyxat fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dsUnz la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh l[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""	""
"8"	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
"250"	"185"	""	"72"	""	"244"	""	"8"	""	"5"	""	"23"	""	"170"	""	"5"	""	"115"	""	"10"	""	"17"	""	"669"	""	""	""	""	""	"669"	""	""	""
"251"	"186"	""	"10"	""	"336"	""	"7"	""	"3"	""	"3"	""	"33"	""	"1"	""	"23"	""	"2"	""	"5"	""	"423"	""	""	""	""	""	"423"	""	""	""
"252"	"187"	""	"60"	""	"278"	""	"3"	""	"2"	""	"2"	""	"26"	""	"3"	""	"56"	""	"6"	""	"11"	""	"447"	""	""	""	""	""	"447"	""	""	""
"253"	"188"	""	"16"	""	"6"	""	"2"	""	"4"	""	"15"	""	"205"	""	"4"	""	"75"	""	"3"	""	"9"	""	"339"	""	""	""	""	""	"339"	""	""	""
"254"	"189"	""	"23"	""	"197"	""	"4"	""	"2"	""	"6"	""	"37"	""	"2"	""	"64"	""	"9"	""	"10"	""	"354"	""	""	""	""	""	"354"	""	""	""
"255"	"190"	""	"22"	""	"221"	""	"5"	""	"5"	""	"7"	""	"85"	""	"2"	""	"37"	""	"7"	""	"10"	""	"401"	""	""	""	""	""	"401"	""	""	""
"256"	"191"	""	"33"	""	"54"	""	"20"	""	"4"	""	"26"	""	"333"	""	"7"	""	"84"	""	"8"	""	"18"	""	"587"	""	""	""	""	""	"587"	""	""	""
"257"	"192"	""	"22"	""	"27"	""	"14"	""	"7"	""	"7"	""	"64"	""	"4"	""	"143"	""	"6"	""	"15"	""	"309"	""	""	""	""	""	"309"	""	""	""
"258"	"193"	""	"16"	""	"18"	""	"20"	""	"5"	""	"15"	""	"264"	""	"7"	""	"153"	""	"1"	""	"6"	""	"505"	""	""	""	""	""	"505"	""	""	""
"259"	"194"	""	"37"	""	"97"	""	"25"	""	"19"	""	"17"	""	"107"	""	"11"	""	"239"	""	"16"	""	"22"	""	"590"	""	""	""	""	""	"590"	""	""	""
"260"	"195"	""	"38"	""	"96"	""	"38"	""	"3"	""	"18"	""	"243"	""	"9"	""	"247"	""	"13"	""	"15"	""	"720"	""	""	""	""	""	"720"	""	""	""
"261"	"196"	""	"33"	""	"100"	""	"11"	""	"65"	""	"14"	""	"99"	""	"6"	""	"164"	""	"10"	""	"13"	""	"515"	""	""	""	""	""	"515"	""	""	""
"262"	";ksx"	""	"433"	""	"1928"	""	"187"	""	"138"	""	"180"	""	"1882"	""	"79"	""	"1512"	""	"102"	""	"168"	""	"6609"	""	"0"	""	""	""	"6609"	""	""	""
"263"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"264"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"265"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"266"	"197"	""	"48"	""	"53"	""	"111"	""	"5"	""	"16"	""	"182"	""	"7"	""	"110"	""	"13"	""	"29"	""	"574"	""	""	""	""	""	"574"	""	""	""
"267"	"198"	""	"19"	""	"57"	""	"36"	""	"6"	""	"10"	""	"189"	""	"4"	""	"57"	""	"5"	""	"19"	""	"402"	""	""	""	""	""	"402"	""	""	""
"268"	"199"	""	"19"	""	"121"	""	"27"	""	"7"	""	"10"	""	"41"	""	"10"	""	"204"	""	"23"	""	"14"	""	"476"	""	""	""	""	""	"476"	""	""	""
"269"	"200"	""	"20"	""	"173"	""	"14"	""	"4"	""	"8"	""	"51"	""	"4"	""	"28"	""	"4"	""	"2"	""	"308"	""	""	""	""	""	"308"	""	""	""
"270"	"201"	""	"23"	""	"94"	""	"31"	""	"4"	""	"11"	""	"96"	""	"5"	""	"131"	""	"7"	""	"8"	""	"410"	""	""	""	""	""	"410"	""	""	""
"271"	"202"	""	"18"	""	"146"	""	"11"	""	"4"	""	"18"	""	"180"	""	"7"	""	"61"	""	"3"	""	"5"	""	"453"	""	""	""	""	""	"453"	""	""	""
"272"	"203"	""	"28"	""	"63"	""	"27"	""	"3"	""	"5"	""	"172"	""	"3"	""	"92"	""	"5"	""	"6"	""	"404"	""	""	""	""	""	"404"	""	""	""
"273"	"204"	""	"55"	""	"82"	""	"13"	""	"1"	""	"11"	""	"112"	""	"6"	""	"98"	""	"12"	""	"25"	""	"415"	""	""	""	""	""	"415"	""	""	""
"274"	"205"	""	"24"	""	"59"	""	"92"	""	"2"	""	"13"	""	"64"	""	"6"	""	"119"	""	"11"	""	"15"	""	"405"	""	""	""	""	""	"405"	""	""	""
"275"	"206"	""	"15"	""	"28"	""	"11"	""	"4"	""	"14"	""	"73"	""	"5"	""	"40"	""	"1"	""	"2"	""	"193"	""	""	""	""	""	"193"	""	""	""
"276"	"207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"277"	"208"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"278"	"209"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"279"	"210"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"280"	";ksx"	""	"269"	""	"876"	""	"373"	""	"40"	""	"116"	""	"1160"	""	"57"	""	"940"	""	"84"	""	"125"	""	"4040"	""	"0"	""	""	""	"4040"	""	""	""
"281"	"ernku  dsUnzksa ij  vfHkfyf[kr erksa  dh  dqy la[;k  %&  95680"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Mkd erksa  ij  vfHkfyf[kr erksa  dh   dqy la[;k  %&  'kwU;"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"Mkys x;s  dqy er  %&  95680"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"lgk;d fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
