"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	"izfr{ksfir
erksa  dk la[;k"	""	""	""	";ksx"	""	""	""	""
"191"	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	"jke  ujs'k
jke"	""	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"193"	"141"	"78"	""	""	"24"	""	""	"9"	""	""	"9"	""	""	""	"10"	""	"41"	""	""	"9"	""	""	"332"	""	""	""	"54"	""	"7"	""	""	"4"	""	""	"20"	""	"597"	""	""	""	""	""	"597"	""	""	""	""
"194"	"142"	"241"	""	""	"21"	""	""	"10"	""	""	"3"	""	""	""	"15"	""	"11"	""	""	"1"	""	""	"71"	""	""	""	"21"	""	"6"	""	""	"2"	""	""	"30"	""	"432"	""	""	""	""	""	"432"	""	""	""	""
"195"	"143"	"193"	""	""	"10"	""	""	"2"	""	""	"5"	""	""	""	"14"	""	"158"	""	""	"6"	""	""	"33"	""	""	""	"10"	""	"2"	""	""	"1"	""	""	"7"	""	"441"	""	""	""	""	""	"441"	""	""	""	""
"196"	"144"	"29"	""	""	"15"	""	""	"8"	""	""	"10"	""	""	""	"6"	""	"82"	""	""	"16"	""	""	"146"	""	""	""	"24"	""	"12"	""	""	"11"	""	""	"32"	""	"391"	""	""	""	""	""	"391"	""	""	""	""
"197"	"145"	"46"	""	""	"14"	""	""	"8"	""	""	"4"	""	""	""	"11"	""	"84"	""	""	"8"	""	""	"135"	""	""	""	"36"	""	"10"	""	""	"1"	""	""	"28"	""	"385"	""	""	""	""	""	"385"	""	""	""	""
"198"	"146"	"31"	""	""	"14"	""	""	"5"	""	""	"3"	""	""	""	"1"	""	"23"	""	""	"6"	""	""	"144"	""	""	""	"19"	""	"4"	""	""	"2"	""	""	"5"	""	"257"	""	""	""	""	""	"257"	""	""	""	""
"199"	"147"	"61"	""	""	"13"	""	""	"0"	""	""	"1"	""	""	""	"2"	""	"29"	""	""	"2"	""	""	"393"	""	""	""	"16"	""	"3"	""	""	"3"	""	""	"8"	""	"531"	""	""	""	""	""	"531"	""	""	""	""
"200"	"148"	"103"	""	""	"25"	""	""	"15"	""	""	"5"	""	""	""	"11"	""	"82"	""	""	"11"	""	""	"180"	""	""	""	"33"	""	"6"	""	""	"6"	""	""	"17"	""	"494"	""	""	""	""	""	"494"	""	""	""	""
"201"	"149"	"58"	""	""	"6"	""	""	"21"	""	""	"2"	""	""	""	"2"	""	"228"	""	""	"18"	""	""	"47"	""	""	""	"5"	""	"4"	""	""	"5"	""	""	"14"	""	"410"	""	""	""	""	""	"410"	""	""	""	""
"202"	"150"	"193"	""	""	"17"	""	""	"18"	""	""	"6"	""	""	""	"12"	""	"35"	""	""	"3"	""	""	"160"	""	""	""	"46"	""	"6"	""	""	"7"	""	""	"11"	""	"514"	""	""	""	""	""	"514"	""	""	""	""
"203"	"151"	"145"	""	""	"16"	""	""	"28"	""	""	"5"	""	""	""	"11"	""	"82"	""	""	"8"	""	""	"131"	""	""	""	"58"	""	"14"	""	""	"13"	""	""	"47"	""	"558"	""	""	""	""	""	"558"	""	""	""	""
"204"	"152"	"33"	""	""	"24"	""	""	"13"	""	""	"2"	""	""	""	"4"	""	"48"	""	""	"7"	""	""	"67"	""	""	""	"25"	""	"5"	""	""	"10"	""	""	"25"	""	"263"	""	""	""	""	""	"263"	""	""	""	""
"205"	"153"	"29"	""	""	"3"	""	""	"10"	""	""	"5"	""	""	""	"8"	""	"73"	""	""	"4"	""	""	"125"	""	""	""	"34"	""	"7"	""	""	"6"	""	""	"27"	""	"331"	""	""	""	""	""	"331"	""	""	""	""
"206"	"154"	"201"	""	""	"5"	""	""	"30"	""	""	"5"	""	""	""	"7"	""	"20"	""	""	"2"	""	""	"108"	""	""	""	"31"	""	"2"	""	""	"3"	""	""	"4"	""	"418"	""	""	""	""	""	"418"	""	""	""	""
"207"	";ksx"	"1441"	""	""	"207"	""	""	"177"	""	""	"65"	""	""	""	"114"	""	"996"	""	""	"101"	""	""	"2072"	""	""	""	"412"	""	"88"	""	""	"74"	""	""	"275"	""	"6022"	""	""	"0"	""	""	"6022"	""	""	""	""
"208"	"ckjgokWa pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"ernku
dsUnzks dh la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"iz{ksfir
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""
"210"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	""	"16"	""	""	""
"212"	"155"	""	"219"	""	""	"10"	""	"21"	""	""	"3"	""	""	""	"7"	""	""	"37"	""	"9"	""	""	"102"	""	""	""	"16"	""	"7"	""	""	"5"	""	""	"37"	""	"473"	""	""	""	""	""	""	"473"	""	""	""
"213"	"156"	""	"330"	""	""	"13"	""	"8"	""	""	"7"	""	""	""	"32"	""	""	"1"	""	"3"	""	""	"95"	""	""	""	"33"	""	"1"	""	""	"2"	""	""	"4"	""	"529"	""	""	""	""	""	""	"529"	""	""	""
"214"	"157"	""	"137"	""	""	"10"	""	"30"	""	""	"3"	""	""	""	"47"	""	""	"6"	""	"5"	""	""	"161"	""	""	""	"11"	""	"1"	""	""	"2"	""	""	"11"	""	"424"	""	""	""	""	""	""	"424"	""	""	""
"215"	"158"	""	"293"	""	""	"24"	""	"13"	""	""	"6"	""	""	""	"49"	""	""	"8"	""	"5"	""	""	"86"	""	""	""	"34"	""	"0"	""	""	"1"	""	""	"10"	""	"529"	""	""	""	""	""	""	"529"	""	""	""
"216"	"159"	""	"51"	""	""	"48"	""	"26"	""	""	"11"	""	""	""	"11"	""	""	"259"	""	"12"	""	""	"53"	""	""	""	"9"	""	"7"	""	""	"2"	""	""	"15"	""	"504"	""	""	""	""	""	""	"504"	""	""	""
"217"	"160"	""	"152"	""	""	"19"	""	"6"	""	""	"12"	""	""	""	"10"	""	""	"130"	""	"13"	""	""	"65"	""	""	""	"37"	""	"9"	""	""	"8"	""	""	"30"	""	"491"	""	""	""	""	""	""	"491"	""	""	""
"218"	"161"	""	"95"	""	""	"46"	""	"18"	""	""	"12"	""	""	""	"16"	""	""	"413"	""	"16"	""	""	"39"	""	""	""	"15"	""	"10"	""	""	"9"	""	""	"13"	""	"702"	""	""	""	""	""	""	"702"	""	""	""
"219"	"162"	""	"100"	""	""	"159"	""	"10"	""	""	"4"	""	""	""	"3"	""	""	"22"	""	"4"	""	""	"32"	""	""	""	"10"	""	"5"	""	""	"5"	""	""	"19"	""	"373"	""	""	""	""	""	""	"373"	""	""	""
"220"	"163"	""	"95"	""	""	"176"	""	"1"	""	""	"4"	""	""	""	"2"	""	""	"30"	""	"3"	""	""	"22"	""	""	""	"6"	""	"7"	""	""	"4"	""	""	"11"	""	"361"	""	""	""	""	""	""	"361"	""	""	""
"221"	"164"	""	"210"	""	""	"32"	""	"18"	""	""	"4"	""	""	""	"2"	""	""	"76"	""	"9"	""	""	"14"	""	""	""	"2"	""	"7"	""	""	"6"	""	""	"16"	""	"396"	""	""	""	""	""	""	"396"	""	""	""
"222"	"165"	""	"43"	""	""	"127"	""	"21"	""	""	"5"	""	""	""	"11"	""	""	"53"	""	"6"	""	""	"63"	""	""	""	"14"	""	"3"	""	""	"9"	""	""	"32"	""	"387"	""	""	""	""	""	""	"387"	""	""	""
"223"	"166"	""	"100"	""	""	"273"	""	"9"	""	""	"1"	""	""	""	"15"	""	""	"94"	""	"6"	""	""	"23"	""	""	""	"7"	""	"8"	""	""	"6"	""	""	"16"	""	"558"	""	""	""	""	""	""	"558"	""	""	""
"224"	"167"	""	"142"	""	""	"30"	""	"22"	""	""	"5"	""	""	""	"4"	""	""	"2"	""	"3"	""	""	"129"	""	""	""	"42"	""	"1"	""	""	"26"	""	""	"8"	""	"414"	""	""	""	""	""	""	"414"	""	""	""
"225"	"168"	""	"82"	""	""	"56"	""	"216"	""	""	"11"	""	""	""	"17"	""	""	"23"	""	"7"	""	""	"71"	""	""	""	"26"	""	"16"	""	""	"12"	""	""	"16"	""	"553"	""	""	""	""	""	""	"553"	""	""	""
"226"	";ksx"	""	"2049"	""	""	"1023"	""	"419"	""	""	"88"	""	""	""	"226"	""	""	"1154"	""	"101"	""	""	"955"	""	""	""	"262"	""	"82"	""	""	"97"	""	""	"238"	""	"6694"	""	""	"0"	""	""	""	"6694"	""	""	""
"227"	"ernku
dsUnzksa dh la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""	""
"228"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	"vuhy
dqekj cSBk"	""	""	"fnfXot;
dqekj"	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""
"230"	"168 ¼d½"	""	"27"	""	""	"34"	""	""	"31"	""	""	"3"	""	""	"2"	""	""	"9"	""	""	"1"	""	""	"33"	""	""	"13"	""	""	"9"	""	"3"	""	""	"4"	""	""	"169"	""	""	""	""	""	"169"	""	""	""
"231"	"169"	""	"66"	""	""	"23"	""	""	"56"	""	""	"7"	""	""	"6"	""	""	"64"	""	""	"6"	""	""	"175"	""	""	"24"	""	""	"8"	""	"7"	""	""	"29"	""	""	"471"	""	""	""	""	""	"471"	""	""	""
"232"	"170"	""	"95"	""	""	"56"	""	""	"9"	""	""	"2"	""	""	"11"	""	""	"2"	""	""	"1"	""	""	"81"	""	""	"28"	""	""	"4"	""	"14"	""	""	"9"	""	""	"312"	""	""	""	""	""	"312"	""	""	""
"233"	"171"	""	"178"	""	""	"76"	""	""	"5"	""	""	"0"	""	""	"20"	""	""	"4"	""	""	"0"	""	""	"195"	""	""	"22"	""	""	"4"	""	"7"	""	""	"8"	""	""	"519"	""	""	""	""	""	"519"	""	""	""
"234"	"172"	""	"192"	""	""	"26"	""	""	"7"	""	""	"7"	""	""	"15"	""	""	"18"	""	""	"3"	""	""	"61"	""	""	"20"	""	""	"6"	""	"7"	""	""	"16"	""	""	"378"	""	""	""	""	""	"378"	""	""	""
"235"	"173"	""	"92"	""	""	"56"	""	""	"36"	""	""	"4"	""	""	"9"	""	""	"6"	""	""	"6"	""	""	"132"	""	""	"28"	""	""	"5"	""	"5"	""	""	"26"	""	""	"405"	""	""	""	""	""	"405"	""	""	""
"236"	"174"	""	"166"	""	""	"29"	""	""	"17"	""	""	"6"	""	""	"12"	""	""	"2"	""	""	"5"	""	""	"184"	""	""	"47"	""	""	"4"	""	"7"	""	""	"14"	""	""	"493"	""	""	""	""	""	"493"	""	""	""
"237"	"175"	""	"92"	""	""	"33"	""	""	"83"	""	""	"17"	""	""	"32"	""	""	"15"	""	""	"4"	""	""	"167"	""	""	"27"	""	""	"12"	""	"15"	""	""	"33"	""	""	"530"	""	""	""	""	""	"530"	""	""	""
"238"	"176"	""	"267"	""	""	"54"	""	""	"9"	""	""	"10"	""	""	"7"	""	""	"4"	""	""	"6"	""	""	"260"	""	""	"32"	""	""	"5"	""	"9"	""	""	"21"	""	""	"684"	""	""	""	""	""	"684"	""	""	""
"239"	"177"	""	"37"	""	""	"92"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"28"	""	""	"8"	""	""	"4"	""	"17"	""	""	"3"	""	""	"196"	""	""	""	""	""	"196"	""	""	""
"240"	"178"	""	"147"	""	""	"192"	""	""	"14"	""	""	"5"	""	""	"9"	""	""	"46"	""	""	"5"	""	""	"53"	""	""	"14"	""	""	"10"	""	"67"	""	""	"15"	""	""	"577"	""	""	""	""	""	"577"	""	""	""
"241"	"179"	""	"91"	""	""	"76"	""	""	"13"	""	""	"3"	""	""	"5"	""	""	"149"	""	""	"6"	""	""	"15"	""	""	"10"	""	""	"8"	""	"19"	""	""	"17"	""	""	"412"	""	""	""	""	""	"412"	""	""	""
"242"	"180"	""	"140"	""	""	"71"	""	""	"6"	""	""	"6"	""	""	"15"	""	""	"15"	""	""	"4"	""	""	"84"	""	""	"21"	""	""	"4"	""	"1"	""	""	"18"	""	""	"385"	""	""	""	""	""	"385"	""	""	""
"243"	"181"	""	"110"	""	""	"42"	""	""	"4"	""	""	"2"	""	""	"7"	""	""	"10"	""	""	"2"	""	""	"108"	""	""	"27"	""	""	"1"	""	"11"	""	""	"9"	""	""	"333"	""	""	""	""	""	"333"	""	""	""
"244"	";ksx"	""	"1700"	""	""	"860"	""	""	"292"	""	""	"73"	""	""	"151"	""	""	"345"	""	""	"51"	""	""	"1576"	""	""	"321"	""	""	"84"	""	"189"	""	""	"222"	""	""	"5864"	""	""	"0"	""	""	"5864"	""	""	""
"245"	"ernku
dsUnzks dh la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""	""	""
"246"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"248"	"182"	""	"125"	""	""	"79"	""	"37"	""	""	"6"	""	""	""	"6"	""	""	"30"	""	"11"	""	""	"81"	""	""	""	"26"	""	"10"	""	""	"70"	""	""	"29"	""	"510"	""	""	""	""	""	"510"	""	""	""	""
"249"	"183"	""	"79"	""	""	"9"	""	"32"	""	""	"3"	""	""	""	"1"	""	""	"27"	""	"2"	""	""	"300"	""	""	""	"16"	""	"2"	""	""	"5"	""	""	"5"	""	"481"	""	""	""	""	""	"481"	""	""	""	""
"250"	"184"	""	"231"	""	""	"33"	""	"54"	""	""	"7"	""	""	""	"1"	""	""	"2"	""	"1"	""	""	"58"	""	""	""	"15"	""	"3"	""	""	"4"	""	""	"2"	""	"411"	""	""	""	""	""	"411"	""	""	""	""
"251"	"185"	""	"79"	""	""	"32"	""	"13"	""	""	"1"	""	""	""	"2"	""	""	"9"	""	"6"	""	""	"64"	""	""	""	"24"	""	"20"	""	""	"92"	""	""	"12"	""	"354"	""	""	""	""	""	"354"	""	""	""	""
"252"	"186"	""	"108"	""	""	"21"	""	"8"	""	""	"6"	""	""	""	"68"	""	""	"172"	""	"12"	""	""	"84"	""	""	""	"23"	""	"7"	""	""	"8"	""	""	"12"	""	"529"	""	""	""	""	""	"529"	""	""	""	""
"253"	"187"	""	"191"	""	""	"45"	""	"23"	""	""	"6"	""	""	""	"10"	""	""	"53"	""	"8"	""	""	"65"	""	""	""	"21"	""	"5"	""	""	"4"	""	""	"13"	""	"444"	""	""	""	""	""	"444"	""	""	""	""
"254"	"188"	""	"134"	""	""	"43"	""	"8"	""	""	"4"	""	""	""	"5"	""	""	"107"	""	"8"	""	""	"88"	""	""	""	"24"	""	"14"	""	""	"6"	""	""	"14"	""	"455"	""	""	""	""	""	"455"	""	""	""	""
"255"	"189"	""	"38"	""	""	"12"	""	"10"	""	""	"3"	""	""	""	"21"	""	""	"88"	""	"3"	""	""	"117"	""	""	""	"41"	""	"13"	""	""	"5"	""	""	"19"	""	"370"	""	""	""	""	""	"370"	""	""	""	""
"256"	"190"	""	"116"	""	""	"109"	""	"13"	""	""	"5"	""	""	""	"7"	""	""	"46"	""	"6"	""	""	"156"	""	""	""	"24"	""	"17"	""	""	"88"	""	""	"5"	""	"592"	""	""	""	""	""	"592"	""	""	""	""
"257"	"191"	""	"13"	""	""	"35"	""	"11"	""	""	"0"	""	""	""	"3"	""	""	"57"	""	"7"	""	""	"103"	""	""	""	"19"	""	"118"	""	""	"38"	""	""	"14"	""	"418"	""	""	""	""	""	"418"	""	""	""	""
"258"	"192"	""	"54"	""	""	"30"	""	"9"	""	""	"5"	""	""	""	"6"	""	""	"77"	""	"19"	""	""	"133"	""	""	""	"24"	""	"19"	""	""	"60"	""	""	"31"	""	"467"	""	""	""	""	""	"467"	""	""	""	""
"259"	"193"	""	"138"	""	""	"64"	""	"23"	""	""	"7"	""	""	""	"9"	""	""	"67"	""	"7"	""	""	"47"	""	""	""	"22"	""	"13"	""	""	"119"	""	""	"15"	""	"531"	""	""	""	""	""	"531"	""	""	""	""
"260"	"194"	""	"70"	""	""	"5"	""	"25"	""	""	"4"	""	""	""	"9"	""	""	"178"	""	"12"	""	""	"125"	""	""	""	"12"	""	"6"	""	""	"3"	""	""	"15"	""	"464"	""	""	""	""	""	"464"	""	""	""	""
"261"	"195"	""	"151"	""	""	"28"	""	"13"	""	""	"15"	""	""	""	"7"	""	""	"108"	""	"11"	""	""	"109"	""	""	""	"19"	""	"15"	""	""	"20"	""	""	"36"	""	"532"	""	""	""	""	""	"532"	""	""	""	""
"262"	";ksx"	""	"1527"	""	""	"545"	""	"279"	""	""	"72"	""	""	""	"155"	""	""	"1021"	""	"113"	""	""	"1530"	""	""	""	"310"	""	"262"	""	""	"522"	""	""	"222"	""	"6558"	""	""	"0"	""	""	"6558"	""	""	""	""
"263"	"ernku
dsUnzks dh la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	""	";ksx"	""	""
"264"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	"vuhy
dqekj cSBk"	""	""	"fnfXot;
dqekj"	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	"16"	""	""
"266"	"196"	""	"64"	""	""	"43"	""	""	"12"	""	""	"2"	""	""	"6"	""	""	"52"	""	""	"9"	""	""	"58"	""	""	"27"	""	""	"50"	""	"8"	""	""	"27"	""	""	"358"	""	""	""	""	""	""	"358"	""	""
"267"	"197"	""	"75"	""	""	"115"	""	""	"18"	""	""	"4"	""	""	"14"	""	""	"127"	""	""	"12"	""	""	"23"	""	""	"8"	""	""	"6"	""	"5"	""	""	"14"	""	""	"421"	""	""	""	""	""	""	"421"	""	""
"268"	"198"	""	"79"	""	""	"161"	""	""	"25"	""	""	"3"	""	""	"3"	""	""	"43"	""	""	"2"	""	""	"38"	""	""	"14"	""	""	"7"	""	"3"	""	""	"10"	""	""	"388"	""	""	""	""	""	""	"388"	""	""
"269"	"199"	""	"43"	""	""	"69"	""	""	"5"	""	""	"3"	""	""	"3"	""	""	"138"	""	""	"6"	""	""	"26"	""	""	"10"	""	""	"10"	""	"10"	""	""	"15"	""	""	"338"	""	""	""	""	""	""	"338"	""	""
"270"	"200"	""	"107"	""	""	"7"	""	""	"3"	""	""	"2"	""	""	"4"	""	""	"34"	""	""	"118"	""	""	"47"	""	""	"11"	""	""	"11"	""	"4"	""	""	"30"	""	""	"378"	""	""	""	""	""	""	"378"	""	""
"271"	"201"	""	"143"	""	""	"61"	""	""	"44"	""	""	"1"	""	""	"3"	""	""	"6"	""	""	"1"	""	""	"27"	""	""	"4"	""	""	"15"	""	"20"	""	""	"1"	""	""	"326"	""	""	""	""	""	""	"326"	""	""
"272"	"202"	""	"99"	""	""	"116"	""	""	"36"	""	""	"5"	""	""	"3"	""	""	"85"	""	""	"6"	""	""	"29"	""	""	"14"	""	""	"9"	""	"3"	""	""	"15"	""	""	"420"	""	""	""	""	""	""	"420"	""	""
"273"	"203"	""	"99"	""	""	"49"	""	""	"7"	""	""	"2"	""	""	"7"	""	""	"5"	""	""	"7"	""	""	"180"	""	""	"16"	""	""	"3"	""	"3"	""	""	"11"	""	""	"389"	""	""	""	""	""	""	"389"	""	""
"274"	"204"	""	"79"	""	""	"156"	""	""	"21"	""	""	"4"	""	""	"0"	""	""	"19"	""	""	"5"	""	""	"11"	""	""	"5"	""	""	"10"	""	"23"	""	""	"20"	""	""	"353"	""	""	""	""	""	""	"353"	""	""
"275"	"205"	""	"86"	""	""	"20"	""	""	"5"	""	""	"3"	""	""	"5"	""	""	"3"	""	""	"1"	""	""	"90"	""	""	"20"	""	""	"3"	""	"21"	""	""	"9"	""	""	"266"	""	""	""	""	""	""	"266"	""	""
"276"	"206"	""	"140"	""	""	"62"	""	""	"48"	""	""	"3"	""	""	"4"	""	""	"9"	""	""	"2"	""	""	"46"	""	""	"9"	""	""	"2"	""	"7"	""	""	"9"	""	""	"341"	""	""	""	""	""	""	"341"	""	""
"277"	"207"	""	"371"	""	""	"3"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"0"	""	"9"	""	""	"0"	""	""	"385"	""	""	""	""	""	""	"385"	""	""
"278"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""
"279"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""
"280"	";ksx"	""	"1385"	""	""	"862"	""	""	"224"	""	""	"32"	""	""	"52"	""	""	"521"	""	""	"169"	""	""	"577"	""	""	"138"	""	""	"126"	""	"116"	""	""	"161"	""	""	"4363"	""	""	"0"	""	""	""	"4363"	""	""
"281"	"ernku  dsUnzksa ij  vfHkfyf[kr erksa  dh  dqy la[;k  %&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Mkd erksa  ij  vfHkfyf[kr erksa  dh   dqy la[;k  %&  'kwU;"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"Mkys x;s  dqy er  %&                                                                                                                                                                                            lgk;d  fuokZph  inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
