"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"
"105"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"1"	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"107"	"57"	"100"	""	""	"262"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	"31"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"462"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"58"	"53"	""	""	"235"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	""	"17"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"335"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"59"	"4"	""	""	"287"	""	""	""	""	"17"	""	""	""	""	"11"	""	""	""	""	""	"146"	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"22"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"521"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"521"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"60"	"576"	""	""	"34"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"661"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"661"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"61"	"3"	""	""	"261"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"118"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"395"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"62"	"153"	""	""	"57"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"18"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"11"	""	""	""	""	""	""	"81"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"28"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"375"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"63"	"353"	""	""	"44"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	""	"15"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"450"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"64"	"13"	""	""	"69"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"472"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"559"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"559"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"65"	"0"	""	""	"76"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	"204"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"294"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"294"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"66"	"146"	""	""	"221"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"167"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"59"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"601"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"67"	"183"	""	""	"30"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"161"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"68"	"1"	""	""	"98"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"975"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1088"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1088"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"69"	"124"	""	""	"107"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	"64"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"10"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"347"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"70"	"76"	""	""	"24"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"36"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"175"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total"	"1785"	""	""	"1805"	""	""	""	""	"65"	""	""	""	""	"28"	""	""	""	""	""	"2428"	""	""	""	""	""	"70"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"55"	""	""	""	""	""	""	"187"	""	""	""	""	""	""	"65"	""	""	""	""	""	""	"120"	""	""	""	""	""	"38"	""	""	""	""	""	""	""	"6665"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"123"	"of"	"AJAY PASWAN"	""	""	"JITAN  RAM MANJHI"	""	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"124"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"125"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"1"	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""
"127"	"71"	"191"	""	""	"42"	""	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	""	"32"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	"73"	""	""	""	""	""	""	""	"107"	""	""	""	""	""	"9"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"493"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"72"	"35"	""	""	"98"	""	""	""	""	"17"	""	""	""	""	"3"	""	""	""	""	""	"33"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"13"	""	""	""	""	""	"94"	""	""	""	""	""	""	""	"28"	""	""	""	""	""	"12"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"357"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"73"	"65"	""	""	"10"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"176"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"74"	"246"	""	""	"275"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"25"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"262"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"33"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"871"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"871"	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"75"	"107"	""	""	"26"	""	""	""	""	"14"	""	""	""	""	"0"	""	""	""	""	""	"91"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"26"	""	""	""	""	""	"8"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"312"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"76"	"264"	""	""	"9"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"110"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	"65"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"493"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"77"	"447"	""	""	"57"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"29"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"79"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"627"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"627"	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"78"	"46"	""	""	"17"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"61"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7"	""	""	""	""	""	"55"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"221"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"221"	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"79"	"204"	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"210"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"210"	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"80"	"316"	""	""	"38"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"213"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"581"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"81"	"115"	""	""	"33"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"228"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	"95"	""	""	""	""	""	""	""	"38"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"531"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"82"	"32"	""	""	"138"	""	""	""	""	"11"	""	""	""	""	"2"	""	""	""	""	""	"47"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"14"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"273"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"273"	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"83"	"159"	""	""	"465"	""	""	""	""	"12"	""	""	""	""	"1"	""	""	""	""	""	"23"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"40"	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"714"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"714"	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"84"	"600"	""	""	"127"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	"14"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"31"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"823"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"823"	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Total"	"2827"	""	""	"1336"	""	""	""	""	"84"	""	""	""	""	"20"	""	""	""	""	""	"1083"	""	""	""	""	""	""	"52"	""	""	""	""	""	""	"26"	""	""	""	""	""	""	"76"	""	""	""	""	""	"796"	""	""	""	""	""	""	""	"334"	""	""	""	""	""	"90"	""	""	""	""	""	""	"62"	""	""	""	""	""	""	""	"6786"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6786"	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Election to the Bihar Legislative Assembly from the 237-Fatehpur (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Round No. ……           7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"148"	"of"	"AJAY PASWAN"	""	""	"JITAN  RAM MANJHI"	""	""	""	""	"VIJAY PRASAD"	""	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"149"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"150"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"1"	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""
"152"	"85"	"61"	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"23"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"97"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"97"	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"86"	"42"	""	""	"374"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"165"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"604"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"604"	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"87"	"79"	""	""	"196"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"562"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"855"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"855"	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"88"	"201"	""	""	"245"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"457"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"89"	"15"	""	""	"468"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"124"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"631"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"631"	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"90"	"98"	""	""	"426"	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	"45"	""	""	""	""	""	""	"22"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"649"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"649"	""	""	""	""	""	""	""	""	""	""	""	""
