"X.Statutory.Rules.and.Order........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"311"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"316"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"317"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"318"	"169"	"9"	"6"	"2"	"5"	"2"	"10"	"2"	"1"	"16"	"2"	"0"	"3"	"11"	"5"	"462"	"15"	"551"	""	"551"	""
"319"	"170"	"48"	"5"	"0"	"56"	"9"	"39"	"3"	"0"	"15"	"3"	"1"	"0"	"4"	"3"	"324"	"16"	"526"	""	"526"	""
"320"	"171"	"5"	"2"	"1"	"4"	"48"	"38"	"0"	"1"	"8"	"0"	"1"	"3"	"78"	"29"	"27"	"14"	"259"	""	"259"	""
"321"	"172"	"24"	"3"	"1"	"29"	"2"	"248"	"6"	"1"	"17"	"11"	"13"	"6"	"3"	"7"	"124"	"2"	"497"	""	"497"	""
"322"	"173"	"44"	"9"	"1"	"25"	"2"	"3"	"1"	"1"	"4"	"1"	"2"	"1"	"6"	"6"	"310"	"17"	"433"	""	"433"	""
"323"	"174"	"11"	"5"	"1"	"31"	"5"	"33"	"0"	"3"	"19"	"2"	"0"	"3"	"120"	"5"	"304"	"8"	"550"	""	"550"	""
"324"	"175"	"6"	"4"	"4"	"20"	"3"	"16"	"1"	"4"	"11"	"2"	"2"	"6"	"114"	"6"	"438"	"13"	"650"	""	"650"	""
"325"	"176"	"93"	"5"	"5"	"156"	"23"	"102"	"5"	"15"	"19"	"9"	"8"	"7"	"38"	"27"	"209"	"23"	"744"	""	"744"	""
"326"	"177"	"42"	"18"	"5"	"42"	"20"	"119"	"2"	"6"	"11"	"7"	"8"	"2"	"68"	"42"	"274"	"14"	"680"	""	"680"	""
"327"	"178"	"36"	"3"	"1"	"5"	"5"	"30"	"2"	"6"	"9"	"1"	"13"	"5"	"350"	"14"	"101"	"19"	"600"	""	"600"	""
"328"	"179"	"9"	"2"	"2"	"10"	"8"	"112"	"2"	"6"	"21"	"4"	"9"	"3"	"157"	"18"	"24"	"3"	"390"	""	"390"	""
"329"	"180"	"25"	"5"	"3"	"18"	"92"	"154"	"2"	"14"	"14"	"10"	"6"	"1"	"309"	"80"	"24"	"5"	"762"	""	"762"	""
"330"	"181"	"90"	"9"	"3"	"41"	"14"	"27"	"6"	"10"	"14"	"4"	"5"	"1"	"241"	"9"	"80"	"5"	"559"	""	"559"	""
"331"	"182"	"44"	"0"	"4"	"19"	"18"	"56"	"0"	"10"	"21"	"2"	"7"	"8"	"130"	"10"	"284"	"5"	"618"	""	"618"	""
"332"	"Current Round Total"	"486"	"76"	"33"	"461"	"251"	"987"	"32"	"78"	"199"	"58"	"75"	"49"	"1629"	"261"	"2985"	"159"	"7819"	"0"	"7819"	"0"
"333"	"Previous Round Total"	"9309"	"1179"	"895"	"6314"	"6528"	"21608"	"715"	"1505"	"1183"	"983"	"1544"	"1326"	"29366"	"7097"	"3311"	"3310"	"96173"	"0"	"96173"	"0"
"334"	"TOTAL"	"9795"	"1255"	"928"	"6775"	"6779"	"22595"	"747"	"1583"	"1382"	"1041"	"1619"	"1375"	"30995"	"7358"	"6296"	"3469"	"103992"	"0"	"103992"	"0"
"335"	"(Statutory Rules and Order)                                                       ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"341"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"342"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"343"	"183"	"67"	"3"	"2"	"4"	"5"	"167"	"5"	"8"	"11"	"2"	"9"	"7"	"30"	"7"	"69"	"5"	"401"	""	"401"	""
"344"	"184"	"7"	"2"	"4"	"3"	"25"	"112"	"1"	"3"	"6"	"3"	"5"	"5"	"4"	"62"	"3"	"4"	"249"	""	"249"	""
"345"	"185"	"10"	"13"	"0"	"5"	"2"	"16"	"3"	"6"	"1"	"2"	"2"	"2"	"4"	"7"	"12"	"598"	"683"	""	"683"	""
"346"	"186"	"22"	"13"	"0"	"1"	"3"	"10"	"2"	"10"	"4"	"1"	"1"	"2"	"24"	"5"	"9"	"459"	"566"	""	"566"	""
"347"	"187"	"187"	"14"	"1"	"22"	"1"	"29"	"1"	"30"	"31"	"4"	"9"	"5"	"10"	"8"	"8"	"354"	"714"	""	"714"	""
"348"	"188"	"79"	"10"	"1"	"1"	"6"	"8"	"2"	"19"	"7"	"3"	"1"	"4"	"8"	"7"	"13"	"482"	"651"	""	"651"	""
"349"	"189"	"59"	"5"	"3"	"2"	"1"	"16"	"5"	"14"	"1"	"6"	"5"	"4"	"11"	"8"	"10"	"382"	"532"	""	"532"	""
"350"	"189A"	"8"	"1"	"0"	"2"	"0"	"9"	"5"	"2"	"2"	"2"	"2"	"3"	"1"	"2"	"5"	"425"	"469"	""	"469"	""
"351"	"190"	"28"	"5"	"1"	"9"	"4"	"6"	"6"	"19"	"4"	"5"	"1"	"1"	"2"	"4"	"4"	"461"	"560"	""	"560"	""
"352"	"191"	"277"	"17"	"4"	"12"	"1"	"34"	"0"	"5"	"9"	"4"	"6"	"5"	"5"	"7"	"11"	"276"	"673"	""	"673"	""
"353"	"192"	"264"	"16"	"6"	"8"	"3"	"7"	"1"	"9"	"11"	"1"	"1"	"3"	"6"	"5"	"3"	"92"	"436"	""	"436"	""
"354"	"193"	"179"	"4"	"2"	"2"	"2"	"12"	"1"	"15"	"2"	"3"	"1"	"1"	"1"	"9"	"7"	"270"	"511"	""	"511"	""
"355"	"194"	"49"	"10"	"2"	"2"	"2"	"5"	"0"	"6"	"5"	"1"	"2"	"1"	"11"	"4"	"11"	"905"	"1016"	""	"1016"	""
"356"	"195"	"6"	"3"	"8"	"1"	"1"	"3"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"8"	"499"	"535"	""	"535"	""
"357"	"Current Round Total"	"1242"	"116"	"34"	"74"	"56"	"434"	"33"	"148"	"94"	"38"	"45"	"43"	"118"	"136"	"173"	"5212"	"7996"	"0"	"7996"	"0"
"358"	"Previous Round Total"	"9795"	"1255"	"928"	"6775"	"6779"	"22595"	"747"	"1583"	"1382"	"1041"	"1619"	"1375"	"30995"	"7358"	"6296"	"3469"	"103992"	"0"	"103992"	"0"
"359"	"TOTAL"	"11037"	"1371"	"962"	"6849"	"6835"	"23029"	"780"	"1731"	"1476"	"1079"	"1664"	"1418"	"31113"	"7494"	"6469"	"8681"	"111988"	"0"	"111988"	"0"
"360"	"(Statutory Rules and Order)                                                       ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"366"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"367"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"368"	"196"	"72"	"2"	"0"	"0"	"1"	"14"	"1"	"5"	"2"	"3"	"1"	"8"	"3"	"2"	"9"	"638"	"761"	""	"761"	""
"369"	"197"	"22"	"0"	"2"	"1"	"0"	"32"	"1"	"9"	"1"	"3"	"0"	"1"	"1"	"5"	"9"	"679"	"766"	""	"766"	""
"370"	"198"	"13"	"2"	"0"	"2"	"4"	"1"	"1"	"4"	"3"	"1"	"3"	"0"	"2"	"2"	"10"	"662"	"710"	""	"710"	""
"371"	"199"	"9"	"6"	"0"	"4"	"0"	"31"	"0"	"4"	"3"	"0"	"1"	"1"	"1"	"8"	"3"	"474"	"545"	""	"545"	""
"372"	"200"	"97"	"12"	"2"	"3"	"6"	"4"	"0"	"8"	"14"	"3"	"1"	"3"	"3"	"9"	"6"	"378"	"549"	""	"549"	""
"373"	"201"	"126"	"5"	"3"	"5"	"10"	"16"	"2"	"7"	"3"	"2"	"5"	"3"	"6"	"7"	"8"	"360"	"568"	""	"568"	""
"374"	"202"	"337"	"83"	"8"	"19"	"2"	"39"	"4"	"12"	"6"	"5"	"3"	"1"	"28"	"2"	"4"	"125"	"678"	""	"678"	""
"375"	"203"	"9"	"4"	"0"	"6"	"2"	"39"	"5"	"15"	"4"	"2"	"0"	"2"	"9"	"13"	"13"	"445"	"568"	""	"568"	""
"376"	"204"	"101"	"2"	"1"	"4"	"2"	"38"	"3"	"14"	"3"	"3"	"2"	"1"	"5"	"5"	"7"	"102"	"293"	""	"293"	""
"377"	"205"	"187"	"9"	"4"	"35"	"6"	"14"	"2"	"20"	"17"	"5"	"5"	"5"	"25"	"29"	"23"	"172"	"558"	""	"558"	""
"378"	"206"	"233"	"6"	"4"	"18"	"2"	"4"	"0"	"17"	"51"	"3"	"0"	"5"	"3"	"8"	"6"	"154"	"514"	""	"514"	""
"379"	"207"	"216"	"6"	"4"	"32"	"9"	"21"	"7"	"24"	"28"	"13"	"6"	"12"	"10"	"16"	"17"	"276"	"697"	""	"697"	""
"380"	"208"	"3"	"10"	"0"	"5"	"4"	"30"	"0"	"3"	"0"	"1"	"3"	"4"	"1"	"2"	"4"	"350"	"420"	""	"420"	""
"381"	"209"	"63"	"16"	"4"	"13"	"13"	"12"	"4"	"20"	"4"	"4"	"1"	"1"	"12"	"10"	"12"	"485"	"674"	""	"674"	""
"382"	"Current Round Total"	"1488"	"163"	"32"	"147"	"61"	"295"	"30"	"162"	"139"	"48"	"31"	"47"	"109"	"118"	"131"	"5300"	"8301"	"0"	"8301"	"0"
"383"	"Previous Round Total"	"11037"	"1371"	"962"	"6849"	"6835"	"23029"	"780"	"1731"	"1476"	"1079"	"1664"	"1418"	"31113"	"7494"	"6469"	"8681"	"111988"	"0"	"111988"	"0"
"384"	"TOTAL"	"12525"	"1534"	"994"	"6996"	"6896"	"23324"	"810"	"1893"	"1615"	"1127"	"1695"	"1465"	"31222"	"7612"	"6600"	"13981"	"120289"	"0"	"120289"	"0"
"385"	"(Statutory Rules and Order)                                                       ROUND : SIXTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"391"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"392"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"393"	"210"	"9"	"14"	"2"	"31"	"3"	"30"	"0"	"9"	"4"	"2"	"4"	"0"	"3"	"12"	"14"	"450"	"587"	""	"587"	""
"394"	"211"	"140"	"15"	"1"	"8"	"5"	"17"	"0"	"27"	"4"	"5"	"1"	"1"	"47"	"8"	"6"	"488"	"773"	""	"773"	""
"395"	"212"	"37"	"30"	"5"	"14"	"5"	"9"	"1"	"17"	"10"	"2"	"7"	"6"	"222"	"6"	"6"	"174"	"551"	""	"551"	""
"396"	"213"	"64"	"7"	"5"	"166"	"33"	"30"	"4"	"21"	"7"	"7"	"5"	"7"	"13"	"16"	"40"	"275"	"700"	""	"700"	""
"397"	"214"	"26"	"2"	"4"	"7"	"7"	"23"	"1"	"13"	"11"	"10"	"6"	"12"	"74"	"12"	"13"	"314"	"535"	""	"535"	""
"398"	"215"	"70"	"23"	"7"	"8"	"7"	"21"	"6"	"29"	"10"	"8"	"8"	"45"	"147"	"18"	"26"	"366"	"799"	""	"799"	""
"399"	"216"	"62"	"5"	"1"	"54"	"3"	"51"	"7"	"11"	"4"	"5"	"9"	"1"	"10"	"10"	"8"	"470"	"711"	""	"711"	""
"400"	"217"	"21"	"22"	"3"	"26"	"2"	"33"	"0"	"8"	"2"	"1"	"3"	"4"	"3"	"13"	"10"	"224"	"375"	""	"375"	""
"401"	"218"	"14"	"7"	"0"	"17"	"12"	"37"	"4"	"6"	"0"	"0"	"0"	"0"	"7"	"8"	"3"	"357"	"472"	""	"472"	""
"402"	"219"	"160"	"10"	"8"	"156"	"36"	"71"	"6"	"30"	"8"	"7"	"3"	"4"	"134"	"11"	"15"	"278"	"937"	""	"937"	""
"403"	"220"	"33"	"8"	"4"	"7"	"8"	"25"	"4"	"26"	"14"	"10"	"16"	"12"	"252"	"10"	"13"	"130"	"572"	""	"572"	""
"404"	"221"	"55"	"17"	"3"	"5"	"7"	"18"	"6"	"10"	"15"	"5"	"25"	"6"	"94"	"3"	"39"	"198"	"506"	""	"506"	""
"405"	"222"	"80"	"7"	"3"	"8"	"7"	"119"	"8"	"17"	"22"	"11"	"31"	"11"	"172"	"23"	"28"	"122"	"669"	""	"669"	""
"406"	"223"	"216"	"10"	"7"	"76"	"20"	"48"	"7"	"18"	"26"	"9"	"6"	"6"	"112"	"40"	"56"	"47"	"704"	""	"704"	""
"407"	"Current Round Total"	"987"	"177"	"53"	"583"	"155"	"532"	"54"	"242"	"137"	"82"	"124"	"115"	"1290"	"190"	"277"	"3893"	"8891"	"0"	"8891"	"0"
"408"	"Previous Round Total"	"12525"	"1534"	"994"	"6996"	"6896"	"23324"	"810"	"1893"	"1615"	"1127"	"1695"	"1465"	"31222"	"7612"	"6600"	"13981"	"120289"	"0"	"120289"	"0"
"409"	"TOTAL"	"13512"	"1711"	"1047"	"7579"	"7051"	"23856"	"864"	"2135"	"1752"	"1209"	"1819"	"1580"	"32512"	"7802"	"6877"	"17874"	"129180"	"0"	"129180"	"0"
"410"	"Conduct of Election Rules 1961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"(Statutory Rules and Order)                                                       ROUND : SEVENTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"417"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"418"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"419"	"224"	"50"	"4"	"4"	"6"	"5"	"57"	"3"	"15"	"5"	"16"	"70"	"9"	"136"	"19"	"10"	"181"	"590"	""	"590"	""
"420"	"225"	"115"	"21"	"1"	"2"	"4"	"29"	"4"	"22"	"2"	"3"	"3"	"3"	"8"	"14"	"16"	"542"	"789"	""	"789"	""
"421"	"226"	"40"	"30"	"3"	"4"	"2"	"15"	"1"	"18"	"1"	"1"	"1"	"3"	"3"	"6"	"7"	"362"	"497"	""	"497"	""
"422"	"227"	"27"	"11"	"1"	"1"	"3"	"20"	"1"	"23"	"3"	"1"	"3"	"2"	"11"	"6"	"6"	"329"	"448"	""	"448"	""
"423"	"228"	"163"	"2"	"3"	"4"	"1"	"39"	"5"	"21"	"2"	"10"	"7"	"2"	"10"	"22"	"23"	"290"	"604"	""	"604"	""
"424"	"229"	"198"	"11"	"9"	"10"	"5"	"135"	"6"	"35"	"36"	"2"	"17"	"7"	"56"	"47"	"13"	"125"	"712"	""	"712"	""
"425"	"230"	"160"	"4"	"2"	"15"	"2"	"109"	"3"	"9"	"111"	"4"	"7"	"3"	"16"	"6"	"7"	"107"	"565"	""	"565"	""
"426"	"231"	"127"	"25"	"1"	"9"	"3"	"159"	"5"	"17"	"23"	"7"	"6"	"2"	"74"	"109"	"7"	"49"	"623"	""	"623"	""
"427"	"232"	"82"	"3"	"2"	"5"	"4"	"150"	"5"	"3"	"15"	"4"	"9"	"2"	"4"	"5"	"16"	"119"	"428"	""	"428"	""
"428"	"233"	"52"	"6"	"3"	"4"	"0"	"50"	"2"	"23"	"8"	"6"	"4"	"4"	"15"	"26"	"20"	"316"	"539"	""	"539"	""
"429"	"234"	"67"	"9"	"9"	"27"	"6"	"63"	"5"	"7"	"20"	"5"	"18"	"3"	"18"	"411"	"59"	"40"	"767"	""	"767"	""
"430"	"235"	"35"	"1"	"1"	"20"	"2"	"11"	"1"	"3"	"34"	"2"	"4"	"1"	"16"	"106"	"8"	"30"	"275"	""	"275"	""
"431"	"236"	"4"	"1"	"1"	"0"	"1"	"3"	"2"	"0"	"0"	"1"	"1"	"0"	"2"	"987"	"5"	"4"	"1012"	""	"1012"	""
"432"	"237"	"6"	"15"	"8"	"12"	"3"	"14"	"1"	"0"	"6"	"0"	"3"	"3"	"6"	"529"	"4"	"37"	"647"	""	"647"	""
"433"	"Current Round Total"	"1126"	"143"	"48"	"119"	"41"	"854"	"44"	"196"	"266"	"62"	"153"	"44"	"375"	"2293"	"201"	"2531"	"8496"	"0"	"8496"	"0"
"434"	"Previous Round Total"	"13512"	"1711"	"1047"	"7579"	"7051"	"23856"	"864"	"2135"	"1752"	"1209"	"1819"	"1580"	"32512"	"7802"	"6877"	"17874"	"129180"	"0"	"129180"	"0"
"435"	"TOTAL"	"14638"	"1854"	"1095"	"7698"	"7092"	"24710"	"908"	"2331"	"2018"	"1271"	"1972"	"1624"	"32887"	"10095"	"7078"	"20405"	"137676"	"0"	"137676"	"0"
