"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"243"	"199"	"AMAR ADARSH MIDDLE SCHOOL RAMGARHIYA(EA"	"348"	"1"	"7"	"11"	"1"	"3"	"0"	"1"	"138"	"1"	"3"	"4"	"0"	"1"	"7"	"526"	"0"	"526"	"0"
"244"	"200"	"AMAR ADARSH MIDDLE SCHOOL RAMGARHIYA(W"	"254"	"3"	"34"	"16"	"4"	"3"	"2"	"1"	"107"	"1"	"1"	"4"	"1"	"2"	"10"	"443"	"0"	"443"	"0"
"245"	"201"	"ANDHA SCHOOL DHARHARA ARA(NORTHERN PAR"	"99"	"5"	"150"	"17"	"1"	"34"	"5"	"2"	"55"	"171"	"4"	"0"	"3"	"2"	"24"	"572"	"0"	"572"	"0"
"246"	"202"	"ANDHA SCHOOL DHARHARA ARA(SOUTHERN PAR"	"47"	"2"	"210"	"21"	"0"	"0"	"2"	"0"	"66"	"39"	"4"	"3"	"4"	"5"	"9"	"412"	"0"	"412"	"0"
"247"	"203"	"GANDHI SARVODYA LIBRARY BEGAMPUR ARA"	"97"	"5"	"51"	"6"	"1"	"7"	"1"	"4"	"243"	"4"	"2"	"14"	"10"	"1"	"2"	"448"	"0"	"448"	"0"
"248"	"204"	"PRIMARY SCHOOL BEGAMPUR ARA(EASTERN PA"	"215"	"9"	"57"	"10"	"5"	"18"	"3"	"2"	"84"	"8"	"1"	"8"	"3"	"0"	"5"	"428"	"0"	"428"	"0"
"249"	"205"	"PRIMARY SCHOOL BEGAMPUR(MIDDLE PART)ARA"	"125"	"10"	"68"	"92"	"4"	"5"	"2"	"0"	"121"	"11"	"6"	"16"	"11"	"3"	"8"	"482"	"0"	"482"	"0"
"250"	"206"	"PRIMARY SCHOOL BEGAMPUR ARA(WESTERN PA"	"125"	"5"	"246"	"26"	"4"	"9"	"3"	"0"	"139"	"5"	"2"	"5"	"4"	"4"	"4"	"581"	"0"	"581"	"0"
"251"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"252"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"253"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"254"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"255"	"207"	"PRIMARY SCHOOL ABARPUL ARA"	"36"	"5"	"242"	"58"	"2"	"4"	"5"	"2"	"181"	"27"	"8"	"18"	"4"	"2"	"7"	"601"	"0"	"601"	"0"
"256"	"208"	"SHAHID ABDUL HAMID MEMORIAL HALL(EASTERN"	"118"	"1"	"124"	"35"	"0"	"2"	"1"	"0"	"61"	"9"	"0"	"1"	"3"	"2"	"1"	"358"	"0"	"358"	"0"
"257"	"209"	"SHAHIS ABDUL HAMID MEMORIAL HALL(WEASTER"	"165"	"2"	"106"	"11"	"2"	"1"	"2"	"3"	"98"	"11"	"2"	"1"	"3"	"4"	"7"	"418"	"0"	"418"	"0"
"258"	"210"	"PORTABLE BOOTH KHATA NO-1764 KHESRA NO-6"	"30"	"2"	"247"	"83"	"1"	"2"	"1"	"2"	"52"	"14"	"1"	"3"	"6"	"3"	"11"	"458"	"0"	"458"	"0"
"259"	"211"	"MADRASA AHAMDIYA MILKI MOHLLA ARA"	"174"	"1"	"266"	"43"	"3"	"0"	"0"	"1"	"71"	"4"	"2"	"0"	"1"	"0"	"1"	"567"	"0"	"567"	"0"
"260"	"212"	"JAGJIWAN MEET MARKET ARA"	"13"	"3"	"365"	"62"	"0"	"0"	"1"	"0"	"18"	"38"	"1"	"2"	"0"	"0"	"7"	"510"	"0"	"510"	"0"
"261"	"213"	"A.N.ROYAL AKADMI ARA(EASTERN PART)"	"83"	"4"	"267"	"22"	"3"	"2"	"3"	"1"	"57"	"0"	"1"	"6"	"8"	"3"	"6"	"466"	"0"	"466"	"0"
"262"	"214"	"A.N.ROYAL AKADAMI ARA(WESTREN PART)"	"118"	"1"	"304"	"6"	"0"	"2"	"0"	"2"	"51"	"0"	"0"	"1"	"0"	"1"	"1"	"487"	"0"	"487"	"0"
"263"	"215"	"MODAL INSTITUTE ARA(EASTERN PART)"	"144"	"0"	"21"	"18"	"3"	"0"	"3"	"1"	"172"	"3"	"2"	"5"	"5"	"7"	"5"	"389"	"0"	"389"	"0"
"264"	"216"	"MODAL INSITITUTE ARA(WESTREN PART)"	"106"	"6"	"29"	"20"	"1"	"3"	"1"	"0"	"144"	"0"	"1"	"3"	"1"	"15"	"0"	"330"	"0"	"330"	"0"
"265"	"217"	"MIDDLE SCHOOL MIRGANJ ARA"	"297"	"0"	"92"	"18"	"1"	"5"	"1"	"2"	"107"	"1"	"2"	"2"	"1"	"4"	"3"	"536"	"0"	"536"	"0"
"266"	"218"	"PRIMARY SCHOOL SINGHIKALA ARA(SOUTHERN P"	"186"	"4"	"140"	"71"	"1"	"6"	"3"	"6"	"132"	"44"	"4"	"10"	"8"	"5"	"11"	"631"	"0"	"631"	"0"
"267"	"219"	"PRIMARY SCHOOL SINGHIKALA ARA(MIDDLE PART"	"43"	"1"	"117"	"17"	"2"	"8"	"9"	"6"	"176"	"22"	"3"	"9"	"4"	"5"	"8"	"430"	"0"	"430"	"0"
"268"	"220"	"PRIMARY SCHOOL GAUSGANJ ARA(NORTHERN P"	"205"	"2"	"119"	"29"	"4"	"3"	"2"	"6"	"114"	"4"	"1"	"3"	"4"	"3"	"7"	"506"	"0"	"506"	"0"
"269"	"221"	"PRIMARY SCHOOL JAUSGANJ ARA(SOUTHERN PA"	"204"	"3"	"24"	"56"	"3"	"0"	"3"	"4"	"140"	"4"	"1"	"2"	"7"	"5"	"8"	"464"	"0"	"464"	"0"
"270"	"222"	"MONAKO KUNWAR PRIMARY SCHOOL BHALUHIPU"	"399"	"4"	"73"	"27"	"6"	"4"	"0"	"0"	"119"	"5"	"4"	"2"	"4"	"6"	"8"	"661"	"0"	"661"	"0"
"271"	"223"	"PRIMARY SCHOOL BHALUHIPUR ARA"	"113"	"4"	"223"	"22"	"6"	"2"	"1"	"0"	"9"	"5"	"1"	"0"	"0"	"1"	"1"	"388"	"0"	"388"	"0"
"272"	"224"	"PANCHAYAT DALAN BHALUHIPUR ARA"	"111"	"4"	"469"	"28"	"7"	"4"	"2"	"3"	"52"	"3"	"4"	"12"	"36"	"28"	"17"	"780"	"0"	"780"	"0"
"273"	"225"	"PRIMARY SCHOOL DHANPURA ARA(EASTERN PAR"	"147"	"2"	"131"	"65"	"1"	"3"	"3"	"1"	"108"	"2"	"3"	"10"	"6"	"3"	"3"	"488"	"0"	"488"	"0"
"274"	"226"	"PRIMARY SCHOOL DHANPURA ARA(MIDDLE PART"	"25"	"4"	"10"	"11"	"2"	"9"	"3"	"2"	"75"	"10"	"3"	"10"	"2"	"0"	"4"	"170"	"0"	"170"	"0"
"275"	"227"	"PRIMARY SCHOOL DHANPURA ARA(WESTREN PA"	"100"	"9"	"473"	"42"	"4"	"4"	"4"	"0"	"19"	"6"	"3"	"5"	"4"	"5"	"3"	"681"	"0"	"681"	"0"
"276"	"228"	"MIDDLE SCHOOL DHARHARA ARA(EASTERN PART"	"52"	"11"	"243"	"42"	"3"	"12"	"8"	"2"	"260"	"45"	"5"	"15"	"10"	"6"	"34"	"748"	"0"	"748"	"0"
"277"	"229"	"MIDDLE SCHOOL DHARHARA ARA(WESTERN PAR"	"178"	"7"	"133"	"28"	"10"	"20"	"7"	"4"	"294"	"15"	"3"	"16"	"11"	"5"	"6"	"737"	"0"	"737"	"0"
"278"	"230"	"SAMUDAYIK BHAWAN SRITOLA ARA"	"27"	"2"	"67"	"233"	"5"	"2"	"5"	"2"	"242"	"8"	"4"	"21"	"4"	"5"	"12"	"639"	"0"	"639"	"0"
"279"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"280"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"281"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"282"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"283"	"231"	"PRIMARY SCHOOL SHIVPUR ARA"	"684"	"2"	"9"	"17"	"0"	"0"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"727"	"0"	"727"	"0"
"284"	"232"	"LOK NIRMAN PRAMANDAL OFFICE ARA"	"120"	"2"	"34"	"24"	"0"	"0"	"2"	"0"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"0"	"228"	"0"
"285"	"233"	"HITNARAYAN KSHATRIY HIGH SCHOOL ARA"	"231"	"1"	"33"	"76"	"1"	"1"	"0"	"2"	"72"	"1"	"0"	"4"	"0"	"1"	"1"	"424"	"0"	"424"	"0"
"286"	"234"	"MIDDLE SCHOOL ANIAT ARA(NORTHREN PART)"	"114"	"4"	"61"	"24"	"4"	"3"	"1"	"1"	"149"	"5"	"2"	"11"	"3"	"2"	"7"	"391"	"0"	"391"	"0"
"287"	"235"	"BAZAR SAMITI OFFICE ARA(EASTERN PART)"	"155"	"3"	"26"	"17"	"0"	"1"	"0"	"0"	"84"	"1"	"2"	"16"	"1"	"1"	"2"	"309"	"0"	"309"	"0"
"288"	"236"	"BAZAR SAMITI OFFICE ARA(MIDDLE PART)"	"349"	"3"	"59"	"10"	"0"	"0"	"2"	"1"	"21"	"0"	"0"	"2"	"1"	"2"	"0"	"450"	"0"	"450"	"0"
"289"	"237"	"BAZAR SAMITI OFFICE ARA(WESTREN PART)"	"332"	"2"	"36"	"21"	"0"	"0"	"0"	"0"	"53"	"0"	"0"	"2"	"1"	"3"	"0"	"450"	"0"	"450"	"0"
"290"	"238"	"MIDDLE SCHOOL ANAIT ARA(SOUTHERN PART)"	"76"	"2"	"109"	"41"	"1"	"2"	"3"	"0"	"74"	"0"	"4"	"3"	"1"	"5"	"3"	"324"	"0"	"324"	"0"
"291"	"239"	"BEYAR HOUSE PURBI GATE MILKI ANAIT ARA"	"13"	"2"	"188"	"16"	"3"	"2"	"0"	"3"	"83"	"3"	"0"	"6"	"6"	"3"	"5"	"333"	"0"	"333"	"0"
"292"	"240"	"ANAIT DHARAMSALA ARA(NORTHERN PART)"	"58"	"3"	"220"	"18"	"5"	"3"	"5"	"2"	"197"	"13"	"2"	"23"	"4"	"4"	"2"	"559"	"0"	"559"	"0"
"293"	"241"	"ANAIT DHARAMSALA ARA(SOUTHERN PART)"	"165"	"7"	"39"	"26"	"2"	"1"	"1"	"3"	"269"	"1"	"1"	"7"	"1"	"4"	"1"	"528"	"0"	"528"	"0"
"294"	"242"	"KANYA PRIMARY SCHOOL ANAIT ARA"	"230"	"4"	"33"	"7"	"1"	"9"	"5"	"16"	"172"	"2"	"3"	"14"	"8"	"7"	"17"	"528"	"0"	"528"	"0"
"295"	"243"	"PRIMARY SCHOOL ANAIT ARA"	"138"	"6"	"84"	"60"	"7"	"4"	"6"	"2"	"186"	"4"	"3"	"15"	"8"	"5"	"13"	"541"	"0"	"541"	"0"
"296"	"244"	"BYAPAR MANDAL UDWANTNAGAR ANAIT(NORTHE"	"245"	"1"	"30"	"104"	"2"	"0"	"1"	"0"	"165"	"4"	"0"	"9"	"1"	"1"	"4"	"567"	"0"	"567"	"0"
"297"	"245"	"BYAPAR MANDAL UDWANTNAGAR ANAIT (MIDDLE"	"136"	"1"	"64"	"93"	"1"	"0"	"4"	"2"	"81"	"1"	"0"	"3"	"4"	"2"	"2"	"394"	"0"	"394"	"0"
"298"	"246"	"BYAPAR MANDAL UDWANTNAGAR ANAIT(SOUTHE"	"76"	"7"	"210"	"19"	"1"	"2"	"2"	"5"	"135"	"2"	"1"	"11"	"1"	"4"	"0"	"476"	"0"	"476"	"0"
"299"	"247"	"NALKUP AWAR PRAMANDAL OFFICE ARA(EASTER"	"184"	"47"	"283"	"27"	"0"	"0"	"0"	"3"	"79"	"0"	"0"	"3"	"0"	"2"	"1"	"629"	"0"	"629"	"0"
"300"	"248"	"NALKUP AWAR PARMANDAL OFFICE ARA(WESTE"	"R         19"	"16"	"45"	"87"	"6"	"3"	"6"	"2"	"280"	"8"	"3"	"12"	"3"	"3"	"6"	"499"	"0"	"499"	"0"
"301"	"Total"	""	"42761"	"1559"	"####"	"8504"	"821"	"996"	"535"	"570"	"22773"	"2979"	"340"	"1076"	"646"	"671"	"1145"	"113890"	"0"	"113890"	"0"
"302"	"Postal Votes"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"
"303"	"Grand Total"	""	"42761"	"1559"	"####"	"8504"	"821"	"996"	"535"	"570"	"22773"	"2979"	"340"	"1076"	"646"	"671"	"1145"	"113890"	"1"	"113891"	"0"
"304"	"Place  :    Arrah                                                                                                                                                                                                        Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Date  : 27-02-2005                                                                                                                                                                                    198 - Arrah Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
