"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"
"1"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	";ksx"	""	""	""
"220"	"164"	""	"53"	""	"20"	""	""	"221"	""	""	"53"	""	"15"	""	""	"8"	""	""	"6"	""	""	"3"	""	"19"	""	"11"	""	""	"16"	""	"425"	""	""	""	""	""	"425"	""	""	""
"221"	"165"	""	"80"	""	"7"	""	""	"136"	""	""	"296"	""	"21"	""	""	"9"	""	""	"5"	""	""	"1"	""	"8"	""	"5"	""	""	"7"	""	"575"	""	""	""	""	""	"575"	""	""	""
"222"	"166"	""	"81"	""	"25"	""	""	"154"	""	""	"207"	""	"20"	""	""	"6"	""	""	"10"	""	""	"4"	""	"8"	""	"7"	""	""	"18"	""	"540"	""	""	""	""	""	"540"	""	""	""
"223"	"167"	""	"17"	""	"120"	""	""	"105"	""	""	"121"	""	"25"	""	""	"3"	""	""	"7"	""	""	"4"	""	"19"	""	"5"	""	""	"17"	""	"443"	""	""	""	""	""	"443"	""	""	""
"224"	"168"	""	"36"	""	"41"	""	""	"34"	""	""	"159"	""	"13"	""	""	"5"	""	""	"3"	""	""	"3"	""	"7"	""	"1"	""	""	"11"	""	"313"	""	""	""	""	""	"313"	""	""	""
"225"	";ksx"	""	"651"	""	"609"	""	""	"1409"	""	""	"2037"	""	"455"	""	""	"131"	""	""	"91"	""	""	"111"	""	"803"	""	"142"	""	""	"310"	""	"6749"	""	""	"0"	""	""	"6749"	""	""	""
"226"	"rasjgoak  pzd"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erks dh la[;k"	""	";ksx"	""	""	""
"228"	""	""	"Mk0
vnuku [kk°"	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"229"	"1"	""	"2"	""	"3"	""	""	"4"	""	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""
"230"	"169"	""	"47"	""	"37"	""	""	"50"	""	""	"176"	""	"20"	""	""	"6"	""	""	"6"	""	""	"4"	""	""	"6"	""	"5"	""	"36"	""	""	"393"	""	""	""	""	"393"	""	""	""
"231"	"170"	""	"39"	""	"13"	""	""	"149"	""	""	"54"	""	"3"	""	""	"3"	""	""	"0"	""	""	"23"	""	""	"18"	""	"1"	""	"16"	""	""	"319"	""	""	""	""	"319"	""	""	""
"232"	"171"	""	"69"	""	"18"	""	""	"177"	""	""	"134"	""	"20"	""	""	"2"	""	""	"6"	""	""	"57"	""	""	"19"	""	"10"	""	"33"	""	""	"545"	""	""	""	""	"545"	""	""	""
"233"	"172"	""	"76"	""	"11"	""	""	"30"	""	""	"272"	""	"20"	""	""	"4"	""	""	"1"	""	""	"4"	""	""	"116"	""	"3"	""	"14"	""	""	"551"	""	""	""	""	"551"	""	""	""
"234"	"173"	""	"82"	""	"20"	""	""	"154"	""	""	"31"	""	"6"	""	""	"4"	""	""	"4"	""	""	"5"	""	""	"21"	""	"6"	""	"6"	""	""	"339"	""	""	""	""	"339"	""	""	""
"235"	"174"	""	"67"	""	"3"	""	""	"94"	""	""	"8"	""	"5"	""	""	"4"	""	""	"2"	""	""	"2"	""	""	"49"	""	"6"	""	"16"	""	""	"256"	""	""	""	""	"256"	""	""	""
"236"	"175"	""	"244"	""	"13"	""	""	"176"	""	""	"28"	""	"13"	""	""	"10"	""	""	"5"	""	""	"10"	""	""	"25"	""	"9"	""	"21"	""	""	"554"	""	""	""	""	"554"	""	""	""
"237"	"176"	""	"85"	""	"29"	""	""	"230"	""	""	"140"	""	"9"	""	""	"6"	""	""	"2"	""	""	"3"	""	""	"16"	""	"2"	""	"18"	""	""	"540"	""	""	""	""	"540"	""	""	""
"238"	"177"	""	"146"	""	"26"	""	""	"130"	""	""	"126"	""	"50"	""	""	"5"	""	""	"5"	""	""	"5"	""	""	"6"	""	"9"	""	"12"	""	""	"520"	""	""	""	""	"520"	""	""	""
"239"	"178"	""	"114"	""	"14"	""	""	"173"	""	""	"40"	""	"7"	""	""	"4"	""	""	"1"	""	""	"3"	""	""	"13"	""	"2"	""	"2"	""	""	"373"	""	""	""	""	"373"	""	""	""
"240"	"179"	""	"149"	""	"13"	""	""	"109"	""	""	"77"	""	"14"	""	""	"3"	""	""	"3"	""	""	"5"	""	""	"44"	""	"7"	""	"6"	""	""	"430"	""	""	""	""	"430"	""	""	""
"241"	"180"	""	"47"	""	"6"	""	""	"139"	""	""	"54"	""	"9"	""	""	"5"	""	""	"4"	""	""	"2"	""	""	"7"	""	"2"	""	"2"	""	""	"277"	""	""	""	""	"277"	""	""	""
"242"	"181"	""	"221"	""	"15"	""	""	"177"	""	""	"54"	""	"6"	""	""	"4"	""	""	"4"	""	""	"5"	""	""	"10"	""	"6"	""	"19"	""	""	"521"	""	""	""	""	"521"	""	""	""
"243"	"182"	""	"99"	""	"10"	""	""	"108"	""	""	"127"	""	"10"	""	""	"2"	""	""	"0"	""	""	"12"	""	""	"1"	""	"2"	""	"0"	""	""	"371"	""	""	""	""	"371"	""	""	""
"244"	";ksx"	""	"1485"	""	"228"	""	""	"1896"	""	""	"1321"	""	"192"	""	""	"62"	""	""	"43"	""	""	"140"	""	""	"351"	""	"70"	""	"201"	""	""	"5989"	""	""	"0"	""	"5989"	""	""	""
"245"	"ernku
dsUnzla[
;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks dh la[;k"	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	";ksx"	""	""	""
"246"	""	""	"Mk0
vnuku [kk°"	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	"jkeizos'k
jk;"	""	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"1"	""	"2"	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""
"248"	"183"	""	"190"	""	"17"	""	""	"155"	""	"90"	""	""	"21"	""	""	"6"	""	""	"3"	""	"3"	""	""	"9"	""	"12"	""	"24"	""	""	"530"	""	""	""	""	""	"530"	""	""	""
"249"	"184"	""	"198"	""	"12"	""	""	"135"	""	"154"	""	""	"44"	""	""	"7"	""	""	"4"	""	"9"	""	""	"9"	""	"10"	""	"20"	""	""	"602"	""	""	""	""	""	"602"	""	""	""
"250"	"185"	""	"81"	""	"12"	""	""	"94"	""	"194"	""	""	"7"	""	""	"2"	""	""	"3"	""	"24"	""	""	"5"	""	"0"	""	"4"	""	""	"426"	""	""	""	""	""	"426"	""	""	""
"251"	"186"	""	"153"	""	"31"	""	""	"14"	""	"223"	""	""	"14"	""	""	"5"	""	""	"1"	""	"6"	""	""	"11"	""	"4"	""	"7"	""	""	"469"	""	""	""	""	""	"469"	""	""	""
"252"	"187"	""	"156"	""	"32"	""	""	"21"	""	"291"	""	""	"19"	""	""	"8"	""	""	"12"	""	"11"	""	""	"5"	""	"4"	""	"11"	""	""	"570"	""	""	""	""	""	"570"	""	""	""
"253"	"188"	""	"140"	""	"6"	""	""	"143"	""	"81"	""	""	"5"	""	""	"1"	""	""	"1"	""	"34"	""	""	"13"	""	"8"	""	"8"	""	""	"440"	""	""	""	""	""	"440"	""	""	""
"254"	"189"	""	"169"	""	"23"	""	""	"34"	""	"89"	""	""	"15"	""	""	"6"	""	""	"4"	""	"11"	""	""	"16"	""	"3"	""	"7"	""	""	"377"	""	""	""	""	""	"377"	""	""	""
"255"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"257"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"259"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""
"262"	";ksx"	""	"1087"	""	"133"	""	""	"596"	""	"1122"	""	""	"125"	""	""	"35"	""	""	"28"	""	"98"	""	""	"68"	""	"41"	""	"81"	""	""	"3414"	""	""	"0"	""	""	"3414"	""	""	""
"263"	"ernku  dsUnzksa ij  vfHkfyf[kr erksa  dh  dqy la[;k  %&  90053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Mkd erksa  ij  vfHkfyf[kr erksa  dh   dqy la[;k  %&  'kwU;"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Mkys x;s  dqy er  %&  90053                                                                                                                                                                            lgk;d  fuokZph  inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
