"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"115"	"81"	""	"137"	""	""	"30"	""	""	""	"55"	""	""	""	""	"321"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"8"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"35"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"622"	""	""	""	""	""	""	""	"622"	""	""	""	""	""	""	""
"116"	"82"	""	"45"	""	""	"10"	""	""	""	"7"	""	""	""	""	"241"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"8"	""	""	""	"11"	""	""	""	""	"10"	""	""	""	"125"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"13"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"486"	""	""	""	""	""	""	""	"486"	""	""	""	""	""	""	""
"117"	"83"	""	"108"	""	""	"12"	""	""	""	"141"	""	""	""	""	"78"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"49"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"15"	""	""	""	""	"8"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"445"	""	""	""	""	""	""	""	"445"	""	""	""	""	""	""	""
"118"	";ksx"	""	"1405"	""	""	"400"	""	""	""	"859"	""	""	""	""	"1643"	""	""	""	""	"108"	""	""	""	"26"	""	""	""	"67"	""	""	""	"43"	""	""	""	""	"4"	""	""	""	"615"	""	""	""	""	"24"	""	""	""	"51"	""	""	""	""	"253"	""	""	""	""	"248"	""	""	""	"42"	""	""	""	""	"120"	""	""	""	"5967"	""	""	""	"0"	""	""	""	"5967"	""	""	""	""	""	""	""
"119"	"lIre  pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"ernku  dsUnz
la0"	""	""	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqr
fof/kekU; er"	""	""	""	"izfr{ks0
erks  dh la0"	""	""	""	";ksx"	""	""	""	""
"121"	""	""	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	"jkeujs'k
izlkn"	""	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""
"123"	"84"	""	""	""	"262"	""	""	""	"20"	""	""	""	"32"	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	"1"	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"14"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"94"	""	""	""	""	"1"	""	""	""	""	"14"	""	""	""	"475"	""	""	""	""	""	""	""	"475"	""	""	""	""
"124"	"85"	""	""	""	"20"	""	""	""	"5"	""	""	""	"63"	""	""	""	""	"201"	""	""	""	""	"14"	""	""	""	"9"	""	""	""	"9"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"58"	""	""	""	""	"8"	""	""	""	"14"	""	""	""	""	"76"	""	""	""	"31"	""	""	""	""	"9"	""	""	""	""	"30"	""	""	""	"556"	""	""	""	""	""	""	""	"556"	""	""	""	""
"125"	"86"	""	""	""	"29"	""	""	""	"21"	""	""	""	"72"	""	""	""	""	"105"	""	""	""	""	"15"	""	""	""	"4"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"36"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"12"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	"327"	""	""	""	""	""	""	""	"327"	""	""	""	""
"126"	"87"	""	""	""	"88"	""	""	""	"24"	""	""	""	"28"	""	""	""	""	"95"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"7"	""	""	""	"93"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"22"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"400"	""	""	""	""	""	""	""	"400"	""	""	""	""
"127"	"88"	""	""	""	"103"	""	""	""	"13"	""	""	""	"246"	""	""	""	""	"123"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"43"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"22"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"582"	""	""	""	""	""	""	""	"582"	""	""	""	""
"128"	"89"	""	""	""	"155"	""	""	""	"94"	""	""	""	"20"	""	""	""	""	"115"	""	""	""	""	"12"	""	""	""	"5"	""	""	""	"13"	""	""	""	"3"	""	""	""	""	"14"	""	""	""	"53"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"80"	""	""	""	"13"	""	""	""	""	"8"	""	""	""	""	"26"	""	""	""	"620"	""	""	""	""	""	""	""	"620"	""	""	""	""
"129"	"90"	""	""	""	"62"	""	""	""	"18"	""	""	""	"19"	""	""	""	""	"69"	""	""	""	""	"9"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"12"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"26"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"10"	""	""	""	"234"	""	""	""	""	""	""	""	"234"	""	""	""	""
"130"	"91"	""	""	""	"249"	""	""	""	"92"	""	""	""	"20"	""	""	""	""	"60"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"10"	""	""	""	"51"	""	""	""	""	"5"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	"23"	""	""	""	"569"	""	""	""	""	""	""	""	"569"	""	""	""	""
"131"	"91d"	""	""	""	"29"	""	""	""	"20"	""	""	""	"4"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"84"	""	""	""	""	""	""	""	"84"	""	""	""	""
"132"	"92"	""	""	""	"45"	""	""	""	"28"	""	""	""	"350"	""	""	""	""	"111"	""	""	""	""	"6"	""	""	""	"5"	""	""	""	"4"	""	""	""	"10"	""	""	""	""	"12"	""	""	""	"28"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"614"	""	""	""	""	""	""	""	"614"	""	""	""	""
"133"	"92  d"	""	""	""	"8"	""	""	""	"3"	""	""	""	"110"	""	""	""	""	"16"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"147"	""	""	""	""	""	""	""	"147"	""	""	""	""
"134"	"93"	""	""	""	"31"	""	""	""	"24"	""	""	""	"20"	""	""	""	""	"229"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"2"	""	""	""	"10"	""	""	""	""	"4"	""	""	""	"36"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"14"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	"397"	""	""	""	""	""	""	""	"397"	""	""	""	""
"135"	"94"	""	""	""	"5"	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"85"	""	""	""	""	"14"	""	""	""	"5"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"21"	""	""	""	""	"4"	""	""	""	"9"	""	""	""	""	"37"	""	""	""	"18"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	"229"	""	""	""	""	""	""	""	"229"	""	""	""	""
"136"	"95"	""	""	""	"146"	""	""	""	"25"	""	""	""	"115"	""	""	""	""	"92"	""	""	""	""	"22"	""	""	""	"6"	""	""	""	"12"	""	""	""	"5"	""	""	""	""	"46"	""	""	""	"47"	""	""	""	""	"3"	""	""	""	"10"	""	""	""	""	"65"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"612"	""	""	""	""	""	""	""	"612"	""	""	""	""
"137"	";ksx"	""	""	""	"1232"	""	""	""	"389"	""	""	""	"1103"	""	""	""	""	"1320"	""	""	""	""	"135"	""	""	""	"46"	""	""	""	"64"	""	""	""	"58"	""	""	""	""	"118"	""	""	""	"500"	""	""	""	""	"33"	""	""	""	"75"	""	""	""	""	"360"	""	""	""	"212"	""	""	""	""	"45"	""	""	""	""	"156"	""	""	""	"5846"	""	""	""	"0"	""	""	""	"5846"	""	""	""	""
"138"	"fuokZpu  lapkyu  fu;ekoyh  1962"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"izi=  &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"¼fu;e  56  ch0  ¼7½  nsf[k;s  ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"¼  fu;e  59,  ds  v/khu fofufnZ\"V  fuokZpu  {ks= ds  ernku  dsUnzksa ij  ernku  ifj.kke  dks  vfHkfyf[kr djus ds  fy,  iz;ksx  fd;s  tkus gsrq½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"23&ehjxat fo/kku  lHkk  fuokZpu  {ks= ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"v\"Ve pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"ernku  dsUnz
la[;k"	""	""	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ksfir
erks  dh la[;k"	""	""	""	";ksx"	""	""	""	""
"146"	""	""	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	"jkeujs'k
izlkn"	""	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""
"148"	"96"	""	""	""	"244"	""	""	""	"7"	""	""	""	"48"	""	""	""	""	"20"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"7"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"16"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"364"	""	""	""	""	""	""	""	"364"	""	""	""	""
"149"	"97"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""
"150"	"98"	""	""	""	"214"	""	""	""	"4"	""	""	""	"51"	""	""	""	""	"10"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"306"	""	""	""	""	""	""	""	"306"	""	""	""	""
"151"	"99"	""	""	""	"33"	""	""	""	"10"	""	""	""	"16"	""	""	""	""	"32"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	"74"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"185"	""	""	""	""	""	""	""	"185"	""	""	""	""
"152"	"100"	""	""	""	"71"	""	""	""	"103"	""	""	""	"27"	""	""	""	""	"82"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"31"	""	""	""	"23"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"19"	""	""	""	"29"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"418"	""	""	""	""	""	""	""	"418"	""	""	""	""
"153"	"101"	""	""	""	"61"	""	""	""	"29"	""	""	""	"111"	""	""	""	""	"197"	""	""	""	""	"20"	""	""	""	"3"	""	""	""	"9"	""	""	""	"34"	""	""	""	""	"33"	""	""	""	"75"	""	""	""	""	"14"	""	""	""	"5"	""	""	""	""	"119"	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"724"	""	""	""	""	""	""	""	"724"	""	""	""	""
"154"	"102"	""	""	""	"61"	""	""	""	"9"	""	""	""	"50"	""	""	""	""	"300"	""	""	""	""	"17"	""	""	""	"8"	""	""	""	"18"	""	""	""	"12"	""	""	""	""	"47"	""	""	""	"100"	""	""	""	""	"8"	""	""	""	"8"	""	""	""	""	"59"	""	""	""	"13"	""	""	""	""	"7"	""	""	""	""	"21"	""	""	""	"738"	""	""	""	""	""	""	""	"738"	""	""	""	""
"155"	"103"	""	""	""	"15"	""	""	""	"35"	""	""	""	"97"	""	""	""	""	"188"	""	""	""	""	"10"	""	""	""	"4"	""	""	""	"5"	""	""	""	"20"	""	""	""	""	"21"	""	""	""	"24"	""	""	""	""	"7"	""	""	""	"4"	""	""	""	""	"198"	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"643"	""	""	""	""	""	""	""	"643"	""	""	""	""
"156"	"104"	""	""	""	"142"	""	""	""	"17"	""	""	""	"44"	""	""	""	""	"158"	""	""	""	""	"14"	""	""	""	"5"	""	""	""	"5"	""	""	""	"32"	""	""	""	""	"23"	""	""	""	"32"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"20"	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	"12"	""	""	""	"522"	""	""	""	""	""	""	""	"522"	""	""	""	""
"157"	"105"	""	""	""	"75"	""	""	""	"19"	""	""	""	"122"	""	""	""	""	"199"	""	""	""	""	"10"	""	""	""	"3"	""	""	""	"15"	""	""	""	"26"	""	""	""	""	"13"	""	""	""	"9"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"19"	""	""	""	"530"	""	""	""	""	""	""	""	"530"	""	""	""	""
"158"	"106"	""	""	""	"135"	""	""	""	"21"	""	""	""	"22"	""	""	""	""	"286"	""	""	""	""	"14"	""	""	""	"2"	""	""	""	"10"	""	""	""	"17"	""	""	""	""	"34"	""	""	""	"53"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"15"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	"637"	""	""	""	""	""	""	""	"637"	""	""	""	""
"159"	"107"	""	""	""	"191"	""	""	""	"8"	""	""	""	"26"	""	""	""	""	"214"	""	""	""	""	"18"	""	""	""	"10"	""	""	""	"20"	""	""	""	"9"	""	""	""	""	"19"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"11"	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	"13"	""	""	""	"561"	""	""	""	""	""	""	""	"561"	""	""	""	""
"160"	"108"	""	""	""	"15"	""	""	""	"9"	""	""	""	"38"	""	""	""	""	"123"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"8"	""	""	""	"7"	""	""	""	""	"64"	""	""	""	"10"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"22"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	"322"	""	""	""	""	""	""	""	"322"	""	""	""	""
"161"	"109"	""	""	""	"4"	""	""	""	"30"	""	""	""	"98"	""	""	""	""	"43"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"2"	""	""	""	"152"	""	""	""	""	"126"	""	""	""	"30"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"511"	""	""	""	""	""	""	""	"511"	""	""	""	""
"162"	";ksx"	""	""	""	"1261"	""	""	""	"301"	""	""	""	"750"	""	""	""	""	"1854"	""	""	""	""	"130"	""	""	""	"42"	""	""	""	"94"	""	""	""	"322"	""	""	""	""	"421"	""	""	""	"458"	""	""	""	""	"54"	""	""	""	"42"	""	""	""	""	"463"	""	""	""	"126"	""	""	""	""	"40"	""	""	""	""	"109"	""	""	""	"6467"	""	""	""	"0"	""	""	""	"6467"	""	""	""	""
"163"	"lgk;d  fuokZph  inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"uoe  pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"ernku  dssUnz
la[;k"	""	""	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""	""
"166"	""	""	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	"jkeujs'k
izlkn"	""	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""
"168"	"110"	""	""	""	"8"	""	""	""	"3"	""	""	""	"74"	""	""	""	""	"167"	""	""	""	""	"8"	""	""	""	"5"	""	""	""	"5"	""	""	""	"60"	""	""	""	""	"55"	""	""	""	"7"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"43"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"455"	""	""	""	""	""	""	""	"455"	""	""	""	""
"169"	"111"	""	""	""	"11"	""	""	""	"1"	""	""	""	"92"	""	""	""	""	"118"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	"12"	""	""	""	"88"	""	""	""	""	"16"	""	""	""	"17"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	"388"	""	""	""	""	""	""	""	"388"	""	""	""	""
"170"	"112"	""	""	""	"11"	""	""	""	"3"	""	""	""	"148"	""	""	""	""	"155"	""	""	""	""	"9"	""	""	""	"5"	""	""	""	"11"	""	""	""	"7"	""	""	""	""	"9"	""	""	""	"16"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"31"	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	"11"	""	""	""	"436"	""	""	""	""	""	""	""	"436"	""	""	""	""
"171"	"113"	""	""	""	"2"	""	""	""	"5"	""	""	""	"105"	""	""	""	""	"268"	""	""	""	""	"22"	""	""	""	"3"	""	""	""	"17"	""	""	""	"10"	""	""	""	""	"15"	""	""	""	"16"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"42"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"524"	""	""	""	""	""	""	""	"524"	""	""	""	""
"172"	"114"	""	""	""	"22"	""	""	""	"13"	""	""	""	"97"	""	""	""	""	"216"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	"8"	""	""	""	"25"	""	""	""	""	"12"	""	""	""	"42"	""	""	""	""	"1"	""	""	""	"7"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"493"	""	""	""	""	""	""	""	"493"	""	""	""	""
