"282"	""	"179"	"99"	"88"	"125"	"1"	"2"	"1"	"18"	"9"	"1"	"0"	"2"	"2"	"0"	""	"0"	"-348"	"0"	""	"-348"	"0"	""
"283"	""	"180"	"242"	"71"	"111"	"2"	"0"	"11"	"7"	"30"	"5"	"4"	"15"	"2"	"0"	""	"6"	"-506"	"0"	""	"-506"	"0"	""
"284"	""	"181"	"173"	"42"	"65"	"1"	"2"	"11"	"309"	"3"	"1"	"0"	"1"	"1"	"1"	""	"2"	"-612"	"0"	""	"-612"	"0"	""
"285"	"TOTAL"	""	"-2130"	"-937"	"-1433"	"-32"	"-27"	"-169"	"-375"	"-143"	"-14"	"-17"	"-34"	"-21"	"-9"	""	"-42"	"-5383"	"0"	""	"-5383"	"0"	""
"286"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"291"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"292"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"293"	"R
o u n d
1
4"	"182"	"134"	"177"	"175"	"3"	"2"	"2"	"7"	"18"	"1"	"1"	"0"	"2"	"0"	""	"4"	"-526"	"0"	""	"-526"	"0"	""
"294"	""	"183"	"29"	"145"	"269"	"4"	"1"	"0"	"6"	"80"	"2"	"1"	"2"	"5"	"3"	""	"4"	"-551"	"0"	""	"-551"	"0"	""
"295"	""	"184"	"106"	"84"	"221"	"6"	"4"	"35"	"10"	"52"	"7"	"3"	"5"	"1"	"2"	""	"26"	"-562"	"0"	""	"-562"	"0"	""
"296"	""	"185"	"206"	"105"	"161"	"5"	"3"	"6"	"5"	"24"	"1"	"4"	"2"	"1"	"1"	""	"3"	"-527"	"0"	""	"-527"	"0"	""
"297"	""	"186"	"57"	"26"	"58"	"0"	"1"	"5"	"6"	"106"	"6"	"8"	"7"	"23"	"3"	""	"3"	"-309"	"0"	""	"-309"	"0"	""
"298"	""	"187"	"103"	"71"	"54"	"4"	"4"	"5"	"4"	"11"	"3"	"9"	"30"	"8"	"4"	""	"14"	"-324"	"0"	""	"-324"	"0"	""
"299"	""	"188"	"113"	"98"	"18"	"4"	"3"	"117"	"4"	"27"	"71"	"7"	"23"	"2"	"1"	""	"4"	"-492"	"0"	""	"-492"	"0"	""
"300"	""	"189"	"102"	"132"	"36"	"4"	"3"	"54"	"6"	"15"	"7"	"6"	"27"	"3"	"6"	""	"18"	"-419"	"0"	""	"-419"	"0"	""
"301"	""	"190"	"173"	"91"	"231"	"0"	"2"	"21"	"6"	"4"	"2"	"2"	"3"	"3"	"1"	""	"3"	"-542"	"0"	""	"-542"	"0"	""
"302"	""	"191"	"207"	"180"	"50"	"0"	"1"	"2"	"3"	"64"	"1"	"0"	"15"	"1"	"1"	""	"4"	"-529"	"0"	""	"-529"	"0"	""
"303"	""	"192"	"10"	"324"	"24"	"0"	"0"	"0"	"3"	"144"	"0"	"1"	"1"	"0"	"0"	""	"1"	"-508"	"0"	""	"-508"	"0"	""
"304"	""	"193"	"136"	"257"	"7"	"0"	"0"	"6"	"0"	"166"	"1"	"4"	"11"	"1"	"2"	""	"5"	"-596"	"0"	""	"-596"	"0"	""
"305"	""	"194"	"36"	"39"	"13"	"0"	"1"	"1"	"1"	"68"	"1"	"1"	"0"	"0"	"1"	""	"0"	"-162"	"0"	""	"-162"	"0"	""
"306"	""	"195"	"256"	"95"	"328"	"3"	"3"	"2"	"6"	"78"	"1"	"1"	"0"	"0"	"0"	""	"10"	"-783"	"0"	""	"-783"	"0"	""
"307"	"TOTAL"	""	"-1668"	"-1824"	"-1645"	"-33"	"-28"	"-256"	"-67"	"-857"	"-104"	"-48"	"-126"	"-50"	"-25"	""	"-99"	"-6830"	"0"	""	"-6830"	"0"	""
"308"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"313"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"314"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"315"	"R
o u n d
1
5"	"196"	"525"	"58"	"3"	"2"	"0"	"5"	"2"	"123"	"0"	"1"	"3"	"0"	"2"	""	"11"	"-735"	"0"	""	"-735"	"0"	""
"316"	""	"197"	"553"	"16"	"0"	"1"	"1"	"4"	"0"	"32"	"0"	"0"	"1"	"0"	"1"	""	"3"	"-612"	"0"	""	"-612"	"0"	""
"317"	""	"198"	"5"	"278"	"4"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	""	"0"	"-290"	"0"	""	"-290"	"0"	""
"318"	""	"199"	"1"	"80"	"12"	"0"	"0"	"0"	"0"	"29"	"0"	"1"	"0"	"0"	"6"	""	"1"	"-130"	"0"	""	"-130"	"0"	""
"319"	""	"200"	"7"	"105"	"8"	"0"	"0"	"1"	"4"	"113"	"2"	"0"	"0"	"0"	"0"	""	"0"	"-240"	"0"	""	"-240"	"0"	""
"320"	""	"201"	"2"	"200"	"3"	"0"	"0"	"0"	"0"	"71"	"0"	"1"	"0"	"0"	"0"	""	"0"	"-277"	"0"	""	"-277"	"0"	""
"321"	""	"202"	"164"	"100"	"47"	"1"	"0"	"5"	"5"	"67"	"32"	"3"	"7"	"2"	"5"	""	"17"	"-455"	"0"	""	"-455"	"0"	""
"322"	""	"203"	"118"	"182"	"65"	"3"	"3"	"5"	"3"	"9"	"0"	"1"	"1"	"1"	"1"	""	"2"	"-394"	"0"	""	"-394"	"0"	""
"323"	""	"204"	"43"	"65"	"196"	"3"	"1"	"4"	"10"	"36"	"2"	"5"	"3"	"2"	"0"	""	"8"	"-378"	"0"	""	"-378"	"0"	""
"324"	""	"205"	"110"	"212"	"39"	"3"	"3"	"1"	"5"	"18"	"0"	"2"	"1"	"0"	"2"	""	"1"	"-397"	"0"	""	"-397"	"0"	""
"325"	""	"206"	"353"	"60"	"25"	"1"	"2"	"20"	"1"	"3"	"0"	"4"	"8"	"2"	"2"	""	"8"	"-489"	"0"	""	"-489"	"0"	""
"326"	""	"207"	"159"	"78"	"100"	"2"	"3"	"2"	"3"	"16"	"5"	"2"	"2"	"1"	"1"	""	"1"	"-375"	"0"	""	"-375"	"0"	""
"327"	""	"208"	"110"	"199"	"23"	"3"	"1"	"37"	"4"	"33"	"9"	"1"	"0"	"3"	"3"	""	"5"	"-431"	"0"	""	"-431"	"0"	""
"328"	""	"209"	"272"	"230"	"11"	"3"	"10"	"62"	"1"	"34"	"7"	"0"	"3"	"0"	"2"	""	"4"	"-639"	"0"	""	"-639"	"0"	""
"329"	"TOTAL"	""	"-2422"	"-1863"	"-536"	"-22"	"-24"	"-146"	"-39"	"-586"	"-57"	"-21"	"-29"	"-11"	"-25"	""	"-61"	"-5842"	"0"	""	"-5842"	"0"	""
"330"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejecte d Votes"	"Total"	""	"No. of Tendere d Votes"
"335"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	""	"Shalik Ram"	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"336"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	""	""	""	""	""	""
"337"	"R
o u n d
1
6"	"210"	"175"	"336"	"14"	"4"	"0"	"7"	"4"	"18"	"22"	"2"	"2"	"0"	""	"5"	"6"	"-595"	""	"0"	"-595"	""	"0"
"338"	""	"211"	"117"	"126"	"55"	"40"	"2"	"2"	"5"	"17"	"65"	"2"	"1"	"1"	""	"0"	"0"	"-433"	""	"0"	"-433"	""	"0"
"339"	""	"212"	"302"	"152"	"81"	"6"	"4"	"10"	"3"	"12"	"38"	"0"	"0"	"1"	""	"4"	"7"	"-620"	""	"0"	"-620"	""	"0"
"340"	""	"213"	"92"	"77"	"259"	"20"	"10"	"4"	"24"	"25"	"9"	"5"	"5"	"3"	""	"4"	"9"	"-546"	""	"0"	"-546"	""	"0"
"341"	""	"214"	"144"	"163"	"143"	"8"	"1"	"17"	"14"	"13"	"8"	"1"	"2"	"3"	""	"2"	"10"	"-529"	""	"0"	"-529"	""	"0"
"342"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"TOTAL"	""	"-830"	"-854"	"-552"	"-78"	"-17"	"-40"	"-50"	"-85"	"-142"	"-10"	"-10"	"-8"	""	"-15"	"-32"	"-2723"	""	"0"	"-2723"	""	"0"
"352"	"Total No. of votes recorded at Polling Stations"	""	"-33623"	"-29445"	"-14856"	"-693"	"-496"	"-8304"	"-1150"	"-4884"	"-1777"	"-446"	"-3883"	"-438"	""	"-375"	"-1048"	"-101418"	""	"0"	"-101418"	""	"0"
"353"	"No. of votes recorded on postal ballot papers"	""	"-9"	"-10"	"0"	"0"	"0"	"0"	"0"	"-4"	"0"	"0"	"-1"	"0"	""	"0"	"0"	"-24"	""	"0"	"-24"	""	"0"
"354"	"Total votes
polled"	""	"-33632"	"-29455"	"-14856"	"-693"	"-496"	"-8304"	"-1150"	"-4888"	"-1777"	"-446"	"-3884"	"-438"	""	"-375"	"-1048"	"     101442      "	""	"      0       "	"    101442     "	""	"0"
"355"	"Place"	""	"Sub-Division Office, Dumraon"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""	""	""
