"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"325"	"7"	"159"	"57"	"5"	"17"	"23"	"103"	"2"	"3"	"0"	"364"	"6"	"0"	"1"	"0"	"1"	"1"	"583"	"0"	"583"	"0"
"326"	"8"	"160"	"40"	"1"	"4"	"0"	"15"	"2"	"1"	"0"	"529"	"3"	"0"	"0"	"0"	"0"	"0"	"595"	"0"	"595"	"0"
"327"	"9"	"161"	"10"	"0"	"2"	"0"	"5"	"0"	"0"	"3"	"408"	"0"	"0"	"0"	"0"	"0"	"0"	"428"	"0"	"428"	"0"
"328"	"10"	"162"	"54"	"100"	"1"	"0"	"25"	"4"	"2"	"7"	"208"	"5"	"4"	"1"	"2"	"1"	"7"	"421"	"0"	"421"	"0"
"329"	"11"	"163"	"2"	"0"	"38"	"0"	"8"	"1"	"4"	"3"	"314"	"3"	"0"	"0"	"1"	"1"	"0"	"375"	"0"	"375"	"0"
"330"	"12"	"164R"	"24"	"15"	"216"	"5"	"53"	"7"	"5"	"8"	"238"	"6"	"1"	"2"	"3"	"0"	"9"	"592"	"0"	"592"	"0"
"331"	"13"	"165R"	"16"	"46"	"39"	"2"	"17"	"2"	"6"	"11"	"98"	"1"	"4"	"2"	"4"	"7"	"13"	"268"	"0"	"268"	"0"
"332"	"14"	"166"	"12"	"10"	"45"	"1"	"61"	"0"	"2"	"2"	"370"	"2"	"0"	"0"	"0"	"0"	"0"	"505"	"0"	"505"	"0"
"333"	"Total Votes Polled"	""	"544"	"227"	"399"	"42"	"546"	"31"	"35"	"47"	"4584"	"65"	"14"	"9"	"13"	"13"	"44"	"6613"	"0"	"6613"	"0"
"334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"345"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"1"	"167R"	"4"	"5"	"7"	"1"	"40"	"4"	"2"	"10"	"134"	"24"	"7"	"3"	"2"	"4"	"5"	"252"	"0"	"252"	"0"
"348"	"2"	"168"	"163"	"5"	"5"	"0"	"4"	"0"	"0"	"0"	"400"	"2"	"0"	"0"	"0"	"0"	"1"	"580"	"0"	"580"	"0"
"349"	"3"	"169"	"8"	"0"	"0"	"1"	"45"	"1"	"1"	"2"	"775"	"13"	"4"	"5"	"0"	"1"	"5"	"861"	"0"	"861"	"0"
"350"	"4"	"170R"	"14"	"1"	"2"	"1"	"19"	"4"	"6"	"4"	"206"	"9"	"2"	"2"	"1"	"3"	"8"	"282"	"0"	"282"	"0"
"351"	"5"	"171"	"10"	"3"	"1"	"3"	"35"	"1"	"0"	"2"	"363"	"4"	"0"	"1"	"0"	"0"	"0"	"423"	"0"	"423"	"0"
"352"	"6"	"172"	"61"	"6"	"2"	"3"	"131"	"5"	"2"	"3"	"664"	"13"	"1"	"1"	"1"	"1"	"8"	"902"	"0"	"902"	"0"
"353"	"7"	"173"	"5"	"7"	"3"	"4"	"282"	"10"	"5"	"6"	"98"	"29"	"10"	"4"	"3"	"4"	"11"	"481"	"0"	"481"	"0"
"354"	"8"	"174"	"24"	"24"	"1"	"1"	"161"	"0"	"0"	"4"	"273"	"10"	"0"	"0"	"1"	"0"	"3"	"502"	"0"	"502"	"0"
"355"	"9"	"175"	"16"	"4"	"2"	"4"	"126"	"3"	"5"	"7"	"505"	"22"	"5"	"3"	"1"	"1"	"8"	"712"	"0"	"712"	"0"
"356"	"10"	"176"	"40"	"51"	"10"	"6"	"79"	"6"	"7"	"12"	"348"	"11"	"1"	"4"	"2"	"2"	"5"	"584"	"0"	"584"	"0"
"357"	"11"	"177"	"66"	"142"	"7"	"4"	"97"	"5"	"8"	"10"	"154"	"15"	"8"	"12"	"7"	"16"	"29"	"580"	"0"	"580"	"0"
"358"	"12"	"178"	"24"	"22"	"9"	"2"	"185"	"6"	"2"	"5"	"127"	"13"	"5"	"5"	"1"	"0"	"4"	"410"	"0"	"410"	"0"
"359"	"13"	"179"	"14"	"129"	"6"	"2"	"101"	"4"	"0"	"5"	"311"	"6"	"2"	"3"	"5"	"8"	"7"	"603"	"0"	"603"	"0"
"360"	"14"	"180"	"17"	"8"	"8"	"4"	"233"	"4"	"5"	"4"	"223"	"39"	"1"	"3"	"1"	"0"	"8"	"558"	"0"	"558"	"0"
"361"	"Total Votes Polled"	""	"466"	"407"	"63"	"36"	"1538"	"53"	"43"	"74"	"4581"	"210"	"46"	"46"	"25"	"40"	"102"	"7730"	"0"	"7730"	"0"
"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"373"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"1"	"181"	"10"	"27"	"2"	"5"	"582"	"6"	"4"	"4"	"112"	"23"	"2"	"5"	"4"	"6"	"18"	"810"	"0"	"810"	"0"
"376"	"2"	"182"	"131"	"29"	"4"	"2"	"77"	"4"	"6"	"9"	"201"	"23"	"9"	"7"	"2"	"2"	"10"	"516"	"0"	"516"	"0"
"377"	"3"	"183"	"4"	"1"	"0"	"1"	"8"	"0"	"0"	"1"	"380"	"1"	"0"	"0"	"0"	"0"	"0"	"396"	"0"	"396"	"0"
"378"	"4"	"184R"	"17"	"18"	"0"	"1"	"69"	"1"	"3"	"7"	"263"	"7"	"6"	"0"	"5"	"2"	"10"	"409"	"0"	"409"	"0"
"379"	"5"	"185"	"2"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"771"	"2"	"0"	"0"	"0"	"0"	"0"	"779"	"0"	"779"	"0"
"380"	"6"	"186"	"12"	"8"	"1"	"3"	"155"	"6"	"1"	"2"	"325"	"21"	"1"	"0"	"0"	"1"	"1"	"537"	"0"	"537"	"0"
"381"	"7"	"187"	"6"	"1"	"0"	"0"	"20"	"1"	"0"	"2"	"762"	"5"	"0"	"0"	"0"	"0"	"0"	"797"	"0"	"797"	"0"
"382"	"8"	"187A"	"2"	"2"	"0"	"0"	"4"	"0"	"0"	"0"	"312"	"2"	"0"	"0"	"0"	"0"	"0"	"322"	"0"	"322"	"0"
"383"	"9"	"188"	"28"	"8"	"0"	"5"	"29"	"1"	"2"	"10"	"358"	"7"	"3"	"2"	"0"	"1"	"1"	"455"	"0"	"455"	"0"
"384"	"10"	"189"	"1"	"2"	"0"	"0"	"17"	"1"	"0"	"0"	"287"	"4"	"0"	"0"	"0"	"0"	"0"	"312"	"0"	"312"	"0"
"385"	"11"	"190"	"29"	"87"	"15"	"8"	"83"	"7"	"6"	"30"	"204"	"28"	"13"	"7"	"14"	"14"	"27"	"572"	"0"	"572"	"0"
"386"	"12"	"191R"	"9"	"0"	"0"	"1"	"17"	"3"	"0"	"3"	"367"	"8"	"1"	"1"	"1"	"0"	"2"	"413"	"0"	"413"	"0"
"387"	"13"	"192"	"13"	"3"	"0"	"0"	"69"	"0"	"3"	"14"	"595"	"12"	"7"	"2"	"2"	"4"	"2"	"726"	"0"	"726"	"0"
"388"	"14"	"193"	"30"	"58"	"5"	"8"	"45"	"7"	"3"	"9"	"136"	"14"	"8"	"6"	"6"	"7"	"22"	"364"	"0"	"364"	"0"
"389"	"Total Votes Polled"	""	"294"	"244"	"27"	"34"	"1179"	"37"	"28"	"91"	"5073"	"157"	"50"	"30"	"34"	"37"	"93"	"7408"	"0"	"7408"	"0"
"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"401"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"1"	"194"	"5"	"21"	"6"	"1"	"34"	"0"	"1"	"3"	"737"	"2"	"0"	"0"	"0"	"0"	"6"	"816"	"0"	"816"	"0"
"404"	"2"	"195"	"9"	"3"	"4"	"0"	"27"	"6"	"4"	"19"	"238"	"22"	"7"	"5"	"7"	"5"	"37"	"393"	"0"	"393"	"0"
"405"	"3"	"196"	"3"	"7"	"4"	"0"	"47"	"5"	"2"	"1"	"56"	"9"	"3"	"4"	"2"	"6"	"11"	"160"	"0"	"160"	"0"
"406"	"4"	"197"	"3"	"3"	"11"	"1"	"23"	"0"	"0"	"1"	"533"	"2"	"2"	"0"	"0"	"0"	"2"	"581"	"0"	"581"	"0"
"407"	"5"	"198"	"63"	"13"	"0"	"0"	"47"	"1"	"0"	"4"	"71"	"8"	"2"	"1"	"1"	"0"	"1"	"212"	"0"	"212"	"0"
"408"	"6"	"199"	"4"	"3"	"1"	"0"	"4"	"0"	"0"	"2"	"825"	"2"	"0"	"0"	"0"	"0"	"0"	"841"	"0"	"841"	"0"
"409"	"7"	"200R"	"53"	"2"	"1"	"2"	"19"	"1"	"4"	"6"	"112"	"3"	"0"	"0"	"0"	"2"	"1"	"206"	"0"	"206"	"0"
"410"	"8"	"201"	"10"	"109"	"1"	"1"	"50"	"2"	"1"	"12"	"213"	"4"	"3"	"1"	"1"	"1"	"0"	"409"	"0"	"409"	"0"
"411"	"9"	"202"	"16"	"1"	"9"	"0"	"3"	"0"	"0"	"1"	"357"	"3"	"1"	"0"	"0"	"0"	"0"	"391"	"0"	"391"	"0"
"412"	"10"	"203"	"38"	"19"	"0"	"0"	"106"	"0"	"0"	"1"	"566"	"1"	"0"	"0"	"0"	"0"	"0"	"731"	"0"	"731"	"0"
"413"	"11"	"204R"	"1"	"2"	"0"	"2"	"29"	"0"	"2"	"0"	"336"	"3"	"0"	"0"	"0"	"0"	"0"	"375"	"0"	"375"	"0"
"414"	"12"	"205"	"5"	"3"	"3"	"0"	"9"	"2"	"1"	"0"	"391"	"3"	"3"	"2"	"1"	"0"	"2"	"425"	"0"	"425"	"0"
"415"	"13"	"206"	"9"	"1"	"24"	"0"	"11"	"0"	"2"	"0"	"558"	"0"	"0"	"0"	"1"	"0"	"0"	"606"	"0"	"606"	"0"
"416"	"14"	"207"	"16"	"2"	"2"	"5"	"237"	"9"	"5"	"6"	"37"	"15"	"6"	"5"	"3"	"1"	"9"	"358"	"0"	"358"	"0"
"417"	"Total Votes Polled"	""	"235"	"189"	"66"	"12"	"646"	"26"	"22"	"56"	"5030"	"77"	"27"	"18"	"16"	"15"	"69"	"6504"	"0"	"6504"	"0"
"418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"429"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"430"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	"1"	"208"	"92"	"13"	"13"	"1"	"77"	"4"	"0"	"1"	"536"	"10"	"2"	"1"	"1"	"0"	"4"	"755"	"0"	"755"	"0"
"432"	"2"	"209"	"3"	"0"	"0"	"0"	"11"	"0"	"1"	"1"	"659"	"1"	"0"	"0"	"0"	"0"	"1"	"677"	"0"	"677"	"0"
"433"	"3"	"210"	"11"	"19"	"0"	"0"	"14"	"2"	"0"	"1"	"988"	"0"	"0"	"0"	"0"	"0"	"0"	"1035"	"0"	"1035"	"0"
"434"	"Total Votes Polled"	""	"106"	"32"	"13"	"1"	"102"	"6"	"1"	"3"	"2183"	"11"	"2"	"1"	"1"	"0"	"5"	"2467"	"0"	"2467"	"0"
"435"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"436"	""	"POSTAL"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"7"	"0"
"437"	""	"TOTAL"	"9171"	"10492"	"2481"	"543"	"8418"	"532"	"657"	"1069"	"65224"	"1216"	"418"	"318"	"434"	"546"	"1250"	"102769"	"0"	"102769"	"0"
