"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendere.d.Votes"
"241"	"187"	"212"	"7"	"112"	"4"	"0"	"1"	"4"	"4"	"3"	"1"	"2"	"1"	"1"	"8"	"2"	"13"	"0"	"1"	"6"	"1"	"383"	""	"383"	""
"242"	"188"	"103"	"1"	"164"	"10"	"1"	"1"	"25"	"3"	"1"	"2"	"23"	"1"	"4"	"7"	"0"	"5"	"2"	"1"	"10"	"8"	"372"	""	"372"	""
"243"	"189"	"46"	"3"	"227"	"0"	"0"	"1"	"6"	"8"	"0"	"0"	"4"	"0"	"1"	"1"	"1"	"2"	"5"	"3"	"44"	"16"	"368"	""	"368"	""
"244"	"190"	"29"	"6"	"155"	"7"	"2"	"3"	"14"	"6"	"2"	"8"	"2"	"5"	"6"	"23"	"6"	"8"	"3"	"4"	"7"	"6"	"302"	""	"302"	""
"245"	"191"	"6"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"29"	"0"	"41"	""	"41"	""
"246"	"192"	"189"	"13"	"90"	"6"	"2"	"1"	"5"	"11"	"2"	"1"	"3"	"11"	"4"	"10"	"3"	"6"	"2"	"6"	"22"	"10"	"397"	""	"397"	""
"247"	"193"	"339"	"21"	"47"	"1"	"0"	"1"	"1"	"5"	"3"	"4"	"1"	"1"	"2"	"1"	"1"	"17"	"4"	"2"	"10"	"0"	"461"	""	"461"	""
"248"	"194"	"128"	"4"	"89"	"0"	"0"	"5"	"2"	"3"	"1"	"1"	"5"	"23"	"5"	"2"	"1"	"13"	"12"	"1"	"31"	"2"	"328"	""	"328"	""
"249"	"195"	"374"	"24"	"2"	"4"	"3"	"3"	"3"	"2"	"1"	"0"	"0"	"43"	"2"	"0"	"4"	"16"	"7"	"7"	"9"	"4"	"508"	""	"508"	""
"250"	"196"	"101"	"8"	"127"	"3"	"2"	"4"	"34"	"3"	"4"	"2"	"12"	"5"	"8"	"24"	"6"	"21"	"10"	"10"	"106"	"30"	"520"	""	"520"	""
"251"	"Total Round 14"	"2196"	"110"	"1463"	"49"	"27"	"25"	"108"	"54"	"23"	"25"	"64"	"120"	"41"	"118"	"38"	"134"	"60"	"41"	"559"	"182"	"5437"	"0"	"5437"	"0"
"252"	"Total No. of Electors in Assembly Constituency :-  212925"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74  BISFI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"260"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"261"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"262"	"197"	"130"	"16"	"149"	"7"	"3"	"6"	"3"	"11"	"5"	"6"	"1"	"17"	"7"	"13"	"3"	"5"	"1"	"5"	"18"	"4"	"410"	""	"410"	""
"263"	"198"	"71"	"0"	"191"	"4"	"3"	"5"	"3"	"8"	"3"	"4"	"4"	"0"	"1"	"5"	"10"	"11"	"7"	"1"	"84"	"21"	"436"	""	"436"	""
"264"	"199"	"99"	"2"	"124"	"4"	"2"	"2"	"5"	"3"	"1"	"2"	"5"	"6"	"6"	"17"	"0"	"24"	"12"	"3"	"64"	"12"	"393"	""	"393"	""
"265"	"Total Round 15"	"300"	"18"	"464"	"15"	"8"	"13"	"11"	"22"	"9"	"12"	"10"	"23"	"14"	"35"	"13"	"40"	"20"	"9"	"166"	"37"	"1239"	"0"	"1239"	"0"
"266"	"Total No. of votes recorded at Polling stations"	"16473"	"3231"	"13546"	"646"	"795"	"740"	"3208"	"4179"	"692"	"651"	"2034"	"6315"	"1054"	"921"	"948"	"2540"	"1619"	"1601"	"7533"	"17942"	"86668"	"0"	"86668"	"0"
"267"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"268"	"TOTAL VOTES POLLED"	"16473"	"3231"	"13546"	"646"	"795"	"740"	"3208"	"4179"	"692"	"651"	"2034"	"6315"	"1054"	"921"	"948"	"2540"	"1619"	"1601"	"7533"	"17942"	"86668"	"0"	"86668"	"0"
