"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"Total.of.valid.Votes"	"X..45"	"No..of.rejected.votes"	"X..46"	"TOTAL"	"X..47"	"No..of.tendered.Votes"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"
"143"	"197"	"17"	"6"	""	"56"	""	"8"	""	"103"	""	"20"	""	""	"55"	""	""	"14"	""	""	"364"	""	""	"13"	""	""	"6"	""	"1"	"3"	""	"6"	""	"1"	""	"9"	""	"1"	""	"1"	""	"0"	""	"1"	""	""	"4"	""	"689"	""	"0"	""	"689"	""	"0"	""	""	""	""	""
"144"	"198"	"15"	"7"	""	"163"	""	"9"	""	"23"	""	"18"	""	""	"40"	""	""	"10"	""	""	"310"	""	""	"11"	""	""	"4"	""	"9"	"5"	""	"5"	""	"7"	""	"7"	""	"23"	""	"12"	""	"7"	""	"7"	""	""	"5"	""	"697"	""	"0"	""	"697"	""	"0"	""	""	""	""	""
"145"	"199"	"148"	"39"	""	"27"	""	"10"	""	"56"	""	"16"	""	""	"48"	""	""	"7"	""	""	"233"	""	""	"9"	""	""	"9"	""	"3"	"6"	""	"4"	""	"4"	""	"9"	""	"5"	""	"0"	""	"0"	""	"0"	""	""	"2"	""	"635"	""	"0"	""	"635"	""	"0"	""	""	""	""	""
"146"	"200"	"24"	"6"	""	"29"	""	"4"	""	"115"	""	"9"	""	""	"48"	""	""	"7"	""	""	"447"	""	""	"4"	""	""	"1"	""	"2"	"1"	""	"0"	""	"0"	""	"0"	""	"2"	""	"1"	""	"0"	""	"0"	""	""	"1"	""	"701"	""	"0"	""	"701"	""	"0"	""	""	""	""	""
"147"	"201"	"45"	"7"	""	"162"	""	"8"	""	"82"	""	"10"	""	""	"43"	""	""	"7"	""	""	"349"	""	""	"7"	""	""	"4"	""	"4"	"5"	""	"3"	""	"2"	""	"10"	""	"20"	""	"11"	""	"4"	""	"3"	""	""	"9"	""	"795"	""	"0"	""	"795"	""	"0"	""	""	""	""	""
"148"	"202"	"20"	"4"	""	"21"	""	"7"	""	"72"	""	"7"	""	""	"58"	""	""	"8"	""	""	"297"	""	""	"9"	""	""	"5"	""	"4"	"2"	""	"1"	""	"3"	""	"5"	""	"3"	""	"0"	""	"0"	""	"1"	""	""	"1"	""	"528"	""	"0"	""	"528"	""	"0"	""	""	""	""	""
"149"	"203"	"13"	"5"	""	"127"	""	"8"	""	"9"	""	"13"	""	""	"78"	""	""	"14"	""	""	"704"	""	""	"7"	""	""	"5"	""	"3"	"1"	""	"1"	""	"0"	""	"5"	""	"0"	""	"1"	""	"1"	""	"0"	""	""	"2"	""	"997"	""	"0"	""	"997"	""	"0"	""	""	""	""	""
"150"	"204"	"6"	"2"	""	"132"	""	"6"	""	"102"	""	"6"	""	""	"33"	""	""	"6"	""	""	"311"	""	""	"10"	""	""	"3"	""	"1"	"3"	""	"1"	""	"1"	""	"4"	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"2"	""	"630"	""	"0"	""	"630"	""	"0"	""	""	""	""	""
"151"	"205"	"42"	"6"	""	"123"	""	"2"	""	"47"	""	"24"	""	""	"70"	""	""	"6"	""	""	"367"	""	""	"3"	""	""	"5"	""	"4"	"8"	""	"3"	""	"4"	""	"13"	""	"1"	""	"8"	""	"4"	""	"3"	""	""	"4"	""	"747"	""	"0"	""	"747"	""	"0"	""	""	""	""	""
"152"	"206"	"16"	"6"	""	"150"	""	"7"	""	"14"	""	"9"	""	""	"76"	""	""	"8"	""	""	"462"	""	""	"9"	""	""	"4"	""	"1"	"4"	""	"2"	""	"2"	""	"8"	""	"0"	""	"3"	""	"2"	""	"1"	""	""	"1"	""	"785"	""	"0"	""	"785"	""	"0"	""	""	""	""	""
"153"	"207"	"18"	"1"	""	"35"	""	"3"	""	"256"	""	"6"	""	""	"16"	""	""	"1"	""	""	"216"	""	""	"4"	""	""	"1"	""	"7"	"3"	""	"1"	""	"3"	""	"1"	""	"8"	""	"3"	""	"5"	""	"1"	""	""	"16"	""	"605"	""	"0"	""	"605"	""	"0"	""	""	""	""	""
"154"	"208"	"5"	"4"	""	"25"	""	"4"	""	"43"	""	"12"	""	""	"65"	""	""	"20"	""	""	"548"	""	""	"9"	""	""	"6"	""	"4"	"1"	""	"1"	""	"3"	""	"6"	""	"1"	""	"0"	""	"0"	""	"1"	""	""	"1"	""	"759"	""	"0"	""	"759"	""	"0"	""	""	""	""	""
"155"	"209"	"15"	"2"	""	"83"	""	"10"	""	"163"	""	"23"	""	""	"87"	""	""	"15"	""	""	"266"	""	""	"15"	""	""	"9"	""	"6"	"5"	""	"6"	""	"6"	""	"24"	""	"1"	""	"3"	""	"2"	""	"1"	""	""	"6"	""	"748"	""	"0"	""	"748"	""	"0"	""	""	""	""	""
"156"	"210"	"12"	"8"	""	"82"	""	"8"	""	"43"	""	"13"	""	""	"65"	""	""	"7"	""	""	"406"	""	""	"5"	""	""	"3"	""	"8"	"3"	""	"1"	""	"4"	""	"7"	""	"1"	""	"1"	""	"1"	""	"0"	""	""	"0"	""	"678"	""	"0"	""	"678"	""	"0"	""	""	""	""	""
"157"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"158"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"99"	"93"	"4"	""	"3"	""	"3"	""	"18"	""	"67"	""	""	"49"	""	""	"3"	""	""	"201"	""	""	"7"	""	""	"7"	""	"3"	"5"	""	"5"	""	"5"	""	"14"	""	"6"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	"493"	""	"0"	""	"493"	""	"0"	""	""	""	""	""
"160"	"100"	"24"	"2"	""	"8"	""	"2"	""	"24"	""	"37"	""	""	"43"	""	""	"11"	""	""	"255"	""	""	"10"	""	""	"4"	""	"9"	"10"	""	"6"	""	"9"	""	"34"	""	"5"	""	"3"	""	"1"	""	"5"	""	""	"3"	""	"505"	""	"0"	""	"505"	""	"0"	""	""	""	""	""
"161"	"101"	"61"	"1"	""	"10"	""	"8"	""	"150"	""	"408"	""	""	"27"	""	""	"4"	""	""	"85"	""	""	"3"	""	""	"8"	""	"1"	"2"	""	"2"	""	"5"	""	"10"	""	"7"	""	"2"	""	"0"	""	"3"	""	""	"2"	""	"799"	""	"0"	""	"799"	""	"0"	""	""	""	""	""
"162"	"102"	"53"	"5"	""	"25"	""	"8"	""	"233"	""	"8"	""	""	"5"	""	""	"2"	""	""	"35"	""	""	"8"	""	""	"2"	""	"3"	"2"	""	"1"	""	"2"	""	"4"	""	"73"	""	"1"	""	"0"	""	"0"	""	""	"56"	""	"526"	""	"0"	""	"526"	""	"0"	""	""	""	""	""
"163"	"103"	"47"	"7"	""	"11"	""	"3"	""	"167"	""	"10"	""	""	"19"	""	""	"5"	""	""	"117"	""	""	"13"	""	""	"3"	""	"2"	"2"	""	"2"	""	"2"	""	"13"	""	"221"	""	"9"	""	"1"	""	"1"	""	""	"11"	""	"666"	""	"0"	""	"666"	""	"0"	""	""	""	""	""
"164"	"104"	"55"	"2"	""	"18"	""	"2"	""	"232"	""	"11"	""	""	"5"	""	""	"1"	""	""	"59"	""	""	"5"	""	""	"1"	""	"2"	"3"	""	"2"	""	"2"	""	"3"	""	"289"	""	"8"	""	"7"	""	"2"	""	""	"17"	""	"726"	""	"0"	""	"726"	""	"0"	""	""	""	""	""
"165"	"105"	"39"	"6"	""	"6"	""	"7"	""	"81"	""	"79"	""	""	"47"	""	""	"8"	""	""	"331"	""	""	"12"	""	""	"9"	""	"12"	"7"	""	"3"	""	"10"	""	"38"	""	"7"	""	"3"	""	"1"	""	"3"	""	""	"7"	""	"716"	""	"0"	""	"716"	""	"0"	""	""	""	""	""
"166"	"106"	"43"	"11"	""	"8"	""	"3"	""	"178"	""	"42"	""	""	"38"	""	""	"9"	""	""	"268"	""	""	"3"	""	""	"7"	""	"7"	"3"	""	"6"	""	"3"	""	"13"	""	"7"	""	"2"	""	"3"	""	"0"	""	""	"1"	""	"655"	""	"0"	""	"655"	""	"0"	""	""	""	""	""
"167"	"107"	"38"	"5"	""	"15"	""	"4"	""	"55"	""	"14"	""	""	"53"	""	""	"5"	""	""	"358"	""	""	"9"	""	""	"3"	""	"7"	"3"	""	"49"	""	"1"	""	"3"	""	"34"	""	"2"	""	"2"	""	"2"	""	""	"3"	""	"665"	""	"0"	""	"665"	""	"0"	""	""	""	""	""
"168"	"108"	"150"	"16"	""	"17"	""	"3"	""	"40"	""	"9"	""	""	"60"	""	""	"9"	""	""	"309"	""	""	"20"	""	""	"1"	""	"6"	"6"	""	"11"	""	"2"	""	"5"	""	"24"	""	"0"	""	"4"	""	"2"	""	""	"8"	""	"702"	""	"0"	""	"702"	""	"0"	""	""	""	""	""
"169"	"109"	"75"	"2"	""	"7"	""	"4"	""	"41"	""	"5"	""	""	"47"	""	""	"8"	""	""	"290"	""	""	"7"	""	""	"3"	""	"1"	"5"	""	"13"	""	"4"	""	"9"	""	"2"	""	"1"	""	"2"	""	"1"	""	""	"0"	""	"527"	""	"0"	""	"527"	""	"0"	""	""	""	""	""
"170"	"110"	"24"	"3"	""	"12"	""	"6"	""	"171"	""	"13"	""	""	"23"	""	""	"5"	""	""	"143"	""	""	"4"	""	""	"3"	""	"2"	"6"	""	"40"	""	"2"	""	"14"	""	"16"	""	"2"	""	"3"	""	"4"	""	""	"11"	""	"507"	""	"0"	""	"507"	""	"0"	""	""	""	""	""
"171"	"111"	"10"	"2"	""	"111"	""	"2"	""	"10"	""	"7"	""	""	"19"	""	""	"1"	""	""	"202"	""	""	"6"	""	""	"3"	""	"3"	"4"	""	"1"	""	"2"	""	"7"	""	"2"	""	"6"	""	"2"	""	"2"	""	""	"3"	""	"405"	""	"0"	""	"405"	""	"0"	""	""	""	""	""
"172"	"112"	"27"	"1"	""	"14"	""	"7"	""	"225"	""	"14"	""	""	"33"	""	""	"6"	""	""	"258"	""	""	"14"	""	""	"6"	""	"11"	"7"	""	"8"	""	"5"	""	"23"	""	"7"	""	"16"	""	"6"	""	"5"	""	""	"3"	""	"696"	""	"0"	""	"696"	""	"0"	""	""	""	""	""
"173"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"174"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"113"	"17"	"1"	""	"18"	""	"2"	""	"296"	""	"6"	""	""	"5"	""	""	"4"	""	""	"24"	""	""	"1"	""	""	"2"	""	"6"	"4"	""	"3"	""	"3"	""	"36"	""	"22"	""	"4"	""	"0"	""	"1"	""	""	"3"	""	"458"	""	"0"	""	"458"	""	"0"	""	""	""	""	""
"176"	"114"	"36"	"10"	""	"42"	""	"13"	""	"348"	""	"24"	""	""	"44"	""	""	"21"	""	""	"215"	""	""	"14"	""	""	"6"	""	"4"	"6"	""	"2"	""	"4"	""	"13"	""	"15"	""	"2"	""	"5"	""	"1"	""	""	"6"	""	"831"	""	"0"	""	"831"	""	"0"	""	""	""	""	""
"177"	"115"	"42"	"7"	""	"16"	""	"8"	""	"324"	""	"3"	""	""	"1"	""	""	"5"	""	""	"38"	""	""	"1"	""	""	"1"	""	"4"	"3"	""	"1"	""	"1"	""	"81"	""	"28"	""	"3"	""	"1"	""	"0"	""	""	"7"	""	"575"	""	"0"	""	"575"	""	"0"	""	""	""	""	""
"178"	"116"	"33"	"5"	""	"29"	""	"3"	""	"177"	""	"11"	""	""	"21"	""	""	"5"	""	""	"246"	""	""	"5"	""	""	"3"	""	"4"	"4"	""	"0"	""	"5"	""	"10"	""	"7"	""	"5"	""	"2"	""	"1"	""	""	"5"	""	"581"	""	"0"	""	"581"	""	"0"	""	""	""	""	""
"179"	"117"	"49"	"6"	""	"4"	""	"6"	""	"190"	""	"7"	""	""	"35"	""	""	"35"	""	""	"148"	""	""	"10"	""	""	"6"	""	"0"	"10"	""	"4"	""	"5"	""	"13"	""	"7"	""	"0"	""	"0"	""	"3"	""	""	"3"	""	"541"	""	"0"	""	"541"	""	"0"	""	""	""	""	""
"180"	"118"	"112"	"12"	""	"15"	""	"9"	""	"14"	""	"41"	""	""	"73"	""	""	"22"	""	""	"304"	""	""	"11"	""	""	"3"	""	"6"	"5"	""	"3"	""	"1"	""	"5"	""	"4"	""	"0"	""	"3"	""	"0"	""	""	"4"	""	"647"	""	"0"	""	"647"	""	"0"	""	""	""	""	""
"181"	"119"	"68"	"6"	""	"8"	""	"10"	""	"324"	""	"6"	""	""	"21"	""	""	"14"	""	""	"104"	""	""	"13"	""	""	"3"	""	"1"	"1"	""	"2"	""	"2"	""	"6"	""	"17"	""	"2"	""	"3"	""	"1"	""	""	"1"	""	"613"	""	"0"	""	"613"	""	"0"	""	""	""	""	""
"182"	"120"	"26"	"10"	""	"4"	""	"10"	""	"387"	""	"11"	""	""	"14"	""	""	"33"	""	""	"38"	""	""	"7"	""	""	"6"	""	"4"	"3"	""	"6"	""	"2"	""	"6"	""	"5"	""	"3"	""	"5"	""	"1"	""	""	"1"	""	"582"	""	"0"	""	"582"	""	"0"	""	""	""	""	""
"183"	"121"	"97"	"9"	""	"5"	""	"5"	""	"199"	""	"15"	""	""	"16"	""	""	"30"	""	""	"50"	""	""	"5"	""	""	"4"	""	"5"	"6"	""	"4"	""	"4"	""	"14"	""	"13"	""	"2"	""	"2"	""	"6"	""	""	"7"	""	"498"	""	"0"	""	"498"	""	"0"	""	""	""	""	""
"184"	"122"	"34"	"7"	""	"177"	""	"11"	""	"127"	""	"11"	""	""	"44"	""	""	"21"	""	""	"337"	""	""	"18"	""	""	"7"	""	"6"	"8"	""	"11"	""	"8"	""	"25"	""	"1"	""	"0"	""	"2"	""	"2"	""	""	"1"	""	"858"	""	"0"	""	"858"	""	"0"	""	""	""	""	""
"185"	"123"	"22"	"10"	""	"571"	""	"20"	""	"45"	""	"2"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"1"	""	""	"1"	""	"0"	"16"	""	"2"	""	"1"	""	"1"	""	"1"	""	"1"	""	"1"	""	"0"	""	""	"0"	""	"701"	""	"0"	""	"701"	""	"0"	""	""	""	""	""
"186"	"124"	"16"	"4"	""	"121"	""	"7"	""	"125"	""	"17"	""	""	"54"	""	""	"7"	""	""	"307"	""	""	"15"	""	""	"4"	""	"5"	"3"	""	"1"	""	"1"	""	"11"	""	"2"	""	"1"	""	"0"	""	"1"	""	""	"4"	""	"706"	""	"0"	""	"706"	""	"0"	""	""	""	""	""
"187"	"125"	"34"	"5"	""	"43"	""	"12"	""	"371"	""	"32"	""	""	"36"	""	""	"5"	""	""	"197"	""	""	"11"	""	""	"3"	""	"4"	"14"	""	"0"	""	"6"	""	"3"	""	"5"	""	"2"	""	"0"	""	"2"	""	""	"4"	""	"789"	""	"0"	""	"789"	""	"0"	""	""	""	""	""
"188"	"126"	"8"	"3"	""	"59"	""	"2"	""	"51"	""	"6"	""	""	"38"	""	""	"6"	""	""	"286"	""	""	"9"	""	""	"2"	""	"2"	"5"	""	"1"	""	"1"	""	"18"	""	"2"	""	"0"	""	"1"	""	"1"	""	""	"2"	""	"503"	""	"0"	""	"503"	""	"0"	""	""	""	""	""
"189"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"190"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"141"	"18"	"3"	""	"9"	""	"4"	""	"83"	""	"9"	""	""	"55"	""	""	"11"	""	""	"387"	""	""	"8"	""	""	"7"	""	"4"	"4"	""	"2"	""	"7"	""	"16"	""	"10"	""	"3"	""	"4"	""	"5"	""	""	"9"	""	"658"	""	"0"	""	"658"	""	"0"	""	""	""	""	""
"192"	"142"	"49"	"6"	""	"9"	""	"4"	""	"78"	""	"15"	""	""	"40"	""	""	"9"	""	""	"198"	""	""	"10"	""	""	"1"	""	"2"	"9"	""	"2"	""	"4"	""	"3"	""	"0"	""	"1"	""	"3"	""	"1"	""	""	"2"	""	"446"	""	"0"	""	"446"	""	"0"	""	""	""	""	""
"193"	"143"	"9"	"1"	""	"38"	""	"4"	""	"97"	""	"24"	""	""	"22"	""	""	"8"	""	""	"171"	""	""	"5"	""	""	"3"	""	"2"	"42"	""	"0"	""	"2"	""	"4"	""	"4"	""	"2"	""	"2"	""	"1"	""	""	"0"	""	"441"	""	"0"	""	"441"	""	"0"	""	""	""	""	""
"194"	"144"	"68"	"8"	""	"37"	""	"9"	""	"96"	""	"13"	""	""	"55"	""	""	"10"	""	""	"233"	""	""	"8"	""	""	"7"	""	"2"	"3"	""	"4"	""	"4"	""	"20"	""	"3"	""	"2"	""	"1"	""	"3"	""	""	"6"	""	"592"	""	"0"	""	"592"	""	"0"	""	""	""	""	""
"195"	"145"	"38"	"2"	""	"3"	""	"5"	""	"41"	""	"7"	""	""	"23"	""	""	"4"	""	""	"349"	""	""	"1"	""	""	"6"	""	"1"	"2"	""	"2"	""	"3"	""	"5"	""	"0"	""	"0"	""	"1"	""	"2"	""	""	"0"	""	"495"	""	"0"	""	"495"	""	"0"	""	""	""	""	""
"196"	"146"	"14"	"8"	""	"23"	""	"5"	""	"87"	""	"12"	""	""	"20"	""	""	"3"	""	""	"301"	""	""	"7"	""	""	"4"	""	"4"	"4"	""	"5"	""	"3"	""	"14"	""	"7"	""	"4"	""	"5"	""	"8"	""	""	"12"	""	"550"	""	"0"	""	"550"	""	"0"	""	""	""	""	""
"197"	"147"	"24"	"6"	""	"115"	""	"3"	""	"26"	""	"0"	""	""	"62"	""	""	"13"	""	""	"285"	""	""	"8"	""	""	"9"	""	"4"	"2"	""	"3"	""	"2"	""	"12"	""	"7"	""	"6"	""	"10"	""	"5"	""	""	"14"	""	"616"	""	"0"	""	"616"	""	"0"	""	""	""	""	""
"198"	"148"	"12"	"4"	""	"31"	""	"3"	""	"46"	""	"17"	""	""	"46"	""	""	"12"	""	""	"227"	""	""	"5"	""	""	"4"	""	"7"	"6"	""	"3"	""	"1"	""	"11"	""	"5"	""	"2"	""	"2"	""	"3"	""	""	"6"	""	"453"	""	"0"	""	"453"	""	"0"	""	""	""	""	""
"199"	"149"	"17"	"5"	""	"4"	""	"4"	""	"58"	""	"6"	""	""	"52"	""	""	"13"	""	""	"319"	""	""	"8"	""	""	"7"	""	"5"	"3"	""	"4"	""	"1"	""	"16"	""	"3"	""	"0"	""	"2"	""	"0"	""	""	"8"	""	"535"	""	"0"	""	"535"	""	"0"	""	""	""	""	""
"200"	"150"	"23"	"5"	""	"34"	""	"6"	""	"7"	""	"6"	""	""	"31"	""	""	"14"	""	""	"470"	""	""	"9"	""	""	"4"	""	"2"	"4"	""	"0"	""	"1"	""	"3"	""	"4"	""	"1"	""	"0"	""	"1"	""	""	"0"	""	"625"	""	"0"	""	"625"	""	"0"	""	""	""	""	""
"201"	"151"	"35"	"3"	""	"7"	""	"5"	""	"12"	""	"7"	""	""	"31"	""	""	"7"	""	""	"273"	""	""	"9"	""	""	"2"	""	"4"	"1"	""	"1"	""	"3"	""	"8"	""	"5"	""	"0"	""	"0"	""	"0"	""	""	"2"	""	"415"	""	"0"	""	"415"	""	"0"	""	""	""	""	""
"202"	"152"	"33"	"1"	""	"62"	""	"4"	""	"23"	""	"7"	""	""	"40"	""	""	"15"	""	""	"564"	""	""	"6"	""	""	"4"	""	"4"	"4"	""	"1"	""	"1"	""	"6"	""	"1"	""	"3"	""	"1"	""	"1"	""	""	"0"	""	"781"	""	"0"	""	"781"	""	"0"	""	""	""	""	""
"203"	"153"	"22"	"4"	""	"34"	""	"2"	""	"66"	""	"17"	""	""	"50"	""	""	"15"	""	""	"357"	""	""	"10"	""	""	"6"	""	"9"	"7"	""	"3"	""	"2"	""	"16"	""	"1"	""	"3"	""	"2"	""	"3"	""	""	"4"	""	"633"	""	"0"	""	"633"	""	"0"	""	""	""	""	""
"204"	"154"	"100"	"11"	""	"32"	""	"11"	""	"72"	""	"13"	""	""	"58"	""	""	"7"	""	""	"360"	""	""	"9"	""	""	"9"	""	"1"	"2"	""	"4"	""	"1"	""	"3"	""	"8"	""	"4"	""	"3"	""	"0"	""	""	"2"	""	"710"	""	"0"	""	"710"	""	"0"	""	""	""	""	""
"205"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"206"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"155"	"11"	"4"	""	"3"	""	"5"	""	"164"	""	"1"	""	""	"19"	""	""	"9"	""	""	"143"	""	""	"6"	""	""	"1"	""	"5"	"6"	""	"0"	""	"1"	""	"16"	""	"0"	""	"1"	""	"0"	""	"1"	""	""	"2"	""	"398"	""	"0"	""	"398"	""	"0"	""	""	""	""	""
"208"	"156"	"17"	"3"	""	"0"	""	"4"	""	"182"	""	"14"	""	""	"40"	""	""	"13"	""	""	"330"	""	""	"15"	""	""	"9"	""	"8"	"29"	""	"8"	""	"5"	""	"27"	""	"9"	""	"1"	""	"3"	""	"5"	""	""	"23"	""	"745"	""	"0"	""	"745"	""	"0"	""	""	""	""	""
"209"	"157"	"24"	"6"	""	"6"	""	"3"	""	"72"	""	"21"	""	""	"50"	""	""	"28"	""	""	"421"	""	""	"21"	""	""	"8"	""	"5"	"7"	""	"8"	""	"5"	""	"30"	""	"6"	""	"4"	""	"3"	""	"3"	""	""	"3"	""	"734"	""	"0"	""	"734"	""	"0"	""	""	""	""	""
"210"	"158"	"42"	"3"	""	"9"	""	"4"	""	"84"	""	"18"	""	""	"43"	""	""	"11"	""	""	"297"	""	""	"17"	""	""	"3"	""	"4"	"2"	""	"3"	""	"5"	""	"5"	""	"4"	""	"0"	""	"1"	""	"1"	""	""	"2"	""	"558"	""	"0"	""	"558"	""	"0"	""	""	""	""	""
"211"	"159"	"114"	"2"	""	"2"	""	"6"	""	"27"	""	"6"	""	""	"30"	""	""	"4"	""	""	"296"	""	""	"7"	""	""	"3"	""	"2"	"2"	""	"2"	""	"1"	""	"8"	""	"0"	""	"1"	""	"0"	""	"2"	""	""	"0"	""	"515"	""	"0"	""	"515"	""	"0"	""	""	""	""	""
"212"	"160"	"54"	"4"	""	"16"	""	"5"	""	"84"	""	"21"	""	""	"71"	""	""	"11"	""	""	"411"	""	""	"13"	""	""	"4"	""	"5"	"5"	""	"7"	""	"4"	""	"26"	""	"2"	""	"2"	""	"2"	""	"2"	""	""	"6"	""	"755"	""	"0"	""	"755"	""	"0"	""	""	""	""	""
"213"	"161"	"149"	"8"	""	"9"	""	"4"	""	"64"	""	"3"	""	""	"49"	""	""	"3"	""	""	"430"	""	""	"13"	""	""	"6"	""	"6"	"5"	""	"5"	""	"2"	""	"12"	""	"3"	""	"0"	""	"0"	""	"1"	""	""	"2"	""	"774"	""	"0"	""	"774"	""	"0"	""	""	""	""	""
"214"	"162"	"185"	"0"	""	"2"	""	"0"	""	"0"	""	"4"	""	""	"13"	""	""	"2"	""	""	"136"	""	""	"0"	""	""	"1"	""	"0"	"0"	""	"1"	""	"1"	""	"5"	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"0"	""	"351"	""	"0"	""	"351"	""	"0"	""	""	""	""	""
