"Election.to.the.Bihar.Legislative.Assembly.from.the.235.Bodhgaya..SC..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""	""
"4"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAN D MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	"TILESHWAR
CHAUDHARY ALIAS TALKESHWA R CHAUDHARY"	""	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	""	"RAJENDRA MANJHI"	""	"RAM UDAY PRASAD"	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of tendered"	""	""	""	""
"168"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"169"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"170"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"171"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"172"	"113"	"7"	"129"	""	"83"	""	"3"	""	"2"	""	"114"	""	""	"6"	""	""	"3"	""	"1"	""	"3"	""	"8"	""	"0"	""	"1"	""	""	"0"	""	""	"1"	""	""	"3"	""	""	"364"	""	""	"0"	""	""	"364"	""	""	""	""	""
"173"	"114"	"12"	"65"	""	"39"	""	"2"	""	"0"	""	"265"	""	""	"8"	""	""	"6"	""	"0"	""	"1"	""	"3"	""	"0"	""	"0"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"405"	""	""	"0"	""	""	"405"	""	""	""	""	""
"174"	"115"	"7"	"61"	""	"7"	""	"3"	""	"2"	""	"59"	""	""	"2"	""	""	"5"	""	"1"	""	"5"	""	"1"	""	"0"	""	"9"	""	""	"3"	""	""	"6"	""	""	"2"	""	""	"173"	""	""	"0"	""	""	"173"	""	""	""	""	""
"175"	"116"	"0"	"30"	""	"1"	""	"0"	""	"0"	""	"497"	""	""	"3"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"531"	""	""	"0"	""	""	"531"	""	""	""	""	""
"176"	"117"	"0"	"29"	""	"3"	""	"0"	""	"0"	""	"759"	""	""	"3"	""	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"796"	""	""	"0"	""	""	"796"	""	""	""	""	""
"177"	"118"	"4"	"85"	""	"2"	""	"2"	""	"1"	""	"500"	""	""	"12"	""	""	"3"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	""	"12"	""	""	"0"	""	""	"1"	""	""	"625"	""	""	"0"	""	""	"625"	""	""	""	""	""
"178"	"119"	"1"	"1005"	""	"2"	""	"0"	""	"0"	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1011"	""	""	"0"	""	""	"1011"	""	""	""	""	""
"179"	"120"	"1"	"291"	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"1"	""	""	"1"	""	"2"	""	"0"	""	"74"	""	"1"	""	"0"	""	""	"1"	""	""	"4"	""	""	"2"	""	""	"379"	""	""	"0"	""	""	"379"	""	""	""	""	""
"180"	"121"	"29"	"171"	""	"16"	""	"6"	""	"3"	""	"39"	""	""	"13"	""	""	"10"	""	"5"	""	"3"	""	"19"	""	"4"	""	"3"	""	""	"6"	""	""	"12"	""	""	"11"	""	""	"350"	""	""	"0"	""	""	"350"	""	""	""	""	""
"181"	"122"	"0"	"214"	""	"2"	""	"0"	""	"0"	""	"9"	""	""	"2"	""	""	"1"	""	"1"	""	"0"	""	"56"	""	"0"	""	"3"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"289"	""	""	"0"	""	""	"289"	""	""	""	""	""
"182"	"123"	"44"	"51"	""	"3"	""	"1"	""	"5"	""	"202"	""	""	"10"	""	""	"4"	""	"1"	""	"0"	""	"1"	""	"0"	""	"2"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"328"	""	""	"0"	""	""	"328"	""	""	""	""	""
"183"	"124"	"8"	"407"	""	"1"	""	"0"	""	"1"	""	"4"	""	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"9"	""	"0"	""	"4"	""	""	"3"	""	""	"3"	""	""	"5"	""	""	"448"	""	""	"0"	""	""	"448"	""	""	""	""	""
"184"	"125"	"17"	"82"	""	"8"	""	"3"	""	"3"	""	"77"	""	""	"9"	""	""	"3"	""	"0"	""	"7"	""	"12"	""	"2"	""	"4"	""	""	"3"	""	""	"7"	""	""	"8"	""	""	"245"	""	""	"0"	""	""	"245"	""	""	""	""	""
"185"	"126"	"11"	"41"	""	"92"	""	"4"	""	"3"	""	"207"	""	""	"8"	""	""	"3"	""	"2"	""	"2"	""	"5"	""	"0"	""	"2"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	"384"	""	""	"0"	""	""	"384"	""	""	""	""	""
"186"	"Total"	"141"	"2661"	""	"259"	""	"24"	""	"20"	""	"2734"	""	""	"78"	""	""	"40"	""	"14"	""	"22"	""	"192"	""	"8"	""	"29"	""	""	"35"	""	""	"34"	""	""	"37"	""	""	"6328"	""	""	"0"	""	""	"6328"	""	""	""	""	""
"187"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"188"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"189"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"190"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"191"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"192"	"127"	"72"	"184"	""	"3"	""	"5"	""	"1"	""	"322"	""	""	"4"	""	""	"9"	""	"5"	""	"3"	""	"4"	""	"3"	""	"5"	""	""	"5"	""	""	"5"	""	""	"7"	""	""	"637"	""	""	"0"	""	""	"637"	""	""	""	""	""
"193"	"128"	"111"	"47"	""	"4"	""	"2"	""	"1"	""	"779"	""	""	"5"	""	""	"0"	""	"1"	""	"1"	""	"2"	""	"0"	""	"2"	""	""	"1"	""	""	"1"	""	""	"5"	""	""	"962"	""	""	"0"	""	""	"962"	""	""	""	""	""
"194"	"129"	"97"	"406"	""	"14"	""	"0"	""	"0"	""	"249"	""	""	"1"	""	""	"5"	""	"0"	""	"0"	""	"2"	""	"0"	""	"1"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	"781"	""	""	"0"	""	""	"781"	""	""	""	""	""
"195"	"130"	"160"	"378"	""	"13"	""	"6"	""	"2"	""	"75"	""	""	"4"	""	""	"5"	""	"3"	""	"1"	""	"4"	""	"1"	""	"2"	""	""	"4"	""	""	"0"	""	""	"4"	""	""	"662"	""	""	"0"	""	""	"662"	""	""	""	""	""
"196"	"131"	"64"	"132"	""	"2"	""	"3"	""	"2"	""	"136"	""	""	"1"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"0"	""	""	"6"	""	""	"2"	""	""	"351"	""	""	"0"	""	""	"351"	""	""	""	""	""
"197"	"132"	"15"	"80"	""	"1"	""	"0"	""	"1"	""	"493"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"590"	""	""	"0"	""	""	"590"	""	""	""	""	""
"198"	"133"	"20"	"254"	""	"9"	""	"3"	""	"1"	""	"398"	""	""	"2"	""	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	""	"2"	""	""	"2"	""	""	"6"	""	""	"1"	""	""	"701"	""	""	"0"	""	""	"701"	""	""	""	""	""
"199"	"134"	"0"	"538"	""	"5"	""	"0"	""	"0"	""	"2"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"545"	""	""	"0"	""	""	"545"	""	""	""	""	""
"200"	"135"	"246"	"53"	""	"1"	""	"0"	""	"0"	""	"338"	""	""	"3"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	"645"	""	""	"0"	""	""	"645"	""	""	""	""	""
"201"	"136"	"46"	"54"	""	"21"	""	"0"	""	"1"	""	"563"	""	""	"7"	""	""	"3"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"701"	""	""	"0"	""	""	"701"	""	""	""	""	""
"202"	"137"	"128"	"146"	""	"11"	""	"2"	""	"1"	""	"109"	""	""	"3"	""	""	"3"	""	"1"	""	"3"	""	"4"	""	"1"	""	"0"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"419"	""	""	"0"	""	""	"419"	""	""	""	""	""
"203"	"138"	"159"	"142"	""	"32"	""	"6"	""	"2"	""	"72"	""	""	"7"	""	""	"4"	""	"2"	""	"0"	""	"5"	""	"3"	""	"6"	""	""	"5"	""	""	"2"	""	""	"7"	""	""	"454"	""	""	"0"	""	""	"454"	""	""	""	""	""
"204"	"139"	"50"	"136"	""	"14"	""	"2"	""	"0"	""	"120"	""	""	"2"	""	""	"3"	""	"0"	""	"0"	""	"47"	""	"1"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"375"	""	""	"0"	""	""	"375"	""	""	""	""	""
"205"	"140"	"24"	"265"	""	"0"	""	"2"	""	"1"	""	"151"	""	""	"2"	""	""	"5"	""	"0"	""	"0"	""	"82"	""	"0"	""	"1"	""	""	"4"	""	""	"2"	""	""	"0"	""	""	"539"	""	""	"0"	""	""	"539"	""	""	""	""	""
"206"	"Total"	"1192"	"2815"	""	"130"	""	"31"	""	"13"	""	"3807"	""	""	"41"	""	""	"41"	""	"12"	""	"8"	""	"151"	""	"11"	""	"21"	""	""	"32"	""	""	"26"	""	""	"31"	""	""	"8362"	""	""	"0"	""	""	"8362"	""	""	""	""	""
"207"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"208"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"209"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"210"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"211"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"212"	"141"	"220"	"85"	""	"40"	""	"2"	""	"2"	""	"55"	""	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"35"	""	"1"	""	"2"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"449"	""	""	"0"	""	""	"449"	""	""	""	""	""
"213"	"142"	"219"	"142"	""	"2"	""	"6"	""	"1"	""	"27"	""	""	"2"	""	""	"0"	""	"0"	""	"1"	""	"13"	""	"0"	""	"2"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	""	""
"214"	"143"	"477"	"75"	""	"2"	""	"3"	""	"1"	""	"36"	""	""	"0"	""	""	"4"	""	"3"	""	"1"	""	"22"	""	"2"	""	"2"	""	""	"0"	""	""	"0"	""	""	"4"	""	""	"632"	""	""	"0"	""	""	"632"	""	""	""	""	""
"215"	"144"	"475"	"65"	""	"1"	""	"1"	""	"0"	""	"26"	""	""	"0"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"576"	""	""	"0"	""	""	"576"	""	""	""	""	""
"216"	"145"	"144"	"175"	""	"18"	""	"4"	""	"0"	""	"27"	""	""	"1"	""	""	"6"	""	"2"	""	"1"	""	"10"	""	"2"	""	"1"	""	""	"4"	""	""	"3"	""	""	"8"	""	""	"406"	""	""	"0"	""	""	"406"	""	""	""	""	""
"217"	"146"	"299"	"123"	""	"8"	""	"0"	""	"2"	""	"29"	""	""	"3"	""	""	"3"	""	"4"	""	"4"	""	"2"	""	"1"	""	"0"	""	""	"1"	""	""	"2"	""	""	"5"	""	""	"486"	""	""	"0"	""	""	"486"	""	""	""	""	""
"218"	"147"	"393"	"18"	""	"10"	""	"0"	""	"1"	""	"9"	""	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"5"	""	"0"	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"441"	""	""	"0"	""	""	"441"	""	""	""	""	""
"219"	"148"	"100"	"302"	""	"8"	""	"13"	""	"1"	""	"64"	""	""	"7"	""	""	"8"	""	"0"	""	"2"	""	"5"	""	"0"	""	"5"	""	""	"9"	""	""	"1"	""	""	"1"	""	""	"526"	""	""	"0"	""	""	"526"	""	""	""	""	""
"220"	"149"	"278"	"37"	""	"6"	""	"6"	""	"2"	""	"27"	""	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"8"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"4"	""	""	"371"	""	""	"0"	""	""	"371"	""	""	""	""	""
"221"	"150"	"110"	"442"	""	"7"	""	"2"	""	"1"	""	"15"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"32"	""	"1"	""	"4"	""	""	"3"	""	""	"7"	""	""	"10"	""	""	"635"	""	""	"0"	""	""	"635"	""	""	""	""	""
"222"	"151"	"30"	"406"	""	"1"	""	"1"	""	"0"	""	"22"	""	""	"0"	""	""	"2"	""	"0"	""	"2"	""	"11"	""	"1"	""	"0"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"480"	""	""	"0"	""	""	"480"	""	""	""	""	""
"223"	"152"	"33"	"257"	""	"17"	""	"2"	""	"2"	""	"32"	""	""	"3"	""	""	"0"	""	"1"	""	"2"	""	"6"	""	"2"	""	"1"	""	""	"0"	""	""	"2"	""	""	"6"	""	""	"366"	""	""	"0"	""	""	"366"	""	""	""	""	""
"224"	"153"	"58"	"271"	""	"4"	""	"3"	""	"0"	""	"9"	""	""	"0"	""	""	"2"	""	"0"	""	"0"	""	"4"	""	"0"	""	"1"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"355"	""	""	"0"	""	""	"355"	""	""	""	""	""
"225"	"154"	"65"	"33"	""	"0"	""	"1"	""	"1"	""	"17"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"121"	""	""	"0"	""	""	"121"	""	""	""	""	""
"226"	"Total"	"2901"	"2431"	""	"124"	""	"44"	""	"14"	""	"395"	""	""	"19"	""	""	"31"	""	"13"	""	"14"	""	"153"	""	"10"	""	"22"	""	""	"24"	""	""	"20"	""	""	"50"	""	""	"6265"	""	""	"0"	""	""	"6265"	""	""	""	""	""
"227"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"228"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"229"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"230"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"231"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"232"	"155"	"43"	"67"	""	"2"	""	"3"	""	"0"	""	"348"	""	""	"6"	""	""	"4"	""	"2"	""	"1"	""	"0"	""	"0"	""	"1"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"481"	""	""	"0"	""	""	"481"	""	""	""	""	""
"233"	"156"	"58"	"140"	""	"18"	""	"3"	""	"1"	""	"74"	""	""	"6"	""	""	"7"	""	"1"	""	"4"	""	"2"	""	"0"	""	"5"	""	""	"11"	""	""	"0"	""	""	"7"	""	""	"337"	""	""	"0"	""	""	"337"	""	""	""	""	""
"234"	"157"	"252"	"93"	""	"16"	""	"1"	""	"1"	""	"41"	""	""	"2"	""	""	"2"	""	"0"	""	"0"	""	"1"	""	"1"	""	"3"	""	""	"3"	""	""	"1"	""	""	"4"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	""	""
"235"	"158"	"67"	"162"	""	"8"	""	"0"	""	"0"	""	"143"	""	""	"4"	""	""	"5"	""	"0"	""	"1"	""	"36"	""	"0"	""	"4"	""	""	"14"	""	""	"0"	""	""	"0"	""	""	"444"	""	""	"0"	""	""	"444"	""	""	""	""	""
"236"	"159"	"24"	"127"	""	"31"	""	"3"	""	"3"	""	"82"	""	""	"3"	""	""	"1"	""	"2"	""	"6"	""	"16"	""	"0"	""	"2"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"301"	""	""	"0"	""	""	"301"	""	""	""	""	""
"237"	"160"	"25"	"124"	""	"17"	""	"4"	""	"3"	""	"142"	""	""	"12"	""	""	"5"	""	"14"	""	"6"	""	"13"	""	"3"	""	"5"	""	""	"6"	""	""	"6"	""	""	"5"	""	""	"390"	""	""	"0"	""	""	"390"	""	""	""	""	""
"238"	"161"	"47"	"226"	""	"28"	""	"13"	""	"7"	""	"113"	""	""	"12"	""	""	"8"	""	"4"	""	"2"	""	"10"	""	"3"	""	"11"	""	""	"9"	""	""	"6"	""	""	"16"	""	""	"515"	""	""	"0"	""	""	"515"	""	""	""	""	""
"239"	"162"	"38"	"46"	""	"1"	""	"2"	""	"1"	""	"25"	""	""	"2"	""	""	"3"	""	"9"	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"130"	""	""	"0"	""	""	"130"	""	""	""	""	""
"240"	"163"	"8"	"118"	""	"16"	""	"5"	""	"1"	""	"47"	""	""	"2"	""	""	"2"	""	"3"	""	"3"	""	"3"	""	"2"	""	"40"	""	""	"3"	""	""	"4"	""	""	"7"	""	""	"264"	""	""	"0"	""	""	"264"	""	""	""	""	""
"241"	"164"	"50"	"267"	""	"7"	""	"4"	""	"1"	""	"123"	""	""	"4"	""	""	"8"	""	"1"	""	"0"	""	"52"	""	"2"	""	"1"	""	""	"3"	""	""	"1"	""	""	"5"	""	""	"529"	""	""	"0"	""	""	"529"	""	""	""	""	""
"242"	"165"	"33"	"170"	""	"35"	""	"9"	""	"5"	""	"315"	""	""	"11"	""	""	"4"	""	"6"	""	"6"	""	"5"	""	"2"	""	"3"	""	""	"4"	""	""	"6"	""	""	"16"	""	""	"630"	""	""	"0"	""	""	"630"	""	""	""	""	""
"243"	"166"	"7"	"581"	""	"0"	""	"1"	""	"1"	""	"23"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"619"	""	""	"0"	""	""	"619"	""	""	""	""	""
"244"	"167"	"0"	"603"	""	"4"	""	"2"	""	"1"	""	"87"	""	""	"2"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"703"	""	""	"0"	""	""	"703"	""	""	""	""	""
"245"	"168"	"4"	"458"	""	"3"	""	"0"	""	"0"	""	"4"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"4"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"475"	""	""	"0"	""	""	"475"	""	""	""	""	""
"246"	"Total"	"656"	"3182"	""	"186"	""	"50"	""	"25"	""	"1567"	""	""	"69"	""	""	"51"	""	"42"	""	"29"	""	"144"	""	"13"	""	"78"	""	""	"61"	""	""	"25"	""	""	"61"	""	""	"6239"	""	""	"0"	""	""	"6239"	""	""	""	""	""
"247"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"248"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"249"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"250"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"251"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
