"FORM....20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"
"88"	"53"	"9"	""	"160"	""	"5"	""	"4"	""	""	"3"	""	"0"	""	""	"10"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"1"	""	"1"	""	""	"2"	""	""	"38"	""	""	"7"	""	""	""	"3"	""	""	""	"4"	""	""	"14"	""	""	"0"	""	""	"1"	""	"3"	""	"0"	""	""	"1"	""	"2"	""	""	"1"	""	""	"1"	""	""	"16"	""	""	"4"	""	""	"1"	""	"3"	""	""	"2"	""	""	"300"	""	""	""	"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"54"	"24"	""	"248"	""	"38"	""	"1"	""	""	"1"	""	"0"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	"5"	""	"1"	""	""	"3"	""	""	"97"	""	""	"5"	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	"3"	""	""	"0"	""	"0"	""	"0"	""	""	"1"	""	"0"	""	""	"0"	""	""	"0"	""	""	"13"	""	""	"0"	""	""	"6"	""	"2"	""	""	"1"	""	""	"458"	""	""	""	"458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"55"	"30"	""	"278"	""	"22"	""	"187"	""	""	"8"	""	"3"	""	""	"0"	""	""	"2"	""	""	"7"	""	""	"2"	""	""	"1"	""	""	"2"	""	"3"	""	""	"6"	""	""	"225"	""	""	"11"	""	""	""	"2"	""	""	""	"4"	""	""	"2"	""	""	"3"	""	""	"1"	""	"5"	""	"2"	""	""	"0"	""	"1"	""	""	"1"	""	""	"0"	""	""	"18"	""	""	"4"	""	""	"5"	""	"3"	""	""	"4"	""	""	"842"	""	""	""	"842"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"56"	"6"	""	"340"	""	"10"	""	"2"	""	""	"1"	""	"1"	""	""	"0"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"1"	""	""	"47"	""	""	"7"	""	""	""	"0"	""	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	""	"1"	""	"0"	""	""	"1"	""	""	"0"	""	""	"13"	""	""	"2"	""	""	"6"	""	"4"	""	""	"7"	""	""	"457"	""	""	""	"457"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"FORM  - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Election to the Legislative assembly from the 143-KADWA constituency.                                                              Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"(To be used both for Parliamentary and Assembly elections                                                          Total No. of Electors in Assembly constituency/Segment ...................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""
"100"	""	"ANIL KRISHNA SAHA"	""	"ABDUL ZALIL"	""	"ZAKIR HUSAIN"	""	"BHOLA ROY - SONAILI"	""	""	"MAGAN PASWAN"	""	""	"KRISHNA PRASAD JAMADAR"	""	""	"MADAN LAL ROY"	""	""	"SHAMBHU KUMAR MANDAL"	""	""	"SHEELA  BISHWAS"	""	""	"SK. SALAUDDIN"	""	""	"ANKUSHAWAHA"	""	""	"AKHILESH KUMAR BISWAS"	""	""	"ALLAUDDIN"	""	""	"IFTEKHAR AHAMAD"	""	""	"DINESH KR. INSHAN"	""	""	"NIRMAL BUBNA"	""	""	""	"NILAM SHARMA"	""	""	""	"PURAN RAJAK"	""	""	"PURUSOTTAM LAL SHARMA"	""	""	"BHOLA ROY - MEENAPUR"	""	"MANORA BEGAM"	""	"YOGENDRA PARASAD RISHI"	""	"RANJAN SINGH"	""	""	"RANJEET KUMAR"	""	""	"RANJEET LAL ROY"	""	""	"RAMLAL PARIHAR"	""	""	"SHOBHA DEVI - KACHOURA"	""	""	"SHOBHA DEVI - PAHLAGARDH"	""	""	"SAIDUL RAHMAN"	""	""	"SOBHAS CHANDRA ROY"	""	""	"SUMANT KUMAR SINGH"	""	""	"HARI NANDAN CHOUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"57"	"16"	""	"526"	""	"19"	""	"5"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"19"	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	"0"	""	""	"0"	""	"1"	""	"3"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	"605"	""	""	"0"	""	"605"	""	""	""	""	""	""	""	""	""	""
"102"	"58"	"23"	""	"237"	""	"4"	""	"2"	""	""	"5"	""	""	"1"	""	""	"4"	""	""	"1"	""	""	"3"	""	""	"4"	""	""	"3"	""	""	"9"	""	""	"2"	""	""	"11"	""	""	"104"	""	""	"14"	""	""	""	"10"	""	""	""	"3"	""	""	"2"	""	""	"1"	""	"2"	""	"3"	""	"2"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"22"	""	""	"5"	""	""	"10"	""	""	"9"	""	""	"21"	""	""	"523"	""	""	""	""	"523"	""	""	""	""	""	""	""	""	""	""
"103"	"59"	"29"	""	"406"	""	"32"	""	"7"	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"7"	""	""	"5"	""	""	"2"	""	""	"4"	""	""	"6"	""	""	"5"	""	""	"9"	""	""	"13"	""	""	"22"	""	""	""	"5"	""	""	""	"11"	""	""	"6"	""	""	"1"	""	"2"	""	"9"	""	"0"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"5"	""	""	"2"	""	""	"8"	""	""	"5"	""	""	"10"	""	""	"13"	""	""	"633"	""	""	""	""	"633"	""	""	""	""	""	""	""	""	""	""
"104"	"60"	"13"	""	"343"	""	"27"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"3"	""	""	"2"	""	""	"399"	""	""	""	""	"399"	""	""	""	""	""	""	""	""	""	""
"105"	"61"	"40"	""	"200"	""	"51"	""	"66"	""	""	"4"	""	""	"5"	""	""	"7"	""	""	"2"	""	""	"10"	""	""	"6"	""	""	"4"	""	""	"7"	""	""	"3"	""	""	"6"	""	""	"72"	""	""	"3"	""	""	""	"4"	""	""	""	"2"	""	""	"1"	""	""	"6"	""	"1"	""	"3"	""	"2"	""	""	"3"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"148"	""	""	"3"	""	""	"7"	""	""	"8"	""	""	"14"	""	""	"693"	""	""	""	""	"693"	""	""	""	""	""	""	""	""	""	""
"106"	"62"	"19"	""	"199"	""	"143"	""	"8"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"5"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"3"	""	""	"5"	""	""	"7"	""	""	"20"	""	""	"5"	""	""	""	"5"	""	""	""	"2"	""	""	"5"	""	""	"0"	""	"1"	""	"1"	""	"0"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"24"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"472"	""	""	""	""	"472"	""	""	""	""	""	""	""	""	""	""
"107"	"63"	"9"	""	"289"	""	"27"	""	"18"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	"3"	""	""	"5"	""	""	"4"	""	""	"11"	""	""	"6"	""	""	"16"	""	""	"87"	""	""	"23"	""	""	""	"6"	""	""	""	"2"	""	""	"2"	""	""	"2"	""	"0"	""	"2"	""	"2"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"15"	""	""	"2"	""	""	"5"	""	""	"7"	""	""	"6"	""	""	"564"	""	""	""	""	"564"	""	""	""	""	""	""	""	""	""	""
"108"	"64"	"31"	""	"403"	""	"114"	""	"11"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	"7"	""	""	"5"	""	""	"3"	""	""	"3"	""	""	"4"	""	""	"2"	""	""	"5"	""	""	"35"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	"3"	""	""	"3"	""	"3"	""	"7"	""	"0"	""	""	"3"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	"16"	""	""	"0"	""	""	"3"	""	""	"8"	""	""	"3"	""	""	"693"	""	""	""	""	"693"	""	""	""	""	""	""	""	""	""	""
"109"	"65"	"15"	""	"269"	""	"43"	""	"1"	""	""	"3"	""	""	"2"	""	""	"3"	""	""	"3"	""	""	"0"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"53"	""	""	"6"	""	""	""	"6"	""	""	""	"7"	""	""	"2"	""	""	"3"	""	"3"	""	"8"	""	"3"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"9"	""	""	"6"	""	""	"7"	""	""	"11"	""	""	"2"	""	""	"483"	""	""	""	""	"483"	""	""	""	""	""	""	""	""	""	""
"110"	"66"	"21"	""	"243"	""	"14"	""	"5"	""	""	"2"	""	""	"0"	""	""	"5"	""	""	"5"	""	""	"4"	""	""	"3"	""	""	"1"	""	""	"5"	""	""	"4"	""	""	"5"	""	""	"104"	""	""	"6"	""	""	""	"2"	""	""	""	"1"	""	""	"9"	""	""	"2"	""	"0"	""	"2"	""	"1"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"1"	""	""	"6"	""	""	"3"	""	""	"2"	""	""	"461"	""	""	""	""	"461"	""	""	""	""	""	""	""	""	""	""
"111"	"67"	"8"	""	"311"	""	"16"	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"10"	""	""	"88"	""	""	"10"	""	""	""	"3"	""	""	""	"5"	""	""	"3"	""	""	"1"	""	"0"	""	"5"	""	"1"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"14"	""	""	"5"	""	""	"9"	""	""	"9"	""	""	"2"	""	""	"511"	""	""	""	""	"511"	""	""	""	""	""	""	""	""	""	""
"112"	"68"	"18"	""	"213"	""	"5"	""	"4"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	"4"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"2"	""	""	"4"	""	""	"89"	""	""	"11"	""	""	""	"2"	""	""	""	"4"	""	""	"2"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"4"	""	""	"1"	""	""	"0"	""	""	"378"	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""
"113"	"69"	"22"	""	"337"	""	"64"	""	"9"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	"0"	""	""	"5"	""	""	"8"	""	""	"4"	""	""	"83"	""	""	"9"	""	""	""	"4"	""	""	""	"3"	""	""	"3"	""	""	"0"	""	"0"	""	"1"	""	"2"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"3"	""	""	"2"	""	""	"4"	""	""	"4"	""	""	"2"	""	""	"578"	""	""	""	""	"578"	""	""	""	""	""	""	""	""	""	""
"114"	"70"	"66"	""	"205"	""	"30"	""	"4"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"1"	""	""	"1"	""	""	"5"	""	""	"7"	""	""	"4"	""	""	"8"	""	""	"69"	""	""	"31"	""	""	""	"3"	""	""	""	"5"	""	""	"3"	""	""	"1"	""	"2"	""	"1"	""	"1"	""	""	"1"	""	""	"2"	""	""	"4"	""	""	"5"	""	""	"11"	""	""	"4"	""	""	"2"	""	""	"11"	""	""	"12"	""	""	"504"	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""	""
"115"	"FORM  - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Election to the Legislative assembly from the 143-KADWA constituency.                                                             Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"(To be used both for Parliamentary and Assembly elections                                                          Total No. of Electors in Assembly constituency/Segment ................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""
"123"	""	""	"ANIL KRISHNA SAHA"	""	"ABDUL ZALIL"	""	"ZAKIR HUSAIN"	""	"BHOLA ROY - SONAILI"	""	""	"MAGAN PASWAN"	""	""	"KRISHNA PRASAD JAMADAR"	""	""	"MADAN LAL ROY"	""	""	"SHAMBHU KUMAR MANDAL"	""	""	"SHEELA  BISHWAS"	""	""	"SK. SALAUDDIN"	""	""	"ANKUSHAWAHA"	""	""	"AKHILESH KUMAR BISWAS"	""	""	""	"ALLAUDDIN"	""	""	"IFTEKHAR AHAMAD"	""	""	"DINESH KR. INSHAN"	""	""	""	"NIRMAL BUBNA"	""	""	""	"NILAM SHARMA"	""	""	""	"PURAN RAJAK"	""	""	"PURUSOTTAM LAL SHARMA"	""	"BHOLA ROY - MEENAPUR"	""	"MANORA BEGAM"	""	""	"YOGENDRA PARASAD RISHI"	""	""	"RANJAN SINGH"	""	""	""	"RANJEET KUMAR"	""	""	"RANJEET LAL ROY"	""	""	"RAMLAL PARIHAR"	""	""	"SHOBHA DEVI - KACHOURA"	""	""	"SHOBHA DEVI - PAHLAGARDH"	""	""	"SAIDUL RAHMAN"	""	""	"SOBHAS CHANDRA ROY"	""	""	"SUMANT KUMAR SINGH"	""	""	"HARI NANDAN CHOUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"71"	""	"443"	""	"67"	""	"3"	""	"61"	""	""	"3"	""	""	"3"	""	""	"0"	""	""	"3"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	"4"	""	""	"53"	""	""	""	"9"	""	""	""	"5"	""	""	""	"1"	""	""	"2"	""	"8"	""	"2"	""	""	"3"	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	"5"	""	""	"2"	""	""	"22"	""	""	"5"	""	""	"4"	""	""	"19"	""	""	"11"	""	""	"749"	""	"0"	""	"749"	""	""	""	""	""	""
"125"	"72"	""	"83"	""	"430"	""	"57"	""	"4"	""	""	"3"	""	""	"4"	""	""	"3"	""	""	"3"	""	""	"2"	""	""	"4"	""	""	"2"	""	""	"7"	""	""	""	"0"	""	""	"5"	""	""	"49"	""	""	""	"19"	""	""	""	"4"	""	""	""	"8"	""	""	"0"	""	"0"	""	"4"	""	""	"4"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"18"	""	""	"7"	""	""	"10"	""	""	"15"	""	""	"9"	""	""	"758"	""	""	""	"758"	""	""	""	""	""	""
"126"	"73"	""	"328"	""	"258"	""	"33"	""	"7"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	"5"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	"4"	""	""	"2"	""	""	"11"	""	""	""	"8"	""	""	""	"9"	""	""	""	"4"	""	""	"0"	""	"1"	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"15"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"702"	""	""	""	"702"	""	""	""	""	""	""
"127"	"74"	""	"160"	""	"84"	""	"16"	""	"83"	""	""	"5"	""	""	"3"	""	""	"1"	""	""	"25"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"2"	""	""	""	"4"	""	""	"7"	""	""	"82"	""	""	""	"23"	""	""	""	"17"	""	""	""	"10"	""	""	"9"	""	"9"	""	"2"	""	""	"6"	""	""	"1"	""	""	""	"5"	""	""	"2"	""	""	"2"	""	""	"7"	""	""	"157"	""	""	"9"	""	""	"15"	""	""	"11"	""	""	"40"	""	""	"803"	""	""	""	"803"	""	""	""	""	""	""
"128"	"75"	""	"145"	""	"364"	""	"165"	""	"9"	""	""	"1"	""	""	"1"	""	""	"9"	""	""	"5"	""	""	"2"	""	""	"5"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	"17"	""	""	""	"4"	""	""	""	"10"	""	""	""	"3"	""	""	"6"	""	"3"	""	"4"	""	""	"8"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"8"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"790"	""	""	""	"790"	""	""	""	""	""	""
"129"	"76"	""	"24"	""	"64"	""	"261"	""	"32"	""	""	"2"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	"17"	""	""	""	"4"	""	""	""	"5"	""	""	""	"4"	""	""	"6"	""	"4"	""	"0"	""	""	"1"	""	""	"3"	""	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"7"	""	""	"0"	""	""	"3"	""	""	"2"	""	""	"7"	""	""	"457"	""	""	""	"457"	""	""	""	""	""	""
"130"	"77"	""	"16"	""	"230"	""	"30"	""	"11"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"3"	""	""	"3"	""	""	"36"	""	""	""	"12"	""	""	""	"20"	""	""	""	"23"	""	""	"6"	""	"9"	""	"8"	""	""	"36"	""	""	"9"	""	""	""	"10"	""	""	"12"	""	""	"6"	""	""	"9"	""	""	"58"	""	""	"15"	""	""	"19"	""	""	"16"	""	""	"20"	""	""	"630"	""	""	""	"630"	""	""	""	""	""	""
"131"	"78"	""	"323"	""	"137"	""	"4"	""	"17"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"5"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	""	"1"	""	""	"4"	""	""	"85"	""	""	""	"11"	""	""	""	"6"	""	""	""	"0"	""	""	"2"	""	"1"	""	"0"	""	""	"0"	""	""	"3"	""	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"11"	""	""	"3"	""	""	"4"	""	""	"8"	""	""	"8"	""	""	"647"	""	""	""	"647"	""	""	""	""	""	""
"132"	"79"	""	"353"	""	"19"	""	"9"	""	"16"	""	""	"3"	""	""	"4"	""	""	"4"	""	""	"6"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"15"	""	""	""	"6"	""	""	"12"	""	""	"171"	""	""	""	"12"	""	""	""	"19"	""	""	""	"5"	""	""	"18"	""	"5"	""	"1"	""	""	"0"	""	""	"3"	""	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"31"	""	""	"3"	""	""	"15"	""	""	"8"	""	""	"8"	""	""	"766"	""	""	""	"766"	""	""	""	""	""	""
