"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 238-Atri  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"209"	"155"	"11"	""	""	"11"	""	""	"128"	""	"8"	""	""	"115"	""	""	"7"	""	""	"6"	""	"4"	""	"5"	""	"12"	""	""	"307"	""	""	"0"	""	""	"307"	""	""	""	""	""	""	""	""
"210"	"156"	"2"	""	""	"5"	""	""	"272"	""	"10"	""	""	"129"	""	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"1"	""	""	"422"	""	""	"0"	""	""	"422"	""	""	""	""	""	""	""	""
"211"	"157"	"5"	""	""	"0"	""	""	"59"	""	"11"	""	""	"48"	""	""	"3"	""	""	"6"	""	"6"	""	"3"	""	"15"	""	""	"156"	""	""	"0"	""	""	"156"	""	""	""	""	""	""	""	""
"212"	"158"	"5"	""	""	"0"	""	""	"12"	""	"2"	""	""	"280"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"301"	""	""	"0"	""	""	"301"	""	""	""	""	""	""	""	""
"213"	"159"	"5"	""	""	"0"	""	""	"300"	""	"1"	""	""	"153"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"459"	""	""	"0"	""	""	"459"	""	""	""	""	""	""	""	""
"214"	"160"	"27"	""	""	"7"	""	""	"161"	""	"22"	""	""	"111"	""	""	"4"	""	""	"6"	""	"6"	""	"4"	""	"2"	""	""	"350"	""	""	"0"	""	""	"350"	""	""	""	""	""	""	""	""
"215"	"161"	"20"	""	""	"1"	""	""	"25"	""	"33"	""	""	"94"	""	""	"0"	""	""	"1"	""	"0"	""	"2"	""	"3"	""	""	"179"	""	""	"0"	""	""	"179"	""	""	""	""	""	""	""	""
"216"	"162"	"24"	""	""	"11"	""	""	"223"	""	"55"	""	""	"42"	""	""	"8"	""	""	"4"	""	"15"	""	"2"	""	"10"	""	""	"394"	""	""	"0"	""	""	"394"	""	""	""	""	""	""	""	""
"217"	"163"	"19"	""	""	"15"	""	""	"174"	""	"63"	""	""	"35"	""	""	"2"	""	""	"1"	""	"6"	""	"0"	""	"2"	""	""	"317"	""	""	"0"	""	""	"317"	""	""	""	""	""	""	""	""
"218"	"164"	"1"	""	""	"0"	""	""	"32"	""	"4"	""	""	"45"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"82"	""	""	"0"	""	""	"82"	""	""	""	""	""	""	""	""
"219"	"165"	"20"	""	""	"0"	""	""	"20"	""	"1"	""	""	"67"	""	""	"2"	""	""	"0"	""	"3"	""	"1"	""	"4"	""	""	"118"	""	""	"0"	""	""	"118"	""	""	""	""	""	""	""	""
"220"	"166"	"29"	""	""	"5"	""	""	"135"	""	"15"	""	""	"45"	""	""	"2"	""	""	"0"	""	"1"	""	"2"	""	"2"	""	""	"236"	""	""	"0"	""	""	"236"	""	""	""	""	""	""	""	""
"221"	"167"	"2"	""	""	"0"	""	""	"53"	""	"6"	""	""	"432"	""	""	"4"	""	""	"1"	""	"0"	""	"1"	""	"2"	""	""	"501"	""	""	"0"	""	""	"501"	""	""	""	""	""	""	""	""
"222"	"168"	"5"	""	""	"1"	""	""	"94"	""	"24"	""	""	"443"	""	""	"2"	""	""	"0"	""	"2"	""	"2"	""	"3"	""	""	"576"	""	""	"0"	""	""	"576"	""	""	""	""	""	""	""	""
"223"	"Total"	"175"	""	""	"56"	""	""	"1688"	""	"255"	""	""	"2039"	""	""	"36"	""	""	"26"	""	"44"	""	"22"	""	"57"	""	""	"4398"	""	""	"0"	""	""	"4398"	""	""	""	""	""	""	""	""
"224"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"225"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"227"	"169"	"8"	""	""	"4"	""	""	"275"	""	"273"	""	""	"141"	""	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"1"	""	""	"705"	""	""	"0"	""	""	"705"	""	""	""	""	""	""	""	""
"228"	"170"	"2"	""	""	"0"	""	""	"627"	""	"2"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"631"	""	""	"0"	""	""	"631"	""	""	""	""	""	""	""	""
"229"	"171"	"5"	""	""	"2"	""	""	"82"	""	"236"	""	""	"13"	""	""	"6"	""	""	"4"	""	"6"	""	"6"	""	"10"	""	""	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""	""	""	""
"230"	"172"	"0"	""	""	"0"	""	""	"357"	""	"5"	""	""	"1"	""	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"365"	""	""	"0"	""	""	"365"	""	""	""	""	""	""	""	""
"231"	"173"	"23"	""	""	"2"	""	""	"459"	""	"73"	""	""	"270"	""	""	"1"	""	""	"1"	""	"0"	""	"1"	""	"1"	""	""	"831"	""	""	"0"	""	""	"831"	""	""	""	""	""	""	""	""
"232"	"174"	"2"	""	""	"2"	""	""	"5"	""	"1"	""	""	"560"	""	""	"5"	""	""	"1"	""	"1"	""	"1"	""	"0"	""	""	"578"	""	""	"0"	""	""	"578"	""	""	""	""	""	""	""	""
"233"	"175"	"1"	""	""	"0"	""	""	"23"	""	"1"	""	""	"5"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"32"	""	""	"0"	""	""	"32"	""	""	""	""	""	""	""	""
"234"	"176"	"0"	""	""	"0"	""	""	"1"	""	"0"	""	""	"383"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"385"	""	""	"0"	""	""	"385"	""	""	""	""	""	""	""	""
"235"	"177"	"4"	""	""	"2"	""	""	"43"	""	"4"	""	""	"87"	""	""	"2"	""	""	"1"	""	"0"	""	"3"	""	"7"	""	""	"153"	""	""	"0"	""	""	"153"	""	""	""	""	""	""	""	""
"236"	"178"	"4"	""	""	"0"	""	""	"94"	""	"9"	""	""	"318"	""	""	"4"	""	""	"2"	""	"2"	""	"1"	""	"2"	""	""	"436"	""	""	"0"	""	""	"436"	""	""	""	""	""	""	""	""
"237"	"179"	"0"	""	""	"1"	""	""	"0"	""	"1"	""	""	"298"	""	""	"6"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"306"	""	""	"0"	""	""	"306"	""	""	""	""	""	""	""	""
"238"	"180"	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"334"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"336"	""	""	"0"	""	""	"336"	""	""	""	""	""	""	""	""
"239"	"181"	"2"	""	""	"4"	""	""	"331"	""	"19"	""	""	"87"	""	""	"11"	""	""	"4"	""	"3"	""	"3"	""	"2"	""	""	"466"	""	""	"0"	""	""	"466"	""	""	""	""	""	""	""	""
"240"	"182"	"5"	""	""	"6"	""	""	"217"	""	"14"	""	""	"256"	""	""	"9"	""	""	"5"	""	"2"	""	"4"	""	"3"	""	""	"521"	""	""	"0"	""	""	"521"	""	""	""	""	""	""	""	""
"241"	"Total"	"56"	""	""	"23"	""	""	"2514"	""	"638"	""	""	"2753"	""	""	"50"	""	""	"19"	""	"16"	""	"19"	""	"27"	""	""	"6115"	""	""	"0"	""	""	"6115"	""	""	""	""	""	""	""	""
"242"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"243"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"245"	"183"	"1"	""	""	"2"	""	""	"69"	""	"3"	""	""	"144"	""	""	"1"	""	""	"0"	""	"0"	""	"1"	""	"1"	""	""	"222"	""	""	"0"	""	""	"222"	""	""	""	""	""	""	""	""
"246"	"184"	"3"	""	""	"24"	""	""	"65"	""	"5"	""	""	"231"	""	""	"3"	""	""	"2"	""	"5"	""	"3"	""	"5"	""	""	"346"	""	""	"0"	""	""	"346"	""	""	""	""	""	""	""	""
"247"	"185"	"3"	""	""	"3"	""	""	"71"	""	"7"	""	""	"290"	""	""	"9"	""	""	"0"	""	"2"	""	"4"	""	"8"	""	""	"397"	""	""	"0"	""	""	"397"	""	""	""	""	""	""	""	""
"248"	"186"	"0"	""	""	"0"	""	""	"1"	""	"2"	""	""	"543"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"546"	""	""	"0"	""	""	"546"	""	""	""	""	""	""	""	""
"249"	"187"	"2"	""	""	"19"	""	""	"153"	""	"4"	""	""	"31"	""	""	"4"	""	""	"36"	""	"5"	""	"3"	""	"6"	""	""	"263"	""	""	"0"	""	""	"263"	""	""	""	""	""	""	""	""
"250"	"188"	"7"	""	""	"32"	""	""	"203"	""	"9"	""	""	"231"	""	""	"8"	""	""	"3"	""	"4"	""	"1"	""	"5"	""	""	"503"	""	""	"0"	""	""	"503"	""	""	""	""	""	""	""	""
"251"	"189"	"13"	""	""	"277"	""	""	"22"	""	"4"	""	""	"60"	""	""	"1"	""	""	"1"	""	"6"	""	"2"	""	"8"	""	""	"394"	""	""	"0"	""	""	"394"	""	""	""	""	""	""	""	""
"252"	"190"	"2"	""	""	"1"	""	""	"38"	""	"26"	""	""	"172"	""	""	"3"	""	""	"2"	""	"1"	""	"0"	""	"2"	""	""	"247"	""	""	"0"	""	""	"247"	""	""	""	""	""	""	""	""
"253"	"191"	"13"	""	""	"3"	""	""	"284"	""	"11"	""	""	"239"	""	""	"9"	""	""	"3"	""	"2"	""	"3"	""	"3"	""	""	"570"	""	""	"0"	""	""	"570"	""	""	""	""	""	""	""	""
"254"	"192"	"1"	""	""	"39"	""	""	"244"	""	"8"	""	""	"20"	""	""	"4"	""	""	"0"	""	"3"	""	"0"	""	"1"	""	""	"320"	""	""	"0"	""	""	"320"	""	""	""	""	""	""	""	""
"255"	"193"	"26"	""	""	"7"	""	""	"143"	""	"10"	""	""	"85"	""	""	"2"	""	""	"2"	""	"5"	""	"3"	""	"9"	""	""	"292"	""	""	"0"	""	""	"292"	""	""	""	""	""	""	""	""
"256"	"194"	"18"	""	""	"15"	""	""	"118"	""	"25"	""	""	"203"	""	""	"4"	""	""	"1"	""	"4"	""	"1"	""	"2"	""	""	"391"	""	""	"0"	""	""	"391"	""	""	""	""	""	""	""	""
"257"	"195"	"1"	""	""	"0"	""	""	"643"	""	"1"	""	""	"9"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"654"	""	""	"0"	""	""	"654"	""	""	""	""	""	""	""	""
"258"	"196"	"0"	""	""	"0"	""	""	"630"	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"631"	""	""	"0"	""	""	"631"	""	""	""	""	""	""	""	""
"259"	"Total"	"90"	""	""	"422"	""	""	"2684"	""	"116"	""	""	"2258"	""	""	"48"	""	""	"50"	""	"37"	""	"21"	""	"50"	""	""	"5776"	""	""	"0"	""	""	"5776"	""	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"261"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	""	"RANJEET SINGH"	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"263"	"197"	"5"	""	""	"39"	""	""	"244"	""	""	"10"	""	"557"	""	""	"4"	""	""	"4"	""	"0"	""	"2"	""	"5"	""	""	"870"	""	""	"0"	""	""	"870"	""	""	""	""	""	""	""	""
"264"	"198"	"0"	""	""	"4"	""	""	"933"	""	""	"13"	""	"20"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"971"	""	""	"0"	""	""	"971"	""	""	""	""	""	""	""	""
"265"	"199"	"1"	""	""	"1"	""	""	"535"	""	""	"1"	""	"8"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"549"	""	""	"0"	""	""	"549"	""	""	""	""	""	""	""	""
"266"	"200"	"0"	""	""	"0"	""	""	"426"	""	""	"9"	""	"5"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"441"	""	""	"0"	""	""	"441"	""	""	""	""	""	""	""	""
"267"	"201"	"2"	""	""	"0"	""	""	"219"	""	""	"5"	""	"32"	""	""	"1"	""	""	"1"	""	"0"	""	"1"	""	"2"	""	""	"263"	""	""	"0"	""	""	"263"	""	""	""	""	""	""	""	""
"268"	"202"	"5"	""	""	"9"	""	""	"61"	""	""	"7"	""	"251"	""	""	"10"	""	""	"3"	""	"5"	""	"2"	""	"11"	""	""	"364"	""	""	"0"	""	""	"364"	""	""	""	""	""	""	""	""
"269"	"203"	"0"	""	""	"1"	""	""	"277"	""	""	"2"	""	"6"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"287"	""	""	"0"	""	""	"287"	""	""	""	""	""	""	""	""
"270"	"204"	"1"	""	""	"1"	""	""	"7"	""	""	"49"	""	"603"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"662"	""	""	"0"	""	""	"662"	""	""	""	""	""	""	""	""
"271"	"205"	"2"	""	""	"0"	""	""	"10"	""	""	"6"	""	"238"	""	""	"1"	""	""	"1"	""	"0"	""	"1"	""	"5"	""	""	"264"	""	""	"0"	""	""	"264"	""	""	""	""	""	""	""	""
"272"	"206"	"0"	""	""	"0"	""	""	"13"	""	""	"2"	""	"227"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"243"	""	""	"0"	""	""	"243"	""	""	""	""	""	""	""	""
"273"	"207"	"0"	""	""	"0"	""	""	"14"	""	""	"2"	""	"208"	""	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"226"	""	""	"0"	""	""	"226"	""	""	""	""	""	""	""	""
"274"	"208"	"4"	""	""	"0"	""	""	"3"	""	""	"5"	""	"547"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"560"	""	""	"0"	""	""	"560"	""	""	""	""	""	""	""	""
"275"	"209"	"16"	""	""	"3"	""	""	"373"	""	""	"8"	""	"57"	""	""	"1"	""	""	"0"	""	"0"	""	"1"	""	"1"	""	""	"460"	""	""	"0"	""	""	"460"	""	""	""	""	""	""	""	""
"276"	"210"	"5"	""	""	"8"	""	""	"415"	""	""	"19"	""	"135"	""	""	"3"	""	""	"1"	""	"1"	""	"0"	""	"3"	""	""	"590"	""	""	"0"	""	""	"590"	""	""	""	""	""	""	""	""
"277"	"Total"	"41"	""	""	"66"	""	""	"3530"	""	""	"138"	""	"2894"	""	""	"29"	""	""	"10"	""	"7"	""	"7"	""	"28"	""	""	"6750"	""	""	"0"	""	""	"6750"	""	""	""	""	""	""	""	""
"278"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"279"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"281"	"211"	"0"	""	""	"1"	""	""	"617"	""	"0"	""	""	"5"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"623"	""	""	"0"	""	""	"623"	""	""	""	""	""	""	""	""
"282"	"212"	"10"	""	""	"14"	""	""	"455"	""	"8"	""	""	"62"	""	""	"1"	""	""	"0"	""	"0"	""	"1"	""	"8"	""	""	"559"	""	""	"0"	""	""	"559"	""	""	""	""	""	""	""	""
"283"	"213"	"1"	""	""	"0"	""	""	"15"	""	"5"	""	""	"482"	""	""	"3"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"507"	""	""	"0"	""	""	"507"	""	""	""	""	""	""	""	""
"284"	"214"	"8"	""	""	"2"	""	""	"49"	""	"12"	""	""	"159"	""	""	"6"	""	""	"0"	""	"1"	""	"0"	""	"3"	""	""	"240"	""	""	"0"	""	""	"240"	""	""	""	""	""	""	""	""
"285"	"215"	"2"	""	""	"1"	""	""	"770"	""	"5"	""	""	"65"	""	""	"3"	""	""	"1"	""	"4"	""	"1"	""	"3"	""	""	"855"	""	""	"0"	""	""	"855"	""	""	""	""	""	""	""	""
"286"	"216"	"5"	""	""	"2"	""	""	"4"	""	"1"	""	""	"513"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"525"	""	""	"0"	""	""	"525"	""	""	""	""	""	""	""	""
"287"	"217"	"0"	""	""	"0"	""	""	"4"	""	"2"	""	""	"336"	""	""	"0"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	""	"344"	""	""	"0"	""	""	"344"	""	""	""	""	""	""	""	""
"288"	"218"	"1"	""	""	"0"	""	""	"2"	""	"0"	""	""	"220"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"225"	""	""	"0"	""	""	"225"	""	""	""	""	""	""	""	""
"289"	"219"	"2"	""	""	"1"	""	""	"6"	""	"562"	""	""	"4"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"575"	""	""	"0"	""	""	"575"	""	""	""	""	""	""	""	""
"290"	"220"	"23"	""	""	"2"	""	""	"45"	""	"30"	""	""	"445"	""	""	"7"	""	""	"3"	""	"4"	""	"1"	""	"1"	""	""	"561"	""	""	"0"	""	""	"561"	""	""	""	""	""	""	""	""
"291"	"221"	"82"	""	""	"1"	""	""	"57"	""	"6"	""	""	"328"	""	""	"4"	""	""	"2"	""	"1"	""	"2"	""	"3"	""	""	"486"	""	""	"0"	""	""	"486"	""	""	""	""	""	""	""	""
"292"	"222"	"8"	""	""	"3"	""	""	"140"	""	"22"	""	""	"338"	""	""	"6"	""	""	"2"	""	"2"	""	"2"	""	"1"	""	""	"524"	""	""	"0"	""	""	"524"	""	""	""	""	""	""	""	""
"293"	"223"	"53"	""	""	"0"	""	""	"1"	""	"6"	""	""	"555"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"615"	""	""	"0"	""	""	"615"	""	""	""	""	""	""	""	""
"294"	"224"	"66"	""	""	"0"	""	""	"4"	""	"3"	""	""	"201"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"275"	""	""	"0"	""	""	"275"	""	""	""	""	""	""	""	""
"295"	"Total"	"261"	""	""	"27"	""	""	"2169"	""	"662"	""	""	"3713"	""	""	"33"	""	""	"10"	""	"12"	""	"8"	""	"19"	""	""	"6914"	""	""	"0"	""	""	"6914"	""	""	""	""	""	""	""	""
"296"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"297"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"299"	"225"	"3"	""	""	"0"	""	""	"302"	""	"2"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"307"	""	""	"0"	""	""	"307"	""	""	""	""	""	""	""	""
"300"	"226"	"0"	""	""	"2"	""	""	"280"	""	"23"	""	""	"6"	""	""	"3"	""	""	"0"	""	"3"	""	"0"	""	"0"	""	""	"317"	""	""	"0"	""	""	"317"	""	""	""	""	""	""	""	""
"301"	"227"	"1"	""	""	"1"	""	""	"16"	""	"601"	""	""	"4"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"623"	""	""	"0"	""	""	"623"	""	""	""	""	""	""	""	""
"302"	"228"	"208"	""	""	"3"	""	""	"10"	""	"8"	""	""	"20"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"2"	""	""	"252"	""	""	"0"	""	""	"252"	""	""	""	""	""	""	""	""
"303"	"229"	"58"	""	""	"0"	""	""	"6"	""	"891"	""	""	"20"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"975"	""	""	"0"	""	""	"975"	""	""	""	""	""	""	""	""
"304"	"230"	"18"	""	""	"11"	""	""	"18"	""	"278"	""	""	"2"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"327"	""	""	"0"	""	""	"327"	""	""	""	""	""	""	""	""
"305"	"231"	"1"	""	""	"2"	""	""	"383"	""	"4"	""	""	"12"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"403"	""	""	"0"	""	""	"403"	""	""	""	""	""	""	""	""
"306"	"232"	"0"	""	""	"1"	""	""	"389"	""	"2"	""	""	"19"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"411"	""	""	"0"	""	""	"411"	""	""	""	""	""	""	""	""
"307"	"233"	"18"	""	""	"8"	""	""	"96"	""	"32"	""	""	"71"	""	""	"5"	""	""	"1"	""	"9"	""	"6"	""	"3"	""	""	"249"	""	""	"0"	""	""	"249"	""	""	""	""	""	""	""	""
"308"	"234"	"0"	""	""	"0"	""	""	"415"	""	"0"	""	""	"12"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"427"	""	""	"0"	""	""	"427"	""	""	""	""	""	""	""	""
"309"	"235"	"3"	""	""	"1"	""	""	"142"	""	"11"	""	""	"76"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"235"	""	""	"0"	""	""	"235"	""	""	""	""	""	""	""	""
"310"	"236"	"2"	""	""	"1"	""	""	"1"	""	"20"	""	""	"45"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"70"	""	""	"0"	""	""	"70"	""	""	""	""	""	""	""	""
"311"	"237"	"23"	""	""	"5"	""	""	"151"	""	"73"	""	""	"16"	""	""	"1"	""	""	"2"	""	"0"	""	"2"	""	"2"	""	""	"275"	""	""	"0"	""	""	"275"	""	""	""	""	""	""	""	""
"312"	"238"	"5"	""	""	"1"	""	""	"438"	""	"72"	""	""	"20"	""	""	"3"	""	""	"2"	""	"0"	""	"0"	""	"2"	""	""	"543"	""	""	"0"	""	""	"543"	""	""	""	""	""	""	""	""
"313"	"Total"	"340"	""	""	"36"	""	""	"2647"	""	"2017"	""	""	"323"	""	""	"15"	""	""	"6"	""	"12"	""	"9"	""	"9"	""	""	"5414"	""	""	"0"	""	""	"5414"	""	""	""	""	""	""	""	""
"314"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
