"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"240"	"153"	"30"	"9"	"8"	"6"	"101"	"9"	"13"	"21"	"27"	"8"	"9"	"4"	"8"	"5"	"26"	"6"	"304"	"12"	"6"	"612"	"0"	"612"	"0"	""
"241"	"154"	"48"	"2"	"31"	"3"	"67"	"4"	"237"	"3"	"144"	"2"	"10"	"6"	"6"	"5"	"9"	"12"	"4"	"0"	"3"	"596"	"0"	"596"	"0"	""
"242"	";ksx"	"410"	"546"	"345"	"53"	"1318"	"564"	"1186"	"112"	"523"	"55"	"77"	"72"	"44"	"50"	"188"	"116"	"1652"	"73"	"50"	"7434"	"0"	"7434"	"0"	""
"243"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"250"	"155"	"14"	"4"	"116"	"8"	"123"	"4"	"33"	"6"	"18"	"4"	"1"	"5"	"7"	"7"	"7"	"7"	"10"	"2"	"3"	"379"	"0"	"379"	"0"	""
"251"	"156"	"5"	"1"	"2"	"3"	"98"	"84"	"5"	"9"	"204"	"5"	"5"	"2"	"3"	"2"	"12"	"2"	"244"	"6"	"7"	"699"	"0"	"699"	"0"	""
"252"	"157"	"9"	"103"	"85"	"4"	"62"	"6"	"22"	"16"	"125"	"7"	"3"	"7"	"4"	"12"	"20"	"19"	"45"	"5"	"9"	"563"	"0"	"563"	"0"	""
"253"	"158"	"40"	"41"	"13"	"4"	"58"	"21"	"9"	"3"	"136"	"4"	"2"	"4"	"4"	"4"	"7"	"9"	"5"	"2"	"3"	"369"	"0"	"369"	"0"	""
"254"	"159"	"34"	"5"	"132"	"5"	"50"	"6"	"147"	"5"	"146"	"6"	"2"	"2"	"1"	"1"	"2"	"3"	"0"	"0"	"1"	"548"	"0"	"548"	"0"	""
"255"	"160"	"74"	"17"	"98"	"8"	"84"	"13"	"59"	"9"	"280"	"8"	"4"	"4"	"12"	"26"	"5"	"14"	"3"	"2"	"3"	"723"	"0"	"723"	"0"	""
"256"	"161"	"35"	"3"	"30"	"7"	"400"	"6"	"9"	"2"	"18"	"5"	"12"	"11"	"2"	"1"	"3"	"3"	"13"	"2"	"5"	"567"	"0"	"567"	"0"	""
"257"	"162"	"17"	"3"	"31"	"2"	"149"	"2"	"68"	"5"	"48"	"3"	"2"	"7"	"0"	"1"	"7"	"10"	"0"	"1"	"0"	"356"	"0"	"356"	"0"	""
"258"	"163"	"18"	"2"	"111"	"7"	"366"	"12"	"23"	"2"	"7"	"3"	"1"	"1"	"4"	"1"	"0"	"9"	"1"	"2"	"3"	"573"	"0"	"573"	"0"	""
"259"	"164"	"4"	"3"	"20"	"2"	"62"	"5"	"4"	"4"	"6"	"6"	"448"	"5"	"2"	"6"	"33"	"4"	"4"	"1"	"5"	"624"	"0"	"624"	"0"	""
"260"	"165"	"8"	"4"	"28"	"1"	"75"	"11"	"12"	"15"	"26"	"12"	"228"	"4"	"3"	"8"	"17"	"14"	"11"	"13"	"13"	"503"	"0"	"503"	"0"	""
"261"	"166"	"16"	"49"	"51"	"4"	"166"	"10"	"30"	"13"	"50"	"7"	"188"	"4"	"8"	"6"	"42"	"10"	"51"	"2"	"6"	"713"	"0"	"713"	"0"	""
"262"	"167"	"11"	"3"	"42"	"9"	"119"	"8"	"27"	"10"	"53"	"3"	"120"	"5"	"4"	"2"	"38"	"4"	"79"	"3"	"5"	"545"	"0"	"545"	"0"	""
"263"	"168"	"11"	"63"	"153"	"6"	"161"	"11"	"85"	"11"	"76"	"10"	"6"	"8"	"6"	"41"	"3"	"3"	"2"	"0"	"4"	"660"	"0"	"660"	"0"	""
"264"	";ksx"	"296"	"301"	"912"	"70"	"1973"	"199"	"533"	"110"	"1193"	"83"	"1022"	"69"	"60"	"118"	"196"	"111"	"468"	"41"	"67"	"7822"	"0"	"7822"	"0"	""
"265"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"271"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"272"	"169"	"7"	"2"	"12"	"1"	"235"	"8"	"15"	"10"	"100"	"7"	"17"	"2"	"1"	"18"	"23"	"7"	"31"	"0"	"1"	"497"	"0"	"497"	"0"	""
"273"	"170"	"30"	"20"	"119"	"3"	"129"	"8"	"55"	"3"	"30"	"2"	"35"	"3"	"8"	"3"	"13"	"18"	"49"	"0"	"6"	"534"	"0"	"534"	"0"	""
"274"	";ksx"	"37"	"22"	"131"	"4"	"364"	"16"	"70"	"13"	"130"	"9"	"52"	"5"	"9"	"21"	"36"	"25"	"80"	"0"	"7"	"1031"	"0"	"1031"	"0"	""
"275"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"7&puifV;k fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"283"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"284"	"dqy ;ksx"	"6868"	"6801"	"9441"	"1201"	"27642"	"3083"	"5986"	"934"	"11426"	"652"	"1763"	"778"	"497"	"2051"	"1283"	"1124"	"4949"	"399"	"553"	"87431"	"0"	"87431"	"0"	""
"285"	"kd eri"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"286"	"dqy ;ksx"	"6868"	"6801"	"9441"	"1201"	"27642"	"3083"	"5986"	"934"	"11426"	"652"	"1763"	"778"	"497"	"2051"	"1283"	"1124"	"4949"	"399"	"553"	"87431"	"0"	"87431"	"0"	""
"287"	"M"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"7&puifV;k fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
