"253"	""	"159®"	"5"	"2"	"104"	"34"	"71"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	""	"0"	"0"	"1"	""	"-222"	""	"0"	""	"-222"	""	"0"
"254"	""	"160"	"0"	"34"	"909"	"4"	"47"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"28"	"1"	"6"	""	"-1035"	""	"0"	""	"-1035"	""	"0"
"255"	""	"161"	"13"	"27"	"21"	"156"	"138"	"156"	"12"	"2"	"3"	"0"	"2"	"0"	"7"	""	"2"	"1"	"10"	""	"-550"	""	"0"	""	"-550"	""	"0"
"256"	""	"162"	"7"	"80"	"34"	"117"	"234"	"185"	"6"	"1"	"10"	"2"	"2"	"7"	"7"	""	"2"	"5"	"20"	""	"-719"	""	"0"	""	"-719"	""	"0"
"257"	""	"163®"	"27"	"11"	"20"	"14"	"128"	"94"	"440"	"8"	"8"	"4"	"4"	"12"	"4"	""	"3"	"2"	"10"	""	"-789"	""	"0"	""	"-789"	""	"0"
"258"	""	"164"	"13"	"17"	"6"	"3"	"74"	"75"	"1"	"0"	"15"	"0"	"0"	"0"	"0"	""	"0"	"0"	"6"	""	"-210"	""	"0"	""	"-210"	""	"0"
"259"	""	"165"	"3"	"118"	"49"	"6"	"22"	"49"	"3"	"8"	"95"	"3"	"1"	"2"	"2"	""	"18"	"2"	"2"	""	"-383"	""	"0"	""	"-383"	""	"0"
"260"	""	"166"	"4"	"8"	"4"	"2"	"209"	"1"	"3"	"0"	"2"	"0"	"0"	"1"	"1"	""	"0"	"0"	"0"	""	"-235"	""	"0"	""	"-235"	""	"0"
"261"	""	"167"	"71"	"0"	"1"	"1"	"106"	"96"	"1"	"0"	"9"	"0"	"1"	"0"	"0"	""	"0"	"0"	"2"	""	"-288"	""	"0"	""	"-288"	""	"0"
"262"	""	"168"	"79"	"14"	"142"	"28"	"12"	"278"	"7"	"2"	"13"	"2"	"0"	"0"	"4"	""	"12"	"3"	"1"	""	"-597"	""	"0"	""	"-597"	""	"0"
"263"	"TOTAL"	""	"-237"	"-327"	"-1591"	"-426"	"-1843"	"-1403"	"-541"	"-27"	"-163"	"-15"	"-22"	"-47"	"-30"	""	"-74"	"-18"	"-77"	""	"-6841"	""	"0"	""	"-6841"	""	"0"
"264"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"269"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"270"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"271"	"R
o u n d
1
3"	"169"	"61"	"14"	"136"	"44"	"4"	"230"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	""	"6"	"3"	"12"	""	"-514"	""	"0"	""	"-514"	""	"0"
"272"	""	"170"	"2"	"31"	"225"	"40"	"14"	"90"	"0"	"0"	"30"	"0"	"1"	"0"	"0"	""	"10"	"1"	"1"	""	"-445"	""	"0"	""	"-445"	""	"0"
"273"	""	"171"	"25"	"54"	"218"	"102"	"22"	"123"	"0"	"1"	"7"	"0"	"2"	"2"	"5"	""	"30"	"6"	"31"	""	"-628"	""	"0"	""	"-628"	""	"0"
"274"	""	"172"	"9"	"41"	"190"	"4"	"7"	"180"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	""	"6"	"0"	"14"	""	"-455"	""	"0"	""	"-455"	""	"0"
"275"	""	"173"	"10"	"11"	"53"	"426"	"9"	"43"	"2"	"0"	"29"	"0"	"0"	"0"	"1"	""	"3"	"0"	"2"	""	"-589"	""	"0"	""	"-589"	""	"0"
"276"	""	"174"	"38"	"136"	"219"	"43"	"97"	"173"	"3"	"3"	"30"	"1"	"2"	"0"	"0"	""	"11"	"3"	"24"	""	"-783"	""	"0"	""	"-783"	""	"0"
"277"	""	"175"	"7"	"34"	"78"	"159"	"12"	"143"	"12"	"2"	"1"	"5"	"2"	"2"	"2"	""	"28"	"2"	"3"	""	"-492"	""	"0"	""	"-492"	""	"0"
"278"	""	"176"	"2"	"1"	"113"	"4"	"181"	"69"	"0"	"1"	"1"	"2"	"2"	"1"	"2"	""	"2"	"0"	"6"	""	"-387"	""	"0"	""	"-387"	""	"0"
"279"	""	"177"	"7"	"25"	"64"	"144"	"110"	"69"	"2"	"1"	"34"	"0"	"0"	"2"	"0"	""	"3"	"1"	"8"	""	"-470"	""	"0"	""	"-470"	""	"0"
"280"	""	"178"	"29"	"48"	"143"	"101"	"13"	"114"	"5"	"0"	"22"	"3"	"0"	"1"	"15"	""	"13"	"1"	"9"	""	"-517"	""	"0"	""	"-517"	""	"0"
"281"	""	"179"	"18"	"15"	"44"	"8"	"17"	"708"	"4"	"0"	"22"	"3"	"1"	"0"	"0"	""	"1"	"1"	"9"	""	"-851"	""	"0"	""	"-851"	""	"0"
"282"	""	"180"	"36"	"1"	"83"	"10"	"164"	"97"	"4"	"2"	"35"	"0"	"2"	"2"	"3"	""	"1"	"5"	"6"	""	"-451"	""	"0"	""	"-451"	""	"0"
"283"	""	"181"	"56"	"1"	"25"	"70"	"19"	"120"	"1"	"4"	"283"	"1"	"0"	"0"	"2"	""	"2"	"2"	"15"	""	"-601"	""	"0"	""	"-601"	""	"0"
"284"	""	"182"	"19"	"0"	"2"	"95"	"15"	"148"	"0"	"1"	"16"	"0"	"1"	"1"	"0"	""	"1"	"0"	"151"	""	"-450"	""	"0"	""	"-450"	""	"0"
"285"	"TOTAL"	""	"-319"	"-412"	"-1593"	"-1250"	"-684"	"-2307"	"-36"	"-16"	"-511"	"-16"	"-14"	"-12"	"-30"	""	"-117"	"-25"	"-291"	""	"-7633"	""	"0"	""	"-7633"	""	"0"
"286"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"291"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"292"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"293"	"R
o u n d
1
4"	"183"	"6"	"2"	"105"	"4"	"116"	"22"	"1"	"0"	"5"	"5"	"11"	"10"	"5"	""	"11"	"7"	"97"	""	"-407"	""	"0"	""	"-407"	""	"0"
"294"	""	"184"	"1"	"5"	"49"	"2"	"146"	"97"	"3"	"2"	"8"	"2"	"0"	"4"	"4"	""	"3"	"0"	"52"	""	"-378"	""	"0"	""	"-378"	""	"0"
"295"	""	"185"	"12"	"8"	"215"	"17"	"39"	"87"	"2"	"0"	"16"	"0"	"1"	"0"	"1"	""	"4"	"3"	"11"	""	"-416"	""	"0"	""	"-416"	""	"0"
"296"	""	"186"	"32"	"45"	"308"	"9"	"21"	"32"	"0"	"0"	"94"	"1"	"1"	"1"	"1"	""	"29"	"1"	"0"	""	"-575"	""	"0"	""	"-575"	""	"0"
"297"	""	"187"	"307"	"28"	"109"	"16"	"81"	"89"	"1"	"2"	"23"	"4"	"1"	"4"	"0"	""	"10"	"2"	"7"	""	"-684"	""	"0"	""	"-684"	""	"0"
"298"	""	"188"	"93"	"3"	"13"	"6"	"2"	"404"	"1"	"2"	"20"	"3"	"1"	"2"	"2"	""	"3"	"2"	"26"	""	"-583"	""	"0"	""	"-583"	""	"0"
"299"	""	"189"	"56"	"0"	"2"	"1"	"251"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	""	"0"	"0"	"0"	""	"-313"	""	"0"	""	"-313"	""	"0"
"300"	""	"190"	"6"	"7"	"25"	"26"	"7"	"5"	"382"	"2"	"26"	"3"	"0"	"1"	"0"	""	"4"	"0"	"2"	""	"-496"	""	"0"	""	"-496"	""	"0"
"301"	""	"191"	"6"	"1"	"101"	"5"	"5"	"101"	"122"	"6"	"53"	"9"	"0"	"2"	"2"	""	"6"	"2"	"3"	""	"-424"	""	"0"	""	"-424"	""	"0"
"302"	""	"192"	"14"	"1"	"172"	"6"	"8"	"82"	"2"	"3"	"116"	"3"	"1"	"0"	"0"	""	"4"	"0"	"16"	""	"-428"	""	"0"	""	"-428"	""	"0"
"303"	""	"193"	"18"	"1"	"14"	"9"	"1"	"264"	"1"	"0"	"160"	"0"	"2"	"0"	"1"	""	"0"	"0"	"6"	""	"-477"	""	"0"	""	"-477"	""	"0"
"304"	""	"194"	"21"	"3"	"17"	"18"	"63"	"165"	"1"	"7"	"240"	"7"	"1"	"5"	"6"	""	"1"	"7"	"13"	""	"-575"	""	"0"	""	"-575"	""	"0"
"305"	""	"195"	"26"	"2"	"4"	"24"	"5"	"193"	"4"	"5"	"40"	"1"	"2"	"0"	"0"	""	"2"	"0"	"0"	""	"-308"	""	"0"	""	"-308"	""	"0"
"306"	""	"196"	"57"	"3"	"18"	"40"	"9"	"176"	"4"	"3"	"65"	"3"	"1"	"1"	"3"	""	"8"	"7"	"28"	""	"-426"	""	"0"	""	"-426"	""	""
"307"	"TOTAL"	""	"-655"	"-109"	"-1152"	"-183"	"-754"	"-1717"	"-524"	"-32"	"-867"	"-41"	"-24"	"-30"	"-25"	""	"-85"	"-31"	"-261"	""	"-6490"	""	"0"	""	"-6490"	""	"0"
"308"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	"No. of Tend ered Votes"
"313"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	""	"Qazi Ashfaq ue Azam"	"Devesh Pratap Singh"	"Numan Ali"	""	"Sunil Singh"	""	""	""	""	""	""	""
"314"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	""	"16"	""	""	""	""	""	""	""
"315"	"R
o u n d
1
5"	"197"	"9"	"54"	"79"	"15"	"106"	"62"	"2"	"0"	"29"	"3"	"0"	"1"	""	"2"	"4"	"3"	""	"19"	""	"-388"	""	"0"	""	"-388"	"0"
"316"	""	"198"	"16"	"9"	"33"	"106"	"7"	"59"	"32"	"10"	"11"	"0"	"2"	"1"	""	"3"	"2"	"1"	""	"95"	""	"-387"	""	"0"	""	"-387"	"0"
"317"	""	"199"	"305"	"18"	"91"	"19"	"18"	"30"	"57"	"1"	"5"	"1"	"0"	"3"	""	"1"	"4"	"3"	""	"9"	""	"-565"	""	"0"	""	"-565"	"0"
"318"	""	"200"	"16"	"0"	"413"	"42"	"12"	"193"	"6"	"1"	"14"	"3"	"0"	"0"	""	"4"	"5"	"2"	""	"21"	""	"-732"	""	"0"	""	"-732"	"0"
"319"	""	"201"	"16"	"17"	"108"	"4"	"57"	"75"	"0"	"1"	"40"	"3"	"1"	"5"	""	"4"	"7"	"6"	""	"210"	""	"-554"	""	"0"	""	"-554"	"0"
"320"	""	"201A"	"5"	"1"	"31"	"127"	"47"	"74"	"3"	"1"	"27"	"3"	"2"	"2"	""	"3"	"6"	"2"	""	"47"	""	"-381"	""	"0"	""	"-381"	"0"
"321"	""	"202"	"39"	"4"	"272"	"24"	"23"	"58"	"1"	"2"	"45"	"1"	"1"	"1"	""	"1"	"10"	"2"	""	"58"	""	"-542"	""	"0"	""	"-542"	"0"
"322"	""	"203"	"43"	"2"	"155"	"56"	"31"	"129"	"2"	"2"	"128"	"2"	"1"	"2"	""	"4"	"8"	"4"	""	"60"	""	"-629"	""	"0"	""	"-629"	"0"
"323"	""	"204"	"32"	"110"	"149"	"157"	"81"	"34"	"0"	"6"	"32"	"4"	"5"	"7"	""	"4"	"17"	"8"	""	"26"	""	"-672"	""	"0"	""	"-672"	"0"
"324"	""	"205"	"39"	"157"	"141"	"12"	"85"	"60"	"3"	"18"	"70"	"3"	"1"	"13"	""	"5"	"28"	"9"	""	"42"	""	"-686"	""	"0"	""	"-686"	"0"
"325"	""	"206"	"87"	"5"	"34"	"1"	"40"	"115"	"5"	"0"	"27"	"1"	"1"	"0"	""	"0"	"3"	"0"	""	"25"	""	"-344"	""	"0"	""	"-344"	"0"
"326"	""	"207"	"3"	"5"	"88"	"3"	"2"	"162"	"0"	"0"	"11"	"0"	"0"	"0"	""	"1"	"1"	"0"	""	"6"	""	"-282"	""	"0"	""	"-282"	"0"
"327"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"TOTAL"	""	"-610"	"-382"	"-1594"	"-566"	"-509"	"-1051"	"-111"	"-42"	"-439"	"-24"	"-14"	"-35"	""	"-32"	"-95"	"-40"	""	"-618"	""	"-6162"	""	"0"	""	"-6162"	"0"
"330"	"Total No. of votes recorded at Polling Stations"	""	"-13412"	"-7352"	"-14089"	"-7858"	"-19125"	"-28541"	"-2520"	"-496"	"-5282"	"-321"	"-255"	"-503"	""	"-673"	"-2515"	"-504"	""	"-4984"	""	"-108430"	""	"0"	""	"-108430"	"0"
"331"	"No. of votes recorded on postal ballot"	""	"-4"	"-1"	"-10"	"-1"	"0"	"-3"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"0"	""	"-19"	""	"0"	""	"-19"	"0"
"332"	"Total votes
polled"	""	"-13416"	"-7353"	"-14099"	"-7859"	"-19125"	"-28544"	"-2520"	"-496"	"-5282"	"-321"	"-255"	"-503"	""	"-673"	"-2515"	"-504"	""	"-4984"	""	"-108449"	""	"0"	""	"-108449"	"0"
"333"	"Place"	""	"Sub-Division Office, Dumraon"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""	""	""	""	""	""	""
