"ernku.dsUnz.dh.ÿå.laå"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonŸk.erksa.dh.laå"
"185"	"160"	"9"	"134"	"153"	"14"	"3"	"1"	"60"	"2"	"5"	"2"	"2"	"6"	"6"	"5"	"2"	"13"	"0"	"0"	"3"	"0"	"6"	"0"	"0"	"1"	"0"	"1"	"7"	"435"	""	"435"	""
"186"	"161"	"16"	"140"	"88"	"6"	"2"	"2"	"99"	"3"	"0"	"0"	"1"	"7"	"66"	"2"	"2"	"9"	"15"	"14"	"15"	"12"	"67"	"22"	"6"	"4"	"3"	"3"	"30"	"634"	""	"634"	""
"187"	"162"	"5"	"267"	"121"	"3"	"4"	"1"	"4"	"2"	"1"	"0"	"0"	"1"	"5"	"5"	"4"	"3"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"452"	""	"452"	""
"188"	"163"	"25"	"101"	"329"	"8"	"10"	"2"	"49"	"2"	"18"	"2"	"2"	"4"	"3"	"3"	"7"	"7"	"3"	"1"	"4"	"7"	"8"	"3"	"2"	"0"	"4"	"3"	"186"	"793"	""	"793"	""
"189"	"164"	"11"	"16"	"141"	"16"	"7"	"1"	"20"	"3"	"8"	"0"	"15"	"4"	"1"	"10"	"4"	"27"	"5"	"2"	"1"	"5"	"8"	"1"	"0"	"4"	"1"	"0"	"62"	"373"	""	"373"	""
"190"	"165"	"16"	"70"	"170"	"6"	"4"	"0"	"16"	"5"	"15"	"4"	"1"	"4"	"7"	"14"	"6"	"31"	"11"	"2"	"7"	"1"	"3"	"1"	"1"	"0"	"1"	"3"	"148"	"547"	""	"547"	""
"191"	"166"	"17"	"51"	"209"	"1"	"3"	"5"	"60"	"2"	"21"	"4"	"5"	"7"	"4"	"2"	"15"	"10"	"3"	"1"	"3"	"4"	"5"	"1"	"1"	"0"	"0"	"1"	"92"	"527"	""	"527"	""
"192"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"193"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"194"	"167"	"6"	"15"	"181"	"6"	"8"	"0"	"5"	"3"	"4"	"0"	"1"	"2"	"1"	"5"	"6"	"4"	"15"	"2"	"13"	"4"	"2"	"2"	"1"	"1"	"2"	"0"	"146"	"435"	"0"	"435"	""
"195"	"168"	"26"	"109"	"55"	"8"	"4"	"0"	"5"	"3"	"11"	"2"	"2"	"3"	"2"	"4"	"10"	"13"	"8"	"2"	"6"	"4"	"3"	"1"	"4"	"5"	"7"	"15"	"426"	"738"	""	"738"	""
"196"	"169"	"9"	"68"	"281"	"6"	"2"	"4"	"5"	"1"	"18"	"0"	"1"	"1"	"0"	"5"	"8"	"2"	"16"	"3"	"12"	"5"	"2"	"1"	"3"	"2"	"3"	"2"	"49"	"509"	""	"509"	""
"197"	"170"	"32"	"78"	"438"	"16"	"6"	"9"	"64"	"20"	"25"	"2"	"6"	"8"	"5"	"5"	"13"	"10"	"7"	"3"	"4"	"3"	"8"	"2"	"1"	"3"	"2"	"1"	"49"	"820"	""	"820"	""
"198"	"171"	"13"	"34"	"126"	"7"	"4"	"6"	"112"	"13"	"2"	"5"	"1"	"2"	"1"	"2"	"5"	"6"	"3"	"0"	"3"	"3"	"13"	"0"	"2"	"2"	"4"	"0"	"43"	"412"	""	"412"	""
"199"	"171 A"	"14"	"54"	"85"	"3"	"3"	"0"	"12"	"84"	"13"	"2"	"2"	"4"	"1"	"3"	"3"	"3"	"6"	"4"	"2"	"2"	"1"	"2"	"0"	"4"	"0"	"4"	"89"	"400"	""	"400"	""
"200"	"172"	"5"	"7"	"266"	"4"	"4"	"2"	"92"	"6"	"0"	"1"	"0"	"1"	"2"	"2"	"4"	"9"	"6"	"4"	"6"	"10"	"44"	"4"	"3"	"4"	"0"	"1"	"12"	"499"	""	"499"	""
"201"	"173"	"3"	"34"	"105"	"6"	"4"	"2"	"322"	"25"	"2"	"8"	"2"	"6"	"7"	"4"	"2"	"10"	"2"	"0"	"1"	"3"	"19"	"1"	"2"	"0"	"0"	"2"	"10"	"582"	""	"582"	""
"202"	"174"	"10"	"57"	"51"	"6"	"3"	"0"	"128"	"7"	"1"	"2"	"2"	"5"	"3"	"1"	"4"	"2"	"6"	"6"	"4"	"1"	"36"	"4"	"2"	"4"	"1"	"0"	"11"	"357"	""	"357"	""
"203"	"175"	"9"	"222"	"149"	"5"	"5"	"3"	"88"	"2"	"0"	"2"	"8"	"6"	"4"	"11"	"8"	"9"	"5"	"3"	"13"	"4"	"19"	"2"	"1"	"4"	"3"	"2"	"10"	"597"	""	"597"	""
"204"	"176"	"17"	"29"	"293"	"8"	"19"	"7"	"180"	"6"	"4"	"6"	"3"	"6"	"8"	"13"	"12"	"24"	"18"	"8"	"27"	"10"	"63"	"10"	"7"	"13"	"4"	"5"	"25"	"825"	""	"825"	""
"205"	"177"	"18"	"161"	"324"	"16"	"4"	"4"	"21"	"5"	"3"	"3"	"0"	"2"	"4"	"8"	"6"	"11"	"3"	"1"	"2"	"4"	"3"	"2"	"3"	"0"	"2"	"0"	"8"	"618"	""	"618"	""
"206"	"178"	"16"	"76"	"120"	"2"	"3"	"5"	"173"	"16"	"6"	"7"	"1"	"6"	"6"	"5"	"3"	"11"	"22"	"13"	"19"	"18"	"74"	"13"	"11"	"5"	"4"	"3"	"14"	"652"	""	"652"	""
"207"	"179"	"8"	"43"	"148"	"8"	"0"	"2"	"35"	"1"	"5"	"0"	"0"	"2"	"0"	"3"	"4"	"3"	"5"	"1"	"3"	"4"	"6"	"0"	"1"	"0"	"0"	"1"	"20"	"303"	""	"303"	""
"208"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"209"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"210"	"180"	"20"	"14"	"25"	"4"	"4"	"5"	"373"	"18"	"10"	"3"	"4"	"8"	"5"	"0"	"2"	"4"	"4"	"1"	"0"	"2"	"22"	"1"	"1"	"1"	"3"	"2"	"58"	"594"	"0"	"594"	""
"211"	"181"	"3"	"79"	"53"	"1"	"4"	"3"	"101"	"5"	"2"	"1"	"5"	"1"	"0"	"0"	"2"	"3"	"5"	"2"	"4"	"4"	"49"	"6"	"2"	"1"	"2"	"1"	"39"	"378"	""	"378"	""
"212"	"182"	"10"	"74"	"227"	"14"	"6"	"9"	"178"	"12"	"10"	"3"	"5"	"13"	"14"	"3"	"5"	"14"	"13"	"6"	"15"	"7"	"33"	"7"	"4"	"4"	"4"	"7"	"57"	"754"	""	"754"	""
"213"	"183"	"20"	"141"	"90"	"3"	"8"	"10"	"229"	"16"	"25"	"7"	"26"	"10"	"9"	"10"	"11"	"47"	"3"	"4"	"5"	"8"	"41"	"4"	"6"	"3"	"3"	"5"	"123"	"867"	""	"867"	""
"214"	"184"	"20"	"153"	"453"	"11"	"4"	"4"	"82"	"2"	"4"	"3"	"29"	"7"	"7"	"4"	"9"	"6"	"6"	"5"	"7"	"7"	"13"	"0"	"0"	"0"	"0"	"1"	"43"	"880"	""	"880"	""
"215"	"185"	"8"	"41"	"148"	"4"	"11"	"1"	"93"	"8"	"4"	"2"	"3"	"2"	"0"	"1"	"3"	"3"	"15"	"2"	"8"	"11"	"29"	"3"	"1"	"2"	"4"	"2"	"155"	"564"	""	"564"	""
"216"	"186"	"10"	"4"	"56"	"3"	"10"	"4"	"384"	"18"	"4"	"4"	"1"	"12"	"2"	"5"	"1"	"6"	"2"	"0"	"0"	"5"	"14"	"0"	"2"	"0"	"0"	"1"	"3"	"551"	""	"551"	""
"217"	"187"	"11"	"81"	"108"	"4"	"11"	"24"	"193"	"22"	"23"	"4"	"6"	"12"	"7"	"3"	"11"	"9"	"5"	"3"	"3"	"4"	"30"	"2"	"2"	"0"	"0"	"1"	"51"	"630"	""	"630"	""
"218"	"188"	"36"	"22"	"21"	"9"	"18"	"8"	"5"	"33"	"35"	"146"	"12"	"18"	"32"	"216"	"119"	"23"	"2"	"3"	"1"	"4"	"4"	"1"	"0"	"5"	"1"	"4"	"19"	"797"	""	"797"	""
"219"	"189"	"8"	"44"	"266"	"9"	"22"	"4"	"124"	"31"	"25"	"9"	"13"	"11"	"5"	"7"	"9"	"36"	"10"	"3"	"11"	"6"	"14"	"2"	"8"	"1"	"5"	"5"	"125"	"813"	""	"813"	""
"220"	"190"	"5"	"28"	"260"	"7"	"8"	"0"	"88"	"5"	"9"	"2"	"5"	"12"	"22"	"20"	"16"	"33"	"7"	"2"	"18"	"6"	"17"	"9"	"3"	"6"	"7"	"9"	"163"	"767"	""	"767"	""
"221"	"191"	"4"	"16"	"45"	"2"	"4"	"4"	"148"	"9"	"23"	"7"	"4"	"10"	"8"	"6"	"3"	"30"	"11"	"7"	"2"	"5"	"20"	"6"	"3"	"1"	"1"	"6"	"231"	"616"	""	"616"	""
"222"	"192"	"26"	"30"	"118"	"7"	"6"	"7"	"45"	"14"	"38"	"6"	"3"	"8"	"15"	"5"	"8"	"45"	"13"	"8"	"2"	"3"	"3"	"2"	"1"	"0"	"4"	"6"	"234"	"657"	""	"657"	""
"223"	"193"	"25"	"33"	"129"	"8"	"3"	"3"	"79"	"16"	"22"	"4"	"2"	"12"	"14"	"10"	"8"	"31"	"19"	"11"	"4"	"8"	"40"	"12"	"7"	"5"	"6"	"19"	"287"	"817"	""	"817"	""
"224"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"225"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"226"	"194"	"24"	"29"	"157"	"8"	"4"	"10"	"36"	"6"	"14"	"2"	"2"	"2"	"7"	"3"	"3"	"12"	"15"	"8"	"11"	"4"	"5"	"11"	"1"	"0"	"4"	"8"	"309"	"695"	"0"	"695"	""
"227"	"195"	"13"	"5"	"67"	"2"	"5"	"2"	"133"	"35"	"10"	"3"	"3"	"12"	"2"	"2"	"0"	"13"	"6"	"3"	"2"	"3"	"18"	"2"	"0"	"1"	"2"	"3"	"94"	"441"	""	"441"	""
"228"	"196"	"21"	"43"	"190"	"5"	"7"	"5"	"69"	"14"	"25"	"8"	"5"	"13"	"7"	"10"	"12"	"26"	"7"	"1"	"2"	"3"	"3"	"0"	"3"	"1"	"2"	"2"	"88"	"572"	""	"572"	""
"229"	"197"	"4"	"67"	"210"	"7"	"0"	"0"	"33"	"20"	"2"	"0"	"0"	"4"	"2"	"2"	"11"	"15"	"5"	"4"	"4"	"8"	"2"	"1"	"2"	"3"	"0"	"3"	"29"	"438"	""	"438"	""
"230"	"198"	"7"	"17"	"79"	"8"	"7"	"1"	"123"	"4"	"13"	"3"	"1"	"2"	"1"	"5"	"8"	"29"	"17"	"1"	"7"	"2"	"14"	"3"	"0"	"4"	"3"	"5"	"306"	"670"	""	"670"	""
"231"	"199"	"11"	"25"	"172"	"6"	"1"	"0"	"33"	"2"	"16"	"2"	"5"	"3"	"1"	"3"	"6"	"28"	"10"	"4"	"9"	"2"	"6"	"1"	"1"	"3"	"3"	"8"	"215"	"576"	""	"576"	""
"232"	"200"	"18"	"11"	"131"	"2"	"9"	"2"	"42"	"8"	"32"	"3"	"3"	"5"	"3"	"0"	"5"	"20"	"15"	"8"	"4"	"3"	"8"	"2"	"2"	"2"	"2"	"11"	"335"	"686"	""	"686"	""
"233"	"201"	"10"	"16"	"142"	"5"	"16"	"5"	"48"	"14"	"15"	"0"	"2"	"4"	"4"	"4"	"8"	"19"	"4"	"0"	"2"	"2"	"5"	"1"	"3"	"2"	"2"	"10"	"320"	"663"	""	"663"	""
"234"	"202"	"3"	"21"	"185"	"7"	"1"	"2"	"43"	"9"	"17"	"2"	"3"	"2"	"3"	"7"	"11"	"45"	"34"	"7"	"19"	"12"	"17"	"3"	"5"	"11"	"5"	"8"	"250"	"732"	""	"732"	""
"235"	"203"	"14"	"13"	"304"	"9"	"9"	"9"	"102"	"7"	"12"	"0"	"6"	"13"	"6"	"3"	"16"	"11"	"3"	"3"	"3"	"1"	"2"	"2"	"0"	"0"	"1"	"4"	"117"	"670"	""	"670"	""
"236"	"204"	"41"	"18"	"157"	"21"	"4"	"6"	"22"	"26"	"24"	"11"	"27"	"6"	"5"	"8"	"9"	"18"	"10"	"6"	"1"	"2"	"6"	"2"	"1"	"0"	"1"	"2"	"107"	"541"	""	"541"	""
"237"	"205"	"4"	"49"	"80"	"1"	"8"	"1"	"3"	"5"	"14"	"1"	"0"	"6"	"5"	"2"	"4"	"37"	"15"	"3"	"8"	"1"	"2"	"2"	"0"	"2"	"1"	"9"	"307"	"570"	""	"570"	""
"238"	"206"	"11"	"24"	"118"	"8"	"11"	"0"	"6"	"5"	"19"	"4"	"10"	"3"	"5"	"3"	"13"	"30"	"5"	"0"	"7"	"1"	"5"	"0"	"0"	"0"	"2"	"4"	"125"	"419"	""	"419"	""
"239"	"207"	"8"	"35"	"325"	"13"	"3"	"1"	"5"	"2"	"22"	"2"	"1"	"2"	"6"	"1"	"2"	"11"	"2"	"3"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"331"	"784"	""	"784"	""
"240"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"241"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"242"	"208"	"6"	"25"	"115"	"2"	"2"	"1"	"91"	"15"	"12"	"3"	"1"	"4"	"5"	"5"	"6"	"13"	"7"	"2"	"8"	"8"	"26"	"0"	"3"	"2"	"3"	"4"	"290"	"659"	"0"	"659"	""
"243"	"209"	"6"	"2"	"49"	"0"	"1"	"2"	"13"	"27"	"13"	"1"	"1"	"0"	"1"	"1"	"7"	"4"	"3"	"1"	"0"	"2"	"3"	"2"	"0"	"3"	"6"	"5"	"241"	"394"	""	"394"	""
"244"	"210"	"16"	"53"	"154"	"4"	"9"	"4"	"119"	"19"	"88"	"7"	"5"	"8"	"6"	"6"	"9"	"47"	"10"	"15"	"4"	"6"	"23"	"6"	"1"	"2"	"5"	"4"	"253"	"883"	""	"883"	""
"245"	"211"	"0"	"59"	"113"	"4"	"2"	"2"	"31"	"6"	"28"	"4"	"4"	"5"	"4"	"5"	"2"	"12"	"4"	"6"	"6"	"2"	"6"	"1"	"3"	"1"	"3"	"4"	"133"	"450"	""	"450"	""
"246"	"212"	"18"	"82"	"145"	"5"	"12"	"2"	"86"	"87"	"20"	"1"	"6"	"4"	"0"	"2"	"5"	"6"	"7"	"6"	"8"	"8"	"34"	"2"	"6"	"4"	"1"	"2"	"105"	"664"	""	"664"	""
"247"	"213"	"8"	"27"	"131"	"6"	"13"	"6"	"28"	"7"	"106"	"7"	"6"	"6"	"11"	"10"	"10"	"67"	"4"	"4"	"1"	"5"	"3"	"3"	"0"	"1"	"0"	"6"	"209"	"685"	""	"685"	""
"248"	"214"	"5"	"7"	"70"	"4"	"2"	"2"	"10"	"5"	"35"	"2"	"2"	"5"	"1"	"2"	"2"	"15"	"10"	"2"	"0"	"2"	"8"	"0"	"0"	"1"	"2"	"6"	"140"	"340"	""	"340"	""
"249"	"215"	"4"	"36"	"148"	"1"	"2"	"0"	"3"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"3"	"1"	"0"	"1"	"3"	"4"	"0"	"0"	"1"	"0"	"0"	"87"	"301"	""	"301"	""
"250"	"216"	"4"	"17"	"228"	"1"	"5"	"1"	"5"	"12"	"12"	"0"	"2"	"1"	"2"	"1"	"2"	"8"	"6"	"5"	"12"	"6"	"2"	"1"	"1"	"4"	"2"	"3"	"146"	"489"	""	"489"	""
"251"	"217"	"14"	"13"	"401"	"6"	"4"	"0"	"18"	"11"	"29"	"2"	"2"	"1"	"3"	"7"	"9"	"14"	"5"	"1"	"5"	"2"	"3"	"1"	"3"	"0"	"0"	"1"	"105"	"660"	""	"660"	""
"252"	"218"	"11"	"67"	"327"	"33"	"5"	"3"	"38"	"4"	"10"	"6"	"0"	"6"	"2"	"5"	"12"	"28"	"7"	"6"	"4"	"5"	"3"	"0"	"3"	"0"	"3"	"4"	"130"	"722"	""	"722"	""
"253"	"219"	"8"	"75"	"124"	"4"	"12"	"2"	"9"	"3"	"10"	"0"	"2"	"3"	"3"	"7"	"7"	"40"	"3"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"4"	"202"	"526"	""	"526"	""
"254"	"220"	"17"	"19"	"160"	"6"	"0"	"2"	"9"	"7"	"11"	"1"	"1"	"1"	"0"	"2"	"4"	"6"	"18"	"9"	"6"	"5"	"11"	"6"	"5"	"2"	"4"	"11"	"299"	"622"	""	"622"	""
"255"	"221"	"4"	"4"	"153"	"2"	"2"	"0"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"52"	"239"	""	"239"	""
"256"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"257"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"258"	"ernk u dsUn zksa"	"1945"	"26333"	"33063"	"1567"	"2098"	"649"	"18029"	"2670"	"1767"	"710"	"1309"	"834"	"719"	"1211"	"1253"	"2272"	"1420"	"1379"	"1106"	"1076"	"3393"	"458"	"560"	"410"	"434"	"560"	"16493"	"123718"	""	"123718"	"0"
"259"	"Mkd
eri=ka ij vfHkfyf [kr erksa dh dqy la[;k º lHkk"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"4"	"0"
"260"	"Mkyssss
x, dqy"	"1945"	"26333"	"33064"	"1567"	"2098"	"649"	"18030"	"2670"	"1767"	"710"	"1309"	"834"	"719"	"1213"	"1253"	"2272"	"1420"	"1379"	"1106"	"1076"	"3393"	"458"	"560"	"410"	"434"	"560"	"16493"	"123722"	"0"	"123722"	"0"
"261"	"LFkku  ----------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"rkjh[k   :-------------------------------------                                             fjVfuZZZax vkfQlj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
