"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"285"	"141"	"2"	"19"	"5"	"518"	"14"	"3"	"7"	"5"	"22"	"3"	"2"	"60"	"3"	"2"	"1"	"6"	"2"	"0"	"2"	"0"	"2"	"678"
"286"	"142"	"5"	"66"	"11"	"17"	"64"	"1"	"4"	"10"	"11"	"4"	"27"	"5"	"2"	"2"	"4"	"3"	"3"	"2"	"11"	"38"	"6"	"296"
"287"	"143"	"8"	"45"	"5"	"117"	"34"	"6"	"8"	"10"	"21"	"6"	"53"	"19"	"4"	"50"	"6"	"20"	"10"	"2"	"5"	"6"	"7"	"442"
"288"	"144"	"11"	"47"	"21"	"520"	"26"	"9"	"6"	"3"	"26"	"11"	"5"	"20"	"7"	"16"	"15"	"11"	"6"	"1"	"2"	"10"	"7"	"780"
"289"	"145"	"1"	"475"	"0"	"5"	"0"	"0"	"0"	"0"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"1"	"539"
"290"	"146"	"1"	"723"	"1"	"17"	"8"	"0"	"0"	"5"	"28"	"12"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"4"	"1"	"805"
"291"	"147"	"1"	"115"	"1"	"3"	"0"	"0"	"1"	"0"	"6"	"254"	"1"	"0"	"10"	"0"	"3"	"2"	"0"	"0"	"0"	"3"	"1"	"401"
"292"	"148"	"3"	"646"	"5"	"7"	"10"	"0"	"3"	"0"	"17"	"15"	"1"	"0"	"0"	"1"	"4"	"0"	"0"	"3"	"1"	"0"	"1"	"717"
"293"	"149"	"3"	"237"	"5"	"16"	"9"	"3"	"5"	"1"	"17"	"33"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"336"
"294"	"150"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"5"
"295"	"151"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"296"	"152"	"2"	"78"	"9"	"140"	"13"	"1"	"2"	"4"	"11"	"2"	"3"	"2"	"1"	"0"	"10"	"5"	"2"	"2"	"4"	"7"	"0"	"298"
"297"	"153"	"8"	"83"	"5"	"99"	"19"	"3"	"3"	"2"	"6"	"2"	"2"	"3"	"3"	"1"	"1"	"5"	"8"	"1"	"3"	"5"	"6"	"268"
"298"	"154"	"70"	"29"	"18"	"310"	"10"	"14"	"0"	"3"	"8"	"8"	"6"	"17"	"4"	"17"	"21"	"21"	"2"	"5"	"6"	"7"	"9"	"585"
"299"	";ksx"	"116"	"2564"	"86"	"1769"	"207"	"41"	"39"	"43"	"223"	"350"	"102"	"127"	"34"	"90"	"71"	"73"	"33"	"24"	"35"	"81"	"42"	"6150"
"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12th Round"	""	""	""
"311"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"312"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"313"	"155"	"7"	"225"	"5"	"113"	"34"	"6"	"2"	"2"	"13"	"5"	"5"	"5"	"2"	"2"	"9"	"25"	"5"	"4"	"3"	"17"	"4"	"493"
"314"	"156"	"17"	"155"	"7"	"105"	"22"	"1"	"3"	"1"	"18"	"3"	"3"	"2"	"5"	"4"	"8"	"19"	"8"	"4"	"0"	"5"	"3"	"393"
"315"	"157"	"2"	"57"	"1"	"89"	"7"	"0"	"4"	"2"	"3"	"4"	"2"	"2"	"0"	"3"	"4"	"4"	"7"	"2"	"3"	"6"	"10"	"212"
"316"	"158"	"6"	"86"	"6"	"158"	"31"	"6"	"5"	"4"	"40"	"2"	"3"	"3"	"8"	"5"	"4"	"4"	"5"	"0"	"2"	"9"	"3"	"390"
"317"	"159"	"3"	"756"	"5"	"2"	"16"	"0"	"1"	"1"	"37"	"17"	"4"	"0"	"38"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"886"
"318"	"160"	"1"	"80"	"0"	"7"	"8"	"0"	"1"	"1"	"0"	"6"	"1"	"0"	"759"	"10"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"876"
"319"	"161"	"2"	"846"	"3"	"4"	"15"	"0"	"2"	"2"	"23"	"6"	"0"	"2"	"69"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"0"	"981"
"320"	"162"	"7"	"335"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"355"
"321"	"163"	"1"	"212"	"2"	"27"	"14"	"2"	"2"	"4"	"4"	"2"	"2"	"0"	"15"	"1"	"5"	"13"	"1"	"1"	"0"	"2"	"2"	"312"
"322"	"164"	"39"	"327"	"27"	"24"	"33"	"3"	"4"	"2"	"19"	"1"	"6"	"3"	"1"	"7"	"13"	"27"	"8"	"9"	"0"	"45"	"9"	"607"
"323"	"165"	"6"	"430"	"7"	"97"	"12"	"1"	"2"	"1"	"5"	"9"	"1"	"9"	"1"	"0"	"15"	"0"	"1"	"1"	"4"	"33"	"1"	"636"
"324"	"166"	"7"	"33"	"4"	"258"	"16"	"2"	"5"	"2"	"47"	"4"	"4"	"3"	"5"	"9"	"122"	"16"	"4"	"2"	"0"	"5"	"2"	"550"
"325"	"167"	"19"	"328"	"10"	"350"	"9"	"1"	"3"	"1"	"8"	"32"	"0"	"9"	"13"	"30"	"16"	"17"	"5"	"2"	"3"	"6"	"1"	"863"
"326"	"168"	"5"	"194"	"5"	"92"	"18"	"1"	"2"	"1"	"18"	"0"	"2"	"6"	"2"	"24"	"1"	"1"	"1"	"1"	"0"	"3"	"1"	"378"
"327"	";ksx"	"122"	"4064"	"83"	"1329"	"235"	"23"	"36"	"24"	"236"	"91"	"34"	"44"	"924"	"97"	"202"	"129"	"45"	"26"	"17"	"134"	"37"	"7932"
"328"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"332"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"13th Round"	""	""	""
"339"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"340"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"341"	"169"	"11"	"323"	"49"	"164"	"38"	"3"	"2"	"7"	"55"	"4"	"5"	"38"	"10"	"93"	"26"	"10"	"7"	"3"	"3"	"3"	"2"	"856"
"342"	"170"	"5"	"288"	"9"	"36"	"40"	"2"	"2"	"4"	"35"	"12"	"31"	"3"	"1"	"32"	"27"	"13"	"11"	"5"	"2"	"14"	"5"	"577"
"343"	"171"	"20"	"85"	"12"	"204"	"19"	"5"	"6"	"5"	"101"	"8"	"65"	"8"	"3"	"36"	"30"	"7"	"4"	"6"	"5"	"2"	"0"	"631"
"344"	"172"	"2"	"374"	"12"	"14"	"15"	"1"	"3"	"3"	"2"	"0"	"0"	"1"	"1"	"28"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"459"
"345"	"173"	"1"	"37"	"0"	"9"	"5"	"0"	"1"	"4"	"53"	"0"	"2"	"1"	"1"	"1"	"1"	"3"	"8"	"4"	"13"	"189"	"7"	"340"
"346"	"174"	"0"	"264"	"0"	"0"	"4"	"1"	"0"	"0"	"6"	"1"	"0"	"0"	"0"	"14"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"293"
"347"	"175"	"2"	"5"	"1"	"2"	"0"	"0"	"0"	"1"	"49"	"2"	"0"	"11"	"2"	"202"	"1"	"1"	"1"	"0"	"0"	"13"	"2"	"295"
"348"	"176"	"21"	"223"	"6"	"16"	"20"	"1"	"6"	"4"	"80"	"7"	"4"	"31"	"9"	"162"	"19"	"3"	"44"	"6"	"5"	"32"	"6"	"705"
"349"	"177"	"2"	"225"	"3"	"42"	"15"	"0"	"1"	"0"	"4"	"2"	"6"	"33"	"2"	"289"	"17"	"4"	"1"	"2"	"0"	"9"	"2"	"659"
"350"	"178"	"14"	"437"	"10"	"95"	"43"	"1"	"4"	"3"	"16"	"3"	"5"	"12"	"6"	"55"	"8"	"10"	"11"	"5"	"4"	"95"	"7"	"844"
"351"	"179"	"7"	"191"	"2"	"192"	"19"	"4"	"3"	"2"	"21"	"6"	"5"	"20"	"6"	"35"	"5"	"12"	"9"	"4"	"3"	"9"	"1"	"556"
"352"	"180"	"6"	"333"	"2"	"9"	"18"	"2"	"3"	"5"	"2"	"1"	"54"	"8"	"2"	"118"	"3"	"8"	"0"	"1"	"1"	"0"	"0"	"576"
"353"	"181"	"11"	"3"	"108"	"99"	"6"	"4"	"5"	"6"	"14"	"11"	"225"	"4"	"2"	"3"	"1"	"17"	"8"	"0"	"10"	"1"	"2"	"540"
"354"	"182"	"27"	"65"	"32"	"114"	"15"	"6"	"12"	"13"	"44"	"9"	"109"	"6"	"1"	"5"	"15"	"11"	"8"	"3"	"5"	"1"	"4"	"505"
"355"	";ksx"	"129"	"2853"	"246"	"996"	"257"	"30"	"48"	"57"	"482"	"66"	"511"	"176"	"46"	"1073"	"156"	"100"	"112"	"39"	"51"	"370"	"38"	"7836"
"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"360"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14th Round"	""	""	""
"367"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"368"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"369"	"183"	"27"	"115"	"9"	"260"	"24"	"10"	"4"	"9"	"56"	"5"	"29"	"6"	"6"	"2"	"6"	"5"	"4"	"0"	"2"	"3"	"5"	"587"
"370"	"184"	"2"	"5"	"135"	"148"	"6"	"1"	"2"	"4"	"13"	"6"	"38"	"3"	"2"	"1"	"2"	"5"	"2"	"1"	"3"	"0"	"1"	"380"
"371"	"185"	"4"	"27"	"55"	"101"	"15"	"3"	"7"	"14"	"30"	"8"	"133"	"1"	"2"	"7"	"2"	"11"	"2"	"0"	"2"	"1"	"2"	"427"
"372"	"186"	"4"	"344"	"12"	"27"	"47"	"4"	"4"	"2"	"71"	"4"	"5"	"21"	"5"	"74"	"13"	"2"	"10"	"11"	"9"	"13"	"8"	"690"
"373"	"187"	"8"	"18"	"14"	"55"	"4"	"1"	"9"	"15"	"24"	"19"	"157"	"2"	"2"	"5"	"6"	"9"	"2"	"0"	"3"	"3"	"0"	"356"
"374"	"188"	"6"	"86"	"1"	"171"	"11"	"2"	"2"	"3"	"32"	"12"	"24"	"3"	"1"	"13"	"8"	"1"	"0"	"7"	"5"	"22"	"4"	"414"
"375"	"189"	"3"	"34"	"5"	"207"	"11"	"5"	"0"	"1"	"1"	"2"	"10"	"7"	"5"	"9"	"14"	"6"	"0"	"0"	"0"	"3"	"14"	"337"
"376"	"190"	"2"	"29"	"3"	"143"	"6"	"0"	"0"	"0"	"16"	"1"	"1"	"0"	"1"	"0"	"4"	"0"	"6"	"1"	"3"	"2"	"6"	"224"
"377"	"191"	"13"	"9"	"3"	"231"	"9"	"5"	"2"	"1"	"17"	"9"	"4"	"9"	"3"	"5"	"176"	"15"	"3"	"3"	"2"	"5"	"5"	"529"
"378"	"192"	"6"	"41"	"74"	"45"	"11"	"0"	"6"	"5"	"37"	"3"	"16"	"2"	"0"	"9"	"29"	"1"	"11"	"16"	"26"	"23"	"18"	"379"
"379"	"193"	"11"	"39"	"6"	"215"	"10"	"2"	"3"	"2"	"11"	"2"	"7"	"54"	"13"	"200"	"7"	"37"	"13"	"1"	"3"	"1"	"4"	"641"
"380"	"194"	"21"	"15"	"5"	"300"	"10"	"7"	"0"	"3"	"4"	"1"	"14"	"11"	"6"	"34"	"7"	"16"	"8"	"5"	"7"	"7"	"4"	"485"
"381"	"195"	"1"	"2"	"1"	"499"	"1"	"2"	"0"	"0"	"1"	"0"	"4"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"515"
"382"	"196"	"4"	"230"	"3"	"90"	"6"	"21"	"3"	"2"	"7"	"1"	"10"	"13"	"4"	"51"	"37"	"4"	"3"	"0"	"1"	"0"	"1"	"491"
"383"	";ksx"	"112"	"994"	"326"	"2492"	"171"	"63"	"42"	"61"	"320"	"73"	"452"	"133"	"50"	"410"	"312"	"113"	"64"	"45"	"67"	"83"	"72"	"6455"
"384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"389"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"15th Round"	""	""	""
"395"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"396"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"397"	"197"	"5"	"317"	"27"	"25"	"24"	"2"	"5"	"0"	"5"	"1"	"2"	"12"	"3"	"62"	"1"	"5"	"5"	"2"	"1"	"1"	"0"	"505"
"398"	"198"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"529"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"544"
"399"	"199"	"3"	"208"	"4"	"83"	"39"	"2"	"1"	"2"	"18"	"1"	"5"	"42"	"9"	"155"	"12"	"15"	"0"	"1"	"1"	"2"	"2"	"605"
"400"	"200"	"13"	"301"	"6"	"114"	"39"	"5"	"8"	"6"	"21"	"0"	"11"	"27"	"6"	"134"	"7"	"6"	"3"	"6"	"6"	"7"	"6"	"732"
"401"	"201"	"3"	"336"	"0"	"32"	"0"	"0"	"0"	"0"	"1"	"6"	"0"	"1"	"3"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"385"
"402"	"202"	"0"	"407"	"0"	"10"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"2"	"1"	"74"	"0"	"0"	"7"	"0"	"1"	"2"	"0"	"511"
"403"	"203"	"13"	"112"	"12"	"108"	"35"	"3"	"7"	"7"	"8"	"3"	"7"	"13"	"11"	"4"	"9"	"20"	"54"	"8"	"5"	"4"	"2"	"445"
"404"	"204"	"3"	"71"	"8"	"366"	"6"	"0"	"2"	"3"	"9"	"2"	"151"	"2"	"0"	"1"	"1"	"5"	"0"	"0"	"1"	"1"	"0"	"632"
"405"	"205"	"8"	"89"	"47"	"319"	"24"	"1"	"3"	"12"	"9"	"3"	"74"	"4"	"0"	"3"	"28"	"4"	"6"	"1"	"5"	"9"	"3"	"652"
"406"	"206"	"0"	"4"	"2"	"273"	"2"	"3"	"0"	"1"	"1"	"2"	"15"	"2"	"1"	"3"	"137"	"2"	"0"	"0"	"1"	"0"	"0"	"449"
"407"	"207"	"3"	"18"	"3"	"208"	"4"	"1"	"4"	"0"	"9"	"0"	"2"	"4"	"1"	"7"	"59"	"10"	"0"	"1"	"0"	"2"	"0"	"336"
"408"	"208"	"12"	"9"	"7"	"301"	"10"	"3"	"1"	"1"	"1"	"1"	"3"	"7"	"2"	"2"	"54"	"5"	"8"	"2"	"1"	"3"	"7"	"440"
"409"	"209"	"6"	"3"	"27"	"42"	"6"	"0"	"0"	"0"	"11"	"2"	"4"	"6"	"1"	"5"	"313"	"4"	"60"	"7"	"1"	"3"	"0"	"501"
"410"	"210"	"16"	"30"	"4"	"285"	"8"	"9"	"1"	"4"	"12"	"3"	"7"	"5"	"3"	"3"	"53"	"9"	"35"	"4"	"2"	"5"	"1"	"499"
"411"	";ksx"	"85"	"1905"	"147"	"2166"	"198"	"29"	"32"	"37"	"106"	"26"	"285"	"130"	"42"	"982"	"676"	"95"	"178"	"32"	"25"	"39"	"21"	"7236"
"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"16th Round"	""	""	""
"423"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"424"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"425"	"211"	"0"	"16"	"0"	"753"	"5"	"3"	"0"	"0"	"3"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"785"
"426"	";ksx"	"0"	"16"	"0"	"753"	"5"	"3"	"0"	"0"	"3"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"785"
"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
