"300"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"303"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"304"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"306"	"141"	"470"	"7"	"8"	"1"	"4"	"0"	"5"	"6"	"3"	"58"	"7"	"2"	"0"	"3"	"4"	"19"	"597"	"0"	"597"	"0"
"307"	"142"	"250"	"5"	"35"	"16"	"6"	"1"	"6"	"20"	"5"	"267"	"4"	"5"	"8"	"3"	"2"	"16"	"649"	"0"	"649"	"0"
"308"	"143"	"144"	"8"	"12"	"8"	"2"	"1"	"7"	"13"	"2"	"167"	"3"	"3"	"10"	"0"	"5"	"14"	"399"	"0"	"399"	"0"
"309"	"144"	"41"	"1"	"17"	"3"	"0"	"1"	"2"	"6"	"0"	"708"	"3"	"0"	"3"	"0"	"0"	"0"	"785"	"0"	"785"	"0"
"310"	"145"	"119"	"7"	"41"	"5"	"6"	"16"	"22"	"25"	"13"	"190"	"12"	"3"	"13"	"5"	"6"	"35"	"518"	"0"	"518"	"0"
"311"	"146"	"170"	"3"	"4"	"66"	"6"	"2"	"8"	"13"	"10"	"134"	"3"	"4"	"16"	"1"	"4"	"4"	"448"	"0"	"448"	"0"
"312"	"147"	"313"	"10"	"21"	"3"	"1"	"5"	"1"	"4"	"3"	"37"	"3"	"10"	"3"	"3"	"5"	"28"	"450"	"0"	"450"	"0"
"313"	"148"	"327"	"17"	"25"	"8"	"3"	"1"	"1"	"4"	"1"	"23"	"0"	"6"	"6"	"1"	"1"	"16"	"440"	"0"	"440"	"0"
"314"	"149"	"103"	"9"	"19"	"6"	"6"	"6"	"17"	"7"	"7"	"225"	"6"	"4"	"3"	"1"	"6"	"17"	"442"	"0"	"442"	"0"
"315"	"150"	"227"	"9"	"43"	"6"	"3"	"2"	"3"	"6"	"2"	"109"	"9"	"2"	"4"	"1"	"3"	"21"	"450"	"0"	"450"	"0"
"316"	"151"	"21"	"5"	"14"	"3"	"3"	"2"	"14"	"23"	"7"	"421"	"9"	"4"	"1"	"0"	"2"	"3"	"532"	"0"	"532"	"0"
"317"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"324"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"325"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"326"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"327"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"328"	"152"	"33"	"1"	"4"	"0"	"1"	"1"	"2"	"5"	"3"	"753"	"6"	"0"	"2"	"0"	"0"	"0"	"811"	"0"	"811"	"0"
"329"	"153"	"117"	"9"	"32"	"10"	"8"	"5"	"21"	"31"	"11"	"288"	"13"	"2"	"12"	"7"	"10"	"26"	"602"	"0"	"602"	"0"
"330"	"154"	"202"	"8"	"39"	"4"	"3"	"0"	"2"	"7"	"12"	"217"	"1"	"1"	"3"	"3"	"5"	"34"	"541"	"0"	"541"	"0"
"331"	"155"	"54"	"18"	"45"	"5"	"9"	"3"	"32"	"13"	"8"	"350"	"15"	"23"	"16"	"5"	"5"	"40"	"641"	"0"	"641"	"0"
"332"	"156"	"38"	"2"	"23"	"8"	"3"	"2"	"14"	"10"	"7"	"437"	"10"	"5"	"11"	"3"	"1"	"10"	"584"	"0"	"584"	"0"
"333"	"157"	"24"	"1"	"35"	"4"	"9"	"2"	"4"	"6"	"16"	"362"	"5"	"1"	"4"	"6"	"2"	"4"	"485"	"0"	"485"	"0"
"334"	"158"	"83"	"6"	"13"	"3"	"5"	"4"	"16"	"5"	"11"	"255"	"8"	"3"	"7"	"3"	"2"	"20"	"444"	"0"	"444"	"0"
"335"	"159"	"336"	"4"	"25"	"4"	"4"	"0"	"2"	"2"	"1"	"18"	"4"	"1"	"0"	"2"	"1"	"19"	"423"	"0"	"423"	"0"
"336"	"160"	"23"	"3"	"24"	"5"	"4"	"4"	"6"	"21"	"11"	"600"	"8"	"3"	"11"	"5"	"1"	"12"	"741"	"0"	"741"	"0"
"337"	"161"	"35"	"0"	"10"	"1"	"0"	"0"	"1"	"0"	"0"	"162"	"0"	"0"	"12"	"0"	"1"	"1"	"223"	"0"	"223"	"0"
"338"	"162"	"383"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"391"	"0"	"391"	"0"
"339"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"346"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"347"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"348"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"349"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"350"	"163"	"340"	"12"	"12"	"7"	"5"	"1"	"8"	"8"	"7"	"98"	"3"	"1"	"3"	"1"	"8"	"10"	"524"	"0"	"524"	"0"
"351"	"164"	"189"	"11"	"58"	"3"	"5"	"3"	"9"	"20"	"9"	"414"	"5"	"1"	"14"	"4"	"3"	"21"	"769"	"0"	"769"	"0"
"352"	"165"	"169"	"2"	"23"	"5"	"6"	"2"	"4"	"5"	"2"	"90"	"6"	"2"	"3"	"2"	"4"	"27"	"352"	"0"	"352"	"0"
"353"	"166"	"106"	"8"	"23"	"7"	"6"	"1"	"2"	"4"	"1"	"132"	"4"	"2"	"4"	"0"	"0"	"3"	"303"	"0"	"303"	"0"
"354"	"167"	"322"	"5"	"91"	"1"	"0"	"0"	"6"	"28"	"5"	"263"	"5"	"3"	"5"	"5"	"3"	"28"	"770"	"0"	"770"	"0"
"355"	"168"	"135"	"2"	"108"	"10"	"1"	"1"	"3"	"7"	"2"	"306"	"4"	"0"	"9"	"4"	"1"	"4"	"597"	"0"	"597"	"0"
"356"	"169"	"82"	"4"	"42"	"3"	"3"	"1"	"1"	"2"	"2"	"113"	"3"	"0"	"4"	"1"	"2"	"4"	"267"	"0"	"267"	"0"
"357"	"170"	"27"	"2"	"68"	"14"	"8"	"1"	"6"	"13"	"7"	"254"	"4"	"1"	"10"	"1"	"3"	"2"	"421"	"0"	"421"	"0"
"358"	"171"	"248"	"7"	"27"	"7"	"5"	"1"	"5"	"3"	"2"	"53"	"4"	"0"	"1"	"1"	"4"	"15"	"383"	"0"	"383"	"0"
"359"	"172"	"235"	"8"	"38"	"7"	"3"	"1"	"0"	"2"	"1"	"27"	"0"	"1"	"1"	"0"	"4"	"7"	"335"	"0"	"335"	"0"
"360"	"173"	"98"	"6"	"66"	"12"	"5"	"3"	"3"	"17"	"3"	"311"	"10"	"3"	"9"	"2"	"1"	"9"	"558"	"0"	"558"	"0"
"361"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"368"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"369"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"370"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"371"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"372"	"174"	"137"	"6"	"53"	"15"	"2"	"0"	"2"	"8"	"2"	"197"	"2"	"6"	"2"	"3"	"0"	"1"	"436"	"0"	"436"	"0"
"373"	"174(K)"	"101"	"3"	"31"	"4"	"1"	"1"	"2"	"2"	"2"	"128"	"2"	"1"	"4"	"0"	"0"	"10"	"292"	"0"	"292"	"0"
"374"	"175"	"103"	"8"	"122"	"6"	"8"	"1"	"4"	"8"	"5"	"207"	"5"	"26"	"4"	"1"	"2"	"2"	"512"	"0"	"512"	"0"
"375"	"176"	"137"	"5"	"109"	"12"	"8"	"5"	"9"	"15"	"7"	"221"	"6"	"4"	"8"	"11"	"8"	"19"	"584"	"0"	"584"	"0"
"376"	"177"	"141"	"6"	"123"	"17"	"11"	"0"	"6"	"17"	"13"	"237"	"9"	"10"	"15"	"10"	"6"	"27"	"648"	"0"	"648"	"0"
"377"	"178"	"28"	"9"	"207"	"7"	"6"	"5"	"3"	"5"	"1"	"67"	"0"	"0"	"4"	"25"	"10"	"9"	"386"	"0"	"386"	"0"
"378"	"179"	"56"	"6"	"335"	"12"	"6"	"1"	"8"	"7"	"4"	"200"	"11"	"2"	"9"	"11"	"4"	"6"	"678"	"0"	"678"	"0"
"379"	"180"	"301"	"15"	"111"	"8"	"4"	"1"	"6"	"9"	"9"	"123"	"6"	"12"	"6"	"0"	"3"	"14"	"628"	"0"	"628"	"0"
"380"	"181"	"470"	"11"	"12"	"4"	"1"	"2"	"9"	"11"	"6"	"120"	"3"	"0"	"4"	"1"	"5"	"20"	"679"	"0"	"679"	"0"
"381"	"182"	"76"	"3"	"8"	"6"	"7"	"5"	"7"	"10"	"11"	"230"	"4"	"2"	"6"	"3"	"3"	"19"	"400"	"0"	"400"	"0"
"382"	"183"	"111"	"10"	"52"	"18"	"8"	"3"	"22"	"15"	"12"	"326"	"17"	"9"	"13"	"4"	"11"	"16"	"647"	"0"	"647"	"0"
"383"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"390"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"391"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"392"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"393"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"394"	"184"	"210"	"3"	"16"	"5"	"3"	"0"	"4"	"6"	"0"	"174"	"6"	"0"	"2"	"0"	"2"	"9"	"440"	"0"	"440"	"0"
"395"	"185"	"233"	"11"	"10"	"3"	"2"	"2"	"1"	"5"	"2"	"75"	"3"	"0"	"0"	"3"	"4"	"7"	"361"	"0"	"361"	"0"
"396"	"Total No. of Votes recorded of polling stations"	"1100"	"38"	"98"	"36"	"21"	"12"	"43"	"47"	"31"	"925"	"33"	"11"	"25"	"11"	"25"	"71"	"2527"	"0"	"2527"	"0"
"397"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"404"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"405"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"406"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"407"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"408"	"No. of Votes Recorded on Postal Ballot Papers"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"Total Votes Polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"Place :- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"Date :- 27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"47- MAHNAR Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
