"TOTAL.NO.OF.ELECTORS.IN.59.MUZAFFARPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X292547"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"209"	"174"	"77"	"1"	"363"	"3"	"0"	"1"	"1"	"16"	"3"	"10"	"0"	"1"	"0"	"0"	"2"	"6"	"2"	"0"	"1"	"0"	"0"	"0"	"153"	"1"	"5"	"646"	""	""
"210"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"211"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"212"	"175"	"15"	"1"	"78"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"8"	"1"	"1"	"0"	"1"	"1"	"0"	"83"	"2"	"1"	"201"	""	""
"213"	"176"	"49"	"15"	"267"	"3"	"1"	"0"	"1"	"8"	"0"	"22"	"0"	"1"	"2"	"0"	"1"	"12"	"2"	"0"	"4"	"2"	"2"	"2"	"168"	"5"	"0"	"567"	""	""
"214"	"177"	"47"	"27"	"256"	"6"	"1"	"0"	"2"	"16"	"2"	"0"	"0"	"2"	"1"	"2"	"2"	"22"	"0"	"0"	"1"	"0"	"0"	"5"	"184"	"2"	"5"	"583"	""	""
"215"	"178"	"53"	"1"	"142"	"4"	"0"	"5"	"1"	"16"	"4"	"3"	"1"	"1"	"1"	"6"	"5"	"24"	"2"	"0"	"1"	"3"	"3"	"2"	"190"	"0"	"3"	"471"	""	""
"216"	"179"	"58"	"3"	"68"	"0"	"0"	"1"	"3"	"45"	"4"	"4"	"1"	"0"	"4"	"2"	"9"	"26"	"8"	"0"	"2"	"1"	"2"	"7"	"201"	"12"	"8"	"469"	""	""
"217"	"179A"	"47"	"1"	"93"	"3"	"1"	"0"	"2"	"22"	"0"	"6"	"1"	"1"	"5"	"1"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"5"	"3"	"378"	""	""
"218"	"180"	"162"	"13"	"176"	"0"	"5"	"2"	"4"	"12"	"0"	"5"	"0"	"0"	"2"	"0"	"2"	"9"	"11"	"3"	"2"	"4"	"2"	"7"	"270"	"1"	"5"	"697"	""	""
"219"	"181"	"60"	"3"	"310"	"3"	"1"	"1"	"1"	"72"	"0"	"2"	"0"	"0"	"2"	"2"	"1"	"16"	"1"	"2"	"1"	"0"	"0"	"2"	"149"	"3"	"3"	"635"	""	""
"220"	"182"	"78"	"3"	"235"	"3"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"11"	"2"	"0"	"1"	"0"	"0"	"4"	"289"	"2"	"5"	"642"	""	""
"221"	"182A"	"126"	"1"	"104"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"112"	"1"	"0"	"352"	""	""
"222"	"183"	"23"	"2"	"124"	"2"	"1"	"0"	"5"	"19"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"5"	"4"	"0"	"3"	"2"	"2"	"4"	"269"	"9"	"4"	"484"	""	""
"223"	"184"	"47"	"4"	"182"	"1"	"0"	"1"	"1"	"36"	"2"	"2"	"4"	"1"	"4"	"1"	"3"	"11"	"9"	"2"	"6"	"0"	"1"	"5"	"218"	"5"	"6"	"552"	""	""
"224"	"185"	"82"	"5"	"379"	"7"	"1"	"1"	"1"	"18"	"0"	"1"	"0"	"0"	"4"	"1"	"1"	"5"	"0"	"1"	"0"	"1"	"1"	"0"	"43"	"1"	"0"	"553"	""	""
"225"	"186"	"122"	"1"	"298"	"2"	"1"	"2"	"2"	"13"	"0"	"3"	"0"	"3"	"3"	"2"	"1"	"24"	"5"	"2"	"4"	"1"	"0"	"2"	"152"	"7"	"10"	"660"	""	""
"226"	"187"	"26"	"6"	"39"	"2"	"0"	"2"	"3"	"40"	"2"	"3"	"3"	"0"	"7"	"8"	"10"	"38"	"5"	"1"	"7"	"1"	"1"	"6"	"335"	"9"	"9"	"563"	""	""
"227"	"188"	"89"	"2"	"77"	"1"	"0"	"3"	"1"	"21"	"3"	"5"	"6"	"3"	"8"	"5"	"10"	"20"	"5"	"5"	"6"	"1"	"2"	"6"	"248"	"6"	"11"	"544"	""	""
"228"	"189"	"135"	"4"	"211"	"5"	"1"	"1"	"1"	"5"	"2"	"0"	"1"	"1"	"0"	"1"	"3"	"11"	"4"	"1"	"2"	"2"	"1"	"3"	"261"	"2"	"11"	"669"	""	""
"229"	"190"	"164"	"3"	"38"	"2"	"0"	"0"	"3"	"3"	"3"	"1"	"0"	"1"	"4"	"0"	"5"	"4"	"5"	"1"	"2"	"3"	"0"	"1"	"98"	"2"	"5"	"348"	""	""
"230"	"191"	"99"	"2"	"336"	"6"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"51"	"1"	"1"	"509"	""	""
"231"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"232"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"233"	"192"	"41"	"0"	"83"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"4"	"7"	"8"	"1"	"9"	"4"	"5"	"10"	"444"	"10"	"12"	"646"	""	""
"234"	"193"	"118"	"5"	"59"	"1"	"2"	"2"	"2"	"28"	"3"	"1"	"1"	"0"	"1"	"4"	"5"	"23"	"14"	"4"	"7"	"7"	"8"	"13"	"439"	"22"	"22"	"791"	""	""
"235"	"194"	"69"	"5"	"97"	"1"	"1"	"0"	"1"	"12"	"2"	"1"	"1"	"3"	"3"	"3"	"3"	"20"	"8"	"2"	"3"	"2"	"1"	"12"	"287"	"12"	"11"	"560"	""	""
"236"	"195"	"134"	"2"	"146"	"2"	"0"	"3"	"2"	"38"	"0"	"1"	"0"	"1"	"4"	"2"	"2"	"15"	"13"	"8"	"18"	"5"	"6"	"8"	"276"	"15"	"20"	"721"	""	""
"237"	"196"	"101"	"2"	"65"	"2"	"0"	"0"	"1"	"4"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"5"	"6"	"2"	"0"	"0"	"0"	"0"	"94"	"2"	"3"	"290"	""	""
"238"	"197"	"107"	"5"	"35"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"30"	"0"	"0"	"189"	""	""
"239"	"198"	"115"	"0"	"181"	"2"	"0"	"0"	"2"	"35"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"10"	"5"	"1"	"0"	"1"	"0"	"2"	"109"	"2"	"3"	"473"	""	""
"240"	"199"	"191"	"8"	"123"	"1"	"0"	"2"	"7"	"27"	"2"	"0"	"1"	"2"	"2"	"3"	"5"	"23"	"7"	"2"	"1"	"2"	"1"	"1"	"130"	"2"	"6"	"549"	""	""
"241"	"200"	"163"	"7"	"96"	"6"	"3"	"0"	"5"	"109"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"4"	"8"	"2"	"9"	"3"	"5"	"3"	"106"	"4"	"8"	"548"	""	""
"242"	"201"	"84"	"5"	"270"	"0"	"1"	"0"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"22"	"0"	"0"	"405"	""	""
"243"	"202"	"224"	"1"	"351"	"4"	"27"	"0"	"2"	"8"	"5"	"4"	"0"	"0"	"2"	"2"	"2"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"105"	"3"	"0"	"753"	""	""
"244"	"203"	"80"	"0"	"225"	"4"	"0"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"2"	"2"	"4"	"0"	"2"	"0"	"77"	"0"	"4"	"410"	""	""
"245"	"204"	"118"	"1"	"381"	"1"	"0"	"1"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"51"	"0"	"0"	"561"	""	""
"246"	"205"	"54"	"7"	"127"	"1"	"0"	"3"	"4"	"277"	"9"	"0"	"2"	"1"	"2"	"3"	"4"	"8"	"11"	"2"	"5"	"1"	"3"	"3"	"114"	"5"	"19"	"665"	""	""
"247"	"206"	"69"	"4"	"161"	"6"	"2"	"1"	"4"	"96"	"1"	"0"	"0"	"1"	"1"	"1"	"4"	"18"	"7"	"1"	"5"	"2"	"3"	"0"	"156"	"6"	"5"	"554"	""	""
"248"	"207"	"137"	"33"	"72"	"2"	"0"	"0"	"2"	"113"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"6"	"11"	"2"	"5"	"3"	"2"	"4"	"142"	"4"	"9"	"551"	""	""
"249"	"208"	"96"	"10"	"92"	"2"	"0"	"1"	"3"	"93"	"5"	"0"	"2"	"1"	"2"	"4"	"3"	"15"	"4"	"0"	"1"	"3"	"2"	"1"	"76"	"4"	"11"	"431"	""	""
"250"	"209"	"107"	"4"	"46"	"2"	"2"	"2"	"5"	"102"	"7"	"0"	"0"	"1"	"2"	"3"	"4"	"25"	"2"	"0"	"2"	"0"	"1"	"3"	"169"	"2"	"6"	"497"	""	""
"251"	"210"	"247"	"7"	"53"	"1"	"0"	"0"	"3"	"10"	"2"	"0"	"0"	"0"	"1"	"3"	"3"	"12"	"12"	"2"	"2"	"0"	"1"	"3"	"174"	"3"	"9"	"548"	""	""
"252"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"253"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"254"	"211"	"138"	"5"	"266"	"1"	"0"	"1"	"3"	"141"	"5"	"5"	"1"	"1"	"1"	"4"	"7"	"18"	"3"	"0"	"2"	"1"	"2"	"4"	"145"	"5"	"7"	"766"	""	""
"255"	"212"	"106"	"6"	"56"	"0"	"3"	"0"	"1"	"16"	"0"	"0"	"0"	"0"	"3"	"2"	"4"	"9"	"4"	"4"	"0"	"1"	"0"	"2"	"119"	"9"	"5"	"350"	""	""
"256"	"213"	"53"	"2"	"370"	"4"	"0"	"1"	"1"	"18"	"3"	"0"	"1"	"2"	"1"	"2"	"0"	"30"	"8"	"2"	"5"	"6"	"4"	"8"	"245"	"7"	"13"	"786"	""	""
"257"	"214"	"54"	"2"	"293"	"0"	"1"	"1"	"1"	"9"	"3"	"1"	"2"	"3"	"2"	"5"	"13"	"0"	"9"	"2"	"4"	"3"	"1"	"6"	"227"	"4"	"17"	"663"	""	""
"258"	"215"	"53"	"4"	"259"	"6"	"1"	"3"	"4"	"15"	"1"	"0"	"0"	"0"	"1"	"5"	"2"	"6"	"7"	"0"	"6"	"0"	"1"	"5"	"130"	"12"	"7"	"528"	""	""
"259"	"216"	"225"	"4"	"15"	"0"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"11"	"9"	"0"	"1"	"0"	"2"	"1"	"12"	"0"	"2"	"292"	""	""
"260"	"217"	"99"	"4"	"205"	"4"	"0"	"2"	"2"	"3"	"3"	"1"	"1"	"1"	"1"	"1"	"3"	"4"	"4"	"3"	"5"	"1"	"3"	"5"	"183"	"2"	"10"	"550"	""	""
"261"	"218"	"51"	"4"	"256"	"7"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"1"	"1"	"4"	"3"	"16"	"3"	"1"	"1"	"1"	"1"	"2"	"265"	"9"	"10"	"649"	""	""
"262"	"219"	"13"	"0"	"237"	"1"	"1"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"2"	"3"	"0"	"2"	"0"	"3"	"3"	"171"	"9"	"1"	"455"	""	""
"263"	"220"	"59"	"9"	"41"	"0"	"3"	"2"	"7"	"152"	"11"	"2"	"1"	"0"	"2"	"2"	"3"	"22"	"4"	"1"	"2"	"0"	"3"	"1"	"217"	"2"	"11"	"557"	""	""
"264"	"221"	"71"	"8"	"49"	"0"	"2"	"0"	"3"	"108"	"4"	"1"	"1"	"0"	"1"	"1"	"1"	"12"	"9"	"0"	"4"	"2"	"6"	"6"	"220"	"9"	"12"	"530"	""	""
"265"	"222"	"289"	"5"	"101"	"5"	"4"	"5"	"25"	"22"	"1"	"1"	"0"	"1"	"2"	"3"	"3"	"23"	"2"	"0"	"3"	"0"	"0"	"3"	"160"	"7"	"5"	"670"	""	""
"266"	"223"	"109"	"4"	"210"	"5"	"1"	"0"	"1"	"7"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"6"	"2"	"3"	"0"	"0"	"1"	"11"	"192"	"3"	"5"	"563"	""	""
"267"	"224"	"22"	"4"	"156"	"1"	"1"	"0"	"1"	"26"	"1"	"1"	"0"	"2"	"2"	"3"	"4"	"18"	"7"	"2"	"3"	"0"	"3"	"8"	"461"	"4"	"9"	"739"	""	""
"268"	"225"	"143"	"6"	"319"	"7"	"3"	"0"	"4"	"5"	"5"	"1"	"4"	"2"	"1"	"2"	"4"	"32"	"4"	"1"	"5"	"2"	"1"	"5"	"190"	"5"	"15"	"766"	""	""
"269"	"226"	"63"	"0"	"70"	"1"	"42"	"0"	"2"	"21"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"16"	"0"	"1"	"1"	"1"	"0"	"3"	"203"	"7"	"2"	"439"	""	""
"270"	"227"	"40"	"1"	"138"	"5"	"0"	"0"	"2"	"14"	"1"	"1"	"0"	"3"	"1"	"7"	"10"	"16"	"4"	"0"	"1"	"0"	"2"	"4"	"159"	"4"	"10"	"423"	""	""
"271"	"228"	"207"	"14"	"47"	"2"	"2"	"1"	"8"	"24"	"4"	"1"	"0"	"2"	"4"	"8"	"15"	"28"	"22"	"6"	"3"	"7"	"8"	"4"	"125"	"12"	"12"	"566"	""	""
"272"	"229"	"11"	"2"	"11"	"1"	"0"	"0"	"1"	"7"	"1"	"28"	"0"	"1"	"0"	"3"	"0"	"4"	"10"	"2"	"4"	"2"	"3"	"5"	"300"	"17"	"27"	"440"	""	""
"273"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"274"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"275"	"230"	"63"	"2"	"76"	"3"	"1"	"4"	"9"	"29"	"1"	"0"	"1"	"1"	"1"	"2"	"7"	"25"	"2"	"4"	"8"	"3"	"1"	"3"	"284"	"10"	"8"	"548"	""	""
"276"	"231"	"197"	"1"	"88"	"2"	"1"	"2"	"4"	"27"	"5"	"4"	"3"	"0"	"1"	"5"	"3"	"26"	"15"	"6"	"8"	"4"	"6"	"6"	"323"	"10"	"17"	"764"	""	""
"277"	"232"	"254"	"4"	"28"	"3"	"7"	"1"	"3"	"11"	"0"	"25"	"0"	"1"	"0"	"1"	"3"	"27"	"2"	"1"	"3"	"1"	"0"	"3"	"103"	"3"	"4"	"488"	""	""
"278"	"233"	"269"	"16"	"98"	"6"	"1"	"3"	"12"	"119"	"6"	"4"	"4"	"5"	"5"	"9"	"16"	"45"	"17"	"2"	"8"	"1"	"4"	"4"	"165"	"6"	"16"	"841"	""	""
"279"	"234"	"44"	"3"	"23"	"1"	"1"	"0"	"3"	"35"	"3"	"3"	"2"	"0"	"4"	"1"	"4"	"9"	"3"	"0"	"1"	"1"	"2"	"4"	"114"	"5"	"10"	"276"	""	""
"280"	"235"	"122"	"13"	"41"	"11"	"3"	"12"	"14"	"70"	"9"	"6"	"5"	"9"	"9"	"6"	"24"	"54"	"6"	"1"	"3"	"3"	"2"	"3"	"141"	"3"	"15"	"585"	""	""
"281"	"236"	"191"	"8"	"231"	"3"	"2"	"3"	"0"	"9"	"1"	"0"	"4"	"0"	"3"	"7"	"2"	"14"	"9"	"2"	"2"	"1"	"2"	"1"	"184"	"6"	"8"	"693"	""	""
"282"	"237"	"227"	"5"	"152"	"7"	"1"	"1"	"0"	"28"	"5"	"1"	"1"	"1"	"5"	"6"	"2"	"29"	"1"	"1"	"1"	"0"	"0"	"3"	"106"	"5"	"3"	"591"	""	""
"283"	"238"	"82"	"4"	"13"	"3"	"1"	"1"	"2"	"14"	"2"	"1"	"1"	"0"	"3"	"8"	"3"	"18"	"5"	"1"	"0"	"0"	"0"	"0"	"69"	"3"	"1"	"235"	""	""
"284"	"239"	"80"	"1"	"22"	"3"	"3"	"1"	"3"	"96"	"6"	"2"	"1"	"2"	"8"	"2"	"5"	"21"	"15"	"3"	"6"	"3"	"0"	"6"	"263"	"14"	"11"	"577"	""	""
"285"	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	""	""	""	""	""	""	""	"130795"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"NO OF VOTES RECORDED ON POSTAL BALLOT PAPERS."	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"TOTAL VOTES POLLED"	""	""	""	""	""	""	""	""	"130799"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"PLACE : MUZAFFARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"DATE : 27-02-2005                                                                                                                                                RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
