"ROUND...I...CUMMULATIVE"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"	"X..129"	"X..130"	"X..131"	"X..132"	"X..133"	"X..134"	"X..135"	"X..136"
"1352"	"36"	""	"4"	""	"17"	""	""	""	"10"	""	""	""	"57"	""	""	"2"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"3"	""	""	""	"115"	""	""	"5"	""	""	""	"87"	""	""	"6"	""	""	""	"3"	""	""	""	"15"	""	""	"28"	""	""	""	""	"8"	""	""	"15"	""	""	""	""	"10"	""	""	"11"	""	""	"14"	""	""	""	""	"9"	""	""	"10"	""	""	"129"	""	""	""	""	"12"	""	""	""	"5"	""	""	""	""	"12"	""	""	"598"	""	""	""	"0"	""	""	"598"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1353"	"37"	""	"7"	""	"59"	""	""	""	"15"	""	""	""	"187"	""	""	"1"	""	""	""	""	"12"	""	""	""	"3"	""	""	""	""	"16"	""	""	""	"2"	""	""	""	"1"	""	""	""	"12"	""	""	"0"	""	""	""	"159"	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	"5"	""	""	""	""	"2"	""	""	"5"	""	""	""	""	"3"	""	""	"3"	""	""	"3"	""	""	""	""	"2"	""	""	"3"	""	""	"57"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	""	"5"	""	""	"574"	""	""	""	"0"	""	""	"574"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1354"	"38"	""	"3"	""	"19"	""	""	""	"15"	""	""	""	"244"	""	""	"5"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"28"	""	""	""	"0"	""	""	""	"0"	""	""	""	"7"	""	""	"0"	""	""	""	"85"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	"7"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"425"	""	""	""	"0"	""	""	"425"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1355"	"39"	""	"17"	""	"18"	""	""	""	"12"	""	""	""	"265"	""	""	"7"	""	""	""	""	"13"	""	""	""	"8"	""	""	""	""	"10"	""	""	""	"7"	""	""	""	"3"	""	""	""	"132"	""	""	"4"	""	""	""	"109"	""	""	"5"	""	""	""	"5"	""	""	""	"12"	""	""	"8"	""	""	""	""	"2"	""	""	"2"	""	""	""	""	"3"	""	""	"4"	""	""	"3"	""	""	""	""	"2"	""	""	"2"	""	""	"53"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"6"	""	""	"717"	""	""	""	"0"	""	""	"717"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1356"	"40"	""	"49"	""	"52"	""	""	""	"4"	""	""	""	"56"	""	""	"2"	""	""	""	""	"7"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"23"	""	""	""	"7"	""	""	""	"39"	""	""	"1"	""	""	""	"95"	""	""	"5"	""	""	""	"3"	""	""	""	"4"	""	""	"9"	""	""	""	""	"3"	""	""	"3"	""	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	""	"4"	""	""	"1"	""	""	"21"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"46"	""	""	"447"	""	""	""	"0"	""	""	"447"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1357"	"41"	""	"18"	""	"228"	""	""	""	"26"	""	""	""	"5"	""	""	"3"	""	""	""	""	"21"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	"7"	""	""	"6"	""	""	""	"113"	""	""	"4"	""	""	""	"9"	""	""	""	"17"	""	""	"4"	""	""	""	""	"7"	""	""	"8"	""	""	""	""	"0"	""	""	"4"	""	""	"2"	""	""	""	""	"6"	""	""	"1"	""	""	"41"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"10"	""	""	"559"	""	""	""	"0"	""	""	"559"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1358"	"42"	""	"1"	""	"0"	""	""	""	"0"	""	""	""	"164"	""	""	"2"	""	""	""	""	"18"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"64"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	"11"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"3"	""	""	"275"	""	""	""	"0"	""	""	"275"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1359"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1360"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1361"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1362"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1363"	"Election to the Legislative assembly from the 141-BARARI constituency.                                  Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1364"	"(To be used both for Parliamentary and Assembly elections                                            Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1365"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	""	""	"No. of rejected votes"	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""
"1366"	""	""	"ABDUL HAMID"	""	""	"MANSOOR ALAM"	""	""	""	"MUHAMMAD SAKUR"	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	""	"PREMNATH JAISWAL"	""	""	"MOHAMMAD ISRAIL"	""	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	""	"SURYANARAYAN SINGH"	""	""	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	""	"TANWEER"	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	""	""	"YAMUNA PRASAD YADAV"	""	""	""	"RAJESHWAR CHOUDHARY"	""	""	"SAVIRURAHAMAN KHAN"	""	""	""	""	"SHIV PUJAN PASWAN"	""	""	""	""	"SANJAY SINGH"	""	""	"SAMSAD"	""	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1367"	"43"	""	"27"	""	""	"23"	""	""	""	"4"	""	""	""	"49"	""	""	""	"9"	""	""	""	""	"230"	""	""	""	""	"11"	""	""	""	"13"	""	""	""	""	"5"	""	""	"4"	""	""	""	"4"	""	""	"10"	""	""	""	"176"	""	""	""	"3"	""	""	""	""	"2"	""	""	"10"	""	""	""	""	"12"	""	""	""	"6"	""	""	""	""	"4"	""	""	"1"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	"2"	""	""	""	""	"25"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"644"	""	""	""	""	"0"	"644"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1368"	"44"	""	"3"	""	""	"11"	""	""	""	"10"	""	""	""	"36"	""	""	""	"2"	""	""	""	""	"60"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"8"	""	""	""	"226"	""	""	""	"2"	""	""	""	""	"1"	""	""	"7"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	""	"33"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"417"	""	""	""	""	"0"	"417"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1369"	"45"	""	"22"	""	""	"80"	""	""	""	"9"	""	""	""	"311"	""	""	""	"17"	""	""	""	""	"11"	""	""	""	""	"15"	""	""	""	"8"	""	""	""	""	"9"	""	""	"8"	""	""	""	"20"	""	""	"16"	""	""	""	"184"	""	""	""	"4"	""	""	""	""	"3"	""	""	"14"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	""	"8"	""	""	"7"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"1"	""	""	"1"	""	""	""	""	"35"	""	""	""	""	"2"	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"818"	""	""	""	""	"0"	"818"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1370"	"46"	""	"1"	""	""	"55"	""	""	""	"8"	""	""	""	"31"	""	""	""	"5"	""	""	""	""	"80"	""	""	""	""	"6"	""	""	""	"56"	""	""	""	""	"5"	""	""	"3"	""	""	""	"47"	""	""	"4"	""	""	""	"47"	""	""	""	"3"	""	""	""	""	"1"	""	""	"10"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"4"	""	""	"2"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	"3"	""	""	""	""	"23"	""	""	""	""	"9"	""	""	"7"	""	""	""	""	"12"	""	""	""	""	"436"	""	""	""	""	"0"	"436"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1371"	"47"	""	"18"	""	""	"31"	""	""	""	"8"	""	""	""	"47"	""	""	""	"4"	""	""	""	""	"40"	""	""	""	""	"5"	""	""	""	"28"	""	""	""	""	"6"	""	""	"5"	""	""	""	"144"	""	""	"7"	""	""	""	"62"	""	""	""	"9"	""	""	""	""	"6"	""	""	"20"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	""	"3"	""	""	"1"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"2"	""	""	"5"	""	""	""	""	"24"	""	""	""	""	"13"	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"517"	""	""	""	""	"0"	"517"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1372"	"48"	""	"8"	""	""	"43"	""	""	""	"6"	""	""	""	"15"	""	""	""	"2"	""	""	""	""	"43"	""	""	""	""	"5"	""	""	""	"7"	""	""	""	""	"2"	""	""	"5"	""	""	""	"22"	""	""	"14"	""	""	""	"80"	""	""	""	"6"	""	""	""	""	"3"	""	""	"20"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"8"	""	""	""	""	"14"	""	""	""	"12"	""	""	"12"	""	""	""	""	"95"	""	""	""	""	"10"	""	""	"12"	""	""	""	""	"136"	""	""	""	""	"580"	""	""	""	""	"0"	"580"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1373"	"49"	""	"7"	""	""	"139"	""	""	""	"8"	""	""	""	"71"	""	""	""	"5"	""	""	""	""	"28"	""	""	""	""	"6"	""	""	""	"21"	""	""	""	""	"3"	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	""	"88"	""	""	""	"4"	""	""	""	""	"1"	""	""	"12"	""	""	""	""	"2"	""	""	""	"15"	""	""	""	""	"1"	""	""	"5"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"0"	""	""	"4"	""	""	""	""	"21"	""	""	""	""	"3"	""	""	"0"	""	""	""	""	"7"	""	""	""	""	"464"	""	""	""	""	"0"	"464"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1374"	"50"	""	"20"	""	""	"123"	""	""	""	"8"	""	""	""	"13"	""	""	""	"5"	""	""	""	""	"79"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"2"	""	""	"2"	""	""	""	"37"	""	""	"6"	""	""	""	"33"	""	""	""	"4"	""	""	""	""	"5"	""	""	"13"	""	""	""	""	"9"	""	""	""	"13"	""	""	""	""	"7"	""	""	"8"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"2"	""	""	"6"	""	""	""	""	"11"	""	""	""	""	"3"	""	""	"0"	""	""	""	""	"32"	""	""	""	""	"456"	""	""	""	""	"0"	"456"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1375"	"51"	""	"2"	""	""	"6"	""	""	""	"0"	""	""	""	"23"	""	""	""	"1"	""	""	""	""	"17"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"7"	""	""	"3"	""	""	""	"13"	""	""	"17"	""	""	""	"171"	""	""	""	"9"	""	""	""	""	"9"	""	""	"28"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"10"	""	""	"6"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"3"	""	""	"2"	""	""	""	""	"102"	""	""	""	""	"4"	""	""	"6"	""	""	""	""	"100"	""	""	""	""	"570"	""	""	""	""	"0"	"570"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1376"	"52"	""	"4"	""	""	"22"	""	""	""	"2"	""	""	""	"172"	""	""	""	"5"	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	"1"	""	""	""	""	"4"	""	""	"2"	""	""	""	"30"	""	""	"18"	""	""	""	"93"	""	""	""	"5"	""	""	""	""	"1"	""	""	"18"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"6"	""	""	"4"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	"3"	""	""	"0"	""	""	""	""	"29"	""	""	""	""	"1"	""	""	"4"	""	""	""	""	"8"	""	""	""	""	"472"	""	""	""	""	"0"	"472"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1377"	"53"	""	"5"	""	""	"24"	""	""	""	"34"	""	""	""	"172"	""	""	""	"7"	""	""	""	""	"32"	""	""	""	""	"10"	""	""	""	"6"	""	""	""	""	"7"	""	""	"5"	""	""	""	"29"	""	""	"8"	""	""	""	"326"	""	""	""	"15"	""	""	""	""	"14"	""	""	"43"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"3"	""	""	"2"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	"3"	""	""	""	""	"48"	""	""	""	""	"3"	""	""	"6"	""	""	""	""	"62"	""	""	""	""	"880"	""	""	""	""	"0"	"880"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1378"	"54"	""	"29"	""	""	"244"	""	""	""	"53"	""	""	""	"57"	""	""	""	"5"	""	""	""	""	"50"	""	""	""	""	"7"	""	""	""	"5"	""	""	""	""	"1"	""	""	"3"	""	""	""	"13"	""	""	"13"	""	""	""	"222"	""	""	""	"13"	""	""	""	""	"15"	""	""	"38"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	""	"39"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"822"	""	""	""	""	"0"	"822"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1379"	"55"	""	"20"	""	""	"15"	""	""	""	"7"	""	""	""	"80"	""	""	""	"2"	""	""	""	""	"23"	""	""	""	""	"7"	""	""	""	"6"	""	""	""	""	"2"	""	""	"6"	""	""	""	"80"	""	""	"4"	""	""	""	"49"	""	""	""	"3"	""	""	""	""	"1"	""	""	"10"	""	""	""	""	"18"	""	""	""	"3"	""	""	""	""	"9"	""	""	"3"	""	""	""	"9"	""	""	""	""	"6"	""	""	""	"3"	""	""	"4"	""	""	""	""	"40"	""	""	""	""	"7"	""	""	"1"	""	""	""	""	"22"	""	""	""	""	"440"	""	""	""	""	"0"	"440"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1380"	"56"	""	"5"	""	""	"24"	""	""	""	"91"	""	""	""	"22"	""	""	""	"3"	""	""	""	""	"47"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	""	"29"	""	""	""	"4"	""	""	""	""	"8"	""	""	"27"	""	""	""	""	"21"	""	""	""	"8"	""	""	""	""	"29"	""	""	"15"	""	""	""	"16"	""	""	""	""	"9"	""	""	""	"6"	""	""	"9"	""	""	""	""	"25"	""	""	""	""	"18"	""	""	"158"	""	""	""	""	"33"	""	""	""	""	"619"	""	""	""	""	"0"	"619"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"1381"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1382"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1383"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1384"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1385"	"Election to the Legislative assembly from the 141-BARARI constituency.                                      Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1386"	"(To be used both for Parliamentary and Assembly elections                                                Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1387"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"1388"	""	""	"ABDUL HAMID"	""	""	"MANSOOR ALAM"	""	""	"MUHAMMAD SAKUR"	""	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	""	"PREMNATH JAISWAL"	""	""	""	"MOHAMMAD ISRAIL"	""	""	"VIMAL KUMAR MANDAL"	""	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	""	"YAMUNA PRASAD YADAV"	""	""	""	""	"RAJESHWAR CHOUDHARY"	""	"SAVIRURAHAMAN KHAN"	""	""	""	""	"SHIV PUJAN PASWAN"	""	""	""	"SANJAY SINGH"	""	""	""	""	"SAMSAD"	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
