"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"Total.of.valid.Votes"	"No..of.rejected.votes"	"X..21"	"TOTAL"	"X..22"	"No..of.tendered.Votes"	"X..23"	"X..24"
"199"	"174"	"71"	"14"	"9"	"0"	"15"	"2"	"4"	"3"	"219"	"3"	"6"	"4"	"6"	"3"	"3"	"7"	"5"	"0"	"1"	"0"	"21"	"100"	"496"	"0"	""	"496"	""	"0"	""	""
"200"	"175"	"59"	"35"	"24"	"2"	"33"	"6"	"2"	"1"	"8"	"1"	"6"	"22"	"3"	"5"	"6"	"26"	"6"	"3"	"1"	"4"	"23"	"73"	"349"	"0"	""	"349"	""	"0"	""	""
"201"	"176"	"9"	"65"	"84"	"6"	"138"	"2"	"2"	"0"	"1"	"2"	"2"	"2"	"0"	"1"	"5"	"5"	"0"	"0"	"3"	"0"	"5"	"14"	"346"	"0"	""	"346"	""	"0"	""	""
"202"	"177"	"36"	"51"	"309"	"5"	"37"	"0"	"4"	"1"	"4"	"5"	"0"	"11"	"3"	"7"	"6"	"14"	"7"	"2"	"4"	"2"	"108"	"55"	"671"	"0"	""	"671"	""	"0"	""	""
"203"	"178"	"60"	"55"	"37"	"1"	"3"	"1"	"3"	"0"	"2"	"0"	"0"	"4"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"4"	"130"	"305"	"0"	""	"305"	""	"0"	""	""
"204"	"179"	"52"	"95"	"145"	"9"	"37"	"0"	"4"	"2"	"10"	"3"	"2"	"5"	"1"	"3"	"4"	"19"	"3"	"6"	"2"	"2"	"30"	"36"	"470"	"0"	""	"470"	""	"0"	""	""
"205"	"180"	"86"	"13"	"176"	"5"	"99"	"5"	"6"	"3"	"6"	"2"	"2"	"8"	"2"	"4"	"4"	"6"	"9"	"2"	"1"	"3"	"9"	"124"	"575"	"0"	""	"575"	""	"0"	""	""
"206"	"181"	"27"	"86"	"184"	"8"	"55"	"4"	"4"	"1"	"6"	"2"	"4"	"13"	"2"	"6"	"5"	"3"	"2"	"0"	"2"	"2"	"7"	"111"	"534"	"0"	""	"534"	""	"0"	""	""
"207"	"182"	"28"	"42"	"12"	"2"	"50"	"3"	"3"	"1"	"2"	"4"	"2"	"3"	"1"	"4"	"6"	"17"	"1"	"1"	"8"	"0"	"4"	"233"	"427"	"0"	""	"427"	""	"0"	""	""
"208"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""
"209"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"210"	"183"	"81"	"40"	"55"	"1"	"9"	"2"	"4"	"2"	"62"	"2"	"5"	"7"	"8"	"9"	"14"	"16"	"6"	"0"	"5"	"1"	"8"	"85"	"422"	""	"0"	""	"422"	""	"0"	""
"211"	"Total no. of votes record"	"8432"	"24993"	"13577"	"1420"	"13165"	"901"	"617"	"514"	"6274"	"1498"	"1299"	"1960"	"2637"	"5406"	"1644"	"2514"	"1164"	"1206"	"7768"	"1174"	"4638"	"5298"	"108099"	""	"0"	""	"108099"	""	"0"	""
"212"	"Nombe rs of votes record on postal ballot papers. (To be filled in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	""	"0"	""
"213"	"Total votes polled"	"8432"	"24993"	"13577"	"1420"	"13165"	"901"	"617"	"514"	"6274"	"1498"	"1299"	"1960"	"2637"	"5406"	"1644"	"2514"	"1164"	"1206"	"7768"	"1174"	"4638"	"5298"	"108099"	""	"0"	""	"108099"	""	"0"	""
"214"	"Place ----------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Date :-------------------------------------                                                      Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
