"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"299"	"187"	"4"	"3"	"136"	"37"	"4"	"2"	"2"	"4"	"3"	"2"	"0"	"109"	"3"	"2"	"311"	"0"	"311"	"0"	""
"300"	"188"	"7"	"2"	"85"	"30"	"4"	"37"	"3"	"3"	"5"	"6"	"5"	"147"	"9"	"12"	"355"	"0"	"355"	"0"	""
"301"	"189"	"14"	"1"	"92"	"28"	"5"	"24"	"4"	"1"	"2"	"1"	"1"	"166"	"2"	"8"	"349"	"0"	"349"	"0"	""
"302"	"190"	"28"	"0"	"13"	"17"	"8"	"49"	"3"	"4"	"0"	"4"	"8"	"404"	"11"	"23"	"572"	"0"	"572"	"0"	""
"303"	"191"	"19"	"1"	"21"	"7"	"2"	"85"	"7"	"2"	"1"	"1"	"2"	"457"	"6"	"14"	"625"	"0"	"625"	"0"	""
"304"	"192"	"253"	"2"	"218"	"33"	"4"	"16"	"3"	"2"	"2"	"2"	"2"	"40"	"0"	"1"	"578"	"0"	"578"	"0"	""
"305"	"193"	"154"	"8"	"264"	"41"	"3"	"17"	"2"	"3"	"4"	"4"	"2"	"9"	"4"	"9"	"524"	"0"	"524"	"0"	""
"306"	"194"	"25"	"3"	"124"	"14"	"4"	"22"	"7"	"0"	"3"	"2"	"5"	"319"	"2"	"4"	"534"	"0"	"534"	"0"	""
"307"	"195"	"74"	"6"	"288"	"18"	"4"	"15"	"4"	"3"	"5"	"7"	"7"	"100"	"8"	"14"	"553"	"0"	"553"	"0"	""
"308"	";ksx"	"705"	"31"	"2106"	"581"	"61"	"514"	"51"	"39"	"49"	"51"	"44"	"2313"	"61"	"126"	"6732"	"0"	"6732"	"0"	""
"309"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"315"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"316"	"196"	"77"	"7"	"117"	"121"	"8"	"109"	"7"	"7"	"11"	"8"	"10"	"187"	"5"	"14"	"688"	"0"	"688"	"0"	""
"317"	"197"	"166"	"9"	"180"	"13"	"15"	"8"	"4"	"3"	"5"	"2"	"11"	"188"	"6"	"11"	"621"	"0"	"621"	"0"	""
"318"	"198"	"18"	"0"	"227"	"63"	"5"	"24"	"6"	"6"	"2"	"6"	"3"	"174"	"3"	"9"	"546"	"0"	"546"	"0"	""
"319"	"199"	"208"	"7"	"274"	"12"	"5"	"34"	"9"	"2"	"5"	"5"	"1"	"127"	"2"	"9"	"700"	"0"	"700"	"0"	""
"320"	"200"	"75"	"5"	"385"	"22"	"4"	"4"	"3"	"0"	"8"	"8"	"2"	"74"	"2"	"8"	"600"	"0"	"600"	"0"	""
"321"	"201"	"54"	"4"	"380"	"47"	"15"	"25"	"2"	"5"	"2"	"6"	"12"	"142"	"11"	"21"	"726"	"0"	"726"	"0"	""
"322"	"202"	"45"	"2"	"71"	"2"	"4"	"167"	"5"	"0"	"2"	"2"	"5"	"116"	"0"	"5"	"426"	"0"	"426"	"0"	""
"323"	"203"	"7"	"5"	"211"	"15"	"8"	"81"	"4"	"1"	"1"	"2"	"0"	"117"	"3"	"6"	"461"	"0"	"461"	"0"	""
"324"	"204"	"26"	"4"	"15"	"18"	"4"	"78"	"7"	"2"	"6"	"3"	"5"	"354"	"8"	"18"	"548"	"0"	"548"	"0"	""
"325"	"205"	"219"	"8"	"124"	"34"	"10"	"36"	"4"	"2"	"4"	"3"	"4"	"117"	"7"	"14"	"586"	"0"	"586"	"0"	""
"326"	"206"	"41"	"4"	"178"	"33"	"3"	"10"	"2"	"1"	"1"	"3"	"3"	"227"	"3"	"4"	"513"	"0"	"513"	"0"	""
"327"	"207"	"26"	"3"	"152"	"15"	"9"	"2"	"1"	"8"	"9"	"4"	"5"	"222"	"7"	"10"	"473"	"0"	"473"	"0"	""
"328"	"208"	"1"	"1"	"135"	"21"	"3"	"5"	"5"	"2"	"3"	"0"	"1"	"215"	"1"	"2"	"395"	"0"	"395"	"0"	""
"329"	"209"	"3"	"2"	"160"	"65"	"9"	"44"	"5"	"3"	"3"	"3"	"1"	"210"	"2"	"2"	"512"	"0"	"512"	"0"	""
"330"	";ksx"	"966"	"61"	"2609"	"481"	"102"	"627"	"64"	"42"	"62"	"55"	"63"	"2470"	"60"	"133"	"7795"	"0"	"7795"	"0"	""
"331"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"337"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"338"	"210"	"9"	"0"	"199"	"15"	"8"	"191"	"5"	"7"	"8"	"4"	"3"	"197"	"12"	"22"	"680"	"0"	"680"	"0"	""
"339"	"211"	"17"	"5"	"316"	"55"	"9"	"99"	"7"	"6"	"7"	"6"	"4"	"59"	"6"	"17"	"613"	"0"	"613"	"0"	""
"340"	"212"	"338"	"7"	"63"	"3"	"3"	"34"	"5"	"2"	"0"	"1"	"3"	"27"	"0"	"2"	"488"	"0"	"488"	"0"	""
"341"	"213"	"37"	"3"	"149"	"9"	"5"	"3"	"7"	"4"	"3"	"6"	"7"	"475"	"9"	"26"	"743"	"0"	"743"	"0"	""
"342"	"214"	"4"	"2"	"206"	"26"	"3"	"47"	"7"	"2"	"3"	"2"	"2"	"190"	"6"	"7"	"507"	"0"	"507"	"0"	""
"343"	"215"	"19"	"4"	"483"	"40"	"3"	"24"	"4"	"1"	"6"	"4"	"9"	"83"	"5"	"18"	"703"	"0"	"703"	"0"	""
"344"	"216"	"14"	"8"	"330"	"45"	"6"	"50"	"4"	"6"	"6"	"6"	"7"	"234"	"9"	"22"	"747"	"0"	"747"	"0"	""
"345"	"217"	"12"	"1"	"268"	"42"	"1"	"7"	"6"	"4"	"2"	"3"	"1"	"288"	"9"	"21"	"665"	"0"	"665"	"0"	""
"346"	"218"	"70"	"6"	"181"	"15"	"8"	"139"	"3"	"10"	"2"	"6"	"3"	"77"	"5"	"13"	"538"	"0"	"538"	"0"	""
"347"	"219"	"28"	"5"	"297"	"28"	"5"	"44"	"3"	"6"	"21"	"4"	"8"	"99"	"2"	"13"	"563"	"0"	"563"	"0"	""
"348"	"220"	"14"	"3"	"318"	"37"	"4"	"74"	"8"	"2"	"6"	"5"	"2"	"135"	"10"	"14"	"632"	"0"	"632"	"0"	""
"349"	"221"	"33"	"0"	"422"	"28"	"6"	"144"	"5"	"2"	"4"	"4"	"2"	"125"	"3"	"7"	"785"	"0"	"785"	"0"	""
"350"	"222"	"130"	"2"	"92"	"14"	"6"	"69"	"0"	"0"	"0"	"4"	"0"	"90"	"1"	"2"	"410"	"0"	"410"	"0"	""
"351"	"223"	"11"	"3"	"251"	"23"	"7"	"46"	"8"	"1"	"6"	"4"	"2"	"62"	"2"	"13"	"439"	"0"	"439"	"0"	""
"352"	";ksx"	"736"	"49"	"3575"	"380"	"74"	"971"	"72"	"53"	"74"	"59"	"53"	"2141"	"79"	"197"	"8513"	"0"	"8513"	"0"	""
"353"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"359"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"360"	"224"	"4"	"7"	"134"	"53"	"7"	"124"	"3"	"2"	"3"	"2"	"4"	"272"	"3"	"11"	"629"	"0"	"629"	"0"	""
"361"	"225"	"23"	"6"	"256"	"14"	"6"	"178"	"10"	"3"	"10"	"5"	"2"	"90"	"5"	"13"	"621"	"0"	"621"	"0"	""
"362"	";ksx"	"27"	"13"	"390"	"67"	"13"	"302"	"13"	"5"	"13"	"7"	"6"	"362"	"8"	"24"	"1250"	"0"	"1250"	"0"	""
"363"	"dqy ;ksx"	"9799"	"744"	"48559"	"6979"	"1057"	"8933"	"837"	"588"	"693"	"642"	"958"	"37102"	"851"	"1809"	"119551"	"0"	"119551"	"0"	""
"364"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"8&csfr;k fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"372"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"373"	"dqy ;ksx"	"9799"	"744"	"48559"	"6979"	"1057"	"8933"	"837"	"588"	"693"	"642"	"958"	"37102"	"851"	"1809"	"119551"	"0"	"119551"	"0"	""
"374"	"Mkd eri="	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"375"	"dqy ;ksx"	"9799"	"744"	"48559"	"6979"	"1057"	"8933"	"837"	"588"	"693"	"642"	"958"	"37102"	"851"	"1809"	"119551"	"0"	"119551"	"0"	""
"376"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"8&csfr;k fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
