"Serial.No.of.Polling.Station"	"No..of.Valid.Votes.cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.votes"	"No..of.rejected.votes"	"Total"	"No.of.total.voter"	"X..16"
"275"	"205"	"121"	"242"	"4"	"4"	"27"	"2"	"0"	"0"	"1"	"0"	"3"	"2"	"1"	"1"	"13"	"10"	"7"	"438"	""	"438"	""	""
"276"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"277"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"278"	"212"	"33"	"503"	"8"	"4"	"16"	"2"	"1"	"1"	"0"	"3"	"0"	"2"	"0"	"2"	"5"	"5"	"5"	"590"	""	"590"	""	""
"279"	"214"	"201"	"100"	"11"	"3"	"26"	"1"	"2"	"1"	"4"	"2"	"2"	"0"	"1"	"6"	"12"	"41"	"16"	"429"	""	"429"	""	""
"280"	"218"	"203"	"17"	"3"	"1"	"2"	"1"	"2"	"0"	"2"	"2"	"3"	"1"	"4"	"2"	"2"	"10"	"5"	"260"	""	"260"	""	""
"281"	"219"	"134"	"146"	"1"	"1"	"11"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"3"	"1"	"1"	"8"	"3"	"314"	""	"314"	""	""
"282"	"237"	"220"	"131"	"23"	"1"	"12"	"0"	"1"	"1"	"0"	"1"	"2"	"2"	"3"	"5"	"14"	"34"	"7"	"457"	""	"457"	""	""
"283"	"Round- 21"	"-29529"	"-35423"	"-2249"	"-947"	"-12122"	"-569"	"-5017"	"-527"	"-322"	"-298"	"-355"	"-633"	"-353"	"-410"	"-1028"	"-1542"	"-649"	"-91973"	"0"	"-91973"	""	""
"284"	"Total No. of voters recorded on Polling Stations"	"29529"	"35423"	"2249"	"947"	"12122"	"569"	"5017"	"527"	"322"	"298"	"355"	"633"	"353"	"410"	"1028"	"1542"	"649"	"91973"	"0"	"91973"	""	""
"285"	"No. of voters recorded on Postal Ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"286"	"Total voters polled"	"29529"	"35423"	"2249"	"947"	"12122"	"569"	"5017"	"527"	"322"	"298"	"355"	"633"	"353"	"410"	"1028"	"1542"	"649"	"91973"	"0"	"91973"	""	""
"287"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Date  :                                                                                                                                                                                                                                                                                                                      Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
