"259"	"148"	"167"	"66"	"29"	"2"	"1"	"1"	"0"	"100"	"1"	"0"	"2"	"0"	"1"	"2"	"5"	"2"	"0"	"0"	"1"	"0"	"380"	"0"	"380"	"0"
"260"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"267"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"268"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"269"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"270"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"271"	"149"	"363"	"82"	"8"	"3"	"6"	"3"	"6"	"97"	"6"	"7"	"7"	"5"	"11"	"8"	"9"	"27"	"17"	"0"	"1"	"1"	"667"	"0"	"667"	"0"
"272"	"150"	"365"	"36"	"9"	"0"	"1"	"0"	"1"	"121"	"1"	"0"	"2"	"2"	"2"	"0"	"1"	"3"	"8"	"6"	"3"	"4"	"565"	"0"	"565"	"0"
"273"	"151"	"235"	"74"	"7"	"4"	"3"	"0"	"4"	"111"	"7"	"2"	"2"	"0"	"10"	"0"	"2"	"9"	"20"	"12"	"16"	"19"	"537"	"0"	"537"	"0"
"274"	"152"	"180"	"66"	"4"	"4"	"4"	"0"	"2"	"134"	"7"	"9"	"12"	"1"	"5"	"5"	"2"	"5"	"10"	"3"	"5"	"2"	"460"	"0"	"460"	"0"
"275"	"152(K)"	"204"	"34"	"4"	"0"	"2"	"1"	"0"	"39"	"1"	"1"	"2"	"0"	"2"	"1"	"1"	"2"	"12"	"2"	"6"	"6"	"320"	"0"	"320"	"0"
"276"	"153"	"425"	"32"	"57"	"2"	"1"	"1"	"2"	"178"	"3"	"0"	"2"	"2"	"5"	"3"	"6"	"5"	"12"	"1"	"0"	"1"	"738"	"0"	"738"	"0"
"277"	"154"	"257"	"24"	"43"	"3"	"1"	"1"	"3"	"134"	"14"	"6"	"13"	"1"	"4"	"2"	"4"	"13"	"8"	"0"	"0"	"0"	"531"	"0"	"531"	"0"
"278"	"155"	"319"	"227"	"8"	"3"	"0"	"4"	"3"	"124"	"2"	"0"	"4"	"2"	"14"	"1"	"5"	"5"	"4"	"2"	"7"	"2"	"736"	"0"	"736"	"0"
"279"	"156"	"154"	"230"	"8"	"5"	"1"	"2"	"5"	"210"	"11"	"4"	"4"	"2"	"11"	"9"	"11"	"23"	"2"	"1"	"2"	"3"	"698"	"0"	"698"	"0"
"280"	"157"	"272"	"142"	"10"	"2"	"3"	"1"	"5"	"205"	"4"	"0"	"10"	"3"	"9"	"2"	"8"	"10"	"16"	"2"	"17"	"4"	"725"	"0"	"725"	"0"
"281"	"158"	"32"	"113"	"1"	"1"	"1"	"0"	"2"	"326"	"3"	"3"	"4"	"1"	"5"	"0"	"4"	"1"	"1"	"1"	"0"	"1"	"500"	"0"	"500"	"0"
"282"	"159"	"173"	"73"	"7"	"3"	"1"	"2"	"1"	"44"	"0"	"1"	"3"	"1"	"6"	"2"	"1"	"2"	"3"	"0"	"0"	"2"	"325"	"0"	"325"	"0"
"283"	"160"	"61"	"138"	"10"	"6"	"2"	"2"	"5"	"70"	"2"	"1"	"0"	"2"	"6"	"3"	"4"	"3"	"5"	"2"	"4"	"5"	"331"	"0"	"331"	"0"
"284"	"161"	"209"	"153"	"44"	"4"	"1"	"3"	"0"	"95"	"4"	"2"	"6"	"1"	"4"	"0"	"1"	"5"	"5"	"1"	"1"	"0"	"539"	"0"	"539"	"0"
"285"	"162"	"126"	"303"	"12"	"4"	"21"	"1"	"7"	"73"	"6"	"2"	"7"	"3"	"9"	"2"	"17"	"12"	"19"	"16"	"7"	"5"	"652"	"0"	"652"	"0"
"286"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"293"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"294"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"295"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"296"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"297"	"163"	"222"	"102"	"2"	"1"	"1"	"1"	"0"	"38"	"1"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"374"	"0"	"374"	"0"
"298"	"164"	"82"	"8"	"6"	"2"	"0"	"1"	"6"	"255"	"24"	"7"	"6"	"2"	"7"	"2"	"4"	"16"	"3"	"3"	"2"	"2"	"438"	"0"	"438"	"0"
"299"	"165"	"341"	"4"	"21"	"0"	"0"	"0"	"4"	"127"	"1"	"0"	"3"	"0"	"5"	"1"	"5"	"10"	"4"	"0"	"4"	"0"	"530"	"0"	"530"	"0"
"300"	"166"	"266"	"113"	"6"	"2"	"3"	"1"	"1"	"70"	"4"	"2"	"11"	"5"	"4"	"6"	"21"	"34"	"7"	"2"	"3"	"3"	"564"	"0"	"564"	"0"
"301"	"167"	"137"	"325"	"5"	"1"	"1"	"11"	"1"	"31"	"2"	"2"	"4"	"1"	"4"	"4"	"11"	"7"	"2"	"2"	"0"	"0"	"551"	"0"	"551"	"0"
"302"	"168"	"256"	"100"	"15"	"6"	"4"	"2"	"7"	"85"	"5"	"2"	"15"	"4"	"7"	"2"	"10"	"13"	"14"	"2"	"2"	"4"	"555"	"0"	"555"	"0"
"303"	"169"	"240"	"13"	"17"	"3"	"1"	"1"	"2"	"18"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"2"	"0"	"2"	"305"	"0"	"305"	"0"
"304"	"170"	"76"	"1"	"1"	"3"	"1"	"0"	"3"	"456"	"5"	"7"	"2"	"1"	"1"	"1"	"1"	"10"	"6"	"1"	"0"	"1"	"577"	"0"	"577"	"0"
"305"	"171"	"219"	"62"	"11"	"1"	"0"	"1"	"3"	"330"	"2"	"3"	"10"	"3"	"14"	"1"	"6"	"8"	"6"	"2"	"1"	"1"	"684"	"0"	"684"	"0"
"306"	"172"	"79"	"112"	"4"	"3"	"4"	"1"	"3"	"113"	"4"	"1"	"9"	"4"	"4"	"0"	"4"	"5"	"5"	"3"	"2"	"1"	"361"	"0"	"361"	"0"
"307"	"173"	"117"	"252"	"6"	"5"	"5"	"2"	"3"	"77"	"6"	"0"	"2"	"2"	"3"	"3"	"6"	"9"	"1"	"1"	"1"	"0"	"501"	"0"	"501"	"0"
"308"	"174"	"191"	"50"	"26"	"4"	"2"	"1"	"2"	"88"	"5"	"2"	"9"	"1"	"3"	"1"	"7"	"11"	"3"	"1"	"2"	"1"	"410"	"0"	"410"	"0"
"309"	"175"	"130"	"157"	"7"	"2"	"3"	"2"	"0"	"53"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"0"	"1"	"0"	"362"	"0"	"362"	"0"
"310"	"176"	"272"	"90"	"9"	"2"	"2"	"1"	"8"	"159"	"4"	"1"	"10"	"2"	"7"	"3"	"9"	"5"	"5"	"1"	"2"	"1"	"593"	"0"	"593"	"0"
"311"	"177"	"378"	"156"	"15"	"3"	"3"	"8"	"1"	"68"	"4"	"3"	"6"	"0"	"5"	"1"	"2"	"7"	"2"	"0"	"6"	"0"	"668"	"0"	"668"	"0"
"312"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"319"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"320"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"321"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"322"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"323"	"178"	"293"	"144"	"15"	"5"	"4"	"4"	"5"	"164"	"6"	"4"	"8"	"3"	"13"	"4"	"6"	"9"	"3"	"2"	"3"	"0"	"695"	"0"	"695"	"0"
"324"	"179"	"242"	"50"	"4"	"0"	"2"	"0"	"2"	"43"	"7"	"5"	"6"	"4"	"5"	"7"	"14"	"35"	"11"	"1"	"4"	"1"	"443"	"0"	"443"	"0"
"325"	"180"	"103"	"137"	"9"	"6"	"1"	"3"	"0"	"136"	"14"	"1"	"4"	"4"	"11"	"5"	"25"	"43"	"6"	"3"	"4"	"1"	"516"	"0"	"516"	"0"
"326"	"181"	"179"	"47"	"4"	"1"	"2"	"4"	"3"	"159"	"7"	"2"	"3"	"3"	"9"	"1"	"4"	"9"	"2"	"1"	"3"	"1"	"444"	"0"	"444"	"0"
"327"	"182"	"327"	"34"	"5"	"2"	"4"	"4"	"2"	"94"	"5"	"0"	"7"	"5"	"6"	"1"	"4"	"13"	"5"	"0"	"0"	"3"	"521"	"0"	"521"	"0"
"328"	"183"	"319"	"60"	"3"	"4"	"2"	"1"	"3"	"57"	"2"	"2"	"10"	"6"	"10"	"2"	"13"	"26"	"14"	"4"	"0"	"4"	"542"	"0"	"542"	"0"
"329"	"184"	"155"	"104"	"1"	"2"	"5"	"2"	"9"	"345"	"5"	"3"	"13"	"0"	"9"	"9"	"11"	"8"	"5"	"2"	"2"	"5"	"695"	"0"	"695"	"0"
"330"	"185"	"665"	"32"	"4"	"0"	"2"	"0"	"1"	"104"	"5"	"1"	"6"	"3"	"2"	"0"	"2"	"9"	"5"	"0"	"1"	"1"	"843"	"0"	"843"	"0"
"331"	"186"	"398"	"251"	"15"	"4"	"3"	"2"	"1"	"83"	"4"	"2"	"6"	"0"	"2"	"2"	"9"	"4"	"14"	"3"	"2"	"5"	"810"	"0"	"810"	"0"
"332"	"187"	"516"	"47"	"2"	"3"	"0"	"1"	"0"	"46"	"2"	"0"	"3"	"1"	"4"	"1"	"9"	"5"	"17"	"2"	"3"	"10"	"672"	"0"	"672"	"0"
"333"	"188"	"204"	"28"	"12"	"2"	"9"	"3"	"2"	"131"	"14"	"5"	"8"	"3"	"10"	"4"	"6"	"20"	"5"	"2"	"1"	"6"	"475"	"0"	"475"	"0"
"334"	"189"	"380"	"75"	"8"	"0"	"1"	"12"	"4"	"117"	"1"	"1"	"1"	"2"	"4"	"0"	"5"	"1"	"4"	"0"	"0"	"0"	"616"	"0"	"616"	"0"
"335"	"190"	"45"	"83"	"3"	"2"	"2"	"0"	"0"	"67"	"3"	"2"	"4"	"0"	"2"	"2"	"4"	"1"	"16"	"0"	"2"	"2"	"240"	"0"	"240"	"0"
"336"	"191"	"431"	"75"	"1"	"1"	"5"	"2"	"0"	"52"	"2"	"1"	"2"	"1"	"4"	"5"	"4"	"22"	"21"	"8"	"5"	"8"	"650"	"0"	"650"	"0"
"337"	"192"	"326"	"71"	"2"	"1"	"1"	"1"	"2"	"44"	"1"	"2"	"0"	"0"	"4"	"1"	"3"	"9"	"25"	"3"	"14"	"8"	"518"	"0"	"518"	"0"
"338"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"345"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"346"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"347"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"348"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"349"	"193"	"629"	"49"	"4"	"1"	"2"	"2"	"0"	"25"	"0"	"1"	"3"	"1"	"0"	"3"	"2"	"12"	"3"	"1"	"1"	"1"	"740"	"0"	"740"	"0"
"350"	"194"	"425"	"66"	"14"	"4"	"0"	"3"	"1"	"51"	"3"	"7"	"10"	"1"	"6"	"4"	"8"	"27"	"9"	"2"	"2"	"1"	"644"	"0"	"644"	"0"
"351"	"195"	"308"	"24"	"7"	"0"	"0"	"0"	"2"	"136"	"7"	"3"	"9"	"2"	"5"	"4"	"5"	"12"	"7"	"0"	"0"	"0"	"531"	"0"	"531"	"0"
"352"	"196"	"466"	"28"	"3"	"1"	"1"	"0"	"2"	"31"	"2"	"1"	"6"	"3"	"4"	"2"	"1"	"7"	"4"	"0"	"0"	"1"	"563"	"0"	"563"	"0"
"353"	"197"	"300"	"247"	"10"	"9"	"1"	"4"	"1"	"31"	"0"	"2"	"2"	"6"	"1"	"2"	"3"	"5"	"2"	"2"	"3"	"2"	"633"	"0"	"633"	"0"
"354"	"198"	"650"	"18"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"677"	"0"	"677"	"0"
"355"	"199"	"208"	"18"	"32"	"2"	"2"	"3"	"0"	"62"	"1"	"1"	"7"	"1"	"4"	"1"	"5"	"9"	"5"	"0"	"0"	"7"	"368"	"0"	"368"	"0"
"356"	"200"	"220"	"168"	"5"	"0"	"3"	"0"	"1"	"178"	"5"	"1"	"6"	"0"	"1"	"1"	"2"	"1"	"3"	"3"	"1"	"1"	"600"	"0"	"600"	"0"
"357"	"201"	"203"	"204"	"41"	"7"	"2"	"5"	"6"	"182"	"6"	"1"	"13"	"5"	"10"	"3"	"13"	"38"	"7"	"4"	"5"	"3"	"758"	"0"	"758"	"0"
"358"	"202"	"204"	"198"	"6"	"1"	"1"	"4"	"0"	"65"	"1"	"1"	"11"	"0"	"5"	"3"	"11"	"5"	"11"	"11"	"14"	"7"	"559"	"0"	"559"	"0"
"359"	"203"	"314"	"34"	"14"	"2"	"0"	"2"	"2"	"93"	"5"	"2"	"7"	"2"	"8"	"8"	"18"	"47"	"9"	"1"	"1"	"2"	"571"	"0"	"571"	"0"
"360"	"204"	"351"	"39"	"5"	"3"	"1"	"1"	"1"	"15"	"3"	"4"	"4"	"1"	"5"	"2"	"5"	"36"	"10"	"3"	"3"	"3"	"495"	"0"	"495"	"0"
"361"	"205"	"284"	"92"	"12"	"12"	"3"	"3"	"4"	"133"	"8"	"4"	"6"	"3"	"10"	"3"	"6"	"11"	"5"	"2"	"5"	"5"	"611"	"0"	"611"	"0"
"362"	"206"	"177"	"130"	"8"	"4"	"3"	"2"	"5"	"172"	"9"	"6"	"11"	"5"	"15"	"4"	"10"	"13"	"11"	"3"	"12"	"13"	"613"	"0"	"613"	"0"
"363"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"370"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"371"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"372"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"373"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"374"	"207"	"211"	"142"	"8"	"4"	"3"	"3"	"4"	"130"	"4"	"2"	"7"	"3"	"8"	"6"	"13"	"11"	"13"	"5"	"1"	"3"	"581"	"0"	"581"	"0"
"375"	"208"	"111"	"21"	"6"	"1"	"10"	"3"	"2"	"89"	"3"	"3"	"4"	"0"	"4"	"2"	"3"	"2"	"26"	"5"	"16"	"3"	"314"	"0"	"314"	"0"
"376"	"209"	"209"	"21"	"20"	"5"	"2"	"0"	"1"	"93"	"1"	"7"	"9"	"0"	"3"	"1"	"6"	"3"	"11"	"3"	"6"	"8"	"409"	"0"	"409"	"0"
"377"	"210"	"199"	"119"	"8"	"2"	"2"	"2"	"2"	"46"	"2"	"1"	"15"	"8"	"10"	"1"	"30"	"25"	"15"	"9"	"5"	"5"	"506"	"0"	"506"	"0"
"378"	"211"	"125"	"227"	"3"	"3"	"1"	"3"	"5"	"61"	"1"	"1"	"3"	"1"	"1"	"0"	"3"	"6"	"1"	"2"	"2"	"0"	"449"	"0"	"449"	"0"
"379"	"212"	"248"	"100"	"5"	"2"	"2"	"1"	"11"	"120"	"7"	"0"	"9"	"3"	"11"	"7"	"11"	"13"	"4"	"4"	"1"	"3"	"562"	"0"	"562"	"0"
"380"	"213"	"113"	"157"	"10"	"0"	"4"	"2"	"5"	"192"	"1"	"1"	"1"	"2"	"8"	"2"	"6"	"6"	"6"	"3"	"2"	"4"	"525"	"0"	"525"	"0"
"381"	"214"	"55"	"281"	"7"	"1"	"5"	"3"	"2"	"124"	"9"	"7"	"7"	"2"	"9"	"2"	"9"	"18"	"2"	"3"	"2"	"2"	"550"	"0"	"550"	"0"
"382"	"215"	"46"	"122"	"9"	"2"	"6"	"8"	"9"	"181"	"7"	"6"	"19"	"2"	"16"	"5"	"15"	"29"	"21"	"6"	"1"	"4"	"514"	"0"	"514"	"0"
"383"	"216"	"18"	"120"	"5"	"3"	"1"	"4"	"66"	"56"	"2"	"3"	"4"	"5"	"7"	"1"	"6"	"15"	"0"	"3"	"4"	"1"	"324"	"0"	"324"	"0"
"384"	"217"	"16"	"384"	"2"	"0"	"1"	"0"	"1"	"20"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"430"	"0"	"430"	"0"
"385"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
