"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"289"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"293"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"294"	"183"	"12"	"17"	"95"	"84"	"3"	"2"	"0"	"5"	"24"	"7"	"53"	"10"	"2"	"1"	"0"	"315"	"0"	"315"	"0"	""
"295"	"184"	"152"	"107"	"39"	"69"	"19"	"14"	"3"	"7"	"12"	"4"	"32"	"5"	"9"	"4"	"14"	"490"	"0"	"490"	"0"	""
"296"	"185"	"58"	"58"	"28"	"62"	"3"	"5"	"3"	"7"	"82"	"7"	"44"	"11"	"7"	"7"	"12"	"394"	"0"	"394"	"0"	""
"297"	"186"	"64"	"7"	"60"	"34"	"1"	"9"	"2"	"3"	"11"	"4"	"31"	"3"	"6"	"8"	"12"	"255"	"0"	"255"	"0"	""
"298"	"187"	"294"	"73"	"39"	"36"	"21"	"5"	"8"	"6"	"67"	"3"	"19"	"2"	"0"	"3"	"8"	"584"	"0"	"584"	"0"	""
"299"	"188"	"161"	"30"	"50"	"71"	"6"	"5"	"1"	"3"	"7"	"2"	"16"	"8"	"1"	"4"	"8"	"373"	"0"	"373"	"0"	""
"300"	"189"	"710"	"3"	"59"	"16"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"6"	"3"	"3"	"805"	"0"	"805"	"0"	""
"301"	";ksx"	"1451"	"295"	"370"	"372"	"54"	"40"	"17"	"31"	"206"	"27"	"195"	"40"	"31"	"30"	"57"	"3216"	"0"	"3216"	"0"	""
"302"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"9&ukSru fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"310"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"311"	"dqy ;ksx"	"20910"	"10889"	"9651"	"29252"	"1420"	"950"	"706"	"1255"	"8074"	"996"	"9284"	"2330"	"1866"	"692"	"1819"	"100094"	"0"	"100094"	"0"	""
"312"	"Mkd eri="	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"313"	"dqy ;ksx"	"20910"	"10889"	"9651"	"29252"	"1420"	"950"	"706"	"1255"	"8074"	"996"	"9284"	"2330"	"1866"	"692"	"1819"	"100094"	"0"	"100094"	"0"	""
"314"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"9&ukSru fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
