"Election.to.the.Bihar.Legislative.Assembly.from.the.234.Gurua..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"205"	"144"	"267"	""	""	"2"	""	""	"5"	""	""	"2"	""	""	"303"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"2"	""	"582"	""	""	"0"	""	""	"582"	""	""	""	""	""	""	""
"206"	"145"	"105"	""	""	"62"	""	""	"298"	""	""	"1"	""	""	"288"	""	""	"1"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"757"	""	""	"0"	""	""	"757"	""	""	""	""	""	""	""
"207"	"146"	"2"	""	""	"6"	""	""	"9"	""	""	"0"	""	""	"452"	""	""	"0"	""	""	"1"	""	"0"	""	"1"	""	"0"	""	"0"	""	"471"	""	""	"0"	""	""	"471"	""	""	""	""	""	""	""
"208"	"147"	"25"	""	""	"69"	""	""	"282"	""	""	"2"	""	""	"29"	""	""	"2"	""	""	"2"	""	"1"	""	"0"	""	"1"	""	"0"	""	"413"	""	""	"0"	""	""	"413"	""	""	""	""	""	""	""
"209"	"148"	"2"	""	""	"0"	""	""	"12"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"16"	""	""	"0"	""	""	"16"	""	""	""	""	""	""	""
"210"	"149"	"5"	""	""	"38"	""	""	"149"	""	""	"5"	""	""	"279"	""	""	"7"	""	""	"3"	""	"2"	""	"1"	""	"4"	""	"10"	""	"503"	""	""	"0"	""	""	"503"	""	""	""	""	""	""	""
"211"	"150"	"93"	""	""	"109"	""	""	"63"	""	""	"2"	""	""	"209"	""	""	"5"	""	""	"1"	""	"2"	""	"2"	""	"1"	""	"4"	""	"491"	""	""	"0"	""	""	"491"	""	""	""	""	""	""	""
"212"	"151"	"7"	""	""	"15"	""	""	"122"	""	""	"3"	""	""	"365"	""	""	"3"	""	""	"2"	""	"1"	""	"0"	""	"0"	""	"6"	""	"524"	""	""	"0"	""	""	"524"	""	""	""	""	""	""	""
"213"	"152"	"62"	""	""	"65"	""	""	"141"	""	""	"13"	""	""	"145"	""	""	"11"	""	""	"9"	""	"10"	""	"8"	""	"3"	""	"30"	""	"497"	""	""	"0"	""	""	"497"	""	""	""	""	""	""	""
"214"	"153"	"49"	""	""	"13"	""	""	"139"	""	""	"8"	""	""	"88"	""	""	"9"	""	""	"8"	""	"2"	""	"6"	""	"1"	""	"8"	""	"331"	""	""	"0"	""	""	"331"	""	""	""	""	""	""	""
"215"	"Total"	"780"	""	""	"453"	""	""	"2580"	""	""	"60"	""	""	"2598"	""	""	"54"	""	""	"38"	""	"36"	""	"24"	""	"16"	""	"93"	""	"6732"	""	""	"0"	""	""	"6732"	""	""	""	""	""	""	""
"216"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"217"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"219"	"154"	"7"	""	""	"1"	""	""	"659"	""	""	"11"	""	""	"34"	""	""	"1"	""	""	"1"	""	"2"	""	"1"	""	"1"	""	"7"	""	"725"	""	""	"0"	""	""	"725"	""	""	""	""	""	""	""
"220"	"155"	"6"	""	""	"3"	""	""	"125"	""	""	"15"	""	""	"132"	""	""	"10"	""	""	"6"	""	"2"	""	"7"	""	"2"	""	"11"	""	"319"	""	""	"0"	""	""	"319"	""	""	""	""	""	""	""
"221"	"156"	"2"	""	""	"13"	""	""	"173"	""	""	"2"	""	""	"81"	""	""	"4"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	"1"	""	"278"	""	""	"0"	""	""	"278"	""	""	""	""	""	""	""
"222"	"157"	"23"	""	""	"6"	""	""	"85"	""	""	"7"	""	""	"237"	""	""	"9"	""	""	"7"	""	"1"	""	"2"	""	"1"	""	"20"	""	"398"	""	""	"0"	""	""	"398"	""	""	""	""	""	""	""
"223"	"158"	"1"	""	""	"9"	""	""	"196"	""	""	"7"	""	""	"390"	""	""	"7"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"6"	""	"617"	""	""	"0"	""	""	"617"	""	""	""	""	""	""	""
"224"	"159"	"149"	""	""	"16"	""	""	"131"	""	""	"16"	""	""	"234"	""	""	"5"	""	""	"6"	""	"5"	""	"3"	""	"5"	""	"10"	""	"580"	""	""	"0"	""	""	"580"	""	""	""	""	""	""	""
"225"	"160"	"41"	""	""	"81"	""	""	"287"	""	""	"5"	""	""	"152"	""	""	"4"	""	""	"1"	""	"3"	""	"0"	""	"0"	""	"5"	""	"579"	""	""	"0"	""	""	"579"	""	""	""	""	""	""	""
"226"	"161"	"8"	""	""	"1"	""	""	"227"	""	""	"5"	""	""	"240"	""	""	"1"	""	""	"0"	""	"2"	""	"1"	""	"1"	""	"3"	""	"489"	""	""	"0"	""	""	"489"	""	""	""	""	""	""	""
"227"	"162"	"1"	""	""	"2"	""	""	"313"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"5"	""	"0"	""	"0"	""	"0"	""	"0"	""	"321"	""	""	"0"	""	""	"321"	""	""	""	""	""	""	""
"228"	"163"	"9"	""	""	"4"	""	""	"145"	""	""	"4"	""	""	"150"	""	""	"3"	""	""	"5"	""	"2"	""	"0"	""	"2"	""	"6"	""	"330"	""	""	"0"	""	""	"330"	""	""	""	""	""	""	""
"229"	"164"	"33"	""	""	"33"	""	""	"28"	""	""	"2"	""	""	"243"	""	""	"5"	""	""	"2"	""	"3"	""	"0"	""	"0"	""	"2"	""	"351"	""	""	"0"	""	""	"351"	""	""	""	""	""	""	""
"230"	"165"	"189"	""	""	"2"	""	""	"33"	""	""	"3"	""	""	"23"	""	""	"1"	""	""	"0"	""	"0"	""	"1"	""	"1"	""	"4"	""	"257"	""	""	"0"	""	""	"257"	""	""	""	""	""	""	""
"231"	"166"	"109"	""	""	"30"	""	""	"660"	""	""	"5"	""	""	"162"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"968"	""	""	"0"	""	""	"968"	""	""	""	""	""	""	""
"232"	"167"	"145"	""	""	"4"	""	""	"309"	""	""	"2"	""	""	"53"	""	""	"0"	""	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"517"	""	""	"0"	""	""	"517"	""	""	""	""	""	""	""
"233"	"Total"	"723"	""	""	"205"	""	""	"3371"	""	""	"84"	""	""	"2131"	""	""	"51"	""	""	"37"	""	"20"	""	"16"	""	"14"	""	"77"	""	"6729"	""	""	"0"	""	""	"6729"	""	""	""	""	""	""	""
"234"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"235"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"237"	"168"	"41"	""	""	"0"	""	""	"276"	""	""	"4"	""	""	"43"	""	""	"0"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"365"	""	""	"0"	""	""	"365"	""	""	""	""	""	""	""
"238"	"169"	"18"	""	""	"7"	""	""	"277"	""	""	"5"	""	""	"92"	""	""	"5"	""	""	"1"	""	"2"	""	"1"	""	"2"	""	"14"	""	"424"	""	""	"0"	""	""	"424"	""	""	""	""	""	""	""
"239"	"170"	"402"	""	""	"1"	""	""	"7"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"410"	""	""	"0"	""	""	"410"	""	""	""	""	""	""	""
"240"	"171"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""
"241"	"172"	"96"	""	""	"17"	""	""	"192"	""	""	"3"	""	""	"119"	""	""	"5"	""	""	"2"	""	"3"	""	"0"	""	"0"	""	"9"	""	"446"	""	""	"0"	""	""	"446"	""	""	""	""	""	""	""
"242"	"173"	"91"	""	""	"21"	""	""	"99"	""	""	"10"	""	""	"79"	""	""	"2"	""	""	"2"	""	"1"	""	"5"	""	"0"	""	"7"	""	"317"	""	""	"0"	""	""	"317"	""	""	""	""	""	""	""
"243"	"174"	"204"	""	""	"27"	""	""	"147"	""	""	"19"	""	""	"128"	""	""	"5"	""	""	"6"	""	"9"	""	"8"	""	"7"	""	"23"	""	"583"	""	""	"0"	""	""	"583"	""	""	""	""	""	""	""
"244"	"175"	"85"	""	""	"17"	""	""	"181"	""	""	"9"	""	""	"236"	""	""	"17"	""	""	"7"	""	"18"	""	"3"	""	"4"	""	"28"	""	"605"	""	""	"0"	""	""	"605"	""	""	""	""	""	""	""
"245"	"176"	"28"	""	""	"0"	""	""	"424"	""	""	"5"	""	""	"36"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	"496"	""	""	"0"	""	""	"496"	""	""	""	""	""	""	""
"246"	"177"	"10"	""	""	"11"	""	""	"69"	""	""	"4"	""	""	"27"	""	""	"1"	""	""	"1"	""	"3"	""	"2"	""	"2"	""	"3"	""	"133"	""	""	"0"	""	""	"133"	""	""	""	""	""	""	""
"247"	"178"	"81"	""	""	"8"	""	""	"296"	""	""	"2"	""	""	"100"	""	""	"2"	""	""	"3"	""	"1"	""	"1"	""	"0"	""	"0"	""	"494"	""	""	"0"	""	""	"494"	""	""	""	""	""	""	""
"248"	"179"	"191"	""	""	"29"	""	""	"119"	""	""	"8"	""	""	"162"	""	""	"8"	""	""	"6"	""	"6"	""	"3"	""	"3"	""	"15"	""	"550"	""	""	"0"	""	""	"550"	""	""	""	""	""	""	""
"249"	"180"	"156"	""	""	"6"	""	""	"108"	""	""	"5"	""	""	"37"	""	""	"4"	""	""	"2"	""	"4"	""	"5"	""	"5"	""	"8"	""	"340"	""	""	"0"	""	""	"340"	""	""	""	""	""	""	""
"250"	"181"	"4"	""	""	"7"	""	""	"619"	""	""	"3"	""	""	"6"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"640"	""	""	"0"	""	""	"640"	""	""	""	""	""	""	""
"251"	"Total"	"1407"	""	""	"151"	""	""	"2814"	""	""	"77"	""	""	"1065"	""	""	"50"	""	""	"30"	""	"48"	""	"28"	""	"23"	""	"110"	""	"5803"	""	""	"0"	""	""	"5803"	""	""	""	""	""	""	""
"252"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"253"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"255"	"182"	"20"	""	""	"8"	""	""	"150"	""	""	"16"	""	""	"168"	""	""	"11"	""	""	"6"	""	"21"	""	"7"	""	"9"	""	"23"	""	"439"	""	""	"0"	""	""	"439"	""	""	""	""	""	""	""
"256"	"183"	"26"	""	""	"1"	""	""	"358"	""	""	"5"	""	""	"225"	""	""	"2"	""	""	"6"	""	"3"	""	"2"	""	"0"	""	"3"	""	"631"	""	""	"0"	""	""	"631"	""	""	""	""	""	""	""
"257"	"184"	"52"	""	""	"17"	""	""	"86"	""	""	"7"	""	""	"448"	""	""	"7"	""	""	"9"	""	"8"	""	"3"	""	"4"	""	"24"	""	"665"	""	""	"0"	""	""	"665"	""	""	""	""	""	""	""
"258"	"185"	"0"	""	""	"1"	""	""	"445"	""	""	"5"	""	""	"352"	""	""	"8"	""	""	"0"	""	"0"	""	"14"	""	"0"	""	"16"	""	"841"	""	""	"0"	""	""	"841"	""	""	""	""	""	""	""
"259"	"186"	"32"	""	""	"7"	""	""	"212"	""	""	"9"	""	""	"136"	""	""	"4"	""	""	"1"	""	"3"	""	"3"	""	"1"	""	"10"	""	"418"	""	""	"0"	""	""	"418"	""	""	""	""	""	""	""
"260"	"187"	"231"	""	""	"9"	""	""	"150"	""	""	"12"	""	""	"32"	""	""	"5"	""	""	"6"	""	"6"	""	"6"	""	"0"	""	"6"	""	"463"	""	""	"0"	""	""	"463"	""	""	""	""	""	""	""
"261"	"188"	"19"	""	""	"1"	""	""	"300"	""	""	"2"	""	""	"56"	""	""	"3"	""	""	"1"	""	"1"	""	"1"	""	"0"	""	"1"	""	"385"	""	""	"0"	""	""	"385"	""	""	""	""	""	""	""
"262"	"189"	"12"	""	""	"2"	""	""	"755"	""	""	"3"	""	""	"12"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"785"	""	""	"0"	""	""	"785"	""	""	""	""	""	""	""
"263"	"190"	"0"	""	""	"0"	""	""	"464"	""	""	"1"	""	""	"14"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"479"	""	""	"0"	""	""	"479"	""	""	""	""	""	""	""
"264"	"191"	"479"	""	""	"2"	""	""	"23"	""	""	"2"	""	""	"2"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	"3"	""	"512"	""	""	"0"	""	""	"512"	""	""	""	""	""	""	""
"265"	"192"	"85"	""	""	"7"	""	""	"105"	""	""	"9"	""	""	"44"	""	""	"4"	""	""	"3"	""	"10"	""	"3"	""	"3"	""	"28"	""	"301"	""	""	"0"	""	""	"301"	""	""	""	""	""	""	""
"266"	"193"	"7"	""	""	"0"	""	""	"524"	""	""	"1"	""	""	"92"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"626"	""	""	"0"	""	""	"626"	""	""	""	""	""	""	""
"267"	"194"	"42"	""	""	"62"	""	""	"203"	""	""	"19"	""	""	"166"	""	""	"4"	""	""	"10"	""	"4"	""	"7"	""	"10"	""	"17"	""	"544"	""	""	"0"	""	""	"544"	""	""	""	""	""	""	""
"268"	"195"	"360"	""	""	"33"	""	""	"115"	""	""	"12"	""	""	"101"	""	""	"8"	""	""	"5"	""	"12"	""	"6"	""	"2"	""	"16"	""	"670"	""	""	"0"	""	""	"670"	""	""	""	""	""	""	""
"269"	"Total"	"1365"	""	""	"150"	""	""	"3890"	""	""	"103"	""	""	"1848"	""	""	"59"	""	""	"47"	""	"68"	""	"52"	""	"30"	""	"147"	""	"7759"	""	""	"0"	""	""	"7759"	""	""	""	""	""	""	""
"270"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"271"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"273"	"196"	"14"	""	""	"9"	""	""	"332"	""	""	"11"	""	""	""	"19"	""	""	"1"	""	"1"	""	"1"	""	"0"	""	"0"	""	"2"	""	"390"	""	""	"0"	""	""	"390"	""	""	""	""	""	""	""
"274"	"197"	"76"	""	""	"10"	""	""	"68"	""	""	"11"	""	""	""	"90"	""	""	"1"	""	"0"	""	"0"	""	"3"	""	"0"	""	"12"	""	"271"	""	""	"0"	""	""	"271"	""	""	""	""	""	""	""
"275"	"198"	"68"	""	""	"24"	""	""	"79"	""	""	"11"	""	""	""	"83"	""	""	"12"	""	"6"	""	"8"	""	"12"	""	"10"	""	"27"	""	"340"	""	""	"0"	""	""	"340"	""	""	""	""	""	""	""
"276"	"199"	"137"	""	""	"28"	""	""	"230"	""	""	"12"	""	""	""	"49"	""	""	"2"	""	"6"	""	"6"	""	"15"	""	"5"	""	"29"	""	"519"	""	""	"0"	""	""	"519"	""	""	""	""	""	""	""
"277"	"200"	"36"	""	""	"18"	""	""	"70"	""	""	"4"	""	""	""	"187"	""	""	"7"	""	"3"	""	"4"	""	"0"	""	"0"	""	"2"	""	"331"	""	""	"0"	""	""	"331"	""	""	""	""	""	""	""
"278"	"201"	"138"	""	""	"92"	""	""	"51"	""	""	"7"	""	""	""	"69"	""	""	"4"	""	"6"	""	"5"	""	"4"	""	"7"	""	"23"	""	"406"	""	""	"0"	""	""	"406"	""	""	""	""	""	""	""
"279"	"202"	"21"	""	""	"6"	""	""	"201"	""	""	"4"	""	""	""	"364"	""	""	"4"	""	"2"	""	"0"	""	"3"	""	"1"	""	"11"	""	"617"	""	""	"0"	""	""	"617"	""	""	""	""	""	""	""
"280"	"203"	"109"	""	""	"0"	""	""	"287"	""	""	"0"	""	""	""	"17"	""	""	"1"	""	"0"	""	"2"	""	"3"	""	"1"	""	"3"	""	"423"	""	""	"0"	""	""	"423"	""	""	""	""	""	""	""
"281"	"204"	"18"	""	""	"18"	""	""	"107"	""	""	"10"	""	""	""	"220"	""	""	"11"	""	"3"	""	"4"	""	"5"	""	"3"	""	"17"	""	"416"	""	""	"0"	""	""	"416"	""	""	""	""	""	""	""
"282"	"205"	"110"	""	""	"3"	""	""	"99"	""	""	"5"	""	""	""	"106"	""	""	"8"	""	"2"	""	"1"	""	"6"	""	"2"	""	"9"	""	"351"	""	""	"0"	""	""	"351"	""	""	""	""	""	""	""
"283"	"206"	"47"	""	""	"10"	""	""	"180"	""	""	"9"	""	""	""	"192"	""	""	"5"	""	"3"	""	"5"	""	"1"	""	"0"	""	"9"	""	"461"	""	""	"0"	""	""	"461"	""	""	""	""	""	""	""
"284"	"207"	"72"	""	""	"22"	""	""	"130"	""	""	"10"	""	""	""	"104"	""	""	"2"	""	"2"	""	"6"	""	"4"	""	"0"	""	"7"	""	"359"	""	""	"0"	""	""	"359"	""	""	""	""	""	""	""
"285"	"208"	"29"	""	""	"0"	""	""	"140"	""	""	"10"	""	""	""	"204"	""	""	"7"	""	"6"	""	"3"	""	"2"	""	"0"	""	"13"	""	"414"	""	""	"0"	""	""	"414"	""	""	""	""	""	""	""
"286"	"209"	"141"	""	""	"15"	""	""	"210"	""	""	"19"	""	""	""	"273"	""	""	"16"	""	"11"	""	"5"	""	"7"	""	"4"	""	"13"	""	"714"	""	""	"0"	""	""	"714"	""	""	""	""	""	""	""
"287"	"Total"	"1016"	""	""	"255"	""	""	"2184"	""	""	"123"	""	""	""	"1977"	""	""	"81"	""	"51"	""	"50"	""	"65"	""	"33"	""	"177"	""	"6012"	""	""	"0"	""	""	"6012"	""	""	""	""	""	""	""
"288"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"289"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"291"	"210"	"1"	""	""	"19"	""	""	"311"	""	""	"1"	""	""	"7"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"340"	""	""	"0"	""	""	"340"	""	""	""	""	""	""	""
"292"	"211"	"160"	""	""	"52"	""	""	"99"	""	""	"8"	""	""	"163"	""	""	"11"	""	""	"6"	""	"9"	""	"6"	""	"1"	""	"21"	""	"536"	""	""	"0"	""	""	"536"	""	""	""	""	""	""	""
"293"	"212"	"4"	""	""	"4"	""	""	"947"	""	""	"3"	""	""	"21"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"980"	""	""	"0"	""	""	"980"	""	""	""	""	""	""	""
"294"	"213"	"0"	""	""	"3"	""	""	"375"	""	""	"5"	""	""	"6"	""	""	"1"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	"1"	""	"393"	""	""	"0"	""	""	"393"	""	""	""	""	""	""	""
"295"	"214"	"3"	""	""	"1"	""	""	"562"	""	""	"1"	""	""	"18"	""	""	"4"	""	""	"0"	""	"1"	""	"7"	""	"0"	""	"4"	""	"601"	""	""	"0"	""	""	"601"	""	""	""	""	""	""	""
"296"	"215"	"0"	""	""	"0"	""	""	"570"	""	""	"1"	""	""	"14"	""	""	"0"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"586"	""	""	"0"	""	""	"586"	""	""	""	""	""	""	""
"297"	"216"	"46"	""	""	"4"	""	""	"949"	""	""	"2"	""	""	"44"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"1047"	""	""	"0"	""	""	"1047"	""	""	""	""	""	""	""
"298"	"217"	"3"	""	""	"1"	""	""	"10"	""	""	"2"	""	""	"344"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"361"	""	""	"0"	""	""	"361"	""	""	""	""	""	""	""
"299"	"218"	"71"	""	""	"6"	""	""	"99"	""	""	"8"	""	""	"185"	""	""	"10"	""	""	"9"	""	"12"	""	"13"	""	"10"	""	"32"	""	"455"	""	""	"0"	""	""	"455"	""	""	""	""	""	""	""
"300"	"219"	"2"	""	""	"9"	""	""	"466"	""	""	"7"	""	""	"27"	""	""	"4"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	"5"	""	"521"	""	""	"0"	""	""	"521"	""	""	""	""	""	""	""
"301"	"220"	"22"	""	""	"6"	""	""	"229"	""	""	"2"	""	""	"63"	""	""	"2"	""	""	"2"	""	"4"	""	"3"	""	"1"	""	"12"	""	"346"	""	""	"0"	""	""	"346"	""	""	""	""	""	""	""
"302"	"221"	"4"	""	""	"3"	""	""	"34"	""	""	"3"	""	""	"97"	""	""	"1"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"2"	""	"145"	""	""	"0"	""	""	"145"	""	""	""	""	""	""	""
"303"	"222"	"181"	""	""	"3"	""	""	"141"	""	""	"3"	""	""	"23"	""	""	"1"	""	""	"1"	""	"2"	""	"1"	""	"0"	""	"1"	""	"357"	""	""	"0"	""	""	"357"	""	""	""	""	""	""	""
"304"	"223"	"159"	""	""	"6"	""	""	"94"	""	""	"13"	""	""	"88"	""	""	"1"	""	""	"1"	""	"4"	""	"3"	""	"3"	""	"12"	""	"384"	""	""	"0"	""	""	"384"	""	""	""	""	""	""	""
"305"	"Total"	"656"	""	""	"117"	""	""	"4886"	""	""	"59"	""	""	"1100"	""	""	"36"	""	""	"22"	""	"33"	""	"34"	""	"17"	""	"92"	""	"7052"	""	""	"0"	""	""	"7052"	""	""	""	""	""	""	""
"306"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
