"Election.to.the.Bihar.Legislative.Assembly.from.the.232.Gaya.Town.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"85"	"Total"	"3486"	""	""	"487"	""	""	"1028"	""	""	""	"265"	""	""	""	""	""	"166"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"67"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	"108"	""	""	""	""	""	"49"	""	""	""	""	""	""	""	"738"	""	""	""	""	""	""	""	"85"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"70"	""	""	""	""	""	""	""	"6613"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"6613"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""
"87"	"of"	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""
"88"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""
"89"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""
"91"	"52"	"137"	""	""	"50"	""	""	""	"193"	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"406"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"406"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"53"	"325"	""	""	"18"	""	""	""	"61"	""	""	""	"48"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"54"	"160"	""	""	"23"	""	""	""	"152"	""	""	""	"1"	""	""	""	""	""	"14"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"55"	"443"	""	""	"32"	""	""	""	"66"	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"593"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"593"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"56"	"268"	""	""	"21"	""	""	""	"69"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"404"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"404"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"57"	"154"	""	""	"12"	""	""	""	"287"	""	""	""	"23"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"504"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"58"	"537"	""	""	"15"	""	""	""	"41"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"38"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"664"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"664"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"59"	"249"	""	""	"19"	""	""	""	"142"	""	""	""	"15"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"448"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"448"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"60"	"332"	""	""	"24"	""	""	""	"82"	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"70"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"537"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"537"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"61"	"125"	""	""	"9"	""	""	""	"106"	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"62"	"317"	""	""	"16"	""	""	""	"112"	""	""	""	"15"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"503"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"63"	"265"	""	""	"14"	""	""	""	"20"	""	""	""	"145"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"476"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"476"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"64"	"400"	""	""	"17"	""	""	""	"52"	""	""	""	"26"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"533"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"533"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"65"	"405"	""	""	"42"	""	""	""	"39"	""	""	""	"57"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"596"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"596"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Total"	"4117"	""	""	"312"	""	""	""	"1422"	""	""	""	"353"	""	""	""	""	""	"45"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"180"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"27"	""	""	""	""	""	"41"	""	""	""	""	""	""	""	""	"148"	""	""	""	""	""	""	""	"88"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"49"	""	""	""	""	""	""	""	"6807"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6807"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"107"	"of"	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"108"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"109"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""
"111"	"66"	"431"	""	""	"13"	""	""	""	"26"	""	""	""	"28"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"26"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"67"	"253"	""	""	"13"	""	""	""	"67"	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"68"	"356"	""	""	"25"	""	""	""	"125"	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"69"	"84"	""	""	"17"	""	""	""	"96"	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"223"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"69(Ka)"	"13"	""	""	"38"	""	""	""	"64"	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"130"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"130"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"70"	"367"	""	""	"9"	""	""	""	"16"	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"445"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"445"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"71"	"504"	""	""	"30"	""	""	""	"40"	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"51"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"664"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"664"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"72"	"374"	""	""	"43"	""	""	""	"162"	""	""	""	"54"	""	""	""	""	""	"10"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"671"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"671"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"73"	"147"	""	""	"21"	""	""	""	"191"	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"74"	"276"	""	""	"16"	""	""	""	"112"	""	""	""	"37"	""	""	""	""	""	"15"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"471"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"471"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"75"	"10"	""	""	"29"	""	""	""	"254"	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"307"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"307"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"75(Ka)"	"2"	""	""	"12"	""	""	""	"166"	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"193"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"76"	"179"	""	""	"14"	""	""	""	"448"	""	""	""	"33"	""	""	""	""	""	"8"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"704"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"704"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"77"	"166"	""	""	"10"	""	""	""	"305"	""	""	""	"33"	""	""	""	""	""	"42"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"585"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"585"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total"	"3162"	""	""	"290"	""	""	""	"2072"	""	""	""	"222"	""	""	""	""	""	"113"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"183"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"35"	""	""	""	""	""	"36"	""	""	""	""	""	""	""	""	"64"	""	""	""	""	""	""	""	""	"44"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"6271"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
