"X.Statutory.Rules.and.Order........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"338"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"339"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"340"	"183"	"138"	"14"	"44"	"205"	"11"	"4"	"22"	"10"	"2"	"18"	"17"	"6"	"9"	"60"	"560"	""	"560"	""
"341"	"184"	"266"	"19"	"20"	"6"	"6"	"1"	"3"	"9"	"2"	"1"	"1"	"2"	"8"	"70"	"414"	""	"414"	""
"342"	"185"	"106"	"10"	"45"	"20"	"4"	"3"	"8"	"8"	"65"	"2"	"3"	"3"	"5"	"59"	"341"	""	"341"	""
"343"	"186"	"274"	"15"	"13"	"7"	"5"	"1"	"6"	"27"	"48"	"9"	"8"	"3"	"11"	"69"	"496"	""	"496"	""
"344"	"187"	"37"	"9"	"181"	"19"	"7"	"2"	"8"	"8"	"10"	"8"	"15"	"9"	"23"	"211"	"547"	""	"547"	""
"345"	"188"	"64"	"3"	"119"	"7"	"3"	"3"	"2"	"11"	"16"	"5"	"10"	"6"	"8"	"262"	"519"	""	"519"	""
"346"	"189"	"36"	"3"	"54"	"10"	"1"	"2"	"1"	"7"	"8"	"8"	"3"	"1"	"13"	"145"	"292"	""	"292"	""
"347"	"190"	"74"	"10"	"171"	"9"	"3"	"2"	"3"	"9"	"13"	"6"	"9"	"4"	"10"	"107"	"430"	""	"430"	""
"348"	"191"	"49"	"5"	"129"	"33"	"11"	"3"	"9"	"23"	"78"	"11"	"14"	"7"	"5"	"63"	"440"	""	"440"	""
"349"	"192"	"25"	"3"	"232"	"46"	"5"	"5"	"6"	"14"	"14"	"2"	"12"	"12"	"9"	"168"	"553"	""	"553"	""
"350"	"193"	"236"	"15"	"3"	"5"	"2"	"1"	"3"	"8"	"13"	"3"	"8"	"7"	"3"	"73"	"380"	""	"380"	""
"351"	"194"	"60"	"8"	"147"	"12"	"5"	"2"	"6"	"7"	"10"	"3"	"7"	"7"	"8"	"84"	"366"	""	"366"	""
"352"	"195"	"100"	"12"	"128"	"15"	"12"	"9"	"9"	"13"	"13"	"8"	"14"	"5"	"5"	"229"	"572"	""	"572"	""
"353"	"196"	"77"	"4"	"51"	"19"	"7"	"1"	"1"	"4"	"27"	"2"	"3"	"0"	"6"	"235"	"437"	""	"437"	""
"354"	"Current Round Total"	"1542"	"130"	"1337"	"413"	"82"	"39"	"87"	"158"	"319"	"86"	"124"	"72"	"123"	"1835"	"6347"	"0"	"6347"	"0"
"355"	"Previous Round Total"	"27422"	"1576"	"14317"	"18031"	"2369"	"548"	"2010"	"1977"	"2582"	"858"	"1705"	"869"	"1129"	"17017"	"92410"	"0"	"92410"	"0"
"356"	"TOTAL"	"28964"	"1706"	"15654"	"18444"	"2451"	"587"	"2097"	"2135"	"2901"	"944"	"1829"	"941"	"1252"	"18852"	"98757"	"0"	"98757"	"0"
"357"	"(Statutory Rules and Order)                                                       ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"363"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"364"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"365"	"197"	"21"	"2"	"30"	"5"	"1"	"0"	"3"	"3"	"9"	"1"	"4"	"4"	"10"	"345"	"438"	""	"438"	""
"366"	"198"	"144"	"6"	"133"	"35"	"10"	"4"	"6"	"10"	"6"	"7"	"7"	"7"	"3"	"117"	"495"	""	"495"	""
"367"	"199"	"239"	"4"	"78"	"28"	"7"	"1"	"8"	"8"	"11"	"2"	"10"	"2"	"12"	"148"	"558"	""	"558"	""
"368"	"200"	"242"	"14"	"7"	"32"	"7"	"1"	"7"	"5"	"4"	"2"	"0"	"3"	"1"	"12"	"337"	""	"337"	""
"369"	"201"	"233"	"3"	"77"	"37"	"7"	"4"	"5"	"14"	"21"	"5"	"17"	"7"	"16"	"147"	"593"	""	"593"	""
"370"	"202"	"314"	"12"	"21"	"13"	"5"	"1"	"10"	"23"	"19"	"6"	"7"	"7"	"8"	"75"	"521"	""	"521"	""
"371"	"203"	"28"	"7"	"43"	"376"	"14"	"3"	"39"	"6"	"14"	"5"	"16"	"3"	"3"	"34"	"591"	""	"591"	""
"372"	"204"	"34"	"4"	"68"	"198"	"13"	"2"	"30"	"13"	"62"	"12"	"23"	"13"	"16"	"44"	"532"	""	"532"	""
"373"	"205"	"18"	"4"	"44"	"286"	"15"	"5"	"25"	"9"	"12"	"11"	"22"	"3"	"7"	"87"	"548"	""	"548"	""
"374"	"206"	"48"	"4"	"18"	"55"	"10"	"3"	"10"	"9"	"2"	"2"	"5"	"2"	"3"	"2"	"173"	""	"173"	""
"375"	"207"	"9"	"4"	"146"	"277"	"126"	"16"	"43"	"9"	"11"	"9"	"14"	"7"	"3"	"25"	"699"	""	"699"	""
"376"	"208"	"237"	"22"	"82"	"63"	"41"	"21"	"17"	"27"	"133"	"10"	"15"	"4"	"3"	"107"	"782"	""	"782"	""
"377"	"209"	"125"	"3"	"21"	"169"	"10"	"0"	"12"	"10"	"6"	"5"	"23"	"15"	"12"	"151"	"562"	""	"562"	""
"378"	"210"	"29"	"13"	"41"	"172"	"11"	"2"	"5"	"1"	"2"	"5"	"16"	"5"	"6"	"45"	"353"	""	"353"	""
"379"	"Current Round Total"	"1721"	"102"	"809"	"1746"	"277"	"63"	"220"	"147"	"312"	"82"	"179"	"82"	"103"	"1339"	"7182"	"0"	"7182"	"0"
"380"	"Previous Round Total"	"28964"	"1706"	"15654"	"18444"	"2451"	"587"	"2097"	"2135"	"2901"	"944"	"1829"	"941"	"1252"	"18852"	"98757"	"0"	"98757"	"0"
"381"	"TOTAL"	"30685"	"1808"	"16463"	"20190"	"2728"	"650"	"2317"	"2282"	"3213"	"1026"	"2008"	"1023"	"1355"	"20191"	"105939"	"0"	"105939"	"0"
"382"	"(Statutory Rules and Order)                                                       ROUND : SIXTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"388"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"389"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"390"	"211"	"38"	"12"	"73"	"290"	"62"	"8"	"22"	"11"	"2"	"4"	"14"	"0"	"0"	"8"	"544"	""	"544"	""
"391"	"212"	"8"	"2"	"40"	"289"	"13"	"5"	"30"	"6"	"3"	"6"	"14"	"6"	"0"	"5"	"427"	""	"427"	""
"392"	"213"	"150"	"11"	"11"	"145"	"4"	"5"	"9"	"9"	"3"	"3"	"9"	"6"	"4"	"86"	"455"	""	"455"	""
"393"	"214"	"64"	"5"	"27"	"379"	"11"	"6"	"31"	"11"	"6"	"10"	"29"	"5"	"6"	"31"	"621"	""	"621"	""
"394"	"215"	"67"	"6"	"14"	"241"	"7"	"3"	"16"	"1"	"2"	"1"	"6"	"0"	"1"	"2"	"367"	""	"367"	""
"395"	"216"	"52"	"11"	"44"	"244"	"119"	"6"	"23"	"10"	"2"	"5"	"12"	"2"	"3"	"18"	"551"	""	"551"	""
"396"	"217"	"35"	"11"	"7"	"587"	"97"	"5"	"40"	"9"	"7"	"22"	"32"	"6"	"10"	"17"	"885"	""	"885"	""
"397"	"218"	"1"	"4"	"5"	"653"	"6"	"0"	"3"	"0"	"0"	"0"	"3"	"2"	"1"	"0"	"678"	""	"678"	""
"398"	"219"	"174"	"5"	"7"	"130"	"16"	"2"	"15"	"5"	"3"	"4"	"5"	"1"	"4"	"86"	"457"	""	"457"	""
"399"	"220"	"6"	"2"	"10"	"183"	"1"	"1"	"11"	"1"	"4"	"2"	"10"	"3"	"5"	"107"	"346"	""	"346"	""
"400"	"221"	"54"	"8"	"40"	"340"	"94"	"2"	"27"	"9"	"16"	"5"	"8"	"1"	"2"	"4"	"610"	""	"610"	""
"401"	"222"	"109"	"4"	"9"	"310"	"8"	"5"	"31"	"14"	"1"	"3"	"12"	"3"	"5"	"37"	"551"	""	"551"	""
"402"	"223"	"25"	"6"	"17"	"199"	"81"	"3"	"19"	"7"	"9"	"9"	"21"	"7"	"5"	"82"	"490"	""	"490"	""
"403"	"Current Round Total"	"783"	"87"	"304"	"3990"	"519"	"51"	"277"	"93"	"58"	"74"	"175"	"42"	"46"	"483"	"6982"	"0"	"6982"	"0"
"404"	"Previous Round Total"	"30685"	"1808"	"16463"	"20190"	"2728"	"650"	"2317"	"2282"	"3213"	"1026"	"2008"	"1023"	"1355"	"20191"	"105939"	"0"	"105939"	"0"
"405"	"TOTAL"	"31468"	"1895"	"16767"	"24180"	"3247"	"701"	"2594"	"2375"	"3271"	"1100"	"2183"	"1065"	"1401"	"20674"	"112921"	"0"	"112921"	"0"
"406"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"127-RANIGANJ (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
