"Candidates.Name.......Booth.No"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"Total.Valid.Voters"	"Total.No..of.Rejected.Voters"	"Total.No..of.Tender.Voters"
"253"	"227"	"0"	"79"	"1"	"36"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"130"	""	""
"254"	"228"	"5"	"131"	"10"	"55"	"14"	"2"	"3"	"2"	"1"	"0"	"3"	"2"	"9"	"1"	"5"	"8"	"0"	"3"	"6"	"1"	"1"	"262"	""	""
"255"	"229"	"3"	"229"	"24"	"33"	"16"	"1"	"3"	"5"	"5"	"3"	"7"	"10"	"14"	"7"	"10"	"10"	"5"	"3"	"70"	"1"	"4"	"463"	""	""
"256"	"230"	"6"	"68"	"7"	"200"	"8"	"1"	"0"	"5"	"5"	"3"	"0"	"3"	"12"	"5"	"2"	"9"	"4"	"1"	"1"	"2"	"2"	"344"	""	""
"257"	"231"	"0"	"70"	"10"	"150"	"7"	"0"	"0"	"3"	"2"	"1"	"0"	"2"	"2"	"7"	"1"	"6"	"9"	"7"	"5"	"5"	"6"	"293"	""	""
"258"	"232"	"5"	"159"	"33"	"73"	"52"	"2"	"25"	"3"	"3"	"2"	"1"	"2"	"7"	"3"	"8"	"21"	"23"	"4"	"2"	"2"	"5"	"435"	""	""
"259"	"Total"	"2007"	"36660"	"5506"	"35086"	"9856"	"864"	"1721"	"849"	"1378"	"861"	"1337"	"2419"	"2617"	"1402"	"1467"	"2634"	"6793"	"1500"	"12063"	"1403"	"1263"	"129686"	""	""
"260"	"Postal Ballot"	"1"	"97"	"0"	"101"	"40"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"19"	"0"	"20"	"0"	"0"	"279"	""	""
"261"	"Grand Total"	"2008"	"36757"	"5506"	"35187"	"9896"	"864"	"1721"	"849"	"1378"	"861"	"1338"	"2419"	"2617"	"1402"	"1467"	"2634"	"6812"	"1500"	"12083"	"1403"	"1263"	"129965"	"0"	""
"262"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Date :- 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"93-Kurhani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
