"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"201"	"176"	"167"	"79"	"132"	"16"	"252"	"26"	"153"	"6"	"15"	"4"	"11"	"4"	"1"	"4"	"12"	"6"	"19"	"1"	"1"	"1"	"1"	"2"	"13"	"759"	"0"	"759"	"0"
"202"	"177"	"168"	"67"	"124"	"5"	"290"	"25"	"53"	"4"	"5"	"2"	"6"	"7"	"9"	"6"	"39"	"10"	"32"	"8"	"4"	"1"	"6"	"2"	"7"	"712"	"0"	"712"	"0"
"203"	"178"	"169"	"83"	"80"	"2"	"143"	"5"	"60"	"0"	"3"	"1"	"4"	"5"	"2"	"4"	"4"	"4"	"17"	"8"	"1"	"3"	"3"	"3"	"6"	"441"	"0"	"441"	"0"
"204"	"179"	"169A"	"57"	"111"	"10"	"177"	"10"	"58"	"4"	"8"	"1"	"8"	"1"	"0"	"2"	"6"	"1"	"17"	"4"	"2"	"0"	"4"	"2"	"10"	"493"	"0"	"493"	"0"
"205"	"180"	"170"	"279"	"58"	"3"	"81"	"12"	"296"	"8"	"1"	"4"	"10"	"5"	"13"	"6"	"2"	"6"	"58"	"16"	"3"	"1"	"2"	"2"	"7"	"873"	"0"	"873"	"0"
"206"	"181"	"171"	"53"	"74"	"2"	"3"	"2"	"177"	"1"	"2"	"0"	"0"	"4"	"0"	"5"	"1"	"1"	"32"	"0"	"1"	"0"	"0"	"0"	"0"	"358"	"0"	"358"	"0"
"207"	"182"	"172"	"54"	"146"	"7"	"42"	"14"	"245"	"3"	"2"	"5"	"3"	"4"	"3"	"3"	"8"	"7"	"8"	"5"	"6"	"3"	"0"	"2"	"4"	"574"	"0"	"574"	"0"
"208"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"210"	"183"	"173"	"175"	"108"	"2"	"11"	"3"	"243"	"7"	"0"	"2"	"1"	"2"	"0"	"4"	"8"	"1"	"4"	"3"	"0"	"0"	"1"	"1"	"0"	"576"	"0"	"576"	"0"
"211"	"184"	"174"	"31"	"125"	"8"	"284"	"33"	"139"	"5"	"5"	"3"	"16"	"6"	"9"	"7"	"23"	"9"	"11"	"75"	"12"	"4"	"2"	"5"	"8"	"820"	"0"	"820"	"0"
"212"	"185"	"175"	"190"	"77"	"7"	"204"	"25"	"98"	"4"	"3"	"3"	"7"	"1"	"0"	"3"	"7"	"4"	"59"	"28"	"5"	"3"	"14"	"4"	"5"	"751"	"0"	"751"	"0"
"213"	"186"	"176"	"178"	"45"	"3"	"26"	"8"	"107"	"2"	"2"	"1"	"13"	"6"	"0"	"4"	"11"	"9"	"112"	"13"	"1"	"1"	"1"	"0"	"0"	"543"	"0"	"543"	"0"
"214"	"187"	"177"	"40"	"21"	"3"	"182"	"17"	"119"	"1"	"3"	"2"	"5"	"2"	"0"	"2"	"2"	"2"	"21"	"7"	"3"	"2"	"1"	"0"	"1"	"436"	"0"	"436"	"0"
"215"	"188"	"177A"	"37"	"49"	"2"	"184"	"23"	"105"	"2"	"3"	"2"	"8"	"2"	"1"	"1"	"7"	"2"	"14"	"23"	"4"	"3"	"5"	"0"	"2"	"479"	"0"	"479"	"0"
"216"	"189"	"178"	"171"	"22"	"3"	"56"	"12"	"99"	"3"	"4"	"3"	"6"	"5"	"0"	"3"	"6"	"6"	"93"	"10"	"1"	"0"	"2"	"4"	"1"	"510"	"0"	"510"	"0"
"217"	"190"	"179"	"193"	"23"	"2"	"8"	"4"	"48"	"3"	"2"	"1"	"2"	"4"	"1"	"2"	"0"	"2"	"58"	"4"	"0"	"1"	"0"	"1"	"1"	"360"	"0"	"360"	"0"
"218"	"191"	"180"	"200"	"56"	"4"	"73"	"7"	"132"	"3"	"2"	"3"	"11"	"5"	"7"	"12"	"7"	"4"	"46"	"6"	"2"	"1"	"5"	"2"	"3"	"591"	"0"	"591"	"0"
"219"	"192"	"181"	"28"	"47"	"2"	"59"	"6"	"270"	"3"	"3"	"1"	"5"	"0"	"1"	"37"	"3"	"2"	"20"	"3"	"0"	"0"	"0"	"0"	"2"	"492"	"0"	"492"	"0"
"220"	"193"	"182"	"72"	"52"	"6"	"115"	"6"	"129"	"5"	"0"	"0"	"3"	"3"	"6"	"21"	"3"	"3"	"27"	"2"	"3"	"0"	"2"	"2"	"5"	"465"	"0"	"465"	"0"
"221"	"194"	"183"	"288"	"11"	"3"	"68"	"6"	"101"	"5"	"1"	"2"	"8"	"3"	"2"	"8"	"8"	"4"	"29"	"7"	"0"	"0"	"2"	"0"	"3"	"559"	"0"	"559"	"0"
"222"	"195"	"184"	"48"	"303"	"10"	"79"	"5"	"49"	"4"	"4"	"2"	"5"	"9"	"4"	"137"	"5"	"19"	"72"	"1"	"1"	"0"	"1"	"1"	"0"	"759"	"0"	"759"	"0"
"223"	"196"	"185"	"89"	"15"	"3"	"3"	"7"	"4"	"4"	"0"	"0"	"1"	"3"	"5"	"496"	"2"	"6"	"16"	"3"	"1"	"1"	"0"	"0"	"0"	"659"	"0"	"659"	"0"
"224"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"226"	"197"	"186"	"307"	"8"	"5"	"11"	"2"	"17"	"0"	"1"	"0"	"4"	"0"	"3"	"92"	"2"	"2"	"3"	"17"	"3"	"1"	"2"	"1"	"8"	"489"	"0"	"489"	"0"
"227"	"198"	"187"	"297"	"49"	"3"	"12"	"6"	"123"	"3"	"2"	"2"	"6"	"2"	"0"	"48"	"2"	"5"	"20"	"9"	"4"	"5"	"1"	"2"	"4"	"605"	"0"	"605"	"0"
"228"	"199"	"188"	"213"	"39"	"8"	"253"	"18"	"46"	"1"	"1"	"0"	"2"	"5"	"3"	"31"	"4"	"0"	"11"	"6"	"1"	"1"	"2"	"0"	"1"	"646"	"0"	"646"	"0"
"229"	"200"	"189"	"277"	"43"	"2"	"43"	"5"	"37"	"2"	"3"	"2"	"4"	"3"	"3"	"6"	"7"	"3"	"25"	"6"	"0"	"0"	"0"	"0"	"1"	"472"	"0"	"472"	"0"
"230"	"er nku dsUnzksa i j vfHkfyf[ kr  er ksa dh dqy  l a[ ; k"	""	"18167"	"13082"	"1391"	"38186"	"4983"	"19857"	"1058"	"563"	"575"	"###"	"1853"	"579"	"2750"	"1282"	"1048"	"7962"	"1411"	"616"	"377"	"828"	"866"	"1220"	"119911"	"0"	"119911"	"0"
"231"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k ¼l Hkk fuokZpu& {ks= l s fuokZpu dh n' kk"	""	"0"	"2"	"1"	"39"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"50"	"0"	"50"	"0"
"232"	"Mkys x,  dqy  er"	""	"18167"	"13084"	"1392"	"38225"	"4984"	"19858"	"1058"	"563"	"575"	"###"	"1853"	"579"	"2751"	"1282"	"1048"	"7967"	"1411"	"616"	"377"	"828"	"866"	"1220"	"119961"	"0"	"119961"	"0"
