"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…85 - Bahadurpur  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 226786"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"229"	"204"	"198"	"13"	"85"	"43"	"4"	"179"	"132"	"13"	"233"	"12"	"7"	"2"	"6"	"4"	"7"	"21"	"17"	"12"	""	"7"	"7"	"9"	"813"	"-"	"813"	""	""
"230"	"205"	"199"	"2"	"110"	"140"	"6"	"33"	"15"	"5"	"59"	"5"	"1"	"0"	"14"	"13"	"3"	"9"	"4"	"1"	""	"4"	"24"	"4"	"452"	"-"	"452"	""	""
"231"	"206"	"200"	"8"	"134"	"57"	"6"	"89"	"110"	"8"	"191"	"14"	"11"	"7"	"7"	"8"	"4"	"19"	"9"	"25"	""	"9"	"15"	"8"	"739"	"-"	"739"	""	""
"232"	"207"	"201"	"19"	"152"	"52"	"8"	"22"	"165"	"7"	"72"	"5"	"3"	"25"	"3"	"19"	"7"	"45"	"11"	"17"	""	"9"	"15"	"18"	"674"	"-"	"674"	""	""
"233"	"208"	"202"	"8"	"271"	"27"	"3"	"24"	"58"	"6"	"39"	"4"	"2"	"3"	"2"	"5"	"5"	"17"	"8"	"4"	""	"7"	"22"	"4"	"519"	"-"	"519"	""	""
"234"	"209"	"203"	"17"	"63"	"19"	"2"	"5"	"164"	"22"	"79"	"6"	"1"	"4"	"1"	"38"	"2"	"6"	"10"	"4"	""	"2"	"0"	"2"	"447"	"-"	"447"	""	""
"235"	"210"	"204"	"13"	"35"	"20"	"2"	"12"	"45"	"6"	"215"	"14"	"4"	"1"	"0"	"15"	"3"	"28"	"7"	"6"	""	"2"	"1"	"3"	"432"	"-"	"432"	""	""
"236"	"211"	"205"	"20"	"327"	"36"	"9"	"22"	"144"	"10"	"55"	"6"	"2"	"5"	"8"	"23"	"17"	"41"	"20"	"1"	""	"2"	"20"	"18"	"786"	"-"	"786"	""	""
"237"	"212"	"206"	"6"	"103"	"37"	"9"	"17"	"86"	"6"	"10"	"1"	"3"	"5"	"5"	"47"	"9"	"26"	"12"	"1"	""	"2"	"2"	"10"	"397"	"-"	"397"	""	""
"238"	"213"	"207"	"2"	"100"	"30"	"4"	"208"	"29"	"6"	"2"	"2"	"2"	"2"	"5"	"3"	"2"	"8"	"2"	"1"	""	"2"	"1"	"5"	"416"	"-"	"416"	""	""
"239"	"214"	"208"	"2"	"158"	"17"	"5"	"211"	"53"	"1"	"5"	"4"	"0"	"11"	"9"	"4"	"6"	"17"	"12"	"0"	""	"5"	"2"	"6"	"528"	"-"	"528"	""	""
"240"	"215"	"209"	"19"	"129"	"12"	"6"	"33"	"98"	"4"	"6"	"6"	"9"	"4"	"6"	"10"	"5"	"8"	"5"	"8"	""	"5"	"6"	"101"	"480"	"-"	"480"	""	""
"241"	"216"	"210"	"7"	"138"	"15"	"2"	"35"	"57"	"7"	"16"	"5"	"2"	"5"	"2"	"14"	"11"	"24"	"13"	"9"	""	"14"	"14"	"61"	"451"	"-"	"451"	""	""
"242"	"217"	"211"	"6"	"19"	"30"	"1"	"4"	"8"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	""	"5"	"0"	"279"	"358"	"-"	"358"	""	""
"243"	"218"	"212"	"1"	"21"	"27"	"0"	"2"	"35"	"2"	"2"	"0"	"0"	"0"	"5"	"2"	"1"	"0"	"2"	"0"	""	"0"	"6"	"370"	"476"	"-"	"476"	""	""
"244"	"219"	"213"	"23"	"312"	"50"	"8"	"19"	"68"	"17"	"92"	"7"	"4"	"6"	"12"	"36"	"13"	"36"	"10"	"16"	""	"9"	"12"	"5"	"755"	"-"	"755"	""	""
"245"	"220"	"214"	"9"	"126"	"42"	"2"	"19"	"74"	"13"	"124"	"18"	"6"	"1"	"14"	"53"	"15"	"28"	"24"	"1"	""	"6"	"5"	"6"	"586"	"-"	"586"	""	""
"246"	"221"	"215"	"11"	"12"	"2"	"5"	"33"	"76"	"4"	"7"	"3"	"2"	"2"	"17"	"332"	"5"	"5"	"10"	"2"	""	"1"	"4"	"3"	"536"	"-"	"536"	""	""
"247"	"222"	"215A"	"4"	"42"	"3"	"1"	"108"	"79"	"2"	"6"	"3"	"0"	"1"	"5"	"129"	"4"	"6"	"7"	"1"	""	"2"	"1"	"3"	"407"	"-"	"407"	""	""
"248"	"223"	"216"	"4"	"196"	"4"	"3"	"130"	"20"	"4"	"5"	"3"	"1"	"0"	"2"	"38"	"7"	"21"	"3"	"8"	""	"12"	"72"	"16"	"549"	"-"	"549"	""	""
"249"	"224"	"217"	"3"	"265"	"8"	"0"	"39"	"63"	"7"	"5"	"2"	"1"	"6"	"8"	"76"	"9"	"18"	"10"	"7"	""	"14"	"69"	"13"	"623"	"-"	"623"	""	""
"250"	"225"	"218"	"16"	"18"	"18"	"5"	"127"	"148"	"8"	"2"	"4"	"2"	"4"	"5"	"53"	"2"	"7"	"13"	"5"	""	"4"	"3"	"10"	"454"	"-"	"454"	""	""
"251"	"226"	"219"	"4"	"70"	"29"	"5"	"74"	"31"	"3"	"4"	"5"	"3"	"5"	"15"	"14"	"14"	"24"	"25"	"5"	""	"6"	"2"	"9"	"347"	"-"	"347"	""	""
"252"	"227"	"220"	"16"	"15"	"145"	"15"	"26"	"186"	"9"	"13"	"1"	"1"	"7"	"6"	"72"	"3"	"2"	"14"	"6"	""	"0"	"4"	"5"	"546"	"-"	"546"	""	""
"253"	"228"	"221"	"5"	"2"	"28"	"4"	"17"	"151"	"11"	"25"	"6"	"6"	"3"	"4"	"25"	"3"	"2"	"10"	"4"	""	"2"	"1"	"2"	"311"	"-"	"311"	""	""
"254"	"229"	"222"	"27"	"77"	"29"	"8"	"20"	"81"	"6"	"21"	"6"	"2"	"4"	"3"	"31"	"10"	"39"	"14"	"9"	""	"6"	"60"	"10"	"463"	"-"	"463"	""	""
"255"	"230"	"223"	"19"	"85"	"26"	"14"	"35"	"105"	"10"	"109"	"14"	"2"	"3"	"7"	"40"	"3"	"10"	"11"	"7"	""	"10"	"7"	"10"	"527"	"-"	"527"	""	""
"256"	"231"	"224"	"9"	"266"	"41"	"2"	"13"	"77"	"11"	"12"	"1"	"3"	"14"	"7"	"14"	"13"	"47"	"34"	"8"	""	"4"	"21"	"7"	"604"	"-"	"604"	""	""
"257"	"232"	"225"	"1"	"76"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"14"	"4"	"4"	""	"3"	"3"	"0"	"114"	"-"	"114"	""	""
"258"	"233"	"226"	"1"	"88"	"271"	"11"	"18"	"10"	"4"	"5"	"2"	"4"	"1"	"11"	"5"	"7"	"5"	"7"	"4"	""	"7"	"47"	"10"	"518"	"-"	"518"	""	""
"259"	"234"	"227"	"5"	"41"	"198"	"7"	"11"	"11"	"2"	"4"	"3"	"2"	"1"	"5"	"10"	"7"	"7"	"5"	"0"	""	"3"	"82"	"4"	"408"	"-"	"408"	""	""
"260"	"235"	"228"	"31"	"203"	"30"	"10"	"25"	"100"	"6"	"52"	"6"	"7"	"3"	"1"	"5"	"4"	"63"	"7"	"19"	""	"22"	"16"	"12"	"622"	"-"	"622"	""	""
"261"	"236"	"229"	"5"	"138"	"79"	"2"	"31"	"29"	"5"	"15"	"3"	"5"	"2"	"0"	"7"	"6"	"33"	"17"	"1"	""	"3"	"19"	"4"	"404"	"-"	"404"	""	""
"262"	"237"	"230"	"8"	"121"	"99"	"1"	"21"	"4"	"2"	"51"	"4"	"1"	"0"	"4"	"1"	"4"	"6"	"3"	"0"	""	"4"	"38"	"4"	"376"	"-"	"376"	""	""
"263"	"238"	"231"	"9"	"114"	"123"	"6"	"5"	"11"	"5"	"153"	"22"	"9"	"1"	"9"	"14"	"12"	"29"	"19"	"7"	""	"2"	"19"	"3"	"572"	"-"	"572"	""	""
"264"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"265"	""	""	"Md. Farman"	"Madan    Sahni"	"Mu rari  Mohan Jha"	"Rambabu Paswan"	"Shyam    Bharti"	"Harinandan Yadav"	"Zeyaul Hassan"	"Baijnath  Yadav"	"Mustafa"	"Umesh    Yadav"	"Md. Kuddus Mansu r i"	"Dilip  Ku mar Jha"	"Devendra Ku mar  Azad"	"Manoj  Singh Yadav"	"Ram  Prawesh Paswan"	"Ramsajiwan Yadav"	"Md. Rizwan"	""	"Lakshmi  Giri"	"Binay Ku mar Choudhari"	"Su rendra Singh"	""	""	""	""	""
"266"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	"24"	"25"	"26"	""
"267"	"239"	"232"	"21"	"134"	"43"	"3"	"25"	"36"	"5"	"46"	"4"	"1"	"2"	"14"	"3"	"7"	"27"	"10"	"12"	""	"7"	"20"	"50"	"470"	"-"	"470"	""	""
"268"	"240"	"233"	"3"	"75"	"24"	"4"	"12"	"64"	"2"	"78"	"9"	"1"	"1"	"0"	"4"	"4"	"19"	"6"	"5"	""	"2"	"4"	"61"	"378"	"-"	"378"	""	""
"269"	"241"	"234"	"12"	"91"	"17"	"7"	"16"	"43"	"5"	"112"	"16"	"8"	"7"	"10"	"16"	"6"	"22"	"34"	"8"	""	"3"	"24"	"72"	"529"	"-"	"529"	""	""
"270"	"242"	"235"	"10"	"176"	"26"	"8"	"21"	"87"	"7"	"10"	"6"	"9"	"10"	"35"	"17"	"12"	"53"	"21"	"12"	""	"10"	"44"	"72"	"646"	"-"	"646"	""	""
"271"	"243"	"236"	"4"	"97"	"39"	"0"	"14"	"22"	"1"	"2"	"1"	"12"	"2"	"59"	"12"	"4"	"14"	"2"	"6"	""	"6"	"38"	"78"	"413"	"-"	"413"	""	""
"272"	"244"	"237"	"9"	"99"	"13"	"5"	"10"	"60"	"9"	"9"	"4"	"1"	"10"	"14"	"13"	"5"	"15"	"29"	"7"	""	"17"	"9"	"145"	"483"	"-"	"483"	""	""
"273"	"Total No. of votes recording at
polling Stat ions"	""	"2272"	"27320"	"12442"	"1179"	"5325"	"26675"	"2963"	"6889"	"907"	"1033"	"953"	"1513"	"2806"	"1309"	"6266"	"2558"	"2616"	""	"1303"	"6396"	"2785"	"115510"	"-"	"115510"	""	""
"274"	"No. of votes recorded on postal ballot papers (To be
elect ion  from  an assembly
const ituency)"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"-"	"0"	""	""
"275"	"Total Votes polled"	""	"2272"	"27320"	"12442"	"1179"	"5325"	"26675"	"2963"	"6889"	"907"	"1033"	"953"	"1513"	"2806"	"1309"	"6266"	"2558"	"2616"	""	"1303"	"6396"	"2785"	"115510"	"-"	"115510"	""	""
"276"	"Place :    DARBHANGA"	""	""	""	""	""	"Assistant  Ret urning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	"Ret urning Officer"	""	""	""	""	""	""	""	""
"277"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	"85  - Bahadurpur"	""	""	""	""	""	""	""	""	""	""	""	""	"85  - Bahadurpur"	""	""	""	""	""	""	""	""
