"Total.No..of.Electors.in.Assembly.Constituency........199458"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"09- Sikta Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"268"	"146"	"26"	"3"	"297"	"69"	"1"	"2"	"12"	"2"	"2"	"3"	"13"	"11"	"27"	"267"	"16"	"15"	"9"	"4"	"779"	"0"	"779"	"0"	""
"269"	"147"	"3"	"7"	"324"	"18"	"1"	"4"	"22"	"1"	"2"	"3"	"4"	"3"	"5"	"196"	"2"	"3"	"4"	"2"	"604"	"0"	"604"	"0"	""
"270"	"148"	"1"	"1"	"85"	"5"	"4"	"8"	"170"	"9"	"1"	"6"	"7"	"7"	"13"	"214"	"6"	"17"	"6"	"2"	"562"	"0"	"562"	"0"	""
"271"	"Total"	"116"	"45"	"3121"	"544"	"91"	"58"	"310"	"37"	"25"	"41"	"69"	"71"	"258"	"3704"	"83"	"110"	"54"	"38"	"8775"	"0"	"8775"	"0"	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"09- Sikta Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"282"	"149"	"6"	"3"	"155"	"44"	"2"	"0"	"6"	"0"	"3"	"1"	"1"	"3"	"7"	"100"	"7"	"3"	"1"	"0"	"342"	"0"	"342"	"0"	""
"283"	"150"	"7"	"1"	"361"	"24"	"4"	"5"	"85"	"3"	"2"	"7"	"5"	"4"	"22"	"113"	"4"	"5"	"2"	"4"	"658"	"0"	"658"	"0"	""
"284"	"151"	"9"	"3"	"152"	"22"	"6"	"3"	"9"	"3"	"4"	"2"	"6"	"6"	"34"	"98"	"8"	"19"	"121"	"7"	"512"	"0"	"512"	"0"	""
"285"	"152"	"8"	"7"	"40"	"44"	"1"	"4"	"29"	"3"	"3"	"7"	"3"	"9"	"29"	"196"	"50"	"56"	"152"	"13"	"654"	"0"	"654"	"0"	""
"286"	"153"	"2"	"3"	"306"	"46"	"5"	"7"	"17"	"4"	"2"	"7"	"5"	"5"	"11"	"377"	"15"	"12"	"1"	"3"	"828"	"0"	"828"	"0"	""
"287"	"154"	"11"	"1"	"263"	"36"	"5"	"4"	"6"	"4"	"14"	"5"	"6"	"9"	"18"	"302"	"11"	"4"	"16"	"8"	"723"	"0"	"723"	"0"	""
"288"	"155"	"25"	"10"	"210"	"9"	"55"	"9"	"18"	"5"	"13"	"10"	"12"	"11"	"27"	"181"	"8"	"23"	"4"	"5"	"635"	"0"	"635"	"0"	""
"289"	"156"	"4"	"1"	"166"	"26"	"3"	"4"	"15"	"0"	"0"	"5"	"2"	"2"	"21"	"200"	"24"	"6"	"6"	"4"	"489"	"0"	"489"	"0"	""
"290"	"157"	"3"	"2"	"215"	"88"	"4"	"6"	"5"	"1"	"0"	"1"	"10"	"10"	"27"	"107"	"20"	"18"	"5"	"4"	"526"	"0"	"526"	"0"	""
"291"	"158"	"2"	"2"	"378"	"60"	"5"	"7"	"7"	"3"	"1"	"4"	"4"	"2"	"19"	"139"	"11"	"38"	"6"	"3"	"691"	"0"	"691"	"0"	""
"292"	"159"	"4"	"3"	"228"	"82"	"8"	"9"	"8"	"4"	"0"	"10"	"7"	"2"	"26"	"142"	"10"	"2"	"1"	"1"	"547"	"0"	"547"	"0"	""
"293"	"160"	"10"	"6"	"331"	"104"	"9"	"9"	"11"	"6"	"4"	"5"	"17"	"22"	"85"	"140"	"25"	"33"	"12"	"16"	"845"	"0"	"845"	"0"	""
"294"	"161"	"2"	"0"	"81"	"23"	"3"	"5"	"72"	"11"	"6"	"11"	"8"	"10"	"90"	"225"	"11"	"21"	"1"	"3"	"583"	"0"	"583"	"0"	""
"295"	"162"	"2"	"0"	"205"	"20"	"6"	"0"	"37"	"4"	"3"	"1"	"3"	"3"	"72"	"88"	"1"	"5"	"1"	"0"	"451"	"0"	"451"	"0"	""
"296"	"Total"	"95"	"42"	"3091"	"628"	"116"	"72"	"325"	"51"	"55"	"76"	"89"	"98"	"488"	"2408"	"205"	"245"	"329"	"71"	"8484"	"0"	"8484"	"0"	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"09- Sikta Legislative Assembly Constituency (Round - 13)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"307"	"163"	"2"	"4"	"262"	"2"	"4"	"1"	"52"	"4"	"0"	"1"	"3"	"3"	"21"	"47"	"0"	"5"	"0"	"1"	"412"	"0"	"412"	"0"	""
"308"	"164"	"7"	"6"	"372"	"16"	"9"	"2"	"6"	"2"	"9"	"1"	"4"	"4"	"5"	"81"	"11"	"8"	"3"	"11"	"557"	"0"	"557"	"0"	""
"309"	"165"	"15"	"8"	"502"	"42"	"16"	"23"	"5"	"1"	"6"	"2"	"1"	"4"	"8"	"69"	"1"	"5"	"3"	"4"	"715"	"0"	"715"	"0"	""
"310"	"166"	"6"	"7"	"340"	"21"	"3"	"0"	"6"	"3"	"5"	"5"	"8"	"7"	"14"	"314"	"7"	"10"	"4"	"8"	"768"	"0"	"768"	"0"	""
"311"	"167"	"4"	"3"	"118"	"5"	"2"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"2"	"319"	"0"	"1"	"2"	"0"	"474"	"0"	"474"	"0"	""
"312"	"168"	"7"	"3"	"63"	"35"	"3"	"6"	"119"	"8"	"4"	"4"	"5"	"4"	"14"	"95"	"11"	"7"	"2"	"1"	"391"	"0"	"391"	"0"	""
"313"	"169"	"9"	"3"	"117"	"13"	"3"	"1"	"14"	"1"	"3"	"5"	"2"	"0"	"8"	"259"	"3"	"4"	"7"	"5"	"457"	"0"	"457"	"0"	""
"314"	"170"	"5"	"0"	"16"	"8"	"1"	"1"	"190"	"7"	"3"	"2"	"2"	"1"	"3"	"205"	"2"	"1"	"4"	"3"	"454"	"0"	"454"	"0"	""
"315"	"171"	"4"	"1"	"331"	"37"	"18"	"1"	"4"	"0"	"10"	"3"	"1"	"2"	"2"	"40"	"0"	"0"	"0"	"4"	"458"	"0"	"458"	"0"	""
"316"	"172"	"8"	"0"	"50"	"3"	"1"	"3"	"3"	"13"	"1"	"116"	"5"	"1"	"10"	"377"	"1"	"1"	"0"	"1"	"594"	"0"	"594"	"0"	""
"317"	"173"	"6"	"1"	"345"	"28"	"4"	"4"	"20"	"0"	"20"	"2"	"5"	"4"	"13"	"222"	"5"	"3"	"3"	"3"	"688"	"0"	"688"	"0"	""
"318"	"174"	"4"	"1"	"123"	"18"	"4"	"5"	"182"	"9"	"6"	"12"	"6"	"4"	"14"	"205"	"5"	"20"	"0"	"1"	"619"	"0"	"619"	"0"	""
"319"	"175"	"8"	"6"	"377"	"84"	"9"	"3"	"46"	"4"	"4"	"5"	"4"	"3"	"11"	"263"	"3"	"2"	"8"	"2"	"842"	"0"	"842"	"0"	""
"320"	"176"	"6"	"1"	"238"	"5"	"7"	"2"	"16"	"2"	"15"	"1"	"1"	"0"	"15"	"113"	"1"	"1"	"0"	"0"	"424"	"0"	"424"	"0"	""
"321"	"Total"	"91"	"44"	"3254"	"317"	"84"	"53"	"680"	"54"	"86"	"159"	"47"	"37"	"140"	"2609"	"50"	"68"	"36"	"44"	"7853"	"0"	"7853"	"0"	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"09- Sikta Legislative Assembly Constituency (Round - 14)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"331"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"332"	"177"	"0"	"1"	"182"	"21"	"307"	"5"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"37"	"0"	"3"	"0"	"0"	"562"	"0"	"562"	"0"	""
"333"	"178"	"1"	"2"	"91"	"4"	"365"	"1"	"0"	"1"	"5"	"0"	"0"	"1"	"2"	"37"	"1"	"2"	"0"	"0"	"513"	"0"	"513"	"0"	""
"334"	"179"	"5"	"3"	"98"	"17"	"461"	"12"	"9"	"1"	"4"	"2"	"5"	"7"	"5"	"63"	"2"	"1"	"2"	"1"	"698"	"0"	"698"	"0"	""
"335"	"180"	"4"	"5"	"204"	"28"	"62"	"6"	"14"	"5"	"154"	"3"	"4"	"4"	"10"	"103"	"2"	"3"	"0"	"10"	"621"	"0"	"621"	"0"	""
"336"	"181"	"6"	"5"	"56"	"10"	"1"	"7"	"261"	"8"	"314"	"7"	"3"	"4"	"2"	"35"	"2"	"3"	"6"	"7"	"737"	"0"	"737"	"0"	""
"337"	"182"	"0"	"2"	"36"	"2"	"3"	"1"	"245"	"4"	"162"	"1"	"0"	"0"	"7"	"26"	"2"	"0"	"6"	"7"	"504"	"0"	"504"	"0"	""
"338"	"183"	"5"	"5"	"132"	"66"	"9"	"4"	"25"	"3"	"4"	"6"	"2"	"6"	"75"	"489"	"5"	"11"	"3"	"3"	"853"	"0"	"853"	"0"	""
"339"	"184"	"0"	"0"	"44"	"46"	"4"	"1"	"3"	"0"	"0"	"3"	"0"	"4"	"20"	"328"	"22"	"7"	"0"	"0"	"482"	"0"	"482"	"0"	""
"340"	"185"	"1"	"2"	"54"	"100"	"5"	"1"	"19"	"1"	"2"	"1"	"4"	"1"	"36"	"353"	"11"	"5"	"4"	"3"	"603"	"0"	"603"	"0"	""
"341"	"186"	"9"	"1"	"72"	"167"	"5"	"5"	"18"	"1"	"0"	"7"	"2"	"9"	"22"	"316"	"15"	"3"	"5"	"4"	"661"	"0"	"661"	"0"	""
"342"	"187"	"27"	"2"	"205"	"114"	"9"	"3"	"15"	"4"	"55"	"1"	"3"	"2"	"11"	"106"	"3"	"7"	"2"	"1"	"570"	"0"	"570"	"0"	""
"343"	"188"	"14"	"3"	"341"	"30"	"3"	"5"	"19"	"0"	"2"	"0"	"2"	"2"	"9"	"308"	"1"	"5"	"3"	"2"	"749"	"0"	"749"	"0"	""
"344"	"189"	"3"	"4"	"253"	"13"	"3"	"4"	"9"	"0"	"1"	"0"	"2"	"2"	"14"	"147"	"1"	"5"	"2"	"3"	"466"	"0"	"466"	"0"	""
"345"	"190"	"2"	"1"	"167"	"46"	"3"	"1"	"23"	"1"	"6"	"2"	"2"	"10"	"28"	"247"	"8"	"4"	"0"	"8"	"559"	"0"	"559"	"0"	""
"346"	"Total"	"77"	"36"	"1935"	"664"	"1240"	"56"	"662"	"29"	"709"	"34"	"30"	"53"	"242"	"2595"	"75"	"59"	"33"	"49"	"8578"	"0"	"8578"	"0"	""
"347"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"09- Sikta Legislative Assembly Constituency (Round - 15)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"356"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"357"	"191"	"11"	"5"	"264"	"36"	"5"	"4"	"2"	"3"	"5"	"0"	"1"	"4"	"5"	"81"	"3"	"3"	"4"	"4"	"440"	"0"	"440"	"0"	""
"358"	"192"	"2"	"2"	"222"	"91"	"6"	"1"	"11"	"1"	"2"	"2"	"1"	"3"	"9"	"145"	"3"	"4"	"0"	"4"	"509"	"0"	"509"	"0"	""
"359"	"193"	"7"	"5"	"146"	"46"	"5"	"6"	"9"	"3"	"1"	"0"	"1"	"0"	"4"	"125"	"4"	"1"	"7"	"2"	"372"	"0"	"372"	"0"	""
"360"	"194"	"1"	"0"	"206"	"88"	"4"	"3"	"36"	"3"	"0"	"6"	"4"	"4"	"26"	"279"	"10"	"13"	"5"	"4"	"692"	"0"	"692"	"0"	""
"361"	"195"	"3"	"1"	"59"	"142"	"16"	"3"	"49"	"5"	"4"	"2"	"3"	"16"	"46"	"195"	"15"	"21"	"4"	"11"	"595"	"0"	"595"	"0"	""
"362"	"196"	"4"	"1"	"125"	"53"	"1"	"1"	"4"	"1"	"0"	"2"	"2"	"1"	"10"	"156"	"2"	"5"	"2"	"2"	"372"	"0"	"372"	"0"	""
"363"	"197"	"3"	"2"	"185"	"97"	"3"	"7"	"85"	"5"	"5"	"9"	"7"	"10"	"21"	"150"	"13"	"9"	"2"	"7"	"620"	"0"	"620"	"0"	""
"364"	"198"	"1"	"0"	"17"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"180"	"1"	"0"	"5"	"0"	"214"	"0"	"214"	"0"	""
"365"	"199"	"4"	"2"	"306"	"13"	"7"	"3"	"71"	"2"	"4"	"6"	"1"	"2"	"77"	"254"	"4"	"1"	"2"	"2"	"761"	"0"	"761"	"0"	""
"366"	"200"	"3"	"1"	"215"	"34"	"20"	"11"	"75"	"4"	"7"	"8"	"6"	"8"	"71"	"345"	"14"	"20"	"0"	"1"	"843"	"0"	"843"	"0"	""
"367"	"201"	"0"	"2"	"42"	"11"	"6"	"6"	"98"	"4"	"5"	"8"	"5"	"4"	"22"	"148"	"6"	"15"	"1"	"2"	"385"	"0"	"385"	"0"	""
"368"	"202"	"12"	"6"	"158"	"40"	"9"	"6"	"112"	"8"	"3"	"7"	"8"	"7"	"41"	"165"	"2"	"5"	"0"	"2"	"591"	"0"	"591"	"0"	""
"369"	"203"	"4"	"2"	"178"	"42"	"5"	"10"	"63"	"9"	"6"	"5"	"15"	"9"	"92"	"243"	"9"	"27"	"2"	"5"	"726"	"0"	"726"	"0"	""
"370"	"204"	"9"	"3"	"116"	"40"	"15"	"13"	"105"	"15"	"10"	"7"	"9"	"20"	"296"	"89"	"14"	"9"	"4"	"3"	"777"	"0"	"777"	"0"	""
"371"	"Total"	"64"	"32"	"2239"	"737"	"102"	"74"	"721"	"63"	"53"	"62"	"63"	"89"	"723"	"2555"	"100"	"133"	"38"	"49"	"7897"	"0"	"7897"	"0"	""
"372"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"09- Sikta Legislative Assembly Constituency (Round - 16)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"381"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"382"	"205"	"6"	"2"	"256"	"64"	"4"	"5"	"101"	"4"	"4"	"3"	"6"	"4"	"18"	"216"	"3"	"8"	"1"	"2"	"707"	"0"	"707"	"0"	""
"383"	"206"	"10"	"2"	"379"	"7"	"3"	"4"	"8"	"4"	"0"	"5"	"6"	"8"	"10"	"167"	"2"	"3"	"4"	"4"	"626"	"0"	"626"	"0"	""
"384"	"207"	"6"	"4"	"200"	"22"	"1"	"0"	"36"	"1"	"3"	"5"	"0"	"3"	"8"	"46"	"2"	"5"	"1"	"3"	"346"	"0"	"346"	"0"	""
"385"	"207 A"	"8"	"10"	"147"	"84"	"12"	"12"	"78"	"9"	"8"	"4"	"3"	"5"	"24"	"59"	"3"	"3"	"0"	"1"	"470"	"0"	"470"	"0"	""
"386"	"208"	"3"	"2"	"99"	"22"	"4"	"1"	"7"	"1"	"1"	"2"	"0"	"3"	"82"	"182"	"8"	"4"	"0"	"5"	"426"	"0"	"426"	"0"	""
"387"	"209"	"6"	"1"	"201"	"72"	"4"	"30"	"2"	"3"	"3"	"0"	"3"	"2"	"14"	"160"	"5"	"9"	"4"	"4"	"523"	"0"	"523"	"0"	""
"388"	"210"	"4"	"5"	"456"	"16"	"9"	"5"	"19"	"3"	"6"	"2"	"5"	"4"	"18"	"282"	"2"	"7"	"1"	"3"	"847"	"0"	"847"	"0"	""
"389"	"Total"	"43"	"26"	"1738"	"287"	"37"	"57"	"251"	"25"	"25"	"21"	"23"	"29"	"174"	"1112"	"25"	"39"	"11"	"22"	"3945"	"0"	"3945"	"0"	""
"390"	"Postal
Ballot"	"3"	"0"	"47"	"17"	"11"	"1"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"112"	"0"	"0"	"0"	"0"	"197"	"5"	"202"	"0"	""
"391"	"Grand
Total"	"1254"	"648"	"40450"	"8779"	"3187"	"833"	"5921"	"591"	"1386"	"755"	"819"	"826"	"5010"	"49229"	"2018"	"1610"	"853"	"779"	"124948"	"5"	"124953"	"0"	""
"392"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
