"Assembly.Constituency...116.TARAIYA"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 116 TARAIYA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of Voters : 213504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"271"	"208"	""	"11"	"126"	"15"	"8"	"45"	"3"	"0"	"1"	"6"	"0"	"3"	"96"	"3"	"4"	"5"	"326"	"-----"	"326"	"-----"
"272"	"209"	"A"	"6"	"96"	"11"	"11"	"100"	"4"	"3"	"0"	"1"	"3"	"5"	"103"	"10"	"8"	"9"	"370"	"-----"	"370"	"-----"
"273"	"209"	""	"12"	"68"	"25"	"12"	"35"	"2"	"2"	"0"	"3"	"2"	"3"	"188"	"6"	"5"	"16"	"379"	"-----"	"379"	"-----"
"274"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"275"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"276"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"277"	"210"	""	"17"	"174"	"47"	"16"	"85"	"6"	"6"	"7"	"9"	"4"	"16"	"107"	"27"	"33"	"16"	"570"	"-----"	"570"	"-----"
"278"	"211"	""	"11"	"130"	"51"	"10"	"43"	"1"	"2"	"3"	"3"	"0"	"0"	"23"	"1"	"1"	"2"	"281"	"-----"	"281"	"-----"
"279"	"212"	""	"6"	"165"	"26"	"18"	"45"	"7"	"3"	"3"	"1"	"3"	"6"	"16"	"3"	"11"	"3"	"316"	"-----"	"316"	"-----"
"280"	"213"	""	"4"	"134"	"27"	"12"	"92"	"4"	"0"	"1"	"1"	"4"	"5"	"99"	"3"	"5"	"5"	"396"	"-----"	"396"	"-----"
"281"	"214"	""	"2"	"132"	"31"	"6"	"37"	"1"	"1"	"2"	"0"	"0"	"8"	"154"	"12"	"10"	"11"	"407"	"-----"	"407"	"-----"
"282"	"215"	""	"4"	"220"	"48"	"12"	"66"	"4"	"1"	"0"	"5"	"4"	"5"	"97"	"7"	"18"	"13"	"504"	"-----"	"504"	"-----"
"283"	"216"	""	"9"	"255"	"66"	"8"	"73"	"6"	"1"	"4"	"4"	"4"	"3"	"124"	"18"	"17"	"30"	"622"	"-----"	"622"	"-----"
"284"	"217"	""	"26"	"202"	"169"	"13"	"46"	"2"	"4"	"6"	"2"	"6"	"9"	"50"	"26"	"12"	"30"	"603"	"-----"	"603"	"-----"
"285"	"218"	""	"22"	"319"	"72"	"10"	"59"	"3"	"2"	"7"	"18"	"4"	"2"	"23"	"13"	"5"	"11"	"570"	"-----"	"570"	"-----"
"286"	"Round 16"	""	"155"	"2386"	"674"	"158"	"798"	"47"	"30"	"38"	"65"	"42"	"75"	"1299"	"151"	"159"	"182"	"6259"	"-----"	"6259"	"-----"
"287"	"Cumulative Votes
after 16th Round"	""	"3231"	"26160"	"19445"	"4589"	"13187"	"954"	"751"	"1547"	"723"	"1097"	"1303"	"16231"	"3535"	"2334"	"3245"	"98332"	"-----"	"98332"	"-----"
"288"	"219"	""	"14"	"160"	"62"	"12"	"33"	"6"	"3"	"4"	"59"	"5"	"5"	"5"	"5"	"8"	"6"	"387"	"-----"	"387"	"-----"
"289"	"220"	""	"13"	"173"	"31"	"6"	"13"	"4"	"4"	"3"	"41"	"2"	"0"	"3"	"2"	"4"	"3"	"302"	"-----"	"302"	"-----"
"290"	"221"	""	"18"	"35"	"28"	"9"	"36"	"4"	"35"	"16"	"335"	"11"	"4"	"38"	"0"	"3"	"8"	"580"	"-----"	"580"	"-----"
"291"	"222"	""	"2"	"3"	"1"	"4"	"77"	"2"	"9"	"9"	"128"	"9"	"1"	"34"	"12"	"4"	"15"	"310"	"-----"	"310"	"-----"
"292"	"Round 17"	""	"47"	"371"	"122"	"31"	"159"	"16"	"51"	"32"	"563"	"27"	"10"	"80"	"19"	"19"	"32"	"1579"	"-----"	"1579"	"-----"
"293"	"Cumulative Votes
after 17th Round"	""	"3278"	"26531"	"19567"	"4620"	"13346"	"970"	"802"	"1579"	"1286"	"1124"	"1313"	"16311"	"3554"	"2353"	"3277"	"99911"	"-----"	"99911"	"-----"
"294"	"Total"	""	"3278"	"26531"	"19567"	"4620"	"13346"	"970"	"802"	"1579"	"1286"	"1124"	"1313"	"16311"	"3554"	"2353"	"3277"	"99911"	"-----"	"99911"	"-----"
"295"	"Postal Ballot"	""	"2"	"69"	"63"	"8"	"22"	"0"	"1"	"1"	"0"	"0"	"0"	"27"	"0"	"0"	"0"	"193"	"98"	"291"	"-----"
"296"	"Grand Total"	""	"3280"	"26600"	"19630"	"4628"	"13368"	"970"	"803"	"1580"	"1286"	"1124"	"1313"	"16338"	"3554"	"2353"	"3277"	"100104"	"98"	"100202"	"-----"
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"116 Taraiya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
