"Serial.No..of.Polling"	"X."	"No..of.Valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"Total.No..of.Valid.Votes"	"Total"	"No..of.Rejected.Votes"	"No..of.Tendered.votes"
"245"	"210"	"209"	"7"	"4"	"1"	"0"	"202"	"1"	"2"	"1"	"1"	"1"	"1"	"6"	"0"	"0"	"1"	"1"	"2"	"60"	"0"	"291"	"291"	""	""
"246"	"211"	"210"	"13"	"9"	"0"	"3"	"360"	"1"	"2"	"0"	"0"	"0"	"3"	"6"	"1"	"0"	"1"	"10"	"1"	"62"	"1"	"473"	"473"	""	""
"247"	"212"	"211"	"4"	"9"	"1"	"1"	"199"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"1"	"0"	"1"	"1"	"54"	"0"	"280"	"280"	""	""
"248"	"213"	"212"	"13"	"63"	"2"	"2"	"424"	"4"	"1"	"2"	"1"	"1"	"3"	"4"	"2"	"3"	"1"	"2"	"3"	"44"	"6"	"581"	"581"	""	""
"249"	"214"	"213"	"22"	"214"	"7"	"0"	"281"	"1"	"7"	"2"	"6"	"3"	"2"	"3"	"1"	"1"	"11"	"4"	"11"	"50"	"6"	"632"	"632"	""	""
"250"	"215"	"214"	"12"	"110"	"1"	"2"	"345"	"1"	"2"	"1"	"3"	"5"	"0"	"5"	"2"	"0"	"4"	"4"	"1"	"58"	"1"	"557"	"557"	""	""
"251"	"216"	"215"	"6"	"30"	"1"	"0"	"228"	"2"	"3"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"32"	"0"	"306"	"306"	""	""
"252"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"253"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"254"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"255"	"217"	"216"	"2"	"46"	"1"	"2"	"177"	"3"	"0"	"0"	"1"	"2"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"50"	"0"	"289"	"289"	""	""
"256"	"218"	"217"	"33"	"139"	"7"	"0"	"365"	"2"	"0"	"2"	"2"	"3"	"2"	"2"	"2"	"3"	"6"	"7"	"4"	"45"	"3"	"627"	"627"	""	""
"257"	"219"	"218"	"25"	"137"	"4"	"2"	"361"	"2"	"0"	"3"	"2"	"2"	"2"	"9"	"0"	"0"	"5"	"10"	"2"	"44"	"0"	"610"	"610"	""	""
"258"	"220"	"219"	"13"	"144"	"2"	"2"	"226"	"6"	"6"	"4"	"10"	"2"	"4"	"5"	"5"	"2"	"15"	"11"	"7"	"28"	"1"	"493"	"493"	""	""
"259"	"221"	"220"	"9"	"31"	"3"	"1"	"284"	"2"	"1"	"0"	"5"	"2"	"3"	"3"	"0"	"1"	"1"	"3"	"1"	"18"	"1"	"369"	"369"	""	""
"260"	"222"	"221"	"15"	"263"	"2"	"0"	"292"	"1"	"1"	"2"	"1"	"1"	"1"	"0"	"3"	"2"	"7"	"1"	"1"	"20"	"3"	"616"	"616"	""	""
"261"	"223"	"222"	"23"	"60"	"7"	"2"	"428"	"3"	"1"	"2"	"3"	"4"	"6"	"11"	"2"	"4"	"3"	"25"	"4"	"15"	"3"	"606"	"606"	""	""
"262"	"224"	"223"	"22"	"33"	"5"	"6"	"474"	"4"	"2"	"12"	"11"	"6"	"8"	"14"	"4"	"4"	"6"	"15"	"2"	"7"	"0"	"635"	"635"	""	""
"263"	"225"	"224"	"14"	"70"	"5"	"5"	"506"	"7"	"2"	"3"	"4"	"1"	"4"	"12"	"3"	"2"	"3"	"6"	"0"	"45"	"1"	"693"	"693"	""	""
"264"	"226"	"225"	"11"	"66"	"0"	"3"	"270"	"0"	"4"	"0"	"3"	"2"	"3"	"4"	"1"	"1"	"1"	"2"	"0"	"39"	"1"	"411"	"411"	""	""
"265"	"227"	"226"	"23"	"175"	"3"	"2"	"194"	"2"	"10"	"3"	"0"	"3"	"2"	"2"	"0"	"6"	"19"	"12"	"3"	"28"	"5"	"492"	"492"	""	""
"266"	"228"	"227"	"1"	"27"	"1"	"2"	"140"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"11"	"0"	"188"	"188"	""	""
"267"	"229"	"228"	"20"	"38"	"1"	"5"	"637"	"8"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"10"	"4"	"730"	"730"	""	""
"268"	"230"	"229"	"15"	"48"	"6"	"3"	"613"	"10"	"1"	"1"	"2"	"4"	"6"	"11"	"3"	"3"	"8"	"15"	"1"	"29"	"1"	"780"	"780"	""	""
"269"	"231"	"230"	"22"	"273"	"21"	"3"	"207"	"1"	"4"	"8"	"9"	"6"	"9"	"13"	"2"	"10"	"26"	"17"	"3"	"44"	"8"	"686"	"686"	""	""
"270"	"232"	"231"	"9"	"186"	"11"	"0"	"291"	"0"	"1"	"7"	"4"	"10"	"7"	"17"	"7"	"10"	"34"	"29"	"1"	"75"	"8"	"707"	"707"	""	""
"271"	"233"	"232"	"13"	"81"	"11"	"0"	"370"	"4"	"1"	"1"	"1"	"1"	"2"	"7"	"1"	"0"	"3"	"5"	"10"	"170"	"11"	"692"	"692"	""	""
"272"	"234"	"233"	"1"	"203"	"4"	"1"	"144"	"1"	"1"	"5"	"1"	"2"	"3"	"10"	"2"	"1"	"14"	"7"	"4"	"138"	"3"	"545"	"545"	""	""
"273"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"274"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"275"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"276"	"235"	"234"	"9"	"148"	"4"	"0"	"164"	"2"	"0"	"1"	"3"	"2"	"0"	"1"	"0"	"0"	"3"	"3"	"1"	"14"	"0"	"355"	"355"	""	""
"277"	"236"	"235"	"4"	"121"	"3"	"0"	"60"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"4"	"3"	"0"	"9"	"2"	"210"	"210"	""	""
"278"	"237"	"236"	"8"	"93"	"0"	"1"	"371"	"4"	"0"	"3"	"3"	"2"	"3"	"9"	"2"	"3"	"9"	"6"	"1"	"69"	"8"	"595"	"595"	""	""
"279"	"238"	"237"	"3"	"235"	"7"	"2"	"402"	"7"	"1"	"2"	"3"	"6"	"0"	"4"	"3"	"2"	"3"	"8"	"5"	"33"	"9"	"735"	"735"	""	""
"280"	"239"	"238"	"17"	"297"	"5"	"1"	"250"	"3"	"1"	"1"	"1"	"2"	"0"	"7"	"1"	"4"	"9"	"4"	"11"	"68"	"8"	"690"	"690"	""	""
"281"	"240"	"239"	"24"	"26"	"3"	"2"	"454"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"14"	"9"	"539"	"539"	""	""
"282"	"241"	"240"	"7"	"74"	"4"	"2"	"266"	"3"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"0"	"2"	"3"	"1"	"24"	"1"	"392"	"392"	""	""
"283"	"242"	"241"	"6"	"24"	"0"	"2"	"230"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"1"	"0"	"0"	"16"	"0"	"285"	"285"	""	""
"284"	"243"	"242"	"5"	"9"	"1"	"2"	"344"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"368"	"368"	""	""
"285"	"244"	"243"	"5"	"49"	"1"	"0"	"255"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"3"	"15"	"1"	"339"	"339"	""	""
"286"	"245"	"244"	"9"	"25"	"0"	"1"	"363"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"12"	"1"	"418"	"418"	""	""
"287"	"246"	"245"	"30"	"12"	"1"	"2"	"429"	"4"	"1"	"0"	"0"	"1"	"0"	"13"	"2"	"0"	"1"	"4"	"3"	"26"	"2"	"531"	"531"	""	""
"288"	"247"	"246"	"6"	"165"	"14"	"6"	"212"	"5"	"2"	"3"	"7"	"6"	"9"	"29"	"6"	"6"	"20"	"16"	"0"	"118"	"1"	"631"	"631"	""	""
"289"	"248"	"247"	"14"	"288"	"30"	"3"	"187"	"2"	"3"	"3"	"4"	"11"	"11"	"29"	"12"	"20"	"44"	"46"	"8"	"77"	"5"	"797"	"797"	""	""
"290"	"249"	"248"	"9"	"175"	"9"	"2"	"281"	"3"	"2"	"1"	"3"	"4"	"5"	"11"	"4"	"5"	"16"	"4"	"4"	"57"	"2"	"597"	"597"	""	""
"291"	"250"	"249"	"17"	"282"	"11"	"5"	"413"	"5"	"4"	"0"	"9"	"11"	"5"	"20"	"7"	"9"	"25"	"27"	"0"	"30"	"3"	"883"	"883"	""	""
"292"	"251"	"250"	"15"	"236"	"5"	"1"	"371"	"0"	"1"	"1"	"1"	"3"	"2"	"3"	"2"	"0"	"8"	"2"	"7"	"28"	"4"	"690"	"690"	""	""
"293"	"252"	"251"	"11"	"113"	"16"	"1"	"326"	"0"	"0"	"2"	"1"	"4"	"0"	"5"	"1"	"0"	"2"	"7"	"1"	"30"	"0"	"520"	"520"	""	""
"294"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"295"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"296"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"297"	"253"	"252"	"22"	"135"	"8"	"5"	"370"	"4"	"1"	"3"	"1"	"4"	"5"	"3"	"1"	"2"	"8"	"7"	"8"	"26"	"8"	"621"	"621"	""	""
"298"	"254"	"253"	"13"	"90"	"5"	"5"	"323"	"8"	"0"	"0"	"7"	"1"	"1"	"8"	"0"	"2"	"2"	"4"	"3"	"36"	"1"	"509"	"509"	""	""
"299"	"255"	"254"	"6"	"85"	"12"	"5"	"317"	"8"	"2"	"4"	"2"	"8"	"12"	"5"	"6"	"4"	"5"	"10"	"2"	"36"	"5"	"534"	"534"	""	""
"300"	"256"	"255"	"76"	"465"	"6"	"2"	"122"	"2"	"2"	"2"	"2"	"3"	"1"	"5"	"0"	"1"	"6"	"4"	"5"	"7"	"2"	"713"	"713"	""	""
"301"	"257"	"256"	"16"	"89"	"6"	"2"	"354"	"4"	"1"	"1"	"1"	"3"	"4"	"9"	"3"	"2"	"7"	"11"	"0"	"6"	"1"	"520"	"520"	""	""
"302"	"258"	"257"	"7"	"52"	"0"	"3"	"259"	"1"	"1"	"0"	"2"	"2"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"7"	"1"	"340"	"340"	""	""
"303"	"259"	"258"	"17"	"312"	"5"	"3"	"73"	"0"	"0"	"4"	"4"	"1"	"1"	"3"	"3"	"3"	"6"	"8"	"2"	"6"	"4"	"455"	"455"	""	""
"304"	"Postal Votes"	""	"10"	"89"	"3"	"0"	"253"	"0"	"1"	"0"	"1"	"1"	"0"	"5"	"2"	"0"	"0"	"1"	"1"	"43"	"7"	"417"	"417"	"8"	""
"305"	"Total Votes Polled"	""	"3683"	"25862"	"789"	"540"	"72301"	"554"	"398"	"361"	"395"	"477"	"455"	"1305"	"403"	"350"	"960"	"1147"	"461"	"10786"	"570"	"121797"	"121797"	"8"	""
"306"	"Place : Muzaffarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Date : 24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"94-Muzaffarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
