"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"6"	"Candidates Name -----
> BOOTH NO"	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"397"	"276"	"5"	"155"	"13"	"287"	"3"	"8"	"0"	"0"	"23"	"0"	"1"	"5"	"3"	"503"
"398"	"277"	"42"	"352"	"10"	"39"	"24"	"62"	"0"	"3"	"6"	"3"	"12"	"5"	"19"	"577"
"399"	"278"	"300"	"13"	"1"	"53"	"4"	"0"	"0"	"1"	"7"	"2"	"2"	"29"	"12"	"424"
"400"	"279"	"140"	"140"	"1"	"14"	"55"	"1"	"0"	"1"	"7"	"0"	"3"	"1"	"8"	"371"
"401"	"280"	"66"	"162"	"2"	"134"	"15"	"2"	"1"	"2"	"10"	"3"	"4"	"4"	"16"	"421"
"402"	"281"	"77"	"532"	"10"	"10"	"85"	"3"	"1"	"0"	"14"	"2"	"6"	"9"	"15"	"764"
"403"	"282"	"107"	"358"	"27"	"8"	"52"	"5"	"3"	"0"	"7"	""	"5"	"6"	"9"	"588"
"404"	"283"	"178"	"107"	"6"	"6"	"6"	"1"	"1"	"2"	"2"	""	"3"	"8"	"13"	"334"
"405"	"284"	"130"	"112"	"5"	"32"	"2"	"2"	"1"	"0"	"12"	""	"3"	"6"	"19"	"325"
"406"	"285"	"300"	"160"	"18"	"17"	"6"	"20"	"3"	"3"	"27"	"11"	"16"	"28"	"55"	"664"
"407"	"286"	"58"	"83"	"4"	"6"	"4"	"1"	"0"	"1"	"1"	""	"2"	"4"	"4"	"169"
"408"	"287"	"225"	"26"	"10"	"134"	"8"	"7"	"0"	"0"	"1"	""	"1"	"0"	"10"	"423"
"409"	"288"	"187"	"137"	"12"	"14"	"10"	"31"	"3"	"5"	"22"	"7"	"8"	"13"	"19"	"468"
"410"	"289"	"24"	"88"	"3"	"8"	"2"	"0"	"0"	"0"	"3"	"1"	"2"	"2"	"6"	"139"
"411"	"290"	"194"	"216"	"12"	"2"	"1"	"11"	"1"	"2"	"4"	"2"	"1"	"3"	"12"	"461"
"412"	"291"	"108"	"11"	"4"	"27"	"4"	"177"	"4"	"1"	"2"	"2"	"2"	"0"	"8"	"350"
"413"	"292"	"87"	"99"	"8"	"5"	"1"	"107"	"1"	"2"	"4"	"4"	"1"	"6"	"6"	"331"
"414"	"293"	"202"	"220"	"15"	"9"	"4"	"15"	"2"	"4"	"8"	"4"	"2"	"13"	"17"	"515"
"415"	"294"	"285"	"109"	"14"	"7"	"0"	"95"	"6"	"4"	"6"	"3"	"7"	"5"	"23"	"564"
"416"	"295"	"150"	"82"	"10"	"10"	"4"	"97"	"6"	"2"	"2"	"1"	"3"	"7"	"11"	"385"
"417"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"423"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"424"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"425"	"Total:"	"39129"	"43104"	"3817"	"20817"	"1093"	"1797"	"562"	"465"	"4035"	"860"	"1690"	"2507"	"4540"	"124416"
"426"	"Postal Ballot"	"3"	"6"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"14"
"427"	"Grand Total:"	"39132"	"43110"	"3818"	"20820"	"1093"	"179"	"5"	""	"40"	"860"	"1690"	"2507"	"4540"	"124430"
"428"	"Place: Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"429"	"Date:  24/11/2010 Assembly Constituency :236---Hisua"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
