"Candidates.Name"	"AJIT.CHAUD.HARY"	"ARVIND.SINGH"	"KEDAR.SINGH"	"DILMA.RNI.DEVI"	"BINODH.AR.OJHA"	"SATYEN.DRA.KUMAR"	"ANIL.KUM.AR.PRAS.AD"	"GOPA.L.YADA.V"	"DADAN.YADAV"	"PRAMOD.SINGH"	"MANOJ.KUMAR.SINGH"	"SHIV.NARAYAN.SINGH"	"SAYEEDU.L.AZAM"	"INDU.DEVI"	"KIRAN.MISHRA"	"KRISHN.A.MURARI.THAKU.R"	"DHARM.ENDRA.KUMAR.SINGH"	"PARASUR.AM.PRASAD.TATAWA"	"RAJU.MISHRA"	"SHAMB.HU.PRASAD.SHARM.A"	"SHIVNATH.RAM"	"SHIV.SHANKA.R.DAS"	"SARVESH.KUMAR.SINI"	"HAREN.DRA.PRASA.D.RAM"	"ASHOK.KUMAR.OJHA"	"Total"
"228"	"Candidates Name"	"AJIT CHAUD HARY"	"ARVIND SINGH"	"KEDAR SINGH"	"DILMA RNI DEVI"	"BINODH AR OJHA"	"SATYEN DRA KUMAR"	"ANIL KUM AR PRAS AD"	"GOPA L YADA V"	"DADAN YADAV"	"PRAMOD SINGH"	"MANOJ KUMAR SINGH"	"SHIV NARAYAN SINGH"	"SAYEEDU L AZAM"	"INDU DEVI"	"KIRAN MISHRA"	"KRISHN A MURARI THAKU R"	"DHARM ENDRA KUMAR SINGH"	"PARASUR AM PRASAD TATAWA"	"RAJU MISHRA"	"SHAMB HU PRASAD SHARM A"	"SHIVNATH RAM"	"SHIV SHANKA R DAS"	"SARVESH KUMAR SINI"	"HAREN DRA PRASA D RAM"	"ASHOK KUMAR OJHA"	"Total"
"229"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"27"	""
"231"	"200"	"81"	"48"	"13"	"407"	"6"	"24"	"3"	"1"	"15"	"2"	"3"	"1"	"3"	"1"	"2"	"2"	"3"	"0"	"0"	"2"	"3"	"1"	"2"	"1"	"7"	"631"
"232"	"201"	"68"	"91"	"7"	"327"	"4"	"13"	"1"	"0"	"6"	"3"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"530"
"233"	"202"	"42"	"28"	"7"	"292"	"6"	"6"	"0"	"0"	"9"	"4"	"2"	"1"	"2"	"1"	"0"	"2"	"11"	"5"	"2"	"14"	"2"	"10"	"1"	"1"	"13"	"461"
"234"	"202A"	"93"	"41"	"4"	"172"	"2"	"4"	"3"	"3"	"51"	"3"	"10"	"2"	"5"	"3"	"2"	"4"	"6"	"3"	"1"	"8"	"0"	"2"	"0"	"1"	"5"	"428"
"235"	"203"	"40"	"73"	"19"	"331"	"8"	"9"	"2"	"2"	"6"	"2"	"5"	"1"	"8"	"6"	"2"	"2"	"1"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"4"	"532"
"236"	"203A"	"28"	"28"	"21"	"305"	"10"	"13"	"1"	"2"	"5"	"2"	"2"	"2"	"5"	"5"	"2"	"13"	"4"	"2"	"4"	"6"	"1"	"2"	"0"	"3"	"7"	"473"
"237"	"Candidates Name"	"AJIT CHAUD HARY"	"ARVIND SINGH"	"KEDAR SINGH"	"DILMA RNI DEVI"	"BINODH AR OJHA"	"SATYEN DRA KUMAR"	"ANIL KUM AR PRAS AD"	"GOPA L YADA V"	"DADAN YADAV"	"PRAMOD SINGH"	"MANOJ KUMAR SINGH"	"SHIV NARAYAN SINGH"	"SAYEEDU L AZAM"	"INDU DEVI"	"KIRAN MISHRA"	"KRISHN A MURARI THAKU R"	"DHARM ENDRA KUMAR SINGH"	"PARASUR AM PRASAD TATAWA"	"RAJU MISHRA"	"SHAMB HU PRASAD SHARM A"	"SHIVNATH RAM"	"SHIV SHANKA R DAS"	"SARVESH KUMAR SINI"	"HAREN DRA PRASA D RAM"	"ASHOK KUMAR OJHA"	"Total"
"238"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"27"	""
"240"	"204"	"39"	"160"	"12"	"206"	"7"	"16"	"3"	"1"	"5"	"5"	"6"	"2"	"4"	"6"	"5"	"14"	"7"	"11"	"3"	"9"	"2"	"4"	"3"	"3"	"13"	"546"
"241"	"205"	"141"	"45"	"7"	"243"	"6"	"9"	"2"	"1"	"10"	"3"	"2"	"3"	"4"	"0"	"2"	"32"	"9"	"0"	"1"	"2"	"3"	"2"	"1"	"1"	"2"	"531"
"242"	"206"	"110"	"32"	"6"	"195"	"2"	"28"	"0"	"0"	"19"	"4"	"2"	"1"	"2"	"1"	"1"	"7"	"7"	"3"	"1"	"2"	"1"	"5"	"0"	"0"	"2"	"431"
"243"	"207"	"296"	"75"	"6"	"22"	"1"	"1"	"0"	"1"	"16"	"0"	"0"	"0"	"2"	"0"	"1"	"5"	"4"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"436"
"244"	"208"	"450"	"5"	"9"	"38"	"1"	"2"	"0"	"5"	"40"	"0"	"1"	"0"	"2"	"2"	"4"	"9"	"6"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"5"	"584"
"245"	"209"	"43"	"2"	"6"	"116"	"2"	"12"	"1"	"2"	"18"	"191"	"3"	"1"	"2"	"1"	"2"	"13"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"419"
"246"	"210"	"166"	"6"	"9"	"81"	"1"	"7"	"3"	"1"	"35"	"197"	"7"	"4"	"1"	"1"	"3"	"15"	"6"	"4"	"0"	"3"	"0"	"0"	"1"	"3"	"13"	"567"
"247"	"211"	"112"	"56"	"2"	"359"	"6"	"12"	"1"	"2"	"3"	"0"	"3"	"1"	"2"	"1"	"2"	"52"	"3"	"2"	"4"	"7"	"4"	"5"	"0"	"1"	"7"	"647"
"248"	"212"	"85"	"25"	"20"	"300"	"8"	"11"	"2"	"2"	"5"	"5"	"8"	"2"	"9"	"1"	"3"	"14"	"7"	"6"	"3"	"3"	"4"	"5"	"2"	"1"	"5"	"536"
"249"	"213"	"125"	"72"	"17"	"346"	"12"	"8"	"2"	"2"	"26"	"2"	"6"	"2"	"6"	"12"	"4"	"11"	"2"	"2"	"0"	"5"	"1"	"3"	"0"	"3"	"7"	"676"
"250"	"214"	"127"	"15"	"15"	"450"	"8"	"5"	"3"	"2"	"6"	"1"	"3"	"1"	"6"	"0"	"1"	"14"	"4"	"1"	"2"	"2"	"0"	"3"	"2"	"0"	"3"	"674"
"251"	"215"	"71"	"12"	"4"	"254"	"1"	"10"	"0"	"2"	"11"	"0"	"1"	"0"	"0"	"2"	"0"	"5"	"2"	"5"	"4"	"7"	"3"	"2"	"0"	"1"	"3"	"400"
"252"	"216"	"172"	"8"	"25"	"180"	"4"	"4"	"3"	"4"	"58"	"3"	"5"	"0"	"6"	"7"	"2"	"18"	"5"	"3"	"2"	"9"	"4"	"1"	"1"	"0"	"10"	"534"
"253"	"217"	"237"	"67"	"6"	"176"	"3"	"6"	"1"	"0"	"6"	"1"	"1"	"1"	"1"	"12"	"0"	"15"	"10"	"1"	"2"	"1"	"4"	"5"	"2"	"0"	"24"	"582"
"254"	"218"	"109"	"9"	"6"	"103"	"1"	"13"	"0"	"1"	"16"	"2"	"0"	"0"	"4"	"3"	"1"	"6"	"6"	"2"	"3"	"21"	"3"	"1"	"0"	"2"	"7"	"319"
"255"	"219"	"63"	"20"	"10"	"284"	"3"	"58"	"2"	"1"	"8"	"2"	"3"	"2"	"2"	"13"	"1"	"19"	"2"	"0"	"0"	"6"	"4"	"1"	"1"	"4"	"12"	"521"
"256"	"220"	"197"	"10"	"9"	"65"	"2"	"4"	"8"	"15"	"126"	"1"	"2"	"3"	"8"	"9"	"3"	"53"	"18"	"3"	"6"	"4"	"3"	"4"	"2"	"2"	"9"	"566"
"257"	"221"	"224"	"4"	"9"	"106"	"2"	"7"	"0"	"3"	"70"	"3"	"1"	"0"	"4"	"1"	"4"	"8"	"7"	"4"	"0"	"18"	"0"	"0"	"1"	"2"	"1"	"479"
"258"	"222"	"48"	"4"	"3"	"167"	"6"	"37"	"12"	"4"	"25"	"1"	"2"	"1"	"6"	"164"	"3"	"18"	"2"	"2"	"1"	"0"	"0"	"3"	"3"	"3"	"5"	"520"
"259"	"223"	"128"	"43"	"4"	"92"	"2"	"4"	"15"	"0"	"25"	"1"	"0"	"1"	"0"	"11"	"4"	"2"	"2"	"5"	"1"	"21"	"0"	"0"	"0"	"0"	"1"	"362"
"260"	"224"	"25"	"7"	"3"	"237"	"5"	"16"	"0"	"1"	"1"	"0"	"0"	"11"	"3"	"5"	"2"	"4"	"5"	"1"	"2"	"20"	"5"	"1"	"2"	"0"	"4"	"360"
"261"	"225"	"329"	"47"	"18"	"58"	"5"	"4"	"4"	"4"	"43"	"4"	"3"	"0"	"3"	"5"	"2"	"4"	"7"	"2"	"2"	"1"	"4"	"0"	"2"	"1"	"4"	"556"
"262"	"226"	"7"	"16"	"9"	"348"	"9"	"1"	"7"	"0"	"2"	"0"	"0"	"0"	"9"	"181"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"595"
"263"	"227"	"17"	"11"	"11"	"317"	"4"	"2"	"1"	"0"	"22"	"3"	"3"	"2"	"5"	"3"	"1"	"5"	"4"	"4"	"0"	"3"	"3"	"4"	"0"	"0"	"2"	"427"
"264"	"228"	"179"	"9"	"11"	"277"	"3"	"0"	"1"	"0"	"71"	"1"	"1"	"1"	"2"	"2"	"0"	"1"	"5"	"3"	"1"	"4"	"5"	"0"	"1"	"0"	"3"	"581"
"265"	"229"	"159"	"10"	"11"	"176"	"6"	"12"	"2"	"3"	"6"	"3"	"5"	"136"	"3"	"23"	"5"	"16"	"6"	"1"	"2"	"5"	"5"	"3"	"2"	"3"	"12"	"615"
"266"	"230"	"67"	"20"	"7"	"156"	"2"	"16"	"1"	"5"	"18"	"6"	"0"	"0"	"7"	"16"	"3"	"13"	"7"	"4"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"354"
"267"	"230A"	"49"	"41"	"3"	"119"	"3"	"14"	"2"	"2"	"5"	"2"	"2"	"1"	"4"	"43"	"4"	"6"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"308"
"268"	"231"	"129"	"72"	"7"	"112"	"2"	"4"	"9"	"2"	"40"	"6"	"1"	"0"	"2"	"186"	"11"	"13"	"5"	"5"	"1"	"2"	"3"	"4"	"4"	"4"	"4"	"628"
"269"	"232"	"101"	"29"	"3"	"171"	"4"	"6"	"2"	"0"	"3"	"3"	"4"	"3"	"5"	"17"	"5"	"10"	"4"	"4"	"1"	"3"	"1"	"1"	"1"	"3"	"8"	"392"
"270"	"233"	"13"	"2"	"5"	"68"	"0"	"3"	"0"	"3"	"151"	"1"	"1"	"0"	"2"	"0"	"0"	"2"	"1"	"1"	"2"	"0"	"3"	"2"	"1"	"1"	"2"	"264"
"271"	"234"	"114"	"6"	"7"	"203"	"2"	"2"	"7"	"3"	"173"	"1"	"4"	"2"	"0"	"79"	"2"	"9"	"11"	"3"	"2"	"3"	"0"	"2"	"1"	"1"	"1"	"638"
"272"	"235"	"149"	"6"	"13"	"216"	"7"	"4"	"3"	"2"	"71"	"3"	"5"	"53"	"7"	"12"	"1"	"3"	"8"	"2"	"2"	"5"	"1"	"2"	"2"	"1"	"4"	"582"
"273"	"236"	"303"	"12"	"5"	"3"	"3"	"2"	"6"	"1"	"69"	"2"	"1"	"2"	"1"	"45"	"4"	"18"	"26"	"7"	"1"	"0"	"2"	"1"	"2"	"2"	"5"	"523"
"274"	"237"	"112"	"37"	"13"	"254"	"7"	"5"	"10"	"6"	"84"	"5"	"3"	"7"	"4"	"93"	"4"	"13"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"3"	"668"
"275"	"238"	"112"	"2"	"26"	"23"	"0"	"1"	"3"	"5"	"208"	"6"	"1"	"2"	"1"	"2"	"0"	"6"	"3"	"3"	"1"	"0"	"3"	"0"	"1"	"1"	"3"	"413"
"276"	"239"	"148"	"5"	"13"	"0"	"0"	"6"	"3"	"16"	"244"	"13"	"1"	"1"	"1"	"0"	"8"	"27"	"7"	"1"	"1"	"0"	"0"	"0"	"3"	"3"	"16"	"517"
"277"	"240"	"42"	"33"	"16"	"245"	"5"	"111"	"2"	"1"	"2"	"3"	"4"	"1"	"10"	"127"	"5"	"12"	"5"	"3"	"3"	"8"	"2"	"5"	"3"	"2"	"7"	"657"
"278"	"241"	"158"	"60"	"10"	"119"	"1"	"5"	"3"	"1"	"44"	"2"	"3"	"1"	"3"	"17"	"1"	"4"	"3"	"3"	"1"	"1"	"2"	"1"	"0"	"0"	"4"	"447"
"279"	"242"	"191"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"7"	"3"	"1"	"2"	"2"	"2"	"4"	"8"	"5"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"4"	"243"
"280"	"243"	"181"	"36"	"8"	"3"	"0"	"1"	"8"	"4"	"60"	"3"	"1"	"1"	"7"	"22"	"4"	"28"	"22"	"3"	"1"	"1"	"1"	"1"	"2"	"2"	"4"	"404"
"281"	"244"	"49"	"9"	"10"	"255"	"4"	"14"	"2"	"2"	"8"	"0"	"1"	"2"	"2"	"9"	"0"	"5"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"6"	"382"
"282"	"245"	"95"	"68"	"4"	"137"	"5"	"4"	"4"	"1"	"43"	"5"	"3"	"0"	"1"	"39"	"0"	"3"	"5"	"5"	"3"	"0"	"2"	"2"	"1"	"3"	"2"	"435"
"283"	"246"	"13"	"63"	"3"	"31"	"3"	"9"	"5"	"2"	"54"	"3"	"0"	"2"	"2"	"63"	"1"	"5"	"1"	"4"	"1"	"1"	"5"	"2"	"1"	"2"	"2"	"278"
"284"	"247"	"25"	"16"	"3"	"9"	"1"	"13"	"29"	"9"	"14"	"5"	"2"	"8"	"8"	"400"	"17"	"40"	"5"	"2"	"1"	"0"	"1"	"4"	"2"	"5"	"2"	"621"
"285"	"Total:"	"25835"	"10078"	"4179"	"46177"	"1036"	"4735"	"676"	"748"	"13898"	"1118"	"1030"	"1353"	"1069"	"2497"	"613"	"2070"	"1896"	"968"	"478"	"1185"	"669"	"451"	"287"	"443"	"2443"	"125932"
"286"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Candidates Name"	"AJIT CHAUD HARY"	"ARVIND SINGH"	"KEDAR SINGH"	"DILMA RNI DEVI"	"BINODH AR OJHA"	"SATYEN DRA KUMAR"	"ANIL KUM AR PRAS AD"	"GOPA L YADA V"	"DADAN YADAV"	"PRAMOD SINGH"	"MANOJ KUMAR SINGH"	"SHIV NARAYAN SINGH"	"SAYEEDU L AZAM"	"INDU DEVI"	"KIRAN MISHRA"	"KRISHN A MURARI THAKU R"	"DHARM ENDRA KUMAR SINGH"	"PARASUR AM PRASAD TATAWA"	"RAJU MISHRA"	"SHAMB HU PRASAD SHARM A"	"SHIVNATH RAM"	"SHIV SHANKA R DAS"	"SARVESH KUMAR SINI"	"HAREN DRA PRASA D RAM"	"ASHOK KUMAR OJHA"	"Total"
"288"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"27"	""
"290"	"Postal Ballot"	"19"	"5"	"1"	"19"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"51"
"291"	"Grand Total:"	"25854"	"10083"	"4180"	"46196"	"1036"	"4735"	"676"	"748"	"13901"	"1118"	"1030"	"1353"	"1069"	"2497"	"613"	"2070"	"1898"	"968"	"478"	"1185"	"669"	"451"	"287"	"443"	"2445"	"125983"
"292"	"Place:                                                                                                                                                                                                                         Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"te: 24//11/2010                                                                                                                                                                                             Assembly Constituency :199---Brahmpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"ool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                                                                                                                                    Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
