"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"100&  cj kSy h  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"291"	"198"	"23"	"12"	"6"	"122"	"196"	"4"	"3"	"7"	"1"	"3"	"6"	"3"	"6"	"24"	"416"	"0"	"416"	""
"292"	"199"	"17"	"33"	"8"	"213"	"210"	"17"	"8"	"5"	"5"	"14"	"5"	"5"	"21"	"37"	"598"	"0"	"598"	""
"293"	"200"	"20"	"65"	"7"	"266"	"253"	"5"	"6"	"7"	"1"	"4"	"1"	"7"	"19"	"14"	"675"	"0"	"675"	""
"294"	"201"	"29"	"51"	"13"	"93"	"225"	"3"	"2"	"4"	"2"	"5"	"2"	"4"	"9"	"55"	"497"	"0"	"497"	""
"295"	"202"	"4"	"13"	"4"	"82"	"374"	"9"	"4"	"2"	"3"	"9"	"3"	"2"	"21"	"48"	"578"	"0"	"578"	""
"296"	"203"	"15"	"20"	"4"	"204"	"119"	"5"	"2"	"3"	"5"	"53"	"10"	"4"	"23"	"22"	"489"	"0"	"489"	""
"297"	"204"	"18"	"25"	"8"	"124"	"165"	"4"	"5"	"6"	"2"	"3"	"7"	"2"	"9"	"32"	"410"	"0"	"410"	""
"298"	"205"	"17"	"21"	"5"	"53"	"381"	"8"	"2"	"7"	"7"	"21"	"8"	"2"	"11"	"114"	"657"	"0"	"657"	""
"299"	"; ksx"	"181"	"253"	"81"	"1833"	"2023"	"67"	"39"	"47"	"30"	"116"	"48"	"33"	"130"	"353"	"5234"	"0"	"5234"	""
"300"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"4586"	"10332"	"2782"	"32938"	"43182"	"2028"	"1028"	"758"	"893"	"1393"	"1048"	"1197"	"2070"	"5303"	"109538"	"0"	"109538"	"0"
"301"	"d qy  ; ksx"	"4767"	"10585"	"2863"	"34771"	"45205"	"2095"	"1067"	"805"	"923"	"1509"	"1096"	"1230"	"2200"	"5656"	"114772"	"0"	"114772"	""
"302"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k"	"1"	"6"	"3"	"49"	"29"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"91"	"8"	"99"	""
"303"	"Mkys x; s dqy
er"	"4768"	"10591"	"2866"	"34820"	"45234"	"2095"	"1067"	"805"	"924"	"1510"	"1096"	"1230"	"2200"	"5657"	"114863"	"8"	"114871"	""
"304"	"fuokZph  i nkf/kd kj h]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"100&cj kSy h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
