"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"
"1"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"7"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"162"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"167"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"168"	""	""	""	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"T"	""	""	""	""
"169"	"4"	""	"113"	"6"	"50"	"232"	""	"4"	"14"	"70"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"5"	"3"	"3"	"0"	"0"	"1"	"6"	"2"	"1"	"1"	"1"	"3"	"7"	"2"	"5"	"5"	"425"	""	"425"	""	""
"170"	"5"	""	"114"	"1"	"54"	"194"	""	"3"	"15"	"18"	"0"	"0"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"8"	"0"	"0"	"2"	"0"	"1"	"8"	"0"	"0"	"0"	"1"	"1"	"8"	"3"	"1"	"9"	"336"	""	"336"	""	""
"171"	"6"	""	"115"	"4"	"35"	"229"	""	"3"	"19"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"25"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"14"	"340"	""	"340"	""	""
"172"	"7"	""	"116"	"0"	"31"	"180"	""	"0"	"18"	"19"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"1"	"1"	"276"	""	"276"	""	""
"173"	"8"	""	"117"	"1"	"75"	"314"	""	"2"	"30"	"24"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"11"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"19"	"486"	""	"486"	""	""
"174"	"9"	""	"118"	"2"	"35"	"217"	""	"3"	"42"	"7"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"21"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"0"	"2"	"2"	"344"	""	"344"	""	""
"175"	"10"	""	"118d"	"0"	"52"	"158"	""	"2"	"14"	"11"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"6"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"7"	"1"	"1"	"4"	"266"	""	"266"	""	""
"176"	"11"	""	"119"	"1"	"136"	"347"	""	"5"	"14"	"3"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"6"	"11"	"2"	"3"	"3"	"0"	"1"	"0"	"5"	"0"	"0"	"3"	"8"	"3"	"1"	"13"	"572"	""	"572"	""	""
"177"	"12"	""	"120"	"3"	"116"	"149"	""	"3"	"5"	"13"	"0"	"1"	"0"	"0"	"1"	"0"	"4"	"1"	"2"	"4"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"70"	"382"	""	"382"	""	""
"178"	"13"	""	"121"	"6"	"112"	"319"	""	"3"	"8"	"11"	"0"	"2"	"5"	"1"	"1"	"1"	"0"	"5"	"2"	"20"	"1"	"2"	"1"	"1"	"0"	"2"	"2"	"2"	"0"	"1"	"0"	"7"	"2"	"5"	"5"	"527"	""	"527"	""	""
"179"	"14"	""	"122"	"1"	"148"	"48"	""	"0"	"6"	"93"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"7"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"3"	"0"	"3"	"24"	"345"	""	"345"	""	""
"180"	"1"	""	"123"	"3"	"123"	"86"	""	"0"	"6"	"36"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"25"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"12"	"0"	"11"	"14"	"326"	""	"326"	""	""
"181"	"2"	""	"124"	"3"	"75"	"195"	""	"6"	"24"	"27"	"1"	"0"	"4"	"0"	"2"	"3"	"2"	"3"	"1"	"103"	"3"	"1"	"1"	"0"	"0"	"2"	"0"	"4"	"1"	"1"	"0"	"21"	"2"	"5"	"5"	"495"	""	"495"	""	""
"182"	"3"	""	"125"	"3"	"125"	"140"	""	"2"	"11"	"56"	"1"	"2"	"1"	"0"	"1"	"4"	"3"	"2"	"6"	"108"	"6"	"11"	"2"	"1"	"0"	"4"	"1"	"5"	"2"	"2"	"5"	"14"	"5"	"5"	"19"	"547"	""	"547"	""	""
"183"	"4"	""	"126"	"5"	"158"	"270"	""	"1"	"14"	"41"	"2"	"1"	"3"	"0"	"1"	"1"	"2"	"0"	"3"	"31"	"3"	"3"	"3"	"0"	"0"	"7"	"2"	"1"	"2"	"3"	"2"	"98"	"6"	"10"	"40"	"713"	""	"713"	""	""
"184"	"5"	""	"127"	"1"	"70"	"242"	""	"2"	"13"	"44"	"0"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"12"	"0"	"4"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"41"	"1"	"2"	"8"	"454"	""	"454"	""	""
"185"	"6"	""	"128"	"2"	"323"	"300"	""	"3"	"16"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"2"	"3"	"3"	"18"	"4"	"1"	"2"	"3"	"0"	"4"	"1"	"1"	"0"	"3"	"1"	"17"	"7"	"34"	"6"	"761"	""	"761"	""	""
"186"	"7"	""	"129"	"4"	"137"	"157"	""	"2"	"6"	"23"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"27"	"1"	"2"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"8"	"16"	"401"	""	"401"	""	""
"187"	"8"	""	"129d"	"2"	"97"	"130"	""	"4"	"6"	"9"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"23"	"3"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"2"	"0"	"6"	"4"	"7"	"19"	"320"	""	"320"	""	""
"188"	"9"	""	"130"	"1"	"117"	"244"	""	"8"	"8"	"17"	"1"	"4"	"0"	"0"	"0"	"0"	"3"	"3"	"3"	"25"	"1"	"0"	"1"	"0"	"1"	"4"	"1"	"0"	"0"	"2"	"1"	"32"	"6"	"4"	"39"	"526"	""	"526"	""	""
"189"	"10"	""	"131"	"71"	"40"	"85"	""	"1"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"2"	"233"	""	"233"	""	""
"190"	"11"	""	"132"	"78"	"59"	"146"	""	"2"	"10"	"10"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"28"	"0"	"0"	"0"	"1"	"0"	"22"	"0"	"0"	"0"	"1"	"1"	"4"	"1"	"0"	"2"	"371"	""	"371"	""	""
"191"	"12"	""	"133"	"3"	"113"	"193"	""	"5"	"13"	"3"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"5"	"0"	"22"	"1"	"1"	"0"	"0"	"0"	"55"	"1"	"0"	"0"	"1"	"0"	"5"	"2"	"4"	"2"	"432"	""	"432"	""	""
"192"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"199"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"200"	""	""	""	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"T"	""	""	""	""
"201"	"13"	""	"133d"	"0"	"87"	"133"	""	"0"	"16"	"3"	"0"	"0"	"1"	"1"	"2"	"3"	"0"	"7"	"0"	"6"	"0"	"2"	"6"	"0"	"2"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"2"	"360"	""	"360"	""	""
"202"	"14"	""	"134"	"6"	"274"	"142"	""	"3"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"4"	"6"	"0"	"2"	"1"	"0"	"2"	"4"	"0"	"0"	"2"	"5"	"0"	"7"	"1"	"2"	"3"	"481"	""	"481"	""	""
"203"	"1"	""	"135"	"1"	"45"	"66"	""	"0"	"4"	"6"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"27"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"194"	"355"	""	"355"	""	""
"204"	"2"	""	"136"	"0"	"155"	"109"	""	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"12"	"2"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"2"	"82"	"386"	""	"386"	""	""
"205"	"3"	""	"137"	"4"	"241"	"91"	""	"1"	"8"	"3"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"8"	"0"	"2"	"4"	"1"	"0"	"0"	"1"	"1"	"0"	"4"	"4"	"15"	"123"	"519"	""	"519"	""	""
"206"	"4"	""	"138"	"1"	"184"	"66"	""	"1"	"4"	"49"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"13"	"2"	"5"	"4"	"1"	"0"	"2"	"2"	"1"	"0"	"3"	"0"	"4"	"7"	"3"	"73"	"430"	""	"430"	""	""
"207"	"5"	""	"138d"	"1"	"145"	"60"	""	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"1"	"0"	"2"	"5"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"2"	"52"	"293"	""	"293"	""	""
"208"	"6"	""	"139"	"5"	"97"	"266"	""	"3"	"7"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"57"	"1"	"0"	"1"	"0"	"0"	"23"	"0"	"0"	"0"	"1"	"2"	"3"	"0"	"3"	"1"	"475"	""	"475"	""	""
"209"	"7"	""	"140"	"2"	"278"	"193"	""	"3"	"19"	"32"	"2"	"3"	"0"	"0"	"1"	"0"	"2"	"4"	"6"	"50"	"1"	"2"	"0"	"0"	"3"	"5"	"0"	"0"	"1"	"1"	"1"	"7"	"3"	"13"	"65"	"697"	""	"697"	""	""
"210"	"8"	""	"141"	"0"	"38"	"72"	""	"1"	"1"	"51"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"22"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"12"	"0"	"0"	"185"	"395"	""	"395"	""	""
"211"	"9"	""	"142"	"1"	"36"	"113"	""	"2"	"3"	"39"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"23"	"1"	"1"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"3"	"1"	"3"	"25"	"265"	""	"265"	""	""
"212"	"10"	""	"143"	"16"	"126"	"24"	""	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"3"	"2"	"118"	"341"	""	"341"	""	""
"213"	"11"	""	"144"	"1"	"141"	"47"	""	"1"	"3"	"4"	"1"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"1"	"40"	"0"	"4"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"19"	"2"	"34"	"308"	""	"308"	""	""
"214"	"12"	""	"145"	"0"	"105"	"166"	""	"2"	"4"	"64"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"34"	"0"	"2"	"3"	"1"	"0"	"2"	"0"	"1"	"3"	"0"	"1"	"16"	"0"	"1"	"55"	"464"	""	"464"	""	""
"215"	"13"	""	"146"	"0"	"110"	"117"	""	"2"	"5"	"72"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"23"	"350"	""	"350"	""	""
"216"	"14"	""	"147"	"2"	"176"	"44"	""	"0"	"13"	"77"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"5"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"6"	"3"	"4"	"67"	"410"	""	"410"	""	""
"217"	"1"	""	"148"	"1"	"143"	"40"	""	"2"	"9"	"153"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"11"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"7"	"0"	"1"	"71"	"449"	""	"449"	""	""
"218"	"2"	""	"149"	"8"	"203"	"128"	""	"0"	"9"	"57"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"45"	"2"	"5"	"4"	"0"	"1"	"3"	"1"	"0"	"0"	"2"	"1"	"12"	"6"	"1"	"96"	"591"	""	"591"	""	""
"219"	"3"	""	"150"	"1"	"115"	"67"	""	"0"	"3"	"33"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"18"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"6"	"60"	"320"	""	"320"	""	""
"220"	"4"	""	"151"	"1"	"126"	"9"	""	"0"	"9"	"83"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"5"	"0"	"0"	"48"	"299"	""	"299"	""	""
"221"	"5"	""	"152"	"8"	"396"	"237"	""	"4"	"16"	"7"	"1"	"2"	"0"	"1"	"2"	"5"	"2"	"7"	"18"	"58"	"8"	"10"	"3"	"0"	"1"	"3"	"0"	"3"	"1"	"3"	"1"	"8"	"5"	"9"	"16"	"835"	""	"835"	""	""
"222"	"6"	""	"153"	"2"	"65"	"126"	""	"0"	"8"	"15"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"49"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"5"	"0"	"2"	"16"	"299"	""	"299"	""	""
"223"	"7"	""	"154"	"0"	"87"	"139"	""	"1"	"8"	"18"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"43"	"1"	"4"	"1"	"1"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"10"	"330"	""	"330"	""	""
"224"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"231"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"232"	""	""	""	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"T"	""	""	""	""
"233"	"8"	""	"155"	"3"	"161"	"162"	""	"2"	"7"	"37"	"0"	"2"	"0"	"2"	"1"	"3"	"3"	"3"	"2"	"102"	"8"	"3"	"1"	"1"	"1"	"2"	"0"	"0"	"3"	"1"	"3"	"10"	"1"	"11"	"111"	"646"	""	"646"	""	""
"234"	"9"	""	"156"	"3"	"119"	"65"	""	"0"	"4"	"19"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"64"	"4"	"3"	"0"	"0"	"1"	"4"	"0"	"1"	"1"	"1"	"0"	"6"	"0"	"4"	"69"	"372"	""	"372"	""	""
"235"	"10"	""	"157"	"0"	"87"	"70"	""	"1"	"4"	"32"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"5"	"2"	"49"	"1"	"1"	"1"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"42"	"311"	""	"311"	""	""
"236"	"11"	""	"158"	"3"	"104"	"138"	""	"1"	"9"	"43"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"3"	"54"	"1"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"32"	"405"	""	"405"	""	""
"237"	"12"	""	"159"	"3"	"126"	"113"	""	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"92"	"1"	"0"	"4"	"1"	"2"	"2"	"2"	"0"	"1"	"1"	"0"	"6"	"5"	"5"	"24"	"395"	""	"395"	""	""
"238"	"13"	""	"160"	"5"	"63"	"213"	""	"3"	"15"	"9"	"0"	"3"	"1"	"0"	"1"	"1"	"4"	"2"	"3"	"85"	"2"	"3"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"52"	"474"	""	"474"	""	""
"239"	"14"	""	"161"	"3"	"132"	"13"	""	"2"	"15"	"8"	"0"	"0"	"2"	"1"	"2"	"0"	"3"	"0"	"2"	"19"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"2"	"152"	"364"	""	"364"	""	""
"240"	"1"	""	"162"	"4"	"111"	"56"	""	"2"	"4"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"6"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"117"	"318"	""	"318"	""	""
"241"	"2"	""	"163"	"6"	"235"	"48"	""	"2"	"5"	"33"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"13"	"4"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"4"	"0"	"19"	"66"	"447"	""	"447"	""	""
