"Candidate.s..Name"	"ANANT.KUMAR.SATYARTHY"	"PRITAM.SINGH"	"RAKESH.KUMAR"	"RAJEEV.RANJAN.SINGH"	"SHABNAM.PERWIN"	"KAILASH.SINGH.NISHAD"	"CHHAVI.KUMAR"	"ZAFAR.AHMAD"	"TRIDEO.SINGH"	"MANOJ.KUMAR.YADAY"	"RAMDEO.SINGH.YADAV"	"RAMBILASH.NISHAD"	"VIRENDRA.BHARTI"	"SUNIL.SOLANKI..SAHA."	"UCHIT.KUMAR"	"DASRATH.DAS"	"DEVAN.YADAV"	"NACHI.KETA"	"MUKESH.KUMAR.SINGH"	"SUNIL.KUMAR"	"Total"
"1"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"142"	"127"	"8"	"0"	"1"	"142"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"31"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"316"
"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"143"	"120"	"6"	"2"	"1"	"310"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"6"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"455"
"357"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"144"	"85"	"2"	"1"	"0"	"290"	"2"	"2"	"1"	"0"	"0"	"2"	"3"	"11"	"0"	"2"	"1"	"2"	"0"	"0"	"0"	"404"
"359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"361"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"365"	"145"	"31"	"5"	"0"	"3"	"454"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"8"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"510"
"366"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"146"	"23"	"111"	"2"	"4"	"133"	"3"	"9"	"0"	"1"	"2"	"2"	"5"	"6"	"1"	"2"	"4"	"9"	"9"	"1"	"4"	"331"
"368"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"147"	"30"	"194"	"6"	"11"	"188"	"4"	"8"	"1"	"6"	"4"	"3"	"4"	"7"	"4"	"4"	"5"	"9"	"2"	"6"	"7"	"503"
"370"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"148"	"30"	"520"	"8"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"5"	"5"	"4"	"10"	"2"	"12"	"0"	"4"	"606"
"372"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"149"	"158"	"84"	"6"	"5"	"10"	"4"	"4"	"1"	"1"	"1"	"5"	"8"	"84"	"6"	"7"	"10"	"8"	"5"	"7"	"8"	"422"
"374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"150"	"9"	"10"	"0"	"1"	"382"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"411"
"376"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"151"	"2"	"1"	"0"	"0"	"231"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"
"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"152"	"24"	"103"	"0"	"1"	"65"	"24"	"3"	"0"	"3"	"2"	"1"	"37"	"10"	"3"	"0"	"2"	"1"	"1"	"0"	"1"	"281"
"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"153"	"88"	"4"	"1"	"2"	"182"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"28"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"316"
"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"154"	"79"	"6"	"1"	"0"	"129"	"4"	"2"	"0"	"0"	"1"	"1"	"0"	"13"	"0"	"1"	"2"	"10"	"1"	"0"	"2"	"252"
"384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"155"	"92"	"30"	"2"	"2"	"107"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"21"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"263"
"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"156"	"72"	"24"	"1"	"5"	"423"	"7"	"0"	"0"	"0"	"1"	"0"	"1"	"9"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"547"
"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"157"	"73"	"22"	"1"	"4"	"439"	"1"	"1"	"3"	"4"	"0"	"0"	"1"	"24"	"0"	"0"	"3"	"3"	"1"	"0"	"1"	"581"
"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"158"	"180"	"23"	"0"	"3"	"369"	"7"	"0"	"0"	"2"	"0"	"1"	"7"	"19"	"1"	"2"	"9"	"2"	"0"	"0"	"1"	"626"
"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"159"	"158"	"58"	"0"	"1"	"156"	"2"	"3"	"0"	"1"	"0"	"1"	"5"	"31"	"6"	"3"	"15"	"1"	"3"	"1"	"2"	"447"
"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"160"	"114"	"10"	"1"	"3"	"118"	"3"	"3"	"0"	"1"	"0"	"5"	"2"	"32"	"2"	"2"	"12"	"6"	"2"	"0"	"4"	"320"
"396"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"397"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"161"	"177"	"50"	"12"	"1"	"70"	"4"	"1"	"3"	"0"	"1"	"0"	"3"	"41"	"1"	"1"	"3"	"1"	"3"	"0"	"0"	"372"
"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"162"	"115"	"31"	"4"	"3"	"154"	"2"	"7"	"2"	"1"	"3"	"2"	"8"	"54"	"4"	"3"	"15"	"4"	"1"	"0"	"1"	"414"
"405"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"406"	"163"	"262"	"21"	"3"	"2"	"105"	"1"	"0"	"1"	"1"	"4"	"1"	"1"	"59"	"4"	"1"	"8"	"5"	"1"	"0"	"1"	"481"
"407"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"164"	"91"	"173"	"8"	"10"	"176"	"9"	"6"	"0"	"0"	"1"	"5"	"10"	"28"	"9"	"9"	"25"	"13"	"3"	"5"	"10"	"591"
"409"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"165"	"57"	"19"	"4"	"1"	"380"	"6"	"2"	"1"	"0"	"4"	"3"	"4"	"9"	"2"	"0"	"5"	"4"	"1"	"0"	"3"	"505"
"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"166"	"230"	"19"	"1"	"5"	"43"	"3"	"3"	"1"	"1"	"1"	"1"	"107"	"115"	"11"	"7"	"16"	"6"	"0"	"2"	"5"	"577"
"413"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"167"	"257"	"57"	"1"	"1"	"69"	"4"	"1"	"0"	"2"	"0"	"0"	"0"	"29"	"1"	"1"	"1"	"6"	"1"	"1"	"0"	"432"
"415"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"168"	"185"	"39"	"1"	"1"	"95"	"3"	"0"	"0"	"1"	"2"	"1"	"2"	"31"	"4"	"1"	"9"	"1"	"3"	"3"	"1"	"383"
"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"169"	"106"	"12"	"0"	"5"	"250"	"1"	"3"	"0"	"1"	"1"	"1"	"1"	"14"	"3"	"2"	"3"	"2"	"1"	"1"	"0"	"407"
"419"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"170"	"65"	"4"	"4"	"1"	"221"	"3"	"4"	"1"	"1"	"0"	"1"	"2"	"8"	"0"	"0"	"6"	"1"	"0"	"1"	"2"	"325"
"421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"171"	"59"	"9"	"1"	"0"	"415"	"3"	"1"	"2"	"0"	"0"	"0"	"4"	"5"	"0"	"1"	"6"	"5"	"1"	"0"	"0"	"512"
"423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"172"	"21"	"19"	"2"	"1"	"421"	"3"	"1"	"0"	"0"	"0"	"0"	"7"	"2"	"0"	"1"	"7"	"2"	"0"	"0"	"5"	"492"
"425"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"173"	"52"	"119"	"3"	"0"	"34"	"2"	"7"	"0"	"0"	"1"	"1"	"0"	"21"	"0"	"1"	"2"	"2"	"2"	"1"	"2"	"250"
"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"174"	"55"	"15"	"0"	"2"	"17"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"107"
"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"430"	"175"	"205"	"20"	"1"	"23"	"77"	"2"	"91"	"2"	"1"	"3"	"0"	"5"	"39"	"7"	"1"	"7"	"2"	"3"	"2"	"0"	"491"
"431"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"433"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"436"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"437"	"176"	"262"	"70"	"6"	"40"	"174"	"3"	"58"	"1"	"3"	"4"	"1"	"14"	"104"	"11"	"1"	"10"	"19"	"6"	"8"	"7"	"802"
"438"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"439"	"177"	"229"	"19"	"0"	"10"	"109"	"6"	"3"	"1"	"3"	"3"	"3"	"10"	"59"	"15"	"1"	"24"	"26"	"3"	"45"	"6"	"575"
"440"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"441"	"178"	"134"	"40"	"3"	"1"	"111"	"1"	"26"	"1"	"1"	"0"	"2"	"8"	"48"	"3"	"2"	"10"	"3"	"2"	"3"	"1"	"400"
"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"443"	"179"	"170"	"41"	"0"	"1"	"40"	"17"	"3"	"0"	"1"	"2"	"5"	"147"	"41"	"2"	"2"	"3"	"10"	"10"	"3"	"7"	"505"
"444"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"445"	"180"	"156"	"4"	"1"	"1"	"87"	"5"	"4"	"1"	"2"	"3"	"9"	"189"	"38"	"4"	"6"	"24"	"13"	"2"	"4"	"7"	"560"
"446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"447"	"181"	"166"	"6"	"2"	"2"	"189"	"8"	"6"	"0"	"8"	"1"	"1"	"8"	"21"	"8"	"0"	"7"	"3"	"0"	"4"	"0"	"440"
"448"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"182"	"12"	"7"	"0"	"6"	"218"	"4"	"6"	"0"	"4"	"1"	"5"	"1"	"7"	"1"	"2"	"12"	"7"	"2"	"3"	"4"	"302"
"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"183"	"264"	"20"	"1"	"4"	"52"	"1"	"37"	"2"	"0"	"1"	"2"	"10"	"91"	"1"	"5"	"12"	"8"	"1"	"0"	"1"	"513"
"452"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"184"	"112"	"92"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"33"	"4"	"1"	"5"	"3"	"3"	"4"	"0"	"265"
"454"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	"184A"	"132"	"166"	"2"	"0"	"16"	"0"	"3"	"0"	"0"	"1"	"1"	"1"	"41"	"4"	"0"	"4"	"5"	"2"	"11"	"3"	"392"
"456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"457"	"185"	"49"	"5"	"1"	"0"	"399"	"4"	"0"	"0"	"1"	"0"	"1"	"1"	"14"	"1"	"0"	"9"	"0"	"0"	"0"	"1"	"486"
"458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"459"	"186"	"113"	"5"	"0"	"4"	"302"	"3"	"5"	"1"	"3"	"1"	"2"	"4"	"44"	"0"	"2"	"20"	"5"	"3"	"1"	"4"	"522"
"460"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"461"	"187"	"209"	"12"	"2"	"1"	"306"	"9"	"4"	"0"	"2"	"0"	"2"	"4"	"19"	"4"	"1"	"6"	"2"	"0"	"1"	"3"	"587"
"462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"463"	"188"	"293"	"8"	"0"	"2"	"154"	"4"	"5"	"1"	"0"	"1"	"1"	"9"	"55"	"10"	"4"	"12"	"8"	"1"	"1"	"1"	"570"
"464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"465"	"189"	"404"	"17"	"2"	"2"	"134"	"1"	"5"	"1"	"4"	"1"	"1"	"6"	"62"	"4"	"1"	"12"	"20"	"0"	"0"	"3"	"680"
"466"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"467"	"190"	"100"	"23"	"0"	"2"	"446"	"4"	"1"	"3"	"3"	"0"	"6"	"2"	"25"	"3"	"1"	"5"	"4"	"0"	"2"	"2"	"632"
"468"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"469"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"470"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"471"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"472"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"473"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"474"	"191"	"451"	"42"	"3"	"8"	"50"	"1"	"4"	"1"	"0"	"1"	"2"	"3"	"73"	"6"	"2"	"11"	"9"	"1"	"2"	"4"	"674"
"475"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"476"	"192"	"454"	"18"	"0"	"1"	"9"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"31"	"2"	"1"	"5"	"3"	"1"	"6"	"0"	"535"
"477"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"478"	"193"	"246"	"6"	"1"	"0"	"114"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"32"	"4"	"0"	"4"	"0"	"0"	"6"	"1"	"418"
"479"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"480"	"193A"	"143"	"7"	"0"	"0"	"113"	"1"	"1"	"0"	"1"	"1"	"6"	"0"	"21"	"4"	"4"	"11"	"4"	"1"	"2"	"0"	"320"
"481"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"482"	"194"	"248"	"35"	"1"	"0"	"97"	"2"	"1"	"0"	"0"	"1"	"2"	"4"	"57"	"5"	"5"	"14"	"4"	"4"	"36"	"2"	"518"
"483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"484"	"195"	"214"	"102"	"1"	"10"	"103"	"2"	"9"	"1"	"3"	"2"	"3"	"7"	"82"	"10"	"8"	"18"	"5"	"2"	"6"	"3"	"591"
"485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"486"	"196"	"57"	"134"	"4"	"7"	"82"	"2"	"11"	"2"	"1"	"0"	"1"	"1"	"22"	"2"	"6"	"10"	"4"	"10"	"6"	"6"	"368"
"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"488"	"197"	"257"	"27"	"2"	"5"	"161"	"4"	"2"	"2"	"2"	"2"	"9"	"28"	"79"	"10"	"4"	"12"	"11"	"8"	"5"	"1"	"631"
"489"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"490"	"198"	"87"	"13"	"1"	"1"	"125"	"1"	"1"	"2"	"0"	"0"	"0"	"4"	"25"	"1"	"0"	"5"	"1"	"0"	"2"	"0"	"269"
"491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"492"	"199"	"151"	"4"	"0"	"2"	"348"	"2"	"5"	"0"	"1"	"2"	"2"	"4"	"29"	"3"	"5"	"9"	"2"	"0"	"0"	"0"	"569"
"493"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"494"	"200"	"43"	"29"	"4"	"4"	"69"	"206"	"18"	"4"	"9"	"31"	"15"	"223"	"16"	"16"	"12"	"19"	"5"	"3"	"0"	"5"	"731"
"495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"496"	"201"	"14"	"5"	"5"	"3"	"31"	"109"	"6"	"4"	"2"	"17"	"3"	"109"	"6"	"8"	"5"	"6"	"2"	"2"	"1"	"2"	"340"
"497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"498"	"202"	"13"	"9"	"0"	"1"	"20"	"99"	"4"	"0"	"3"	"10"	"9"	"303"	"14"	"6"	"7"	"16"	"0"	"0"	"1"	"3"	"518"
"499"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"500"	"203"	"392"	"73"	"4"	"39"	"1"	"3"	"1"	"3"	"0"	"2"	"3"	"11"	"39"	"11"	"9"	"6"	"19"	"4"	"5"	"6"	"631"
"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"502"	"204"	"216"	"61"	"1"	"17"	"40"	"8"	"4"	"2"	"4"	"5"	"2"	"35"	"45"	"6"	"4"	"21"	"5"	"6"	"3"	"3"	"488"
"503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"504"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"505"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"506"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"507"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"508"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"509"	"205"	"53"	"5"	"1"	"3"	"161"	"15"	"8"	"4"	"7"	"2"	"16"	"349"	"27"	"6"	"6"	"17"	"7"	"0"	"1"	"6"	"694"
"510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"511"	"206"	"14"	"7"	"2"	"2"	"58"	"3"	"1"	"3"	"1"	"5"	"9"	"233"	"19"	"2"	"0"	"8"	"0"	"0"	"0"	"3"	"370"
"512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"513"	"206A"	"58"	"29"	"1"	"13"	"90"	"16"	"3"	"1"	"1"	"5"	"9"	"217"	"13"	"3"	"0"	"8"	"1"	"1"	"2"	"5"	"476"
"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	"207"	"125"	"13"	"0"	"29"	"76"	"9"	"6"	"1"	"4"	"3"	"2"	"16"	"67"	"5"	"7"	"39"	"12"	"10"	"6"	"2"	"432"
"516"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"517"	"207A"	"66"	"4"	"0"	"15"	"222"	"2"	"4"	"0"	"1"	"0"	"5"	"13"	"19"	"5"	"4"	"12"	"16"	"6"	"3"	"17"	"414"
"518"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"519"	"208"	"109"	"10"	"5"	"27"	"130"	"0"	"5"	"2"	"2"	"3"	"6"	"13"	"42"	"3"	"6"	"19"	"3"	"6"	"1"	"1"	"393"
"520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"521"	"209"	"53"	"28"	"1"	"19"	"227"	"4"	"4"	"0"	"4"	"3"	"4"	"13"	"33"	"3"	"6"	"23"	"4"	"1"	"7"	"4"	"441"
"522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	"210"	"150"	"11"	"3"	"82"	"141"	"5"	"12"	"1"	"4"	"2"	"6"	"34"	"60"	"12"	"5"	"34"	"3"	"28"	"7"	"5"	"605"
"524"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"525"	"211"	"74"	"18"	"0"	"14"	"76"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"40"	"8"	"4"	"12"	"4"	"0"	"66"	"4"	"329"
"526"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"527"	"212"	"69"	"41"	"2"	"19"	"116"	"5"	"5"	"3"	"1"	"4"	"7"	"11"	"73"	"15"	"6"	"26"	"8"	"7"	"22"	"3"	"443"
"528"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"529"	"213"	"29"	"18"	"1"	"8"	"238"	"7"	"3"	"0"	"4"	"0"	"2"	"9"	"7"	"4"	"3"	"21"	"3"	"0"	"3"	"1"	"361"
"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
