"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"295"	"278"	"136"	"7"	"92"	"19"	"2"	"172"	"2"	"0"	"15"	"3"	"7"	"10"	"6"	"70"	"29"	"18"	"588"	"0"	"588"	"0"
"296"	"279"	"84"	"8"	"388"	"23"	"4"	"39"	"3"	"2"	"5"	"55"	"3"	"7"	"7"	"91"	"4"	"67"	"790"	"0"	"790"	"0"
"297"	"280"	"262"	"8"	"45"	"8"	"3"	"124"	"2"	"2"	"4"	"1"	"4"	"3"	"1"	"28"	"2"	"14"	"511"	"0"	"511"	"0"
"298"	"281"	"76"	"10"	"234"	"10"	"4"	"87"	"2"	"3"	"9"	"8"	"5"	"4"	"11"	"23"	"5"	"65"	"556"	"0"	"556"	"0"
"299"	"282"	"179"	"5"	"34"	"21"	"4"	"86"	"4"	"3"	"6"	"20"	"4"	"7"	"6"	"14"	"128"	"47"	"568"	"0"	"568"	"0"
"300"	"283"	"248"	"6"	"23"	"4"	"1"	"119"	"0"	"0"	"1"	"3"	"2"	"3"	"2"	"73"	"5"	"18"	"508"	"0"	"508"	"0"
"301"	"284"	"82"	"4"	"42"	"4"	"5"	"130"	"4"	"2"	"5"	"68"	"14"	"4"	"4"	"35"	"2"	"21"	"426"	"0"	"426"	"0"
"302"	"285"	"3"	"2"	"7"	"3"	"0"	"232"	"6"	"8"	"3"	"38"	"8"	"2"	"1"	"2"	"0"	"14"	"329"	"0"	"329"	"0"
"303"	"286"	"121"	"2"	"68"	"13"	"6"	"67"	"2"	"1"	"3"	"2"	"4"	"2"	"2"	"48"	"3"	"10"	"354"	"0"	"354"	"0"
"304"	"287"	"122"	"1"	"5"	"3"	"0"	"19"	"0"	"0"	"0"	"2"	"0"	"1"	"7"	"113"	"0"	"3"	"276"	"0"	"276"	"0"
"305"	"288"	"41"	"5"	"27"	"5"	"6"	"145"	"9"	"8"	"15"	"113"	"19"	"8"	"8"	"8"	"6"	"20"	"443"	"0"	"443"	"0"
"306"	"289"	"101"	"0"	"7"	"4"	"3"	"115"	"0"	"0"	"3"	"3"	"0"	"1"	"4"	"1"	"2"	"7"	"251"	"0"	"251"	"0"
"307"	"290"	"120"	"4"	"0"	"12"	"0"	"6"	"0"	"1"	"3"	"0"	"2"	"0"	"0"	"40"	"12"	"1"	"201"	"0"	"201"	"0"
"308"	"291"	"46"	"4"	"83"	"60"	"8"	"96"	"4"	"2"	"13"	"13"	"17"	"6"	"4"	"35"	"9"	"73"	"473"	"0"	"473"	"0"
"309"	"292"	"212"	"6"	"44"	"8"	"3"	"62"	"0"	"2"	"2"	"61"	"5"	"8"	"2"	"13"	"27"	"8"	"463"	"0"	"463"	"0"
"310"	"293"	"83"	"10"	"157"	"24"	"2"	"36"	"3"	"3"	"4"	"23"	"0"	"19"	"5"	"27"	"4"	"35"	"435"	"0"	"435"	"0"
"311"	"294"	"120"	"10"	"93"	"28"	"31"	"179"	"7"	"8"	"16"	"42"	"12"	"6"	"9"	"23"	"27"	"51"	"662"	"0"	"662"	"0"
"312"	"295"	"50"	"5"	"22"	"5"	"5"	"42"	"4"	"1"	"10"	"178"	"8"	"4"	"5"	"33"	"6"	"8"	"386"	"0"	"386"	"0"
"313"	"296"	"12"	"0"	"57"	"11"	"34"	"31"	"4"	"2"	"5"	"71"	"3"	"2"	"6"	"6"	"0"	"38"	"282"	"0"	"282"	"0"
"314"	"297"	"103"	"0"	"49"	"4"	"0"	"96"	"3"	"0"	"5"	"23"	"4"	"10"	"3"	"162"	"0"	"12"	"474"	"0"	"474"	"0"
"315"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"316"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"317"	"298"	"175"	"5"	"15"	"3"	"0"	"27"	"0"	"2"	"0"	"94"	"6"	"4"	"3"	"72"	"1"	"7"	"414"	"0"	"414"	"0"
"318"	"299"	"170"	"2"	"0"	"2"	"0"	"13"	"0"	"0"	"0"	"25"	"0"	"0"	"1"	"25"	"0"	"2"	"240"	"0"	"240"	"0"
"319"	"300"	"37"	"0"	"7"	"10"	"0"	"113"	"4"	"1"	"3"	"46"	"7"	"9"	"2"	"7"	"1"	"11"	"258"	"0"	"258"	"0"
"320"	"301"	"103"	"0"	"10"	"13"	"2"	"21"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"26"	"0"	"8"	"186"	"0"	"186"	"0"
"321"	"302"	"67"	"2"	"45"	"10"	"18"	"21"	"0"	"0"	"3"	"41"	"2"	"19"	"3"	"21"	"2"	"5"	"259"	"0"	"259"	"0"
"322"	"No. of votes recorded on postal ballot
papers"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1"	"1"	"2"	"0"
"323"	"Total"	"38965"	"2708"	"11264"	"3254"	"1049"	"36613"	"811"	"634"	"1963"	"4004"	"2562"	"3030"	"1089"	"11812"	"2040"	"9974"	"131772"	"1"	"131773"	"0"
"324"	"Place : A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Date : 24th November 2010                                                                                                                                 Assistant Returning Officer                                                                               Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
