"Candidates.Name.....Booth.No......"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"254"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"255"	"192"	"61"	"3"	"32"	"265"	"12"	"3"	"4"	"3"	"1"	"2"	"1"	"9"	"8"	"2"	"5"	"17"	"7"	"4"	"6"	"15"	"8"	"468"
"256"	"193"	"59"	"3"	"313"	"223"	"58"	"4"	"1"	"4"	"0"	"1"	"4"	"5"	"7"	"17"	"7"	"12"	"6"	"4"	"12"	"7"	"4"	"751"
"257"	"194"	"243"	"12"	"101"	"274"	"43"	"8"	"22"	"5"	"4"	"4"	"1"	"9"	"12"	"8"	"4"	"30"	"11"	"3"	"4"	"11"	"6"	"815"
"258"	"195"	"58"	"19"	"260"	"111"	"9"	"4"	"4"	"8"	"7"	"1"	"0"	"3"	"12"	"27"	"2"	"19"	"4"	"1"	"6"	"3"	"0"	"558"
"259"	"196"	"56"	"35"	"387"	"72"	"8"	"3"	"3"	"9"	"1"	"4"	"2"	"2"	"1"	"7"	"4"	"16"	"4"	"3"	"7"	"5"	"0"	"629"
"260"	"197"	"76"	"4"	"76"	"374"	"39"	"1"	"5"	"5"	"13"	"4"	"5"	"4"	"7"	"1"	"3"	"16"	"3"	"1"	"2"	"6"	"5"	"650"
"261"	"198"	"69"	"2"	"78"	"105"	"7"	"1"	"2"	"0"	"2"	"3"	"1"	"3"	"4"	"8"	"1"	"16"	"1"	"0"	"1"	"3"	"2"	"309"
"262"	"199"	"71"	"6"	"82"	"476"	"10"	"2"	"4"	"2"	"6"	"1"	"6"	"6"	"8"	"1"	"1"	"10"	"2"	"0"	"0"	"3"	"2"	"699"
"263"	"200"	"40"	"5"	"112"	"198"	"37"	"1"	"5"	"2"	"63"	"3"	"4"	"2"	"4"	"1"	"1"	"10"	"0"	"0"	"3"	"2"	"3"	"496"
"264"	"201"	"54"	"69"	"90"	"247"	"16"	"2"	"6"	"4"	"2"	"3"	"5"	"3"	"5"	"4"	"5"	"19"	"4"	"6"	"2"	"13"	"7"	"566"
"265"	"202"	"128"	"124"	"113"	"205"	"4"	"3"	"1"	"1"	"1"	"1"	"4"	"3"	"4"	"3"	"5"	"17"	"2"	"2"	"4"	"1"	"4"	"630"
"266"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"268"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"269"	"203"	"28"	"36"	"88"	"454"	"10"	"2"	"6"	"3"	"2"	"2"	"2"	"11"	"6"	"7"	"3"	"5"	"14"	"3"	"6"	"13"	"4"	"705"
"270"	"204"	"56"	"9"	"191"	"385"	"17"	"3"	"8"	"4"	"4"	"5"	"6"	"11"	"16"	"16"	"10"	"50"	"3"	"1"	"5"	"3"	"7"	"810"
"271"	"205"	"30"	"1"	"7"	"82"	"15"	"0"	"2"	"1"	"2"	"0"	"0"	"8"	"3"	"2"	"3"	"8"	"0"	"0"	"1"	"3"	"0"	"168"
"272"	"206"	"173"	"14"	"73"	"446"	"28"	"4"	"2"	"0"	"1"	"2"	"1"	"5"	"5"	"3"	"8"	"16"	"1"	"1"	"5"	"3"	"3"	"794"
"273"	"207"	"36"	"29"	"132"	"173"	"5"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"382"
"274"	"208"	"59"	"57"	"276"	"229"	"23"	"1"	"4"	"0"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"2"	"4"	"7"	"0"	"8"	"2"	"679"
"275"	"209"	"53"	"51"	"90"	"221"	"18"	"4"	"6"	"13"	"2"	"6"	"3"	"11"	"20"	"13"	"7"	"26"	"3"	"8"	"4"	"48"	"6"	"613"
"276"	"210"	"16"	"26"	"49"	"404"	"9"	"2"	"3"	"2"	"0"	"2"	"0"	"2"	"3"	"0"	"4"	"2"	"7"	"0"	"1"	"4"	"5"	"541"
"277"	"211"	"10"	"63"	"53"	"393"	"4"	"2"	"1"	"0"	"1"	"1"	"2"	"4"	"102"	"1"	"5"	"3"	"1"	"7"	"1"	"5"	"7"	"666"
"278"	"212"	"34"	"13"	"38"	"382"	"5"	"2"	"5"	"2"	"4"	"1"	"0"	"8"	"36"	"2"	"1"	"1"	"10"	"17"	"7"	"22"	"6"	"596"
"279"	"213"	"36"	"47"	"124"	"206"	"31"	"3"	"2"	"4"	"3"	"0"	"1"	"4"	"40"	"3"	"8"	"14"	"1"	"3"	"5"	"3"	"5"	"543"
"280"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"282"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"283"	"214"	"31"	"112"	"71"	"375"	"13"	"1"	"0"	"2"	"1"	"1"	"1"	"4"	"140"	"3"	"3"	"2"	"17"	"7"	"6"	"8"	"6"	"804"
"284"	"215"	"21"	"15"	"20"	"221"	"10"	"4"	"1"	"1"	"2"	"0"	"1"	"6"	"4"	"1"	"1"	"3"	"0"	"2"	"2"	"2"	"2"	"319"
"285"	"216"	"272"	"17"	"81"	"59"	"7"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"9"	"14"	"2"	"1"	"3"	"1"	"471"
"286"	"217"	"246"	"3"	"98"	"108"	"55"	"0"	"1"	"1"	"0"	"0"	"2"	"3"	"0"	"3"	"2"	"6"	"6"	"0"	"2"	"1"	"1"	"538"
"287"	"218"	"81"	"5"	"129"	"122"	"48"	"1"	"3"	"2"	"2"	"39"	"1"	"3"	"3"	"2"	"1"	"5"	"5"	"1"	"2"	"3"	"1"	"459"
"288"	"219"	"224"	"20"	"43"	"67"	"37"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"13"	"3"	"3"	"1"	"4"	"422"
"289"	"220"	"101"	"2"	"14"	"263"	"79"	"1"	"3"	"2"	"1"	"1"	"1"	"1"	"4"	"0"	"0"	"1"	"23"	"9"	"2"	"6"	"6"	"520"
"290"	"221"	"167"	"28"	"46"	"73"	"49"	"3"	"5"	"0"	"0"	"1"	"2"	"7"	"5"	"3"	"3"	"15"	"5"	"2"	"1"	"1"	"2"	"418"
"291"	"221A"	"101"	"37"	"71"	"156"	"18"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"3"	"12"	"4"	"1"	"3"	"3"	"2"	"419"
"292"	"222"	"221"	"7"	"18"	"7"	"52"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"1"	"0"	"0"	"0"	"316"
"293"	"223"	"34"	"5"	"42"	"321"	"55"	"5"	"11"	"9"	"11"	"3"	"10"	"12"	"14"	"14"	"5"	"21"	"0"	"1"	"0"	"3"	"3"	"579"
"294"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"296"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"297"	"224"	"30"	"1"	"31"	"345"	"71"	"1"	"10"	"8"	"0"	"5"	"5"	"4"	"5"	"3"	"8"	"21"	"4"	"3"	"6"	"9"	"9"	"579"
"298"	"225"	"29"	"2"	"40"	"206"	"43"	"0"	"99"	"4"	"5"	"5"	"5"	"8"	"8"	"1"	"9"	"18"	"2"	"0"	"5"	"9"	"9"	"507"
"299"	"226"	"36"	"2"	"37"	"230"	"32"	"1"	"8"	"2"	"0"	"1"	"1"	"4"	"8"	"0"	"4"	"6"	"11"	"0"	"1"	"5"	"12"	"401"
"300"	"227"	"36"	"0"	"17"	"153"	"435"	"4"	"4"	"2"	"4"	"2"	"1"	"4"	"2"	"2"	"0"	"0"	"2"	"0"	"5"	"1"	"0"	"674"
"301"	"228"	"39"	"5"	"126"	"247"	"82"	"14"	"9"	"4"	"1"	"7"	"5"	"5"	"4"	"5"	"6"	"5"	"11"	"1"	"5"	"10"	"3"	"594"
"302"	"229"	"13"	"16"	"49"	"42"	"318"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"4"	"0"	"1"	"450"
"303"	"229A"	"41"	"26"	"73"	"30"	"181"	"0"	"3"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"1"	"0"	"364"
"304"	"230"	"381"	"5"	"34"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"12"	"16"	"1"	"1"	"0"	"1"	"465"
"305"	"230A"	"339"	"7"	"20"	"7"	"2"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"25"	"11"	"1"	"0"	"0"	"1"	"422"
"306"	"231"	"139"	"8"	"132"	"47"	"62"	"1"	"3"	"4"	"2"	"3"	"0"	"1"	"1"	"2"	"2"	"12"	"5"	"2"	"1"	"2"	"1"	"430"
"307"	"232"	"56"	"87"	"252"	"79"	"95"	"4"	"4"	"3"	"3"	"1"	"0"	"7"	"3"	"11"	"5"	"7"	"11"	"3"	"10"	"7"	"7"	"655"
"308"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"310"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"311"	"233"	"25"	"28"	"259"	"162"	"177"	"3"	"6"	"4"	"5"	"2"	"1"	"8"	"1"	"5"	"0"	"10"	"4"	"1"	"2"	"4"	"4"	"711"
"312"	"234"	"32"	"38"	"177"	"73"	"22"	"0"	"4"	"3"	"1"	"4"	"2"	"1"	"4"	"18"	"3"	"11"	"5"	"12"	"14"	"14"	"2"	"440"
"313"	"Total :"	"26299"	"5147"	"18561"	"48629"	"7936"	"812"	"819"	"865"	"472"	"1005"	"514"	"967"	"1318"	"1188"	"835"	"2375"	"1068"	"565"	"724"	"1149"	"761"	"122009"
"314"	"Postal Ballot"	"7"	"0"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13"
"315"	"Grand Total :"	"26306"	"5147"	"18562"	"48633"	"7937"	"812"	"819"	"865"	"472"	"1005"	"514"	"967"	"1318"	"1188"	"835"	"2375"	"1068"	"565"	"724"	"1149"	"761"	"122022"
"316"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"318"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"319"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"23 - RIGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
