"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"
"182"	"167"	"99"	""	"34"	""	"6"	""	"140"	""	""	"3"	""	"4"	""	"1"	""	"3"	""	"5"	""	"4"	""	"2"	""	"2"	""	"5"	""	"2"	""	"4"	""	"80"	""	"17"	""	"7"	""	"2"	""	"4"	""	"19"	""	"6"	""	"449"	""
"183"	"168"	"254"	""	"269"	""	"12"	""	"15"	""	""	"2"	""	"11"	""	"2"	""	"1"	""	"5"	""	"6"	""	"3"	""	"5"	""	"3"	""	"2"	""	"3"	""	"27"	""	"33"	""	"5"	""	"1"	""	"2"	""	"40"	""	"2"	""	"703"	""
"184"	"169"	"157"	""	"79"	""	"3"	""	"50"	""	""	"2"	""	"29"	""	"2"	""	"2"	""	"7"	""	"4"	""	"2"	""	"1"	""	"2"	""	"3"	""	"5"	""	"37"	""	"64"	""	"0"	""	"1"	""	"2"	""	"109"	""	"6"	""	"567"	""
"185"	"170"	"165"	""	"118"	""	"3"	""	"135"	""	""	"6"	""	"20"	""	"5"	""	"3"	""	"8"	""	"12"	""	"5"	""	"4"	""	"15"	""	"11"	""	"11"	""	"51"	""	"114"	""	"23"	""	"2"	""	"9"	""	"74"	""	"17"	""	"811"	""
"186"	"171"	"90"	""	"8"	""	"1"	""	"23"	""	""	"3"	""	"12"	""	"1"	""	"2"	""	"31"	""	"2"	""	"2"	""	"1"	""	"4"	""	"3"	""	"9"	""	"367"	""	"72"	""	"13"	""	"6"	""	"9"	""	"225"	""	"21"	""	"905"	""
"187"	"172"	"127"	""	"15"	""	"4"	""	"74"	""	""	"3"	""	"49"	""	"4"	""	"4"	""	"11"	""	"4"	""	"4"	""	"3"	""	"1"	""	"3"	""	"5"	""	"265"	""	"5"	""	"2"	""	"0"	""	"1"	""	"12"	""	"5"	""	"601"	""
"188"	"173"	"103"	""	"13"	""	"4"	""	"31"	""	""	"2"	""	"17"	""	"3"	""	"0"	""	"9"	""	"4"	""	"1"	""	"4"	""	"2"	""	"5"	""	"3"	""	"213"	""	"5"	""	"2"	""	"1"	""	"1"	""	"29"	""	"3"	""	"455"	""
"189"	"174"	"119"	""	"15"	""	"3"	""	"17"	""	""	"1"	""	"63"	""	"2"	""	"0"	""	"7"	""	"11"	""	"3"	""	"6"	""	"6"	""	"9"	""	"17"	""	"654"	""	"6"	""	"0"	""	"0"	""	"1"	""	"24"	""	"7"	""	"971"	""
"190"	"175"	"171"	""	"146"	""	"7"	""	"30"	""	""	"1"	""	"67"	""	"5"	""	"7"	""	"3"	""	"4"	""	"4"	""	"7"	""	"2"	""	"3"	""	"8"	""	"47"	""	"21"	""	"4"	""	"1"	""	"1"	""	"82"	""	"5"	""	"626"	""
"191"	"176"	"133"	""	"501"	""	"5"	""	"15"	""	""	"0"	""	"32"	""	"0"	""	"5"	""	"0"	""	"4"	""	"0"	""	"3"	""	"2"	""	"1"	""	"2"	""	"6"	""	"1"	""	"0"	""	"1"	""	"0"	""	"2"	""	"0"	""	"713"	""
"192"	"177"	"247"	""	"87"	""	"13"	""	"57"	""	""	"5"	""	"58"	""	"4"	""	"4"	""	"6"	""	"6"	""	"3"	""	"4"	""	"2"	""	"4"	""	"1"	""	"77"	""	"21"	""	"1"	""	"2"	""	"1"	""	"5"	""	"4"	""	"612"	""
"193"	"178"	"219"	""	"129"	""	"9"	""	"47"	""	""	"1"	""	"71"	""	"1"	""	"1"	""	"3"	""	"1"	""	"1"	""	"1"	""	"2"	""	"2"	""	"3"	""	"32"	""	"8"	""	"4"	""	"1"	""	"1"	""	"9"	""	"1"	""	"547"	""
"194"	"179"	"224"	""	"29"	""	"4"	""	"28"	""	""	"2"	""	"32"	""	"2"	""	"1"	""	"1"	""	"3"	""	"3"	""	"0"	""	"1"	""	"1"	""	"1"	""	"17"	""	"27"	""	"2"	""	"0"	""	"0"	""	"17"	""	"5"	""	"400"	""
"195"	"179A"	"290"	""	"13"	""	"1"	""	"65"	""	""	"3"	""	"39"	""	"0"	""	"0"	""	"6"	""	"4"	""	"0"	""	"4"	""	"2"	""	"2"	""	"4"	""	"19"	""	"34"	""	"7"	""	"0"	""	"2"	""	"11"	""	"4"	""	"510"	""
"196"	"180"	"147"	""	"33"	""	"9"	""	"109"	""	""	"2"	""	"22"	""	"4"	""	"0"	""	"1"	""	"5"	""	"1"	""	"5"	""	"8"	""	"4"	""	"5"	""	"30"	""	"8"	""	"0"	""	"0"	""	"0"	""	"40"	""	"3"	""	"436"	""
"197"	"181"	"274"	""	"36"	""	"6"	""	"49"	""	""	"6"	""	"37"	""	"4"	""	"4"	""	"8"	""	"9"	""	"4"	""	"4"	""	"12"	""	"8"	""	"5"	""	"51"	""	"64"	""	"15"	""	"15"	""	"7"	""	"30"	""	"16"	""	"664"	""
"198"	"182"	"152"	""	"68"	""	"9"	""	"554"	""	""	"16"	""	"27"	""	"4"	""	"5"	""	"5"	""	"9"	""	"12"	""	"12"	""	"20"	""	"10"	""	"9"	""	"49"	""	"16"	""	"6"	""	"2"	""	"7"	""	"13"	""	"7"	""	"1012"	""
"199"	"183"	"76"	""	"151"	""	"7"	""	"4"	""	""	"1"	""	"45"	""	"4"	""	"3"	""	"3"	""	"7"	""	"2"	""	"0"	""	"0"	""	"1"	""	"0"	""	"4"	""	"1"	""	"1"	""	"0"	""	"0"	""	"32"	""	"2"	""	"344"	""
"200"	"184"	"186"	""	"32"	""	"2"	""	"8"	""	""	"2"	""	"69"	""	"4"	""	"3"	""	"2"	""	"2"	""	"3"	""	"3"	""	"0"	""	"10"	""	"2"	""	"24"	""	"9"	""	"5"	""	"1"	""	"3"	""	"32"	""	"6"	""	"408"	""
"201"	"184A"	"153"	""	"72"	""	"2"	""	"4"	""	""	"3"	""	"57"	""	"3"	""	"1"	""	"3"	""	"4"	""	"3"	""	"2"	""	"2"	""	"3"	""	"3"	""	"10"	""	"6"	""	"2"	""	"2"	""	"0"	""	"95"	""	"6"	""	"436"	""
"202"	"185"	"113"	""	"303"	""	"8"	""	"10"	""	""	"1"	""	"62"	""	"5"	""	"2"	""	"5"	""	"2"	""	"1"	""	"4"	""	"1"	""	"2"	""	"5"	""	"28"	""	"10"	""	"3"	""	"3"	""	"3"	""	"61"	""	"6"	""	"638"	""
"203"	"186"	"131"	""	"18"	""	"2"	""	"11"	""	""	"3"	""	"146"	""	"2"	""	"2"	""	"6"	""	"7"	""	"4"	""	"6"	""	"4"	""	"7"	""	"8"	""	"36"	""	"8"	""	"0"	""	"0"	""	"1"	""	"15"	""	"11"	""	"428"	""
"204"	"187"	"96"	""	"36"	""	"5"	""	"28"	""	""	"7"	""	"508"	""	"8"	""	"2"	""	"5"	""	"10"	""	"9"	""	"7"	""	"5"	""	"2"	""	"3"	""	"19"	""	"12"	""	"8"	""	"2"	""	"4"	""	"18"	""	"26"	""	"820"	""
"205"	"188"	"136"	""	"107"	""	"5"	""	"8"	""	""	"4"	""	"96"	""	"5"	""	"0"	""	"3"	""	"3"	""	"5"	""	"4"	""	"4"	""	"3"	""	"9"	""	"28"	""	"34"	""	"23"	""	"11"	""	"10"	""	"72"	""	"17"	""	"587"	""
"206"	"189"	"247"	""	"21"	""	"3"	""	"31"	""	""	"1"	""	"125"	""	"8"	""	"3"	""	"32"	""	"7"	""	"3"	""	"2"	""	"8"	""	"8"	""	"7"	""	"38"	""	"29"	""	"3"	""	"4"	""	"4"	""	"10"	""	"12"	""	"606"	""
"207"	"190"	"169"	""	"62"	""	"11"	""	"14"	""	""	"6"	""	"75"	""	"4"	""	"6"	""	"30"	""	"18"	""	"5"	""	"7"	""	"4"	""	"4"	""	"10"	""	"13"	""	"22"	""	"9"	""	"2"	""	"9"	""	"287"	""	"7"	""	"774"	""
"208"	"191"	"119"	""	"43"	""	"2"	""	"9"	""	""	"0"	""	"27"	""	"1"	""	"4"	""	"2"	""	"3"	""	"3"	""	"1"	""	"0"	""	"1"	""	"4"	""	"7"	""	"20"	""	"10"	""	"10"	""	"9"	""	"179"	""	"9"	""	"463"	""
"209"	"192"	"109"	""	"1"	""	"0"	""	"5"	""	""	"0"	""	"29"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"8"	""	"7"	""	"1"	""	"1"	""	"0"	""	"171"	""	"3"	""	"336"	""
"210"	"193"	"214"	""	"50"	""	"6"	""	"125"	""	""	"3"	""	"49"	""	"2"	""	"3"	""	"6"	""	"11"	""	"6"	""	"5"	""	"13"	""	"7"	""	"8"	""	"36"	""	"29"	""	"8"	""	"2"	""	"6"	""	"21"	""	"8"	""	"618"	""
"211"	"194"	"98"	""	"85"	""	"147"	""	"62"	""	""	"2"	""	"46"	""	"0"	""	"0"	""	"2"	""	"3"	""	"0"	""	"2"	""	"10"	""	"4"	""	"10"	""	"16"	""	"8"	""	"11"	""	"7"	""	"4"	""	"22"	""	"12"	""	"551"	""
"212"	"195"	"56"	""	"129"	""	"1"	""	"19"	""	""	"1"	""	"59"	""	"15"	""	"2"	""	"1"	""	"1"	""	"1"	""	"2"	""	"1"	""	"1"	""	"1"	""	"21"	""	"13"	""	"4"	""	"5"	""	"11"	""	"48"	""	"9"	""	"401"	""
"213"	"196"	"34"	""	"234"	""	"4"	""	"14"	""	""	"4"	""	"168"	""	"18"	""	"10"	""	"3"	""	"10"	""	"6"	""	"5"	""	"1"	""	"3"	""	"17"	""	"9"	""	"6"	""	"4"	""	"3"	""	"1"	""	"5"	""	"1"	""	"560"	""
"214"	"197"	"65"	""	"27"	""	"3"	""	"160"	""	""	"9"	""	"12"	""	"0"	""	"2"	""	"89"	""	"9"	""	"8"	""	"4"	""	"4"	""	"4"	""	"11"	""	"56"	""	"54"	""	"7"	""	"2"	""	"8"	""	"13"	""	"7"	""	"554"	""
"215"	"198"	"145"	""	"31"	""	"7"	""	"120"	""	""	"2"	""	"31"	""	"0"	""	"2"	""	"63"	""	"10"	""	"2"	""	"1"	""	"6"	""	"8"	""	"6"	""	"44"	""	"11"	""	"1"	""	"1"	""	"6"	""	"168"	""	"3"	""	"668"	""
"216"	"199"	"90"	""	"201"	""	"4"	""	"17"	""	""	"1"	""	"23"	""	"5"	""	"2"	""	"7"	""	"5"	""	"0"	""	"3"	""	"3"	""	"1"	""	"4"	""	"23"	""	"16"	""	"10"	""	"2"	""	"2"	""	"49"	""	"5"	""	"473"	""
"217"	"200"	"75"	""	"74"	""	"1"	""	"11"	""	""	"2"	""	"63"	""	"1"	""	"3"	""	"4"	""	"4"	""	"3"	""	"3"	""	"2"	""	"6"	""	"42"	""	"47"	""	"35"	""	"9"	""	"6"	""	"6"	""	"167"	""	"13"	""	"577"	""
"218"	"201"	"210"	""	"75"	""	"6"	""	"6"	""	""	"1"	""	"24"	""	"6"	""	"3"	""	"10"	""	"16"	""	"3"	""	"3"	""	"5"	""	"5"	""	"13"	""	"42"	""	"62"	""	"6"	""	"3"	""	"11"	""	"129"	""	"9"	""	"648"	""
"219"	"202"	"142"	""	"68"	""	"3"	""	"7"	""	""	"1"	""	"20"	""	"0"	""	"1"	""	"1"	""	"2"	""	"2"	""	"0"	""	"1"	""	"1"	""	"3"	""	"41"	""	"15"	""	"3"	""	"2"	""	"2"	""	"206"	""	"4"	""	"525"	""
"220"	"203"	"191"	""	"100"	""	"2"	""	"21"	""	""	"0"	""	"8"	""	"8"	""	"1"	""	"5"	""	"9"	""	"3"	""	"4"	""	"3"	""	"2"	""	"25"	""	"70"	""	"47"	""	"9"	""	"4"	""	"7"	""	"123"	""	"25"	""	"667"	""
"221"	"204"	"163"	""	"39"	""	"3"	""	"42"	""	""	"3"	""	"13"	""	"2"	""	"1"	""	"6"	""	"5"	""	"5"	""	"1"	""	"4"	""	"7"	""	"4"	""	"244"	""	"29"	""	"7"	""	"5"	""	"13"	""	"110"	""	"13"	""	"719"	""
"222"	"205"	"145"	""	"57"	""	"5"	""	"76"	""	""	"1"	""	"22"	""	"1"	""	"3"	""	"12"	""	"8"	""	"2"	""	"6"	""	"4"	""	"5"	""	"6"	""	"217"	""	"29"	""	"5"	""	"2"	""	"6"	""	"87"	""	"12"	""	"711"	""
"223"	"206"	"277"	""	"31"	""	"4"	""	"12"	""	""	"8"	""	"78"	""	"0"	""	"4"	""	"8"	""	"17"	""	"5"	""	"3"	""	"4"	""	"5"	""	"11"	""	"62"	""	"80"	""	"12"	""	"3"	""	"2"	""	"104"	""	"18"	""	"748"	""
"224"	"207"	"203"	""	"26"	""	"2"	""	"1"	""	""	"2"	""	"10"	""	"2"	""	"2"	""	"6"	""	"8"	""	"2"	""	"1"	""	"0"	""	"3"	""	"3"	""	"20"	""	"22"	""	"3"	""	"1"	""	"1"	""	"115"	""	"5"	""	"438"	""
"225"	"207A"	"219"	""	"32"	""	"8"	""	"7"	""	""	"2"	""	"12"	""	"3"	""	"2"	""	"28"	""	"7"	""	"4"	""	"5"	""	"5"	""	"7"	""	"14"	""	"70"	""	"23"	""	"6"	""	"0"	""	"4"	""	"41"	""	"5"	""	"504"	""
"226"	"208"	"155"	""	"51"	""	"0"	""	"7"	""	""	"1"	""	"83"	""	"4"	""	"0"	""	"22"	""	"1"	""	"1"	""	"2"	""	"7"	""	"0"	""	"4"	""	"13"	""	"12"	""	"2"	""	"3"	""	"2"	""	"17"	""	"4"	""	"391"	""
"227"	"209"	"90"	""	"89"	""	"2"	""	"17"	""	""	"3"	""	"46"	""	"2"	""	"2"	""	"33"	""	"5"	""	"3"	""	"5"	""	"6"	""	"10"	""	"10"	""	"27"	""	"8"	""	"2"	""	"1"	""	"0"	""	"38"	""	"3"	""	"402"	""
"228"	"210"	"76"	""	"82"	""	"5"	""	"103"	""	""	"4"	""	"19"	""	"7"	""	"3"	""	"19"	""	"16"	""	"29"	""	"13"	""	"12"	""	"16"	""	"16"	""	"81"	""	"16"	""	"46"	""	"3"	""	"4"	""	"8"	""	"5"	""	"583"	""
"229"	"211"	"148"	""	"113"	""	"3"	""	"9"	""	""	"0"	""	"20"	""	"1"	""	"3"	""	"4"	""	"4"	""	"2"	""	"2"	""	"4"	""	"1"	""	"2"	""	"21"	""	"74"	""	"4"	""	"6"	""	"5"	""	"167"	""	"19"	""	"612"	""
"230"	"212"	"243"	""	"79"	""	"2"	""	"6"	""	""	"2"	""	"2"	""	"0"	""	"1"	""	"2"	""	"2"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	"12"	""	"25"	""	"0"	""	"1"	""	"5"	""	"191"	""	"5"	""	"582"	""
"231"	"213"	"252"	""	"110"	""	"5"	""	"16"	""	""	"5"	""	"123"	""	"5"	""	"4"	""	"26"	""	"16"	""	"3"	""	"3"	""	"8"	""	"15"	""	"11"	""	"46"	""	"5"	""	"2"	""	"2"	""	"2"	""	"56"	""	"2"	""	"717"	""
"232"	"214"	"129"	""	"30"	""	"5"	""	"71"	""	""	"5"	""	"93"	""	"5"	""	"4"	""	"9"	""	"6"	""	"6"	""	"8"	""	"3"	""	"6"	""	"8"	""	"22"	""	"8"	""	"0"	""	"1"	""	"2"	""	"4"	""	"2"	""	"427"	""
"233"	"214A"	"75"	""	"56"	""	"8"	""	"100"	""	""	"3"	""	"68"	""	"5"	""	"7"	""	"15"	""	"4"	""	"8"	""	"7"	""	"7"	""	"3"	""	"13"	""	"64"	""	"0"	""	"0"	""	"1"	""	"2"	""	"5"	""	"0"	""	"451"	""
"234"	"215"	"35"	""	"22"	""	"0"	""	"169"	""	""	"9"	""	"145"	""	"4"	""	"1"	""	"5"	""	"5"	""	"10"	""	"2"	""	"9"	""	"2"	""	"15"	""	"99"	""	"3"	""	"0"	""	"1"	""	"4"	""	"7"	""	"3"	""	"550"	""
"235"	"216"	"53"	""	"50"	""	"8"	""	"413"	""	""	"9"	""	"12"	""	"3"	""	"0"	""	"4"	""	"1"	""	"2"	""	"4"	""	"5"	""	"2"	""	"5"	""	"198"	""	"4"	""	"2"	""	"0"	""	"2"	""	"2"	""	"2"	""	"781"	""
"236"	"217"	"254"	""	"27"	""	"3"	""	"108"	""	""	"3"	""	"18"	""	"2"	""	"0"	""	"2"	""	"3"	""	"3"	""	"2"	""	"3"	""	"2"	""	"0"	""	"31"	""	"5"	""	"3"	""	"0"	""	"1"	""	"55"	""	"2"	""	"527"	""
"237"	"218"	"277"	""	"56"	""	"8"	""	"128"	""	""	"6"	""	"35"	""	"4"	""	"3"	""	"2"	""	"5"	""	"3"	""	"4"	""	"14"	""	"4"	""	"7"	""	"66"	""	"20"	""	"2"	""	"2"	""	"2"	""	"10"	""	"3"	""	"661"	""
"238"	"219"	"109"	""	"167"	""	"14"	""	"59"	""	""	"2"	""	"16"	""	"4"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	"3"	""	"1"	""	"2"	""	"25"	""	"1"	""	"3"	""	"0"	""	"0"	""	"15"	""	"1"	""	"426"	""
"239"	"220"	"34"	""	"3"	""	"5"	""	"513"	""	""	"5"	""	"3"	""	"2"	""	"0"	""	"1"	""	"2"	""	"1"	""	"1"	""	"2"	""	"0"	""	"5"	""	"17"	""	"1"	""	"0"	""	"1"	""	"3"	""	"20"	""	"4"	""	"623"	""
"240"	"221"	"18"	""	"7"	""	"4"	""	"286"	""	""	"10"	""	"0"	""	"4"	""	"2"	""	"4"	""	"8"	""	"5"	""	"8"	""	"13"	""	"5"	""	"10"	""	"23"	""	"29"	""	"2"	""	"1"	""	"3"	""	"54"	""	"6"	""	"502"	""
"241"	"222"	"61"	""	"21"	""	"4"	""	"71"	""	""	"6"	""	"106"	""	"9"	""	"4"	""	"10"	""	"13"	""	"7"	""	"9"	""	"5"	""	"4"	""	"9"	""	"41"	""	"3"	""	"2"	""	"2"	""	"4"	""	"88"	""	"3"	""	"482"	""
"242"	"223"	"9"	""	"171"	""	"1"	""	"3"	""	""	"0"	""	"23"	""	"25"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"3"	""	"3"	""	"7"	""	"9"	""	"2"	""	"1"	""	"19"	""	"2"	""	"282"	""
"243"	"224"	"134"	""	"56"	""	"2"	""	"9"	""	""	"3"	""	"38"	""	"17"	""	"3"	""	"4"	""	"5"	""	"5"	""	"5"	""	"4"	""	"48"	""	"6"	""	"28"	""	"9"	""	"5"	""	"2"	""	"3"	""	"49"	""	"9"	""	"444"	""
"244"	"225"	"358"	""	"18"	""	"4"	""	"4"	""	""	"1"	""	"11"	""	"1"	""	"1"	""	"1"	""	"3"	""	"0"	""	"1"	""	"2"	""	"3"	""	"0"	""	"11"	""	"14"	""	"2"	""	"2"	""	"2"	""	"35"	""	"6"	""	"480"	""
"245"	"226"	"136"	""	"42"	""	"7"	""	"17"	""	""	"7"	""	"7"	""	"406"	""	"5"	""	"4"	""	"9"	""	"1"	""	"2"	""	"3"	""	"1"	""	"6"	""	"19"	""	"0"	""	"1"	""	"1"	""	"0"	""	"5"	""	"2"	""	"681"	""
"246"	"227"	"12"	""	"75"	""	"3"	""	"4"	""	""	"1"	""	"36"	""	"217"	""	"15"	""	"1"	""	"10"	""	"1"	""	"5"	""	"2"	""	"5"	""	"7"	""	"25"	""	"1"	""	"0"	""	"0"	""	"2"	""	"2"	""	"6"	""	"430"	""
"247"	"227A"	"23"	""	"6"	""	"1"	""	"3"	""	""	"0"	""	"12"	""	"252"	""	"6"	""	"1"	""	"13"	""	"2"	""	"2"	""	"1"	""	"3"	""	"4"	""	"17"	""	"12"	""	"3"	""	"1"	""	"4"	""	"6"	""	"55"	""	"427"	""
"248"	"228"	"98"	""	"274"	""	"9"	""	"0"	""	""	"3"	""	"2"	""	"12"	""	"5"	""	"1"	""	"3"	""	"1"	""	"1"	""	"2"	""	"0"	""	"3"	""	"5"	""	"39"	""	"1"	""	"0"	""	"2"	""	"14"	""	"2"	""	"477"	""
"249"	"229"	"26"	""	"220"	""	"6"	""	"18"	""	""	"2"	""	"13"	""	"66"	""	"7"	""	"2"	""	"4"	""	"1"	""	"1"	""	"2"	""	"6"	""	"21"	""	"22"	""	"11"	""	"8"	""	"3"	""	"1"	""	"10"	""	"4"	""	"454"	""
"250"	"230"	"81"	""	"27"	""	"4"	""	"175"	""	""	"2"	""	"7"	""	"0"	""	"2"	""	"6"	""	"6"	""	"2"	""	"3"	""	"3"	""	"3"	""	"36"	""	"20"	""	"49"	""	"5"	""	"4"	""	"2"	""	"38"	""	"3"	""	"478"	""
"251"	"231"	"103"	""	"10"	""	"1"	""	"107"	""	""	"4"	""	"5"	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"2"	""	"0"	""	"1"	""	"22"	""	"32"	""	"14"	""	"6"	""	"4"	""	"6"	""	"40"	""	"13"	""	"374"	""
"252"	"232"	"283"	""	"147"	""	"17"	""	"60"	""	""	"1"	""	"33"	""	"8"	""	"1"	""	"7"	""	"6"	""	"2"	""	"5"	""	"4"	""	"2"	""	"4"	""	"94"	""	"8"	""	"3"	""	"4"	""	"2"	""	"72"	""	"7"	""	"770"	""
"253"	"Total:"	"46242"	""	"26745"	""	"1309"	""	"8481"	""	""	"637"	""	"7059"	""	"1612"	""	"773"	""	"1662"	""	"1532"	""	"700"	""	"686"	""	"989"	""	"1003"	""	"2837"	""	"8597"	""	"7916"	""	"1463"	""	"545"	""	"666"	""	"13195"	""	"1525"	""	"136174"	""
"254"	"Postal Ballot"	""	"3"	""	"0"	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0             3"	""	""
"255"	"Grand Total:"	""	"46245"	""	"26745"	""	"1309"	""	"8481"	""	""	"637"	""	"7059"	""	"1612"	""	"773"	""	"1662"	""	"1532"	""	"700"	""	"686"	""	"989"	""	"1003"	""	"2837"	""	"8597"	""	"7916"	""	"1463"	""	"545"	""	"666"	""	"13195"	""	"1525   136177"	""	""
"256"	"Place:                                                                                                                                                                                                 Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Date: 24/11/2010                                                                                                                                                            Assembly Constituency :132---Warisnagar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                           Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
