"fo.kku.l.Hkk.fuokZpu..ks..dh.l.a....k...oa.uke...210.fnukj.k..........................................fuokZpdksa.dh.dyq"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"246"	"11"	"161"	"133"	"14"	"66"	"76"	"3"	"210"	"9"	"3"	"3"	"2"	"4"	"1"	"6"	"11"	"3"	"24"	"20"	"588"	"0"	"588"	"0"
"247"	"12"	"162"	"345"	"7"	"24"	"3"	"1"	"145"	"5"	"2"	"2"	"5"	"1"	"2"	"9"	"9"	"4"	"19"	"11"	"594"	"0"	"594"	"0"
"248"	"13"	"163"	"291"	"20"	"19"	"5"	"3"	"74"	"3"	"3"	"3"	"1"	"0"	"0"	"6"	"6"	"2"	"14"	"10"	"460"	"0"	"460"	"0"
"249"	"14"	"164"	"204"	"16"	"39"	"14"	"5"	"46"	"3"	"5"	"4"	"4"	"4"	"9"	"57"	"13"	"6"	"19"	"10"	"458"	"0"	"458"	"0"
"250"	"; ksx"	""	"32733"	"1426"	"7079"	"6323"	"1301"	"17799"	"482"	"697"	"296"	"544"	"960"	"351"	"2425"	"5299"	"424"	"2539"	"1182"	"81860"	"0"	"81860"	"0"
"251"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"254"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"255"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"256"	"fi Ny s  dk  ; ksx"	""	"32733"	"1426"	"7079"	"6323"	"1301"	"17799"	"482"	"697"	"296"	"544"	"960"	"351"	"2425"	"5299"	"424"	"2539"	"1182"	"81860"	"0"	"81860"	"0"
"257"	"1"	"165"	"154"	"13"	"16"	"3"	"3"	"141"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"4"	"3"	"4"	"13"	"360"	"0"	"360"	"0"
"258"	"2"	"165A"	"114"	"7"	"4"	"0"	"0"	"55"	"2"	"2"	"1"	"0"	"3"	"0"	"4"	"17"	"2"	"3"	"2"	"216"	"0"	"216"	"0"
"259"	"3"	"166"	"160"	"58"	"7"	"2"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"9"	"3"	"0"	"5"	"10"	"258"	"0"	"258"	"0"
"260"	"4"	"167"	"14"	"6"	"1"	"1"	"1"	"319"	"8"	"6"	"1"	"2"	"0"	"1"	"1"	"1"	"1"	"3"	"0"	"366"	"0"	"366"	"0"
"261"	"5"	"168"	"328"	"23"	"25"	"3"	"1"	"59"	"0"	"0"	"1"	"2"	"0"	"0"	"5"	"10"	"0"	"7"	"2"	"466"	"0"	"466"	"0"
"262"	"6"	"169"	"86"	"21"	"192"	"5"	"5"	"186"	"6"	"3"	"1"	"1"	"2"	"3"	"3"	"11"	"1"	"10"	"10"	"546"	"0"	"546"	"0"
"263"	"7"	"170"	"215"	"18"	"224"	"21"	"7"	"76"	"1"	"11"	"2"	"4"	"2"	"3"	"6"	"13"	"4"	"16"	"2"	"625"	"0"	"625"	"0"
"264"	"8"	"171"	"107"	"246"	"37"	"56"	"3"	"45"	"3"	"5"	"8"	"4"	"2"	"6"	"6"	"27"	"13"	"17"	"7"	"592"	"0"	"592"	"0"
"265"	"9"	"172"	"111"	"126"	"44"	"0"	"1"	"24"	"2"	"1"	"4"	"1"	"1"	"2"	"0"	"8"	"5"	"11"	"5"	"346"	"0"	"346"	"0"
"266"	"10"	"173"	"262"	"189"	"67"	"13"	"0"	"45"	"1"	"1"	"2"	"0"	"2"	"0"	"3"	"4"	"1"	"5"	"10"	"605"	"0"	"605"	"0"
"267"	"11"	"174"	"20"	"4"	"1"	"3"	"0"	"395"	"1"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"2"	"0"	"0"	"431"	"0"	"431"	"0"
"268"	"12"	"175"	"42"	"19"	"48"	"28"	"4"	"61"	"0"	"0"	"1"	"4"	"3"	"2"	"2"	"16"	"2"	"18"	"3"	"253"	"0"	"253"	"0"
"269"	"13"	"176"	"165"	"51"	"5"	"9"	"3"	"47"	"2"	"1"	"1"	"8"	"4"	"2"	"129"	"15"	"4"	"17"	"23"	"486"	"0"	"486"	"0"
"270"	"14"	"177"	"74"	"2"	"1"	"3"	"1"	"204"	"5"	"2"	"0"	"4"	"7"	"0"	"37"	"9"	"2"	"10"	"4"	"365"	"0"	"365"	"0"
"271"	"; ksx"	""	"34585"	"2209"	"7751"	"6470"	"1330"	"19459"	"514"	"730"	"320"	"575"	"991"	"371"	"2631"	"5437"	"464"	"2665"	"1273"	"87775"	"0"	"87775"	"0"
"272"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"275"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"276"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"277"	"fi Ny s  dk  ; ksx"	""	"34585"	"2209"	"7751"	"6470"	"1330"	"19459"	"514"	"730"	"320"	"575"	"991"	"371"	"2631"	"5437"	"464"	"2665"	"1273"	"87775"	"0"	"87775"	"0"
"278"	"1"	"178"	"2"	"0"	"0"	"0"	"1"	"465"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"468"	"0"	"468"	"0"
"279"	"2"	"179"	"10"	"0"	"2"	"0"	"1"	"188"	"2"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"210"	"0"	"210"	"0"
"280"	"3"	"180"	"90"	"7"	"13"	"11"	"0"	"224"	"3"	"1"	"1"	"5"	"0"	"0"	"2"	"5"	"0"	"1"	"2"	"365"	"0"	"365"	"0"
"281"	"4"	"181"	"153"	"13"	"49"	"5"	"1"	"7"	"0"	"0"	"2"	"0"	"0"	"0"	"9"	"1"	"0"	"2"	"2"	"244"	"0"	"244"	"0"
"282"	"5"	"182"	"272"	"12"	"108"	"21"	"1"	"55"	"5"	"5"	"4"	"1"	"1"	"0"	"7"	"18"	"3"	"27"	"16"	"556"	"0"	"556"	"0"
"283"	"6"	"183"	"51"	"0"	"20"	"29"	"3"	"80"	"3"	"0"	"1"	"0"	"0"	"1"	"5"	"1"	"1"	"4"	"1"	"200"	"0"	"200"	"0"
"284"	"7"	"184"	"34"	"1"	"2"	"103"	"5"	"31"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"6"	"186"	"0"	"186"	"0"
"285"	"8"	"185"	"24"	"3"	"9"	"4"	"3"	"331"	"13"	"4"	"3"	"79"	"7"	"4"	"10"	"2"	"4"	"4"	"16"	"520"	"0"	"520"	"0"
"286"	"9"	"186"	"83"	"8"	"37"	"6"	"3"	"266"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"3"	"8"	"2"	"426"	"0"	"426"	"0"
"287"	"10"	"187"	"243"	"10"	"138"	"5"	"2"	"27"	"4"	"3"	"2"	"2"	"1"	"3"	"3"	"10"	"6"	"18"	"18"	"495"	"0"	"495"	"0"
"288"	"11"	"188"	"236"	"25"	"129"	"15"	"4"	"98"	"1"	"3"	"1"	"3"	"1"	"0"	"3"	"8"	"1"	"5"	"19"	"552"	"0"	"552"	"0"
"289"	"12"	"189"	"143"	"3"	"60"	"24"	"3"	"160"	"3"	"0"	"0"	"1"	"0"	"1"	"2"	"3"	"1"	"11"	"9"	"424"	"0"	"424"	"0"
"290"	"13"	"190"	"15"	"24"	"3"	"3"	"8"	"335"	"5"	"2"	"1"	"2"	"2"	"0"	"2"	"12"	"0"	"6"	"1"	"421"	"0"	"421"	"0"
"291"	"14"	"191"	"270"	"5"	"6"	"3"	"0"	"11"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"15"	"2"	"10"	"9"	"335"	"0"	"335"	"0"
"292"	"; ksx"	""	"36211"	"2320"	"8327"	"6699"	"1365"	"21737"	"556"	"751"	"338"	"672"	"1005"	"381"	"2675"	"5518"	"486"	"2761"	"1375"	"93177"	"0"	"93177"	"0"
"293"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"296"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"297"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"298"	"fi Ny s  dk  ; ksx"	""	"36211"	"2320"	"8327"	"6699"	"1365"	"21737"	"556"	"751"	"338"	"672"	"1005"	"381"	"2675"	"5518"	"486"	"2761"	"1375"	"93177"	"0"	"93177"	"0"
"299"	"1"	"192"	"406"	"1"	"13"	"1"	"0"	"8"	"1"	"3"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"6"	"27"	"471"	"0"	"471"	"0"
"300"	"2"	"193"	"83"	"5"	"5"	"45"	"2"	"25"	"4"	"5"	"2"	"6"	"2"	"2"	"72"	"72"	"7"	"26"	"7"	"370"	"0"	"370"	"0"
"301"	"3"	"194"	"304"	"3"	"7"	"2"	"0"	"95"	"1"	"1"	"2"	"0"	"1"	"1"	"4"	"11"	"4"	"10"	"5"	"451"	"0"	"451"	"0"
"302"	"4"	"195"	"393"	"10"	"23"	"4"	"3"	"95"	"3"	"1"	"0"	"2"	"1"	"2"	"3"	"4"	"0"	"6"	"4"	"554"	"0"	"554"	"0"
"303"	"5"	"196"	"252"	"6"	"3"	"62"	"1"	"49"	"5"	"1"	"1"	"4"	"7"	"1"	"5"	"14"	"6"	"29"	"14"	"460"	"0"	"460"	"0"
"304"	"6"	"197"	"305"	"10"	"52"	"10"	"6"	"246"	"4"	"1"	"3"	"5"	"7"	"5"	"7"	"9"	"0"	"11"	"3"	"684"	"0"	"684"	"0"
"305"	"7"	"198"	"416"	"4"	"8"	"2"	"0"	"80"	"2"	"3"	"1"	"0"	"0"	"0"	"8"	"7"	"1"	"7"	"6"	"545"	"0"	"545"	"0"
"306"	"8"	"199"	"147"	"2"	"23"	"72"	"7"	"144"	"2"	"2"	"1"	"4"	"0"	"1"	"49"	"36"	"1"	"6"	"2"	"499"	"0"	"499"	"0"
"307"	"9"	"200"	"241"	"3"	"27"	"7"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"5"	"12"	"10"	"8"	"9"	"328"	"0"	"328"	"0"
"308"	"10"	"201"	"126"	"6"	"47"	"31"	"0"	"18"	"2"	"2"	"3"	"6"	"2"	"2"	"113"	"24"	"6"	"20"	"1"	"409"	"0"	"409"	"0"
"309"	"11"	"202"	"6"	"0"	"1"	"2"	"2"	"495"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"515"	"0"	"515"	"0"
"310"	"12"	"203"	"143"	"0"	"21"	"19"	"6"	"173"	"3"	"1"	"0"	"5"	"2"	"3"	"7"	"9"	"2"	"18"	"6"	"418"	"0"	"418"	"0"
"311"	"13"	"204"	"78"	"4"	"84"	"2"	"0"	"5"	"0"	"3"	"0"	"2"	"1"	"0"	"86"	"17"	"2"	"10"	"1"	"295"	"0"	"295"	"0"
"312"	"14"	"205"	"107"	"13"	"23"	"10"	"1"	"192"	"5"	"2"	"1"	"2"	"1"	"1"	"2"	"13"	"1"	"8"	"1"	"383"	"0"	"383"	"0"
"313"	"; ksx"	""	"39218"	"2387"	"8664"	"6968"	"1393"	"23364"	"593"	"777"	"356"	"710"	"1030"	"401"	"3036"	"5747"	"527"	"2927"	"1461"	"99559"	"0"	"99559"	"0"
"314"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"317"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"318"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"319"	"fi Ny s  dk  ; ksx"	""	"39218"	"2387"	"8664"	"6968"	"1393"	"23364"	"593"	"777"	"356"	"710"	"1030"	"401"	"3036"	"5747"	"527"	"2927"	"1461"	"99559"	"0"	"99559"	"0"
"320"	"1"	"206"	"151"	"22"	"11"	"60"	"2"	"104"	"2"	"3"	"0"	"3"	"4"	"4"	"32"	"21"	"3"	"11"	"9"	"442"	"0"	"442"	"0"
"321"	"2"	"207"	"248"	"6"	"58"	"17"	"3"	"68"	"2"	"1"	"1"	"5"	"1"	"4"	"63"	"77"	"3"	"10"	"10"	"577"	"0"	"577"	"0"
"322"	"3"	"208"	"301"	"8"	"48"	"23"	"1"	"75"	"2"	"0"	"3"	"3"	"1"	"3"	"1"	"10"	"7"	"41"	"20"	"547"	"0"	"547"	"0"
"323"	"4"	"209"	"173"	"0"	"40"	"66"	"0"	"31"	"1"	"1"	"0"	"3"	"0"	"1"	"2"	"1"	"0"	"16"	"5"	"340"	"0"	"340"	"0"
"324"	"5"	"210"	"212"	"6"	"21"	"98"	"4"	"89"	"2"	"5"	"1"	"3"	"7"	"8"	"82"	"6"	"7"	"31"	"6"	"588"	"0"	"588"	"0"
"325"	"6"	"211"	"226"	"16"	"192"	"17"	"2"	"137"	"2"	"3"	"0"	"4"	"4"	"2"	"3"	"5"	"3"	"6"	"8"	"630"	"0"	"630"	"0"
"326"	"7"	"212"	"237"	"9"	"7"	"9"	"0"	"8"	"1"	"0"	"1"	"0"	"0"	"0"	"5"	"1"	"1"	"12"	"6"	"297"	"0"	"297"	"0"
"327"	"8"	"213"	"6"	"0"	"1"	"0"	"1"	"317"	"3"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"10"	"1"	"344"	"0"	"344"	"0"
"328"	"9"	"214"	"228"	"6"	"50"	"6"	"0"	"64"	"0"	"6"	"1"	"5"	"0"	"2"	"87"	"11"	"0"	"10"	"5"	"481"	"0"	"481"	"0"
"329"	"10"	"215"	"190"	"2"	"0"	"104"	"1"	"187"	"3"	"1"	"0"	"0"	"3"	"0"	"6"	"6"	"2"	"3"	"6"	"514"	"0"	"514"	"0"
"330"	"11"	"216"	"172"	"6"	"77"	"3"	"0"	"143"	"2"	"4"	"0"	"3"	"1"	"1"	"4"	"8"	"3"	"10"	"3"	"440"	"0"	"440"	"0"
"331"	"12"	"217"	"81"	"5"	"30"	"99"	"4"	"183"	"6"	"2"	"2"	"14"	"7"	"5"	"70"	"19"	"4"	"11"	"11"	"553"	"0"	"553"	"0"
"332"	"13"	"218"	"180"	"3"	"42"	"48"	"8"	"16"	"2"	"2"	"0"	"2"	"1"	"0"	"8"	"1"	"1"	"1"	"3"	"318"	"0"	"318"	"0"
"333"	"14"	"219"	"260"	"4"	"1"	"53"	"0"	"39"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"4"	"0"	"2"	"6"	"374"	"0"	"374"	"0"
"334"	"; ksx"	""	"41883"	"2480"	"9242"	"7571"	"1419"	"24825"	"622"	"805"	"366"	"755"	"1060"	"434"	"3401"	"5917"	"563"	"3101"	"1560"	"106004"	"0"	"106004"	"0"
"335"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"338"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"339"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"340"	"fi Ny s  dk  ; ksx"	""	"41883"	"2480"	"9242"	"7571"	"1419"	"24825"	"622"	"805"	"366"	"755"	"1060"	"434"	"3401"	"5917"	"563"	"3101"	"1560"	"106004"	"0"	"106004"	"0"
"341"	"1"	"220"	"149"	"6"	"26"	"145"	"7"	"313"	"16"	"3"	"4"	"1"	"4"	"3"	"7"	"11"	"1"	"11"	"13"	"720"	"0"	"720"	"0"
"342"	"2"	"221"	"88"	"0"	"2"	"13"	"0"	"51"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"2"	"163"	"0"	"163"	"0"
"343"	"3"	"222"	"222"	"10"	"30"	"1"	"0"	"241"	"1"	"2"	"2"	"3"	"2"	"1"	"5"	"8"	"1"	"4"	"1"	"534"	"0"	"534"	"0"
"344"	"4"	"223"	"292"	"2"	"26"	"15"	"2"	"183"	"2"	"2"	"1"	"3"	"2"	"1"	"4"	"7"	"1"	"15"	"6"	"564"	"0"	"564"	"0"
"345"	"5"	"224"	"277"	"6"	"8"	"29"	"2"	"141"	"2"	"2"	"2"	"1"	"3"	"6"	"4"	"8"	"2"	"3"	"5"	"501"	"0"	"501"	"0"
"346"	"6"	"225"	"365"	"5"	"16"	"2"	"2"	"75"	"2"	"2"	"1"	"2"	"0"	"1"	"2"	"5"	"4"	"17"	"7"	"508"	"0"	"508"	"0"
"347"	"7"	"226"	"221"	"5"	"21"	"23"	"8"	"261"	"11"	"4"	"6"	"3"	"9"	"0"	"6"	"94"	"2"	"18"	"7"	"699"	"0"	"699"	"0"
"348"	"8"	"227"	"20"	"2"	"5"	"3"	"0"	"258"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"1"	"6"	"301"	"0"	"301"	"0"
"349"	"9"	"228"	"142"	"7"	"159"	"3"	"0"	"39"	"1"	"3"	"0"	"8"	"1"	"1"	"5"	"10"	"4"	"20"	"20"	"423"	"0"	"423"	"0"
"350"	"10"	"229"	"145"	"5"	"110"	"10"	"1"	"169"	"5"	"5"	"2"	"1"	"2"	"1"	"3"	"5"	"8"	"14"	"7"	"493"	"0"	"493"	"0"
"351"	"11"	"230"	"245"	"1"	"11"	"23"	"3"	"259"	"1"	"0"	"1"	"3"	"2"	"0"	"7"	"9"	"0"	"4"	"4"	"573"	"0"	"573"	"0"
"352"	"12"	"231"	"21"	"2"	"4"	"9"	"4"	"320"	"3"	"1"	"0"	"2"	"3"	"2"	"3"	"1"	"4"	"3"	"1"	"383"	"0"	"383"	"0"
"353"	"13"	"232"	"4"	"17"	"0"	"0"	"0"	"334"	"7"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"371"	"0"	"371"	"0"
"354"	"14"	"233"	"24"	"2"	"32"	"63"	"4"	"360"	"1"	"3"	"2"	"1"	"3"	"2"	"0"	"20"	"0"	"2"	"1"	"520"	"0"	"520"	"0"
"355"	"; ksx"	""	"44098"	"2550"	"9692"	"7910"	"1452"	"27829"	"676"	"833"	"388"	"787"	"1094"	"452"	"3448"	"6097"	"593"	"3216"	"1642"	"112757"	"0"	"112757"	"0"
"356"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"359"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"360"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"361"	"fi Ny s  dk  ; ksx"	""	"44098"	"2550"	"9692"	"7910"	"1452"	"27829"	"676"	"833"	"388"	"787"	"1094"	"452"	"3448"	"6097"	"593"	"3216"	"1642"	"112757"	"0"	"112757"	"0"
"362"	"1"	"234"	"148"	"4"	"23"	"36"	"5"	"146"	"2"	"1"	"1"	"1"	"2"	"3"	"17"	"5"	"4"	"18"	"2"	"418"	"0"	"418"	"0"
"363"	"2"	"235"	"47"	"2"	"2"	"2"	"2"	"435"	"2"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"2"	"502"	"0"	"502"	"0"
"364"	"3"	"236"	"48"	"3"	"2"	"2"	"8"	"177"	"4"	"1"	"0"	"1"	"0"	"1"	"3"	"3"	"0"	"5"	"1"	"259"	"0"	"259"	"0"
"365"	"4"	"237"	"135"	"63"	"165"	"12"	"1"	"21"	"1"	"7"	"1"	"2"	"2"	"2"	"4"	"28"	"7"	"27"	"3"	"481"	"0"	"481"	"0"
"366"	"5"	"238"	"195"	"7"	"76"	"43"	"3"	"322"	"0"	"3"	"2"	"1"	"1"	"1"	"3"	"23"	"3"	"5"	"8"	"696"	"0"	"696"	"0"
"367"	"6"	"239"	"236"	"2"	"7"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"2"	"258"	"0"	"258"	"0"
"368"	"7"	"240"	"141"	"1"	"5"	"0"	"1"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"26"	"0"	"1"	"4"	"0"	"211"	"0"	"211"	"0"
