"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"311"	"272"	"229"	"365"	"7"	"4"	"21"	"7"	"5"	"1"	"0"	"0"	"3"	"4"	"11"	"14"	"23"	"694"	"0"	"694"	"0"
"312"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"314"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"315"	"273"	"132"	"129"	"2"	"27"	"24"	"4"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"3"	"4"	"330"	"0"	"330"	"0"
"316"	"274"	"172"	"164"	"2"	"0"	"8"	"6"	"3"	"1"	"0"	"2"	"2"	"0"	"7"	"9"	"17"	"393"	"0"	"393"	"0"
"317"	"275"	"95"	"199"	"4"	"2"	"24"	"6"	"5"	"0"	"0"	"1"	"4"	"5"	"4"	"6"	"16"	"371"	"0"	"371"	"0"
"318"	"276"	"75"	"198"	"1"	"1"	"16"	"3"	"11"	"0"	"3"	"2"	"2"	"2"	"3"	"9"	"6"	"332"	"0"	"332"	"0"
"319"	"277"	"69"	"156"	"8"	"17"	"46"	"4"	"10"	"4"	"3"	"0"	"9"	"2"	"6"	"17"	"10"	"361"	"0"	"361"	"0"
"320"	"278"	"117"	"336"	"11"	"5"	"8"	"3"	"10"	"1"	"0"	"0"	"3"	"3"	"3"	"40"	"39"	"579"	"0"	"579"	"0"
"321"	"279"	"174"	"261"	"11"	"7"	"20"	"0"	"4"	"1"	"1"	"2"	"6"	"4"	"8"	"28"	"28"	"555"	"0"	"555"	"0"
"322"	"280"	"37"	"32"	"6"	"1"	"1"	"3"	"4"	"17"	"2"	"0"	"1"	"0"	"2"	"8"	"9"	"123"	"0"	"123"	"0"
"323"	"281"	"138"	"46"	"5"	"4"	"3"	"1"	"2"	"2"	"0"	"0"	"2"	"0"	"0"	"3"	"9"	"215"	"0"	"215"	"0"
"324"	"282"	"127"	"326"	"14"	"2"	"16"	"1"	"20"	"4"	"25"	"2"	"4"	"6"	"9"	"17"	"21"	"594"	"0"	"594"	"0"
"325"	"283"	"143"	"295"	"3"	"3"	"10"	"1"	"4"	"1"	"1"	"2"	"3"	"1"	"3"	"19"	"22"	"511"	"0"	"511"	"0"
"326"	"284"	"91"	"403"	"4"	"2"	"6"	"1"	"7"	"1"	"1"	"1"	"4"	"3"	"7"	"22"	"25"	"578"	"0"	"578"	"0"
"327"	"285"	"399"	"197"	"5"	"2"	"16"	"1"	"6"	"5"	"2"	"1"	"0"	"2"	"4"	"11"	"25"	"676"	"0"	"676"	"0"
"328"	"286"	"249"	"57"	"2"	"1"	"9"	"3"	"4"	"2"	"2"	"3"	"4"	"9"	"7"	"6"	"45"	"403"	"0"	"403"	"0"
"329"	"287"	"25"	"33"	"4"	"6"	"2"	"8"	"8"	"52"	"7"	"2"	"5"	"5"	"4"	"9"	"9"	"179"	"0"	"179"	"0"
"330"	"288"	"321"	"119"	"4"	"21"	"18"	"3"	"32"	"8"	"2"	"2"	"6"	"21"	"3"	"7"	"22"	"589"	"0"	"589"	"0"
"331"	"289"	"181"	"217"	"4"	"3"	"4"	"2"	"6"	"2"	"5"	"2"	"4"	"3"	"8"	"21"	"27"	"489"	"0"	"489"	"0"
"332"	"290"	"114"	"105"	"4"	"0"	"0"	"5"	"3"	"2"	"1"	"0"	"1"	"1"	"1"	"11"	"14"	"262"	"0"	"262"	"0"
"333"	"291"	"24"	"72"	"2"	"0"	"7"	"1"	"1"	"0"	"1"	"0"	"0"	"6"	"4"	"4"	"2"	"124"	"0"	"124"	"0"
"334"	"292"	"199"	"134"	"2"	"1"	"15"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"7"	"368"	"0"	"368"	"0"
"335"	"293"	"225"	"159"	"5"	"2"	"4"	"0"	"10"	"2"	"1"	"2"	"1"	"2"	"6"	"13"	"24"	"456"	"0"	"456"	"0"
"336"	"294"	"73"	"259"	"2"	"1"	"16"	"1"	"5"	"2"	"3"	"3"	"4"	"7"	"8"	"18"	"20"	"422"	"0"	"422"	"0"
"337"	"295"	"146"	"123"	"9"	"2"	"22"	"7"	"19"	"4"	"1"	"1"	"6"	"2"	"6"	"4"	"14"	"366"	"0"	"366"	"0"
"338"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"340"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"341"	"296"	"408"	"110"	"4"	"1"	"7"	"7"	"23"	"7"	"5"	"2"	"4"	"42"	"8"	"9"	"23"	"660"	"0"	"660"	"0"
"342"	"297"	"227"	"97"	"3"	"0"	"29"	"4"	"8"	"8"	"3"	"1"	"4"	"5"	"1"	"6"	"17"	"413"	"0"	"413"	"0"
"343"	"298"	"168"	"270"	"14"	"3"	"5"	"29"	"6"	"5"	"3"	"2"	"7"	"30"	"7"	"12"	"41"	"602"	"0"	"602"	"0"
"344"	"299"	"103"	"89"	"1"	"1"	"227"	"2"	"12"	"2"	"1"	"1"	"5"	"0"	"2"	"5"	"7"	"458"	"0"	"458"	"0"
"345"	"300"	"158"	"162"	"9"	"2"	"109"	"4"	"8"	"3"	"13"	"3"	"6"	"6"	"2"	"16"	"12"	"513"	"0"	"513"	"0"
"346"	"Total"	"46567"	"49491"	"1422"	"2212"	"5076"	"1054"	"1930"	"1943"	"521"	"1400"	"2067"	"5268"	"1152"	"2646"	"5688"	"128437"	"0"	"128437"	"0"
"347"	"Postal Ballot"	"16"	"20"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"2"	"47"	"1"	"47"	"0"
"348"	"Grand Total"	"46583"	"49511"	"1423"	"2212"	"5078"	"1054"	"1930"	"1943"	"521"	"1400"	"2067"	"5274"	"1152"	"2646"	"5690"	"128484"	"1"	"128484"	"0"
