"Total.No..of.Electors.in.Assembly.Constituency........191963"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"08- Bettiah Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"268"	"149"	"12"	"1"	"3"	"1"	"50"	"14"	"4"	"1"	"1"	"0"	"7"	"0"	"1"	"5"	"10"	"730"	"17"	"10"	"867"	"0"	"867"	"0"	""
"269"	"150"	"7"	"8"	"4"	"6"	"152"	"138"	"23"	"5"	"1"	"4"	"7"	"15"	"2"	"6"	"14"	"312"	"5"	"7"	"716"	"0"	"716"	"0"	""
"270"	"151"	"9"	"3"	"9"	"31"	"280"	"108"	"10"	"18"	"6"	"9"	"34"	"33"	"12"	"21"	"24"	"38"	"7"	"49"	"701"	"0"	"701"	"0"	""
"271"	"Total"	"281"	"482"	"156"	"123"	"2789"	"1315"	"110"	"85"	"54"	"51"	"321"	"174"	"91"	"1165"	"165"	"1802"	"135"	"553"	"9852"	"0"	"9852"	"0"	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"08- Bettiah Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"282"	"152"	"25"	"18"	"6"	"9"	"117"	"247"	"2"	"2"	"3"	"10"	"59"	"13"	"2"	"5"	"12"	"15"	"4"	"97"	"646"	"0"	"646"	"0"	""
"283"	"153"	"5"	"14"	"11"	"1"	"68"	"70"	"2"	"3"	"4"	"5"	"37"	"32"	"8"	"9"	"24"	"21"	"3"	"118"	"435"	"0"	"435"	"0"	""
"284"	"154"	"4"	"8"	"4"	"5"	"187"	"77"	"7"	"7"	"3"	"5"	"60"	"30"	"8"	"9"	"5"	"14"	"10"	"39"	"482"	"0"	"482"	"0"	""
"285"	"155"	"8"	"13"	"9"	"3"	"161"	"38"	"0"	"4"	"6"	"8"	"93"	"21"	"5"	"12"	"12"	"30"	"7"	"80"	"510"	"0"	"510"	"0"	""
"286"	"156"	"7"	"28"	"11"	"6"	"356"	"45"	"4"	"5"	"3"	"4"	"209"	"15"	"5"	"13"	"8"	"3"	"15"	"91"	"828"	"0"	"828"	"0"	""
"287"	"157"	"8"	"7"	"8"	"9"	"157"	"279"	"6"	"7"	"4"	"7"	"138"	"26"	"3"	"11"	"7"	"20"	"5"	"40"	"742"	"0"	"742"	"0"	""
"288"	"158"	"3"	"9"	"3"	"11"	"406"	"69"	"4"	"2"	"4"	"7"	"28"	"8"	"4"	"3"	"3"	"3"	"6"	"6"	"579"	"0"	"579"	"0"	""
"289"	"159"	"2"	"48"	"19"	"4"	"139"	"92"	"5"	"5"	"4"	"3"	"40"	"8"	"4"	"4"	"5"	"76"	"2"	"4"	"464"	"0"	"464"	"0"	""
"290"	"160"	"16"	"42"	"20"	"15"	"156"	"114"	"6"	"4"	"4"	"5"	"131"	"15"	"2"	"10"	"19"	"9"	"6"	"11"	"585"	"0"	"585"	"0"	""
"291"	"161"	"10"	"3"	"13"	"10"	"209"	"165"	"26"	"2"	"3"	"4"	"12"	"15"	"2"	"10"	"2"	"2"	"9"	"4"	"501"	"0"	"501"	"0"	""
"292"	"162"	"14"	"27"	"5"	"6"	"71"	"296"	"7"	"5"	"9"	"6"	"118"	"20"	"4"	"13"	"10"	"35"	"2"	"3"	"651"	"0"	"651"	"0"	""
"293"	"163"	"8"	"10"	"14"	"8"	"289"	"191"	"20"	"19"	"5"	"14"	"39"	"30"	"3"	"14"	"15"	"24"	"6"	"2"	"711"	"0"	"711"	"0"	""
"294"	"164"	"20"	"7"	"10"	"11"	"299"	"169"	"4"	"5"	"3"	"10"	"111"	"17"	"3"	"2"	"8"	"7"	"12"	"12"	"710"	"0"	"710"	"0"	""
"295"	"165"	"18"	"5"	"9"	"19"	"248"	"138"	"5"	"5"	"1"	"3"	"14"	"12"	"4"	"10"	"4"	"73"	"2"	"3"	"573"	"0"	"573"	"0"	""
"296"	"Total"	"148"	"239"	"142"	"117"	"2863"	"1990"	"98"	"75"	"56"	"91"	"1089"	"262"	"57"	"125"	"134"	"332"	"89"	"510"	"8417"	"0"	"8417"	"0"	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"08- Bettiah Legislative Assembly Constituency (Round - 13)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"307"	"165 A"	"6"	"68"	"11"	"9"	"191"	"15"	"0"	"2"	"2"	"2"	"44"	"3"	"2"	"3"	"1"	"43"	"4"	"20"	"426"	"0"	"426"	"0"	""
"308"	"166"	"16"	"18"	"7"	"8"	"124"	"262"	"12"	"12"	"7"	"10"	"99"	"16"	"7"	"15"	"15"	"29"	"1"	"22"	"680"	"0"	"680"	"0"	""
"309"	"167"	"1"	"4"	"4"	"1"	"153"	"66"	"4"	"0"	"2"	"3"	"17"	"9"	"0"	"5"	"0"	"14"	"0"	"6"	"289"	"0"	"289"	"0"	""
"310"	"168"	"8"	"12"	"14"	"4"	"307"	"107"	"11"	"9"	"4"	"13"	"132"	"14"	"5"	"7"	"8"	"32"	"3"	"5"	"695"	"0"	"695"	"0"	""
"311"	"169"	"19"	"20"	"8"	"6"	"188"	"57"	"7"	"6"	"7"	"2"	"86"	"13"	"3"	"9"	"8"	"86"	"12"	"29"	"566"	"0"	"566"	"0"	""
"312"	"170"	"7"	"20"	"14"	"5"	"180"	"31"	"1"	"2"	"3"	"1"	"37"	"9"	"10"	"9"	"11"	"16"	"13"	"76"	"445"	"0"	"445"	"0"	""
"313"	"171"	"9"	"22"	"9"	"6"	"109"	"48"	"3"	"5"	"2"	"3"	"78"	"12"	"4"	"3"	"3"	"32"	"7"	"37"	"392"	"0"	"392"	"0"	""
"314"	"172"	"5"	"11"	"24"	"6"	"318"	"201"	"10"	"18"	"12"	"11"	"32"	"36"	"7"	"13"	"11"	"27"	"1"	"59"	"802"	"0"	"802"	"0"	""
"315"	"173"	"0"	"7"	"7"	"8"	"122"	"11"	"4"	"0"	"0"	"2"	"115"	"6"	"3"	"7"	"2"	"9"	"4"	"11"	"318"	"0"	"318"	"0"	""
"316"	"174"	"0"	"40"	"6"	"8"	"59"	"14"	"1"	"3"	"0"	"3"	"136"	"4"	"2"	"2"	"1"	"2"	"0"	"3"	"284"	"0"	"284"	"0"	""
"317"	"175"	"4"	"75"	"88"	"9"	"88"	"94"	"4"	"11"	"3"	"10"	"46"	"23"	"7"	"16"	"18"	"26"	"4"	"8"	"534"	"0"	"534"	"0"	""
"318"	"176"	"10"	"26"	"42"	"4"	"186"	"55"	"3"	"6"	"3"	"3"	"109"	"13"	"4"	"4"	"14"	"13"	"13"	"95"	"603"	"0"	"603"	"0"	""
"319"	"177"	"4"	"13"	"87"	"6"	"124"	"114"	"39"	"5"	"8"	"8"	"91"	"20"	"9"	"11"	"10"	"30"	"1"	"10"	"590"	"0"	"590"	"0"	""
"320"	"178"	"5"	"65"	"12"	"2"	"120"	"211"	"5"	"3"	"7"	"9"	"265"	"16"	"1"	"11"	"11"	"12"	"7"	"8"	"770"	"0"	"770"	"0"	""
"321"	"Total"	"94"	"401"	"333"	"82"	"2269"	"1286"	"104"	"82"	"60"	"80"	"1287"	"194"	"64"	"115"	"113"	"371"	"70"	"389"	"7394"	"0"	"7394"	"0"	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"08- Bettiah Legislative Assembly Constituency (Round - 14)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"331"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"332"	"179"	"12"	"44"	"9"	"11"	"113"	"172"	"7"	"7"	"6"	"8"	"112"	"17"	"21"	"7"	"21"	"85"	"8"	"143"	"803"	"0"	"803"	"0"	""
"333"	"180"	"19"	"17"	"12"	"4"	"110"	"109"	"67"	"7"	"4"	"8"	"73"	"17"	"7"	"10"	"6"	"95"	"6"	"17"	"588"	"0"	"588"	"0"	""
"334"	"181"	"7"	"16"	"9"	"3"	"156"	"49"	"27"	"7"	"2"	"10"	"163"	"26"	"8"	"11"	"5"	"78"	"7"	"18"	"602"	"0"	"602"	"0"	""
"335"	"182"	"34"	"18"	"26"	"11"	"350"	"28"	"6"	"10"	"4"	"6"	"39"	"9"	"3"	"21"	"14"	"104"	"24"	"42"	"749"	"0"	"749"	"0"	""
"336"	"183"	"18"	"42"	"4"	"10"	"446"	"40"	"5"	"7"	"7"	"2"	"24"	"7"	"4"	"6"	"9"	"77"	"6"	"27"	"741"	"0"	"741"	"0"	""
"337"	"184"	"6"	"3"	"8"	"11"	"187"	"53"	"5"	"27"	"6"	"2"	"110"	"7"	"5"	"21"	"16"	"164"	"4"	"8"	"643"	"0"	"643"	"0"	""
"338"	"185"	"4"	"1"	"2"	"2"	"143"	"24"	"4"	"2"	"1"	"0"	"53"	"2"	"5"	"10"	"5"	"86"	"2"	"2"	"348"	"0"	"348"	"0"	""
"339"	"Total"	"100"	"141"	"70"	"52"	"1505"	"475"	"121"	"67"	"30"	"36"	"574"	"85"	"53"	"86"	"76"	"689"	"57"	"257"	"4474"	"0"	"4474"	"0"	""
"340"	"Postal
Ballot"	"9"	"95"	"1"	"7"	"181"	"53"	"0"	"0"	"0"	"0"	"56"	"2"	"0"	"0"	"0"	"9"	"0"	"10"	"423"	"11"	"434"	"0"	""
"341"	"Grand
Total"	"2932"	"12499"	"2203"	"1791"	"42010"	"11511"	"1178"	"1216"	"470"	"678"	"13221"	"1551"	"1092"	"2370"	"1162"	"5580"	"986"	"3713"	"106163"	"11"	"106174"	"0"	""
"342"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
