"206"	"106"	"2"	"6"	"203"	"2"	"149"	"7"	"5"	""	"14"	""	""	"1"	""	"5"	""	"1"	""	"7"	""	""	"9"	""	"8"	"10"	"12"	"4"	"5"	"450"	""	"450"	""
"207"	"107"	"9"	"6"	"71"	"3"	"381"	"6"	"2"	""	"8"	""	""	"2"	""	"12"	""	"1"	""	"5"	""	""	"32"	""	"2"	"15"	"3"	"4"	"1"	"563"	""	"563"	""
"208"	"108"	"7"	"4"	"173"	"14"	"228"	"8"	"2"	""	"7"	""	""	"2"	""	"2"	""	"4"	""	"5"	""	""	"8"	""	"2"	"13"	"9"	"5"	"2"	"495"	""	"495"	""
"209"	"; ksx"	"52"	"96"	"1475"	"58"	"1456"	"40"	"23"	""	"60"	""	""	"18"	""	"61"	""	"36"	""	"48"	""	""	"83"	""	"63"	"91"	"82"	"37"	"25"	"3804"	""	"3804"	""
"210"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"666"	"1629"	"14480"	"1181"	"24396"	"451"	"323"	""	"919"	""	""	"307"	""	"736"	""	"464"	""	"1484"	""	""	"588"	""	"793"	"1868"	"1196"	"1614"	"608"	"53703"	""	"53703"	""
"211"	"d qy  ; ksx"	"718"	"1725"	"15955"	"1239"	"25852"	"491"	"346"	""	"979"	""	""	"325"	""	"797"	""	"500"	""	"1532"	""	""	"671"	""	"856"	"1959"	"1278"	"1651"	"633"	"57507"	""	"57507"	""
"212"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"pÿ  l a0  %&  17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"215"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	""	""	""	""
"216"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"217"	"109"	"2"	"18"	"170"	"56"	"329"	"11"	"5"	""	"16"	""	""	"4"	""	"11"	""	"7"	""	"5"	""	""	"67"	""	"10"	"7"	"32"	"7"	"5"	"762"	""	"762"	""
"218"	"110"	"9"	"4"	"330"	"16"	"79"	"2"	"1"	""	"1"	""	""	"6"	""	"3"	""	"11"	""	"6"	""	""	"34"	""	"25"	"12"	"9"	"7"	"13"	"568"	""	"568"	""
"219"	"111"	"4"	"8"	"69"	"48"	"147"	"6"	"4"	""	"15"	""	""	"8"	""	"4"	""	"4"	""	"3"	""	""	"10"	""	"11"	"73"	"22"	"4"	"2"	"442"	""	"442"	""
"220"	"111d"	"18"	"6"	"220"	"40"	"92"	"3"	"2"	""	"2"	""	""	"3"	""	"1"	""	"0"	""	"1"	""	""	"1"	""	"6"	"24"	"5"	"6"	"1"	"431"	""	"431"	""
"221"	"112"	"3"	"5"	"127"	"10"	"310"	"4"	"0"	""	"2"	""	""	"0"	""	"0"	""	"3"	""	"2"	""	""	"0"	""	"3"	"41"	"1"	"0"	"1"	"512"	""	"512"	""
"222"	"113"	"3"	"1"	"68"	"4"	"152"	"1"	"0"	""	"0"	""	""	"4"	""	"1"	""	"3"	""	"4"	""	""	"3"	""	"5"	"8"	"4"	"1"	"4"	"266"	""	"266"	""
"223"	"114"	"7"	"20"	"191"	"19"	"424"	"7"	"7"	""	"12"	""	""	"3"	""	"10"	""	"8"	""	"16"	""	""	"6"	""	"12"	"47"	"20"	"11"	"9"	"829"	""	"829"	""
"224"	"; ksx"	"46"	"62"	"1175"	"193"	"1533"	"34"	"19"	""	"48"	""	""	"28"	""	"30"	""	"36"	""	"37"	""	""	"121"	""	"72"	"212"	"93"	"36"	"35"	"3810"	""	"3810"	""
"225"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"718"	"1725"	"15955"	"1239"	"25852"	"491"	"346"	""	"979"	""	""	"325"	""	"797"	""	"500"	""	"1532"	""	""	"671"	""	"856"	"1959"	"1278"	"1651"	"633"	"57507"	""	"57507"	""
"226"	"d qy  ; ksx"	"764"	"1787"	"17130"	"1432"	"27385"	"525"	"365"	""	"1027"	""	""	"353"	""	"827"	""	"536"	""	"1569"	""	""	"792"	""	"928"	"2171"	"1371"	"1687"	"668"	"61317"	""	"61317"	""
"227"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"pÿ  l a0  %&  18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"230"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"232"	"115"	"7"	"8"	"200"	"10"	"158"	"5"	"3"	""	"8"	""	""	"2"	""	"10"	""	"6"	""	"6"	""	""	"8"	""	"13"	"80"	"17"	"2"	"3"	"546"	""	"546"	""
"233"	"116"	"1"	"9"	"111"	"3"	"336"	"3"	"0"	""	"3"	""	""	"5"	""	"1"	""	"0"	""	"4"	""	""	"5"	""	"3"	"52"	"6"	"5"	"6"	"553"	""	"553"	""
"234"	"117"	"3"	"6"	"78"	"7"	"255"	"3"	"6"	""	"13"	""	""	"1"	""	"13"	""	"3"	""	"6"	""	""	"2"	""	"6"	"26"	"7"	"2"	"2"	"439"	""	"439"	""
"235"	"118"	"3"	"9"	"66"	"6"	"526"	"7"	"2"	""	"9"	""	""	"19"	""	"8"	""	"5"	""	"11"	""	""	"8"	""	"6"	"73"	"9"	"1"	"6"	"774"	""	"774"	""
"236"	"119"	"1"	"13"	"127"	"52"	"310"	"1"	"1"	""	"1"	""	""	"6"	""	"2"	""	"1"	""	"2"	""	""	"2"	""	"2"	"8"	"4"	"5"	"20"	"558"	""	"558"	""
"237"	"120"	"7"	"10"	"26"	"6"	"328"	"5"	"3"	""	"7"	""	""	"3"	""	"7"	""	"6"	""	"12"	""	""	"0"	""	"6"	"11"	"3"	"3"	"5"	"448"	""	"448"	""
"238"	"121"	"1"	"29"	"89"	"5"	"618"	"5"	"2"	""	"4"	""	""	"1"	""	"1"	""	"1"	""	"6"	""	""	"1"	""	"3"	"18"	"8"	"0"	"1"	"793"	""	"793"	""
"239"	"; ksx"	"23"	"84"	"697"	"89"	"2531"	"29"	"17"	""	"45"	""	""	"37"	""	"42"	""	"22"	""	"47"	""	""	"26"	""	"39"	"268"	"54"	"18"	"43"	"4111"	""	"4111"	""
"240"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"764"	"1787"	"17130"	"1432"	"27385"	"525"	"365"	""	"1027"	""	""	"353"	""	"827"	""	"536"	""	"1569"	""	""	"792"	""	"928"	"2171"	"1371"	"1687"	"668"	"61317"	""	"61317"	""
"241"	"d qy  ; ksx"	"787"	"1871"	"17827"	"1521"	"29916"	"554"	"382"	""	"1072"	""	""	"390"	""	"869"	""	"558"	""	"1616"	""	""	"818"	""	"967"	"2439"	"1425"	"1705"	"711"	"65428"	""	"65428"	""
"242"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"pÿ  l a0  %&  19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"245"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"246"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"247"	"122"	"6"	"19"	"114"	"6"	"323"	"4"	"7"	""	"7"	""	""	"2"	""	"6"	""	"3"	""	"7"	""	""	"0"	""	"1"	"35"	"4"	"4"	"4"	"552"	""	"552"	""
"248"	"123"	"3"	"8"	"294"	"9"	"156"	"2"	"1"	""	"8"	""	""	"1"	""	"1"	""	"14"	""	"2"	""	""	"13"	""	"6"	"18"	"6"	"5"	"5"	"552"	""	"552"	""
"249"	"124"	"0"	"5"	"38"	"10"	"286"	"4"	"1"	""	"8"	""	""	"2"	""	"4"	""	"3"	""	"2"	""	""	"2"	""	"3"	"7"	"7"	"0"	"0"	"382"	""	"382"	""
"250"	"125"	"3"	"1"	"39"	"18"	"196"	"8"	"3"	""	"10"	""	""	"3"	""	"6"	""	"3"	""	"7"	""	""	"4"	""	"3"	"100"	"10"	"0"	"3"	"417"	""	"417"	""
"251"	"125d"	"5"	"7"	"71"	"6"	"179"	"1"	"2"	""	"9"	""	""	"1"	""	"9"	""	"4"	""	"3"	""	""	"4"	""	"4"	"44"	"6"	"1"	"1"	"357"	""	"357"	""
"252"	"126"	"3"	"9"	"271"	"8"	"191"	"2"	"3"	""	"3"	""	""	"1"	""	"10"	""	"6"	""	"9"	""	""	"4"	""	"9"	"9"	"3"	"2"	"2"	"545"	""	"545"	""
"253"	"127"	"4"	"4"	"269"	"5"	"172"	"5"	"3"	""	"9"	""	""	"1"	""	"4"	""	"3"	""	"7"	""	""	"0"	""	"9"	"8"	"4"	"3"	"2"	"512"	""	"512"	""
"254"	"; ksx"	"24"	"53"	"1096"	"62"	"1503"	"26"	"20"	""	"54"	""	""	"11"	""	"40"	""	"36"	""	"37"	""	""	"27"	""	"35"	"221"	"40"	"15"	"17"	"3317"	""	"3317"	""
"255"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"787"	"1871"	"17827"	"1521"	"29916"	"554"	"382"	""	"1072"	""	""	"390"	""	"869"	""	"558"	""	"1616"	""	""	"818"	""	"967"	"2439"	"1425"	"1705"	"711"	"65428"	""	"65428"	""
"256"	"d qy  ; ksx"	"811"	"1924"	"18923"	"1583"	"31419"	"580"	"402"	""	"1126"	""	""	"401"	""	"909"	""	"594"	""	"1653"	""	""	"845"	""	"1002"	"2660"	"1465"	"1720"	"728"	"68745"	""	"68745"	""
"257"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"pÿ  l a0  %&  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"260"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke
cgknqj fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yyk
g"	"gl er vyh"	""	""	""	""
"261"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"262"	"128"	"3"	"8"	"171"	"3"	"181"	"0"	"1"	""	"3"	""	""	"2"	""	"3"	""	"3"	""	"2"	""	""	"1"	""	"10"	"16"	"3"	"0"	"7"	"417"	""	"417"	""
"263"	"129"	"4"	"4"	"71"	"5"	"289"	"3"	"1"	""	"5"	""	""	"2"	""	"2"	""	"1"	""	"3"	""	""	"3"	""	"4"	"7"	"3"	"8"	"4"	"419"	""	"419"	""
"264"	"129d"	"0"	"3"	"37"	"7"	"361"	"1"	"2"	""	"6"	""	""	"2"	""	"11"	""	"0"	""	"4"	""	""	"2"	""	"1"	"3"	"2"	"0"	"1"	"443"	""	"443"	""
"265"	"130"	"3"	"3"	"33"	"5"	"324"	"1"	"1"	""	"10"	""	""	"4"	""	"3"	""	"0"	""	"10"	""	""	"10"	""	"2"	"27"	"2"	"1"	"0"	"439"	""	"439"	""
"266"	"131"	"0"	"11"	"176"	"20"	"157"	"3"	"1"	""	"5"	""	""	"15"	""	"6"	""	"0"	""	"6"	""	""	"7"	""	"7"	"56"	"24"	"4"	"155"	"653"	""	"653"	""
"267"	"132"	"4"	"4"	"126"	"10"	"336"	"11"	"6"	""	"13"	""	""	"8"	""	"5"	""	"6"	""	"24"	""	""	"7"	""	"9"	"54"	"19"	"5"	"8"	"655"	""	"655"	""
"268"	"133"	"2"	"34"	"365"	"10"	"181"	"2"	"2"	""	"9"	""	""	"0"	""	"1"	""	"7"	""	"12"	""	""	"4"	""	"4"	"22"	"4"	"5"	"14"	"678"	""	"678"	""
"269"	"; ksx"	"16"	"67"	"979"	"60"	"1829"	"21"	"14"	""	"51"	""	""	"33"	""	"31"	""	"17"	""	"61"	""	""	"34"	""	"37"	"185"	"57"	"23"	"189"	"3704"	""	"3704"	""
"270"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"811"	"1924"	"18923"	"1583"	"31419"	"580"	"402"	""	"1126"	""	""	"401"	""	"909"	""	"594"	""	"1653"	""	""	"845"	""	"1002"	"2660"	"1465"	"1720"	"728"	"68745"	""	"68745"	""
"271"	"d qy  ; ksx"	"827"	"1991"	"19902"	"1643"	"33248"	"601"	"416"	""	"1177"	""	""	"434"	""	"940"	""	"611"	""	"1714"	""	""	"879"	""	"1039"	"2845"	"1522"	"1743"	"917"	"72449"	""	"72449"	""
"272"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"pÿ  l a0  %&  21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"275"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"dsUnzksa dh
dze l a0"	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"279"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"280"	"134"	"10"	"10"	"150"	"3"	"235"	"4"	"8"	""	"6"	""	""	"3"	""	"8"	""	"8"	""	"37"	""	""	"4"	""	"11"	"19"	"11"	"2"	"4"	"533"	""	"533"	""
"281"	"135"	"15"	"8"	"224"	"11"	"190"	"11"	"8"	""	"26"	""	""	"8"	""	"78"	""	"4"	""	"6"	""	""	"3"	""	"10"	"28"	"22"	"1"	"2"	"655"	""	"655"	""
"282"	"136"	"11"	"10"	"151"	"4"	"243"	"4"	"5"	""	"15"	""	""	"4"	""	"14"	""	"7"	""	"11"	""	""	"14"	""	"5"	"8"	"15"	"5"	"7"	"533"	""	"533"	""
"283"	"137"	"2"	"8"	"299"	"10"	"264"	"4"	"3"	""	"15"	""	""	"3"	""	"5"	""	"5"	""	"6"	""	""	"5"	""	"14"	"18"	"14"	"5"	"11"	"691"	""	"691"	""
"284"	"138"	"7"	"8"	"210"	"5"	"258"	"3"	"2"	""	"7"	""	""	"3"	""	"2"	""	"3"	""	"1"	""	""	"5"	""	"0"	"38"	"0"	"3"	"6"	"561"	""	"561"	""
"285"	"139"	"9"	"5"	"49"	"11"	"282"	"8"	"4"	""	"16"	""	""	"2"	""	"10"	""	"3"	""	"6"	""	""	"2"	""	"3"	"63"	"5"	"7"	"6"	"491"	""	"491"	""
"286"	"140"	"7"	"9"	"72"	"17"	"232"	"0"	"7"	""	"6"	""	""	"0"	""	"7"	""	"3"	""	"13"	""	""	"7"	""	"4"	"75"	"18"	"4"	"3"	"484"	""	"484"	""
"287"	"; ksx"	"61"	"58"	"1155"	"61"	"1704"	"34"	"37"	""	"91"	""	""	"23"	""	"124"	""	"33"	""	"80"	""	""	"40"	""	"47"	"249"	"85"	"27"	"39"	"3948"	""	"3948"	""
"288"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"827"	"1991"	"19902"	"1643"	"33248"	"601"	"416"	""	"1177"	""	""	"434"	""	"940"	""	"611"	""	"1714"	""	""	"879"	""	"1039"	"2845"	"1522"	"1743"	"917"	"72449"	""	"72449"	""
"289"	"d qy  ; ksx"	"888"	"2049"	"21057"	"1704"	"34952"	"635"	"453"	""	"1268"	""	""	"457"	""	"1064"	""	"644"	""	"1794"	""	""	"919"	""	"1086"	"3094"	"1607"	"1770"	"956"	"76397"	""	"76397"	""
"290"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"pÿ  l a0  %&  22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"293"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"dsUnzksa dh
dze l a0"	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"297"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"298"	"141"	"5"	"7"	"12"	"1"	"284"	"8"	"4"	""	"13"	""	""	"3"	""	"4"	""	"1"	""	"14"	""	""	"4"	""	"5"	"140"	"15"	"3"	"0"	"523"	"0"	"523"	""
"299"	"142"	"4"	"5"	"38"	"9"	"221"	"5"	"5"	""	"9"	""	""	"1"	""	"5"	""	"3"	""	"5"	""	""	"3"	""	"7"	"167"	"18"	"7"	"5"	"517"	""	"517"	""
"300"	"143"	"5"	"13"	"4"	"3"	"67"	"4"	"1"	""	"1"	""	""	"1"	""	"2"	""	"0"	""	"0"	""	""	"3"	""	"6"	"167"	"7"	"3"	"0"	"287"	""	"287"	""
"301"	"144"	"6"	"10"	"83"	"92"	"495"	"4"	"1"	""	"7"	""	""	"4"	""	"7"	""	"3"	""	"4"	""	""	"8"	""	"5"	"3"	"3"	"4"	"4"	"743"	""	"743"	""
"302"	"145"	"2"	"5"	"210"	"9"	"314"	"5"	"4"	""	"7"	""	""	"3"	""	"28"	""	"1"	""	"1"	""	""	"5"	""	"9"	"21"	"5"	"4"	"1"	"634"	""	"634"	""
"303"	"146"	"1"	"7"	"81"	"5"	"103"	"3"	"2"	""	"5"	""	""	"1"	""	"3"	""	"1"	""	"1"	""	""	"42"	""	"1"	"51"	"6"	"4"	"2"	"319"	""	"319"	""
"304"	"147"	"3"	"1"	"2"	"2"	"75"	"4"	"3"	""	"12"	""	""	"1"	""	"26"	""	"2"	""	"7"	""	""	"7"	""	"12"	"250"	"21"	"1"	"3"	"432"	""	"432"	""
"305"	"; ksx"	"26"	"48"	"430"	"121"	"1559"	"33"	"20"	""	"54"	""	""	"14"	""	"75"	""	"11"	""	"32"	""	""	"72"	""	"45"	"799"	"75"	"26"	"15"	"3455"	""	"3455"	""
"306"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"888"	"2049"	"21057"	"1704"	"34952"	"635"	"453"	""	"1268"	""	""	"457"	""	"1064"	""	"644"	""	"1794"	""	""	"919"	""	"1086"	"3094"	"1607"	"1770"	"956"	"76397"	"0"	"76397"	""
"307"	"d qy  ; ksx"	"914"	"2097"	"21487"	"1825"	"36511"	"668"	"473"	""	"1322"	""	""	"471"	""	"1139"	""	"655"	""	"1826"	""	""	"991"	""	"1131"	"3893"	"1682"	"1796"	"971"	"79852"	""	"79852"	""
"308"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"pÿ  l a0  %&  23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"311"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
