"Total.No..of.Electors.in.Assembly.Constituency."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"503"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"504"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"505"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"506"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"507"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"508"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"509"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"510"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"511"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"512"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"513"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"514"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"516"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"517"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"518"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"519"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"520"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"521"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"522"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"524"	"192"	"231"	"4"	"6"	"1"	"54"	"1"	"3"	"3"	"1"	"1"	"2"	"0"	"2"	"2"	"7"	"318"
"525"	"193"	"133"	"48"	"3"	"4"	"97"	"5"	"10"	"4"	"2"	"1"	"1"	"3"	"6"	"3"	"4"	"324"
"526"	"194"	"30"	"2"	"0"	"0"	"201"	"4"	"74"	"6"	"2"	"3"	"0"	"2"	"1"	"3"	"8"	"336"
"527"	"195"	"34"	"3"	"5"	"0"	"163"	"3"	"90"	"2"	"16"	"10"	"12"	"4"	"5"	"5"	"13"	"365"
"528"	"196"	"347"	"9"	"4"	"2"	"81"	"5"	"22"	"4"	"2"	"3"	"5"	"1"	"6"	"8"	"26"	"525"
"529"	"197"	"164"	"2"	"0"	"1"	"136"	"2"	"59"	"1"	"0"	"2"	"3"	"0"	"0"	"1"	"1"	"372"
"530"	"198"	"23"	"14"	"2"	"1"	"141"	"2"	"117"	"5"	"3"	"4"	"11"	"2"	"0"	"3"	"1"	"329"
"531"	"199"	"85"	"8"	"0"	"2"	"50"	"3"	"8"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"164"
"532"	"200"	"46"	"41"	"5"	"0"	"195"	"3"	"1"	"4"	"0"	"3"	"5"	"2"	"3"	"3"	"11"	"322"
"533"	"201"	"52"	"41"	"4"	"0"	"161"	"9"	"90"	"10"	"11"	"13"	"8"	"6"	"4"	"7"	"16"	"432"
"534"	"202"	"71"	"1"	"1"	"2"	"96"	"2"	"104"	"1"	"3"	"6"	"1"	"5"	"2"	"2"	"4"	"301"
"535"	"203"	"5"	"1"	"0"	"0"	"104"	"2"	"22"	"3"	"5"	"109"	"1"	"3"	"1"	"1"	"6"	"263"
"536"	"204"	"69"	"7"	"5"	"3"	"202"	"4"	"95"	"3"	"2"	"3"	"2"	"3"	"7"	"8"	"9"	"422"
"537"	"205"	"147"	"7"	"19"	"4"	"101"	"9"	"105"	"10"	"9"	"11"	"3"	"1"	"8"	"4"	"13"	"451"
"538"	"206"	"64"	"5"	"1"	"2"	"247"	"4"	"121"	"1"	"7"	"5"	"3"	"1"	"0"	"2"	"1"	"464"
"539"	"207"	"54"	"7"	"18"	"1"	"185"	"2"	"104"	"5"	"6"	"5"	"0"	"6"	"4"	"2"	"3"	"402"
"540"	"208"	"13"	"17"	"0"	"3"	"153"	"2"	"179"	"8"	"9"	"16"	"4"	"2"	"0"	"2"	"4"	"412"
"541"	"209"	"113"	"8"	"3"	"4"	"308"	"4"	"70"	"3"	"3"	"10"	"9"	"3"	"2"	"4"	"7"	"551"
"542"	"210"	"311"	"6"	"6"	"1"	"183"	"3"	"11"	"7"	"4"	"2"	"12"	"8"	"12"	"6"	"46"	"618"
"543"	"211"	"28"	"3"	"0"	"5"	"40"	"3"	"19"	"6"	"2"	"1"	"0"	"0"	"2"	"1"	"2"	"112"
"544"	"212"	"26"	"3"	"0"	"1"	"297"	"7"	"133"	"8"	"3"	"5"	"14"	"1"	"1"	"2"	"12"	"513"
"545"	"213"	"64"	"39"	"2"	"1"	"260"	"1"	"1"	"2"	"0"	"2"	"1"	"1"	"1"	"0"	"3"	"378"
"546"	"214"	"101"	"14"	"1"	"0"	"169"	"3"	"0"	"3"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"296"
"547"	"215"	"37"	"15"	"4"	"2"	"252"	"5"	"1"	"3"	"2"	"3"	"5"	"2"	"2"	"8"	"10"	"351"
"548"	"216"	"139"	"3"	"0"	"2"	"63"	"1"	"5"	"3"	"2"	"0"	"1"	"1"	"2"	"0"	"5"	"227"
"549"	"217"	"0"	"0"	"0"	"0"	"26"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"33"
"550"	"218"	"118"	"9"	"1"	"3"	"256"	"4"	"2"	"3"	"0"	"1"	"3"	"2"	"2"	"2"	"6"	"412"
"551"	"219"	"69"	"0"	"0"	"0"	"151"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"227"
"552"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"553"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"554"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"555"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"556"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"557"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"558"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"559"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"560"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"561"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"562"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"563"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"564"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"565"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"566"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"567"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"568"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"569"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"570"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"571"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"572"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"573"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"574"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"575"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"576"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"577"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"578"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"579"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"580"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"581"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"582"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"583"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"584"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"585"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"586"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"587"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"588"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"589"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"590"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"591"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"592"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"593"	"220"	"70"	"44"	"1"	"2"	"147"	"3"	"2"	"1"	"0"	"0"	"2"	"3"	"1"	"9"	"16"	"301"
"594"	"221"	"164"	"5"	"3"	"6"	"204"	"6"	"4"	"8"	"2"	"0"	"11"	"8"	"1"	"7"	"17"	"446"
"595"	"222"	"72"	"2"	"0"	"1"	"123"	"2"	"0"	"0"	"3"	"0"	"6"	"5"	"0"	"0"	"3"	"217"
"596"	"223"	"113"	"5"	"1"	"1"	"37"	"0"	"1"	"0"	"1"	"1"	"3"	"0"	"1"	"3"	"3"	"170"
"597"	"224"	"203"	"14"	"3"	"4"	"188"	"7"	"5"	"3"	"2"	"2"	"11"	"5"	"5"	"7"	"26"	"485"
"598"	"225"	"302"	"3"	"0"	"2"	"94"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"410"
"599"	"226"	"78"	"4"	"1"	"3"	"252"	"5"	"5"	"5"	"2"	"7"	"7"	"3"	"4"	"5"	"8"	"389"
"600"	"227"	"160"	"6"	"5"	"2"	"173"	"6"	"2"	"5"	"6"	"2"	"8"	"13"	"7"	"7"	"20"	"422"
"601"	"228"	"226"	"7"	"0"	"2"	"260"	"6"	"3"	"4"	"0"	"0"	"9"	"4"	"2"	"5"	"7"	"535"
"602"	"229"	"42"	"1"	"1"	"2"	"89"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"2"	"143"
"603"	"230"	"90"	"23"	"4"	"2"	"149"	"4"	"10"	"5"	"1"	"3"	"4"	"4"	"3"	"4"	"13"	"319"
"604"	"231"	"23"	"2"	"6"	"0"	"169"	"3"	"1"	"2"	"0"	"0"	"2"	"6"	"1"	"39"	"1"	"255"
"605"	"232"	"6"	"10"	"2"	"0"	"255"	"5"	"1"	"1"	"2"	"0"	"5"	"8"	"0"	"3"	"7"	"305"
"606"	"233"	"19"	"18"	"2"	"0"	"285"	"11"	"4"	"1"	"1"	"1"	"4"	"4"	"3"	"90"	"5"	"448"
"607"	"234"	"104"	"12"	"10"	"3"	"297"	"13"	"2"	"10"	"7"	"6"	"15"	"20"	"10"	"136"	"34"	"679"
"608"	"235"	"209"	"5"	"1"	"1"	"30"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"1"	"8"	"261"
"609"	"236"	"192"	"23"	"0"	"1"	"205"	"2"	"5"	"5"	"2"	"3"	"5"	"3"	"3"	"12"	"18"	"479"
"610"	"237"	"31"	"17"	"2"	"2"	"221"	"2"	"3"	"1"	"0"	"2"	"3"	"0"	"1"	"6"	"1"	"292"
"611"	"238"	"169"	"2"	"0"	"1"	"62"	"0"	"1"	"1"	"0"	"2"	"1"	"3"	"1"	"2"	"6"	"251"
"612"	"239"	"201"	"2"	"2"	"0"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"1"	"216"
"613"	"240"	"101"	"20"	"3"	"6"	"375"	"4"	"3"	"7"	"1"	"1"	"8"	"9"	"3"	"8"	"20"	"569"
"614"	"241"	"122"	"3"	"3"	"2"	"343"	"12"	"7"	"2"	"0"	"0"	"2"	"1"	"3"	"10"	"3"	"513"
"615"	"242"	"105"	"9"	"0"	"1"	"173"	"2"	"21"	"2"	"2"	"3"	"3"	"4"	"3"	"38"	"7"	"373"
"616"	"243"	"52"	"3"	"0"	"18"	"267"	"3"	"14"	"3"	"3"	"4"	"3"	"4"	"2"	"5"	"6"	"387"
"617"	"244"	"66"	"1"	"4"	"1"	"191"	"6"	"28"	"1"	"1"	"3"	"8"	"4"	"5"	"7"	"15"	"341"
"618"	"245"	"48"	"3"	"1"	"0"	"148"	"4"	"75"	"5"	"3"	"8"	"1"	"2"	"3"	"1"	"4"	"306"
"619"	"246"	"49"	"13"	"2"	"3"	"187"	"5"	"133"	"5"	"6"	"12"	"12"	"5"	"3"	"7"	"16"	"458"
"620"	"247"	"93"	"1"	"1"	"0"	"31"	"0"	"43"	"2"	"1"	"2"	"0"	"1"	"3"	"1"	"7"	"186"
"621"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"622"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"623"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"624"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"625"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"626"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"627"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"628"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"629"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"630"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"631"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"632"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"633"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"634"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"635"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"636"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"637"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"638"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"639"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"640"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"641"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"642"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"643"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"644"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"645"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"646"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"647"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"648"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"649"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"650"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"651"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"652"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"653"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"654"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"655"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"656"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"657"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"658"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"659"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"660"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"661"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"662"	"248"	"4"	"3"	"1"	"0"	"52"	"2"	"320"	"2"	"2"	"6"	"2"	"2"	"0"	"0"	"6"	"402"
"663"	"249"	"9"	"1"	"1"	"1"	"173"	"4"	"93"	"2"	"3"	"5"	"8"	"4"	"2"	"3"	"3"	"312"
"664"	"250"	"148"	"28"	"6"	"0"	"138"	"6"	"34"	"0"	"3"	"4"	"0"	"1"	"3"	"1"	"7"	"379"
"665"	"251"	"1"	"2"	"1"	"0"	"195"	"1"	"107"	"4"	"1"	"1"	"2"	"0"	"0"	"6"	"1"	"322"
"666"	"252"	"30"	"1"	"0"	"2"	"90"	"2"	"13"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"1"	"144"
"667"	"253"	"120"	"1"	"2"	"0"	"35"	"0"	"53"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"6"	"220"
"668"	"254"	"37"	"3"	"0"	"1"	"182"	"1"	"46"	"7"	"3"	"6"	"5"	"3"	"2"	"1"	"6"	"303"
"669"	"255"	"42"	"0"	"0"	"0"	"105"	"1"	"92"	"0"	"2"	"3"	"2"	"1"	"0"	"6"	"2"	"256"
"670"	"256"	"161"	"1"	"2"	"0"	"175"	"4"	"10"	"1"	"0"	"2"	"3"	"1"	"3"	"4"	"10"	"377"
"671"	"257"	"3"	"1"	"0"	"0"	"108"	"2"	"65"	"3"	"2"	"3"	"11"	"4"	"2"	"3"	"4"	"211"
"672"	"258"	"132"	"4"	"3"	"2"	"240"	"2"	"64"	"4"	"3"	"5"	"6"	"11"	"4"	"1"	"13"	"494"
"673"	"259"	"143"	"7"	"17"	"3"	"304"	"14"	"167"	"14"	"14"	"23"	"12"	"9"	"11"	"7"	"34"	"779"
"674"	"260"	"12"	"6"	"0"	"1"	"327"	"5"	"28"	"6"	"3"	"3"	"10"	"2"	"2"	"6"	"5"	"416"
"675"	"261"	"198"	"5"	"6"	"2"	"201"	"7"	"56"	"3"	"1"	"3"	"7"	"0"	"9"	"3"	"8"	"509"
"676"	"262"	"47"	"10"	"4"	"6"	"293"	"11"	"217"	"14"	"10"	"20"	"18"	"6"	"4"	"7"	"10"	"677"
"677"	"263"	"142"	"3"	"2"	"14"	"176"	"4"	"111"	"4"	"4"	"4"	"10"	"5"	"2"	"3"	"17"	"501"
"678"	"264"	"209"	"4"	"0"	"2"	"164"	"6"	"24"	"4"	"0"	"3"	"3"	"0"	"4"	"0"	"11"	"434"
"679"	"265"	"189"	"6"	"2"	"2"	"210"	"5"	"9"	"2"	"2"	"2"	"8"	"4"	"4"	"0"	"15"	"460"
"680"	"266"	"200"	"3"	"2"	"2"	"11"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"8"	"231"
"681"	"267"	"21"	"10"	"1"	"0"	"265"	"10"	"90"	"10"	"4"	"5"	"8"	"5"	"0"	"3"	"9"	"441"
"682"	"268"	"69"	"6"	"4"	"2"	"174"	"8"	"110"	"4"	"1"	"2"	"2"	"5"	"3"	"3"	"7"	"400"
"683"	"269"	"70"	"27"	"7"	"7"	"268"	"8"	"4"	"2"	"2"	"2"	"0"	"4"	"8"	"185"	"17"	"611"
"684"	"270"	"5"	"3"	"3"	"1"	"131"	"2"	"3"	"0"	"0"	"1"	"4"	"2"	"1"	"88"	"10"	"254"
"685"	"271"	"290"	"114"	"8"	"3"	"214"	"6"	"4"	"3"	"3"	"2"	"7"	"9"	"9"	"6"	"14"	"692"
"686"	"272"	"310"	"11"	"2"	"2"	"122"	"5"	"19"	"3"	"3"	"4"	"5"	"2"	"5"	"4"	"16"	"513"
"687"	"273"	"209"	"9"	"2"	"0"	"32"	"1"	"0"	"1"	"0"	"1"	"2"	"2"	"6"	"1"	"14"	"280"
"688"	"274"	"116"	"6"	"2"	"0"	"41"	"2"	"1"	"1"	"2"	"1"	"4"	"4"	"7"	"122"	"11"	"320"
"689"	""	"37029"	"3443"	"1505"	"582"	"58062"	"1191"	"7433"	"1230"	"647"	"1292"	"1438"	"979"	"1022"	"1688"	"3357"	"120898"
