"Total.No..of.Electors.in.Assembly.Constituency........240418"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"01-Valmikinagar Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"309"	"165"	"99"	"19"	"62"	"107"	"7"	"249"	"5"	"5"	"10"	"7"	"7"	"8"	"3"	"8"	"596"	"0"	"596"	"0"	""	""
"310"	"166"	"23"	"68"	"266"	"50"	"4"	"3"	"0"	"1"	"4"	"1"	"0"	"1"	"1"	"7"	"429"	"0"	"429"	"0"	""	""
"311"	"167"	"11"	"184"	"149"	"90"	"3"	"94"	"3"	"1"	"0"	"0"	"3"	"3"	"1"	"8"	"550"	"0"	"550"	"0"	""	""
"312"	"168"	"67"	"154"	"150"	"171"	"7"	"139"	"7"	"3"	"6"	"7"	"10"	"14"	"21"	"39"	"795"	"0"	"795"	"0"	""	""
"313"	"169"	"34"	"80"	"254"	"204"	"9"	"11"	"6"	"2"	"3"	"9"	"20"	"23"	"15"	"33"	"703"	"0"	"703"	"0"	""	""
"314"	"170"	"18"	"37"	"491"	"85"	"2"	"18"	"6"	"1"	"4"	"5"	"5"	"7"	"4"	"23"	"706"	"0"	"706"	"0"	""	""
"315"	"171"	"130"	"74"	"36"	"152"	"5"	"8"	"2"	"4"	"2"	"6"	"7"	"6"	"5"	"31"	"468"	"0"	"468"	"0"	""	""
"316"	"172"	"47"	"221"	"96"	"86"	"1"	"3"	"3"	"1"	"0"	"0"	"0"	"1"	"2"	"4"	"465"	"0"	"465"	"0"	""	""
"317"	"173"	"52"	"57"	"203"	"289"	"9"	"80"	"7"	"4"	"4"	"0"	"3"	"3"	"5"	"41"	"757"	"0"	"757"	"0"	""	""
"318"	"174"	"55"	"168"	"117"	"210"	"5"	"34"	"3"	"2"	"4"	"5"	"12"	"16"	"13"	"21"	"665"	"0"	"665"	"0"	""	""
"319"	"175"	"69"	"43"	"285"	"214"	"8"	"14"	"6"	"8"	"4"	"3"	"10"	"9"	"14"	"27"	"714"	"0"	"714"	"0"	""	""
"320"	"176"	"124"	"42"	"395"	"225"	"1"	"4"	"1"	"0"	"3"	"2"	"1"	"1"	"1"	"1"	"801"	"0"	"801"	"0"	""	""
"321"	"Total"	"782"	"1453"	"2816"	"2181"	"67"	"673"	"56"	"38"	"53"	"51"	"82"	"101"	"107"	"271"	"8731"	"0"	"8731"	"0"	""	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"01-Valmikinagar Legislative Assembly Constituency (Round - 14)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"331"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"332"	"177"	"73"	"17"	"50"	"112"	"5"	"32"	"4"	"2"	"6"	"5"	"11"	"8"	"7"	"15"	"347"	"0"	"347"	"0"	""	""
"333"	"178"	"24"	"92"	"201"	"226"	"5"	"5"	"2"	"1"	"1"	"4"	"7"	"5"	"5"	"20"	"598"	"0"	"598"	"0"	""	""
"334"	"179"	"22"	"16"	"329"	"107"	"0"	"6"	"6"	"5"	"3"	"5"	"3"	"14"	"11"	"14"	"541"	"0"	"541"	"0"	""	""
"335"	"180"	"77"	"134"	"347"	"75"	"5"	"47"	"6"	"1"	"2"	"3"	"7"	"9"	"13"	"23"	"749"	"0"	"749"	"0"	""	""
"336"	"181"	"37"	"135"	"155"	"101"	"12"	"110"	"7"	"4"	"10"	"5"	"9"	"13"	"16"	"28"	"642"	"0"	"642"	"0"	""	""
"337"	"182"	"37"	"123"	"227"	"201"	"3"	"17"	"9"	"2"	"5"	"5"	"11"	"12"	"15"	"42"	"709"	"0"	"709"	"0"	""	""
"338"	"183"	"48"	"163"	"265"	"85"	"4"	"7"	"5"	"1"	"2"	"4"	"5"	"7"	"9"	"34"	"639"	"0"	"639"	"0"	""	""
"339"	"184"	"45"	"267"	"70"	"204"	"4"	"9"	"4"	"2"	"6"	"0"	"0"	"5"	"4"	"7"	"627"	"0"	"627"	"0"	""	""
"340"	"185"	"169"	"45"	"91"	"136"	"6"	"9"	"4"	"1"	"4"	"2"	"2"	"2"	"3"	"26"	"500"	"0"	"500"	"0"	""	""
"341"	"186"	"28"	"117"	"160"	"140"	"3"	"10"	"9"	"3"	"2"	"4"	"6"	"12"	"10"	"43"	"547"	"0"	"547"	"0"	""	""
"342"	"187"	"16"	"207"	"285"	"138"	"2"	"4"	"4"	"3"	"2"	"1"	"3"	"7"	"6"	"10"	"688"	"0"	"688"	"0"	""	""
"343"	"188"	"43"	"150"	"393"	"83"	"3"	"50"	"11"	"3"	"1"	"8"	"3"	"10"	"10"	"21"	"789"	"0"	"789"	"0"	""	""
"344"	"189"	"65"	"88"	"393"	"130"	"7"	"4"	"2"	"6"	"5"	"2"	"1"	"6"	"11"	"17"	"737"	"0"	"737"	"0"	""	""
"345"	"190"	"76"	"63"	"3"	"82"	"3"	"3"	"1"	"3"	"4"	"6"	"4"	"2"	"3"	"14"	"267"	"0"	"267"	"0"	""	""
"346"	"Total"	"760"	"1617"	"2969"	"1820"	"62"	"313"	"74"	"37"	"53"	"54"	"72"	"112"	"123"	"314"	"8380"	"0"	"8380"	"0"	""	""
"347"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"01-Valmikinagar Legislative Assembly Constituency (Round - 15)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"356"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"357"	"191"	"14"	"183"	"485"	"170"	"7"	"24"	"5"	"3"	"10"	"6"	"3"	"15"	"13"	"38"	"976"	"0"	"976"	"0"	""	""
"358"	"192"	"101"	"155"	"62"	"296"	"3"	"64"	"4"	"5"	"5"	"0"	"4"	"8"	"8"	"24"	"739"	"0"	"739"	"0"	""	""
"359"	"193"	"26"	"24"	"121"	"291"	"5"	"14"	"5"	"1"	"5"	"3"	"9"	"8"	"2"	"8"	"522"	"0"	"522"	"0"	""	""
"360"	"194"	"58"	"24"	"39"	"177"	"3"	"7"	"2"	"4"	"7"	"1"	"5"	"8"	"3"	"13"	"351"	"0"	"351"	"0"	""	""
"361"	"195"	"59"	"13"	"72"	"258"	"8"	"23"	"2"	"1"	"1"	"2"	"4"	"8"	"7"	"5"	"463"	"0"	"463"	"0"	""	""
"362"	"196"	"49"	"236"	"35"	"106"	"0"	"5"	"2"	"1"	"1"	"2"	"2"	"2"	"3"	"5"	"449"	"0"	"449"	"0"	""	""
"363"	"198"	"262"	"113"	"92"	"97"	"1"	"5"	"7"	"2"	"4"	"5"	"3"	"5"	"7"	"15"	"618"	"0"	"618"	"0"	""	""
"364"	"199"	"37"	"221"	"15"	"248"	"2"	"3"	"1"	"1"	"0"	"4"	"7"	"4"	"5"	"14"	"562"	"0"	"562"	"0"	""	""
"365"	"200"	"176"	"58"	"89"	"88"	"5"	"26"	"2"	"1"	"2"	"4"	"5"	"5"	"3"	"22"	"486"	"0"	"486"	"0"	""	""
"366"	"201"	"10"	"62"	"179"	"152"	"5"	"7"	"7"	"2"	"2"	"7"	"4"	"7"	"8"	"30"	"482"	"0"	"482"	"0"	""	""
"367"	"202"	"4"	"31"	"88"	"100"	"1"	"5"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	"235"	"0"	"235"	"0"	""	""
"368"	"203"	"8"	"23"	"82"	"27"	"3"	"9"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"161"	"0"	"161"	"0"	""	""
"369"	"204"	"4"	"0"	"14"	"16"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"37"	"0"	"37"	"0"	""	""
"370"	"205"	"8"	"1"	"92"	"28"	"1"	"35"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"172"	"0"	"172"	"0"	""	""
"371"	"Total"	"816"	"1144"	"1465"	"2054"	"45"	"227"	"44"	"25"	"37"	"37"	"46"	"74"	"61"	"178"	"6253"	"0"	"6253"	"0"	""	""
"372"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"01-Valmikinagar Legislative Assembly Constituency (Round - 16)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"381"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"382"	"206"	"2"	"2"	"38"	"35"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"94"	"0"	"94"	"0"	""	""
"383"	"207"	"19"	"58"	"35"	"71"	"2"	"34"	"4"	"2"	"4"	"2"	"1"	"7"	"12"	"28"	"279"	"0"	"279"	"0"	""	""
"384"	"208"	"216"	"42"	"19"	"277"	"3"	"3"	"0"	"4"	"0"	"2"	"8"	"20"	"15"	"27"	"636"	"0"	"636"	"0"	""	""
"385"	"209"	"152"	"106"	"20"	"249"	"3"	"6"	"5"	"6"	"0"	"5"	"3"	"4"	"3"	"10"	"572"	"0"	"572"	"0"	""	""
"386"	"210"	"17"	"122"	"29"	"234"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"1"	"2"	"413"	"0"	"413"	"0"	""	""
"387"	"211"	"59"	"279"	"196"	"109"	"4"	"5"	"8"	"4"	"4"	"0"	"2"	"8"	"3"	"11"	"692"	"0"	"692"	"0"	""	""
"388"	"212"	"16"	"103"	"262"	"82"	"7"	"3"	"5"	"4"	"5"	"1"	"2"	"2"	"8"	"11"	"511"	"0"	"511"	"0"	""	""
"389"	"213"	"63"	"127"	"243"	"77"	"2"	"5"	"5"	"7"	"6"	"3"	"12"	"17"	"12"	"27"	"606"	"0"	"606"	"0"	""	""
"390"	"214"	"54"	"130"	"76"	"107"	"5"	"18"	"3"	"3"	"0"	"2"	"1"	"1"	"4"	"5"	"409"	"0"	"409"	"0"	""	""
"391"	"215"	"43"	"38"	"386"	"142"	"6"	"27"	"11"	"6"	"5"	"4"	"5"	"11"	"13"	"48"	"745"	"0"	"745"	"0"	""	""
"392"	"216"	"177"	"121"	"61"	"248"	"12"	"12"	"9"	"4"	"4"	"4"	"7"	"12"	"8"	"19"	"698"	"0"	"698"	"0"	""	""
"393"	"217"	"39"	"63"	"40"	"124"	"5"	"60"	"6"	"4"	"7"	"4"	"4"	"7"	"5"	"3"	"371"	"0"	"371"	"0"	""	""
"394"	"218"	"229"	"15"	"24"	"85"	"1"	"4"	"2"	"1"	"2"	"0"	"1"	"5"	"9"	"20"	"398"	"0"	"398"	"0"	""	""
"395"	"219"	"21"	"53"	"39"	"314"	"2"	"2"	"5"	"3"	"0"	"6"	"11"	"8"	"3"	"11"	"478"	"0"	"478"	"0"	""	""
"396"	"Total"	"1107"	"1259"	"1468"	"2154"	"55"	"192"	"65"	"49"	"37"	"33"	"58"	"105"	"97"	"223"	"6902"	"0"	"6902"	"0"	""	""
"397"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"01-Valmikinagar Legislative Assembly Constituency (Round - 17)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"406"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"407"	"220"	"10"	"16"	"69"	"32"	"8"	"8"	"3"	"3"	"4"	"1"	"5"	"4"	"6"	"8"	"177"	"0"	"177"	"0"	""	""
"408"	"221"	"4"	"11"	"26"	"18"	"1"	"3"	"3"	"1"	"0"	"1"	"0"	"3"	"1"	"1"	"73"	"0"	"73"	"0"	""	""
"409"	"222"	"3"	"8"	"95"	"11"	"0"	"6"	"4"	"1"	"1"	"2"	"1"	"0"	"1"	"3"	"136"	"0"	"136"	"0"	""	""
"410"	"223"	"14"	"6"	"67"	"41"	"0"	"1"	"3"	"0"	"0"	"0"	"2"	"2"	"1"	"4"	"141"	"0"	"141"	"0"	""	""
"411"	"224"	"6"	"11"	"38"	"79"	"2"	"1"	"2"	"3"	"1"	"3"	"3"	"5"	"4"	"16"	"174"	"0"	"174"	"0"	""	""
"412"	"225"	"77"	"215"	"121"	"185"	"7"	"28"	"5"	"9"	"9"	"5"	"12"	"19"	"19"	"27"	"738"	"0"	"738"	"0"	""	""
"413"	"226"	"73"	"32"	"159"	"68"	"3"	"33"	"8"	"4"	"4"	"5"	"3"	"5"	"3"	"7"	"407"	"0"	"407"	"0"	""	""
"414"	"227"	"42"	"111"	"35"	"202"	"5"	"3"	"0"	"1"	"0"	"0"	"5"	"4"	"4"	"9"	"421"	"0"	"421"	"0"	""	""
"415"	"228"	"34"	"87"	"127"	"142"	"4"	"40"	"2"	"0"	"0"	"3"	"1"	"3"	"2"	"2"	"447"	"0"	"447"	"0"	""	""
"416"	"229"	"25"	"21"	"203"	"231"	"3"	"6"	"8"	"4"	"2"	"9"	"7"	"5"	"4"	"14"	"542"	"0"	"542"	"0"	""	""
"417"	"230"	"10"	"5"	"23"	"84"	"3"	"2"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"2"	"136"	"0"	"136"	"0"	""	""
"418"	"231"	"20"	"13"	"65"	"187"	"8"	"4"	"7"	"2"	"6"	"10"	"9"	"10"	"10"	"37"	"388"	"0"	"388"	"0"	""	""
"419"	"232"	"82"	"49"	"78"	"45"	"2"	"7"	"2"	"2"	"3"	"1"	"1"	"2"	"4"	"5"	"283"	"0"	"283"	"0"	""	""
"420"	"233"	"97"	"41"	"206"	"118"	"2"	"5"	"2"	"3"	"2"	"3"	"9"	"12"	"6"	"20"	"526"	"0"	"526"	"0"	""	""
"421"	"Total"	"497"	"626"	"1312"	"1443"	"48"	"147"	"52"	"33"	"33"	"43"	"58"	"76"	"66"	"155"	"4589"	"0"	"4589"	"0"	""	""
"422"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"01-Valmikinagar Legislative Assembly Constituency (Round - 18)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"429"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"430"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"431"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"432"	"234"	"11"	"17"	"145"	"130"	"6"	"6"	"2"	"0"	"2"	"3"	"5"	"14"	"9"	"24"	"374"	"0"	"374"	"0"	""	""
"433"	"235"	"54"	"115"	"28"	"190"	"7"	"104"	"7"	"9"	"5"	"4"	"2"	"4"	"6"	"11"	"546"	"0"	"546"	"0"	""	""
"434"	"236"	"128"	"95"	"43"	"167"	"4"	"2"	"1"	"0"	"1"	"4"	"4"	"3"	"4"	"16"	"472"	"0"	"472"	"0"	""	""
"435"	"237"	"54"	"207"	"28"	"163"	"6"	"5"	"2"	"3"	"2"	"3"	"3"	"6"	"3"	"6"	"491"	"0"	"491"	"0"	""	""
"436"	"238"	"15"	"45"	"11"	"54"	"1"	"11"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"146"	"0"	"146"	"0"	""	""
"437"	"239"	"133"	"27"	"84"	"80"	"4"	"11"	"3"	"2"	"1"	"1"	"0"	"3"	"2"	"5"	"356"	"0"	"356"	"0"	""	""
"438"	"240"	"106"	"99"	"87"	"139"	"16"	"244"	"9"	"5"	"15"	"5"	"20"	"20"	"18"	"38"	"821"	"0"	"821"	"0"	""	""
"439"	"241"	"162"	"13"	"328"	"46"	"4"	"11"	"7"	"2"	"0"	"5"	"2"	"13"	"13"	"16"	"622"	"0"	"622"	"0"	""	""
"440"	"242"	"61"	"50"	"98"	"70"	"6"	"99"	"4"	"4"	"2"	"2"	"4"	"1"	"3"	"14"	"418"	"0"	"418"	"0"	""	""
"441"	"243"	"96"	"21"	"133"	"141"	"4"	"36"	"1"	"3"	"2"	"3"	"1"	"6"	"3"	"6"	"456"	"0"	"456"	"0"	""	""
"442"	"244"	"8"	"157"	"33"	"39"	"2"	"5"	"1"	"0"	"2"	"0"	"1"	"2"	"4"	"4"	"258"	"0"	"258"	"0"	""	""
"443"	"245"	"174"	"133"	"241"	"48"	"8"	"5"	"4"	"8"	"2"	"2"	"3"	"7"	"13"	"9"	"657"	"0"	"657"	"0"	""	""
"444"	"246"	"64"	"81"	"355"	"62"	"3"	"71"	"4"	"1"	"0"	"2"	"0"	"2"	"2"	"4"	"651"	"0"	"651"	"0"	""	""
"445"	"247"	"58"	"57"	"238"	"49"	"4"	"35"	"6"	"4"	"10"	"2"	"20"	"19"	"20"	"27"	"549"	"0"	"549"	"0"	""	""
"446"	"Total"	"1124"	"1117"	"1852"	"1378"	"75"	"645"	"53"	"41"	"44"	"36"	"66"	"102"	"101"	"183"	"6817"	"0"	"6817"	"0"	""	""
"447"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"448"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"450"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"452"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"01-Valmikinagar Legislative Assembly Constituency (Round - 19)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"456"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"457"	"248"	"13"	"68"	"106"	"88"	"19"	"120"	"3"	"5"	"11"	"9"	"9"	"19"	"9"	"22"	"501"	"0"	"501"	"0"	""	""
"458"	"249"	"8"	"10"	"37"	"88"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"152"	"0"	"152"	"0"	""	""
"459"	"Total"	"21"	"78"	"143"	"176"	"19"	"120"	"4"	"5"	"11"	"9"	"9"	"19"	"12"	"27"	"653"	"0"	"653"	"0"	""	""
"460"	"Postal
Ballot"	"2"	"3"	"12"	"17"	"0"	"0"	"0"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"48"	"3"	"51"	"0"	""	""
"461"	"Grand
Total"	"17747"	"20886"	"27618"	"42289"	"1334"	"8358"	"1042"	"835"	"14047"	"743"	"1114"	"1610"	"1647"	"4428"	"143698"	"3"	"143701"	"0"	""	""
"462"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"463"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"464"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
