"SL..NO..OF.POLLING.STATION"	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"TOTAL.OF.VALID.VOTES"	"NO..OF.REJECTED.VOTES"	"TOTAL"	"NO..OF.TENDERED.VOTES"
"219"	"135K"	"6"	"7"	"202"	"116"	"1"	"1"	"0"	"2"	"1"	"1"	"14"	"0"	"1"	"2"	"2"	"4"	"6"	"0"	"5"	"8"	"1"	"4"	"384"	"0"	"384"	"0"
"220"	"136"	"12"	"1"	"354"	"47"	"6"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"2"	"0"	"5"	"436"	"0"	"436"	"0"
"221"	"137"	"6"	"2"	"289"	"83"	"5"	"0"	"1"	"7"	"0"	"1"	"8"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"4"	"2"	"0"	"6"	"418"	"0"	"418"	"0"
"222"	"138"	"11"	"3"	"194"	"90"	"1"	"2"	"0"	"0"	"1"	"0"	"5"	"2"	"3"	"2"	"1"	"1"	"1"	"0"	"6"	"6"	"1"	"4"	"334"	"0"	"334"	"0"
"223"	"138K"	"4"	"0"	"208"	"77"	"3"	"1"	"0"	"1"	"0"	"0"	"7"	"0"	"1"	"2"	"0"	"0"	"3"	"2"	"5"	"2"	"0"	"2"	"318"	"0"	"318"	"0"
"224"	"139"	"5"	"3"	"232"	"60"	"3"	"0"	"8"	"2"	"1"	"1"	"1"	"0"	"6"	"2"	"2"	"0"	"4"	"3"	"0"	"1"	"0"	"2"	"336"	"0"	"336"	"0"
"225"	"Total"	"98"	"41"	"3449"	"1257"	"50"	"23"	"15"	"49"	"13"	"14"	"101"	"18"	"33"	"24"	"18"	"20"	"50"	"36"	"59"	"57"	"11"	"95"	"5531"	"0"	"5531"	"0"
"226"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"228"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"229"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"230"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"231"	"139K"	"2"	"1"	"171"	"57"	"2"	"0"	"5"	"4"	"0"	"0"	"1"	"0"	"1"	"5"	"0"	"0"	"0"	"2"	"5"	"4"	"0"	"1"	"261"	"0"	"261"	"0"
"232"	"140"	"5"	"2"	"293"	"38"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"4"	"3"	"1"	"2"	"2"	"2"	"1"	"3"	"20"	"0"	"3"	"383"	"0"	"383"	"0"
"233"	"140K"	"6"	"3"	"304"	"55"	"2"	"1"	"3"	"0"	"1"	"1"	"0"	"0"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"7"	"0"	"0"	"390"	"0"	"390"	"0"
"234"	"141"	"10"	"1"	"202"	"45"	"8"	"2"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"7"	"2"	"0"	"1"	"2"	"2"	"292"	"0"	"292"	"0"
"235"	"141K"	"9"	"1"	"275"	"68"	"7"	"2"	"5"	"0"	"1"	"0"	"0"	"1"	"4"	"2"	"1"	"2"	"6"	"2"	"3"	"3"	"3"	"10"	"405"	"0"	"405"	"0"
"236"	"142"	"4"	"2"	"328"	"45"	"6"	"1"	"0"	"4"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"6"	"0"	"407"	"0"	"407"	"0"
"237"	"142K"	"6"	"1"	"284"	"47"	"6"	"3"	"1"	"20"	"0"	"2"	"0"	"2"	"2"	"1"	"10"	"1"	"4"	"2"	"2"	"6"	"2"	"5"	"407"	"0"	"407"	"0"
"238"	"143"	"18"	"2"	"337"	"112"	"18"	"1"	"1"	"0"	"1"	"0"	"4"	"3"	"1"	"0"	"3"	"2"	"1"	"0"	"3"	"5"	"11"	"8"	"531"	"0"	"531"	"0"
"239"	"144"	"15"	"1"	"348"	"73"	"4"	"0"	"1"	"12"	"0"	"0"	"1"	"5"	"1"	"2"	"7"	"1"	"2"	"1"	"0"	"4"	"2"	"0"	"480"	"0"	"480"	"0"
"240"	"145"	"11"	"4"	"269"	"96"	"4"	"0"	"0"	"2"	"0"	"8"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"7"	"407"	"0"	"407"	"0"
"241"	"146"	"22"	"1"	"181"	"187"	"3"	"3"	"0"	"0"	"1"	"1"	"2"	"2"	"2"	"3"	"1"	"2"	"0"	"0"	"2"	"5"	"1"	"33"	"452"	"0"	"452"	"0"
"242"	"147"	"18"	"1"	"305"	"87"	"1"	"2"	"0"	"3"	"1"	"3"	"0"	"1"	"1"	"1"	"6"	"1"	"2"	"0"	"4"	"3"	"0"	"1"	"441"	"0"	"441"	"0"
"243"	"148"	"11"	"1"	"296"	"54"	"2"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"2"	"6"	"1"	"5"	"2"	"0"	"2"	"4"	"0"	"0"	"391"	"0"	"391"	"0"
"244"	"149"	"7"	"8"	"152"	"130"	"4"	"2"	"0"	"0"	"0"	"2"	"9"	"3"	"5"	"5"	"1"	"4"	"2"	"1"	"3"	"0"	"0"	"1"	"339"	"0"	"339"	"0"
"245"	"Total"	"144"	"29"	"3745"	"1094"	"67"	"17"	"17"	"50"	"8"	"20"	"21"	"23"	"29"	"29"	"36"	"23"	"31"	"11"	"30"	"64"	"27"	"71"	"5586"	"0"	"5586"	"0"
"246"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"248"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"250"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"251"	"150"	"5"	"0"	"330"	"36"	"55"	"5"	"1"	"4"	"3"	"7"	"1"	"1"	"2"	"1"	"0"	"5"	"6"	"2"	"7"	"2"	"2"	"18"	"493"	"0"	"493"	"0"
"252"	"151"	"5"	"0"	"222"	"51"	"5"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"295"	"0"	"295"	"0"
"253"	"152"	"13"	"6"	"209"	"102"	"7"	"2"	"1"	"23"	"3"	"3"	"0"	"0"	"2"	"3"	"1"	"2"	"9"	"2"	"8"	"2"	"0"	"8"	"406"	"0"	"406"	"0"
"254"	"152K"	"27"	"9"	"135"	"118"	"8"	"3"	"0"	"2"	"0"	"3"	"6"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"3"	"2"	"1"	"5"	"328"	"0"	"328"	"0"
"255"	"153"	"7"	"1"	"147"	"50"	"5"	"0"	"0"	"6"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"2"	"1"	"0"	"2"	"228"	"0"	"228"	"0"
"256"	"154"	"14"	"1"	"383"	"57"	"17"	"0"	"0"	"2"	"1"	"4"	"0"	"1"	"2"	"0"	"1"	"1"	"6"	"3"	"4"	"3"	"0"	"4"	"504"	"0"	"504"	"0"
"257"	"155"	"18"	"5"	"245"	"116"	"15"	"2"	"0"	"1"	"0"	"1"	"5"	"2"	"0"	"2"	"1"	"0"	"4"	"5"	"2"	"7"	"2"	"11"	"444"	"0"	"444"	"0"
"258"	"156"	"15"	"2"	"245"	"92"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"2"	"7"	"1"	"8"	"382"	"0"	"382"	"0"
"259"	"157"	"6"	"0"	"291"	"68"	"7"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"4"	"2"	"4"	"3"	"2"	"3"	"395"	"0"	"395"	"0"
"260"	"158"	"15"	"3"	"323"	"73"	"9"	"1"	"2"	"5"	"1"	"0"	"0"	"1"	"4"	"1"	"1"	"2"	"14"	"4"	"4"	"9"	"2"	"20"	"494"	"0"	"494"	"0"
"261"	"159"	"16"	"1"	"348"	"80"	"4"	"2"	"1"	"5"	"2"	"5"	"1"	"4"	"1"	"3"	"1"	"3"	"0"	"0"	"2"	"3"	"0"	"12"	"494"	"0"	"494"	"0"
"262"	"160"	"8"	"4"	"320"	"115"	"19"	"1"	"0"	"0"	"1"	"5"	"2"	"0"	"0"	"0"	"1"	"3"	"4"	"6"	"2"	"2"	"0"	"16"	"509"	"0"	"509"	"0"
"263"	"161"	"10"	"2"	"179"	"68"	"0"	"1"	"1"	"4"	"1"	"2"	"12"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"6"	"292"	"0"	"292"	"0"
"264"	"161K"	"6"	"3"	"166"	"68"	"6"	"2"	"2"	"4"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"0"	"2"	"268"	"0"	"268"	"0"
"265"	"Total"	"165"	"37"	"3543"	"1094"	"157"	"20"	"8"	"57"	"13"	"33"	"36"	"12"	"13"	"14"	"10"	"20"	"59"	"27"	"43"	"44"	"11"	"116"	"5532"	"0"	"5532"	"0"
"266"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"268"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"269"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"270"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"271"	"162"	"6"	"3"	"255"	"138"	"6"	"3"	"0"	"3"	"2"	"3"	"34"	"0"	"0"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"0"	"20"	"482"	"0"	"482"	"0"
"272"	"163"	"2"	"1"	"153"	"154"	"3"	"1"	"0"	"1"	"0"	"5"	"16"	"6"	"1"	"0"	"1"	"4"	"5"	"4"	"7"	"18"	"0"	"12"	"394"	"0"	"394"	"0"
"273"	"164"	"14"	"4"	"273"	"119"	"3"	"0"	"1"	"4"	"0"	"3"	"3"	"0"	"2"	"1"	"3"	"1"	"2"	"1"	"1"	"0"	"0"	"20"	"455"	"0"	"455"	"0"
"274"	"165"	"7"	"0"	"85"	"152"	"2"	"0"	"0"	"0"	"0"	"0"	"11"	"0"	"1"	"0"	"3"	"2"	"2"	"3"	"3"	"8"	"0"	"1"	"280"	"0"	"280"	"0"
"275"	"166"	"5"	"1"	"202"	"19"	"0"	"8"	"0"	"0"	"0"	"6"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"5"	"4"	"6"	"1"	"34"	"299"	"0"	"299"	"0"
"276"	"166K"	"16"	"2"	"279"	"50"	"2"	"0"	"0"	"0"	"0"	"4"	"2"	"3"	"2"	"5"	"21"	"2"	"2"	"0"	"2"	"1"	"0"	"12"	"405"	"0"	"405"	"0"
"277"	"167"	"4"	"10"	"243"	"32"	"3"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"26"	"2"	"2"	"0"	"1"	"4"	"1"	"3"	"340"	"0"	"340"	"0"
"278"	"167K"	"9"	"4"	"162"	"89"	"4"	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"3"	"1"	"13"	"1"	"3"	"1"	"1"	"5"	"0"	"2"	"313"	"0"	"313"	"0"
"279"	"168"	"9"	"3"	"55"	"99"	"5"	"1"	"0"	"6"	"2"	"2"	"6"	"2"	"3"	"1"	"21"	"3"	"4"	"2"	"8"	"8"	"2"	"83"	"325"	"0"	"325"	"0"
"280"	"168K"	"16"	"1"	"131"	"61"	"3"	"0"	"1"	"0"	"0"	"1"	"18"	"5"	"1"	"1"	"35"	"2"	"3"	"0"	"4"	"4"	"1"	"22"	"310"	"0"	"310"	"0"
"281"	"169"	"33"	"6"	"104"	"109"	"1"	"2"	"1"	"6"	"1"	"1"	"32"	"10"	"5"	"3"	"109"	"4"	"5"	"2"	"6"	"4"	"2"	"59"	"505"	"0"	"505"	"0"
"282"	"170"	"15"	"5"	"147"	"36"	"2"	"0"	"1"	"1"	"1"	"14"	"12"	"8"	"0"	"0"	"5"	"2"	"5"	"2"	"1"	"5"	"1"	"26"	"289"	"0"	"289"	"0"
"283"	"171"	"21"	"7"	"384"	"182"	"3"	"0"	"3"	"3"	"0"	"1"	"3"	"1"	"0"	"0"	"2"	"2"	"2"	"1"	"2"	"4"	"1"	"9"	"631"	"0"	"631"	"0"
"284"	"172"	"11"	"6"	"374"	"37"	"5"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"5"	"452"	"0"	"452"	"0"
"285"	"Total"	"168"	"53"	"2847"	"1277"	"42"	"23"	"9"	"29"	"8"	"41"	"146"	"38"	"19"	"15"	"244"	"31"	"40"	"23"	"42"	"68"	"9"	"308"	"5480"	"0"	"5480"	"0"
"286"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"288"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"289"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"290"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"291"	"172K"	"8"	"4"	"243"	"56"	"2"	"2"	"0"	"0"	"0"	"1"	"13"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"2"	"4"	"3"	"4"	"350"	"0"	"350"	"0"
"292"	"173"	"13"	"2"	"396"	"55"	"10"	"2"	"0"	"1"	"0"	"0"	"1"	"3"	"2"	"5"	"1"	"2"	"2"	"1"	"4"	"3"	"0"	"9"	"512"	"0"	"512"	"0"
"293"	"174"	"23"	"0"	"388"	"104"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"3"	"3"	"2"	"6"	"1"	"1"	"3"	"1"	"0"	"1"	"541"	"0"	"541"	"0"
"294"	"175"	"13"	"3"	"323"	"162"	"6"	"0"	"3"	"1"	"0"	"2"	"0"	"2"	"0"	"2"	"3"	"2"	"1"	"1"	"5"	"8"	"3"	"1"	"541"	"0"	"541"	"0"
"295"	"176"	"14"	"0"	"291"	"140"	"1"	"1"	"2"	"2"	"1"	"0"	"1"	"3"	"3"	"3"	"6"	"1"	"1"	"1"	"6"	"2"	"0"	"2"	"481"	"0"	"481"	"0"
"296"	"177"	"335"	"11"	"259"	"49"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"2"	"6"	"11"	"1"	"1"	"2"	"1"	"2"	"692"	"0"	"692"	"0"
"297"	"178"	"64"	"1"	"421"	"73"	"6"	"1"	"1"	"7"	"1"	"3"	"0"	"1"	"0"	"0"	"2"	"2"	"3"	"1"	"6"	"7"	"2"	"4"	"606"	"0"	"606"	"0"
"298"	"179"	"53"	"2"	"114"	"75"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"257"	"0"	"257"	"0"
"299"	"180"	"10"	"2"	"208"	"44"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"275"	"0"	"275"	"0"
"300"	"180K"	"9"	"0"	"248"	"40"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"307"	"0"	"307"	"0"
"301"	"181"	"20"	"2"	"352"	"41"	"23"	"1"	"0"	"1"	"1"	"2"	"1"	"1"	"2"	"4"	"1"	"2"	"1"	"0"	"2"	"3"	"2"	"4"	"466"	"0"	"466"	"0"
"302"	"182"	"14"	"2"	"523"	"50"	"5"	"0"	"0"	"2"	"2"	"0"	"5"	"8"	"0"	"2"	"0"	"1"	"2"	"0"	"14"	"4"	"1"	"1"	"636"	"0"	"636"	"0"
"303"	"183"	"8"	"0"	"529"	"30"	"7"	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"2"	"1"	"4"	"1"	"5"	"7"	"8"	"5"	"2"	"4"	"620"	"0"	"620"	"0"
"304"	"184"	"15"	"1"	"543"	"97"	"2"	"10"	"0"	"9"	"0"	"4"	"2"	"3"	"3"	"2"	"4"	"2"	"2"	"3"	"1"	"3"	"0"	"8"	"714"	"0"	"714"	"0"
"305"	"Total"	"599"	"30"	"4838"	"1016"	"77"	"19"	"8"	"23"	"7"	"16"	"28"	"27"	"17"	"30"	"27"	"31"	"34"	"18"	"52"	"43"	"15"	"43"	"6998"	"0"	"6998"	"0"
"306"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                       Signature of Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"308"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"309"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"310"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"311"	"185"	"15"	"1"	"566"	"51"	"18"	"2"	"0"	"0"	"7"	"0"	"5"	"1"	"3"	"2"	"2"	"3"	"2"	"4"	"2"	"0"	"0"	"6"	"690"	"0"	"690"	"0"
"312"	"186"	"4"	"1"	"453"	"7"	"17"	"17"	"0"	"1"	"0"	"0"	"2"	"30"	"7"	"6"	"1"	"2"	"3"	"1"	"5"	"3"	"1"	"2"	"563"	"0"	"563"	"0"
"313"	"187"	"10"	"1"	"262"	"119"	"15"	"3"	"1"	"8"	"2"	"2"	"11"	"6"	"0"	"4"	"2"	"3"	"5"	"1"	"6"	"14"	"1"	"6"	"482"	"0"	"482"	"0"
"314"	"188"	"11"	"9"	"207"	"178"	"10"	"10"	"1"	"3"	"4"	"1"	"22"	"1"	"2"	"0"	"5"	"2"	"1"	"4"	"0"	"1"	"0"	"1"	"473"	"0"	"473"	"0"
"315"	"189"	"7"	"5"	"348"	"59"	"12"	"6"	"2"	"4"	"3"	"0"	"0"	"0"	"2"	"3"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"455"	"0"	"455"	"0"
"316"	"190"	"5"	"0"	"174"	"105"	"12"	"1"	"2"	"0"	"0"	"0"	"27"	"6"	"3"	"1"	"2"	"1"	"5"	"2"	"2"	"6"	"0"	"1"	"355"	"0"	"355"	"0"
"317"	"191"	"10"	"1"	"280"	"19"	"52"	"2"	"0"	"0"	"1"	"2"	"3"	"2"	"1"	"0"	"1"	"3"	"8"	"0"	"3"	"0"	"2"	"0"	"390"	"0"	"390"	"0"
"318"	"191K"	"11"	"2"	"178"	"48"	"63"	"0"	"1"	"1"	"1"	"1"	"29"	"1"	"0"	"2"	"8"	"0"	"2"	"0"	"0"	"2"	"0"	"2"	"352"	"0"	"352"	"0"
"319"	"192"	"5"	"3"	"184"	"156"	"0"	"0"	"1"	"2"	"2"	"0"	"15"	"0"	"0"	"0"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"378"	"0"	"378"	"0"
"320"	"193"	"2"	"2"	"226"	"85"	"23"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"3"	"0"	"1"	"2"	"351"	"0"	"351"	"0"
"321"	"194"	"17"	"1"	"296"	"177"	"6"	"1"	"1"	"6"	"3"	"0"	"16"	"4"	"1"	"3"	"7"	"3"	"2"	"1"	"2"	"1"	"0"	"0"	"548"	"0"	"548"	"0"
"322"	"195"	"13"	"3"	"491"	"39"	"7"	"2"	"3"	"4"	"2"	"1"	"6"	"1"	"2"	"5"	"0"	"2"	"6"	"4"	"3"	"5"	"4"	"3"	"606"	"0"	"606"	"0"
"323"	"196"	"6"	"3"	"312"	"33"	"2"	"3"	"1"	"0"	"1"	"0"	"0"	"3"	"1"	"9"	"5"	"1"	"2"	"0"	"3"	"2"	"0"	"2"	"389"	"0"	"389"	"0"
"324"	"196K"	"5"	"1"	"347"	"13"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"379"	"0"	"379"	"0"
"325"	"Total"	"121"	"33"	"4324"	"1089"	"237"	"52"	"14"	"30"	"26"	"7"	"138"	"57"	"23"	"37"	"44"	"23"	"38"	"18"	"30"	"36"	"9"	"25"	"6411"	"0"	"6411"	"0"
"326"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                    Signature of Returning O"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
