"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"103&  Hkksj s  ¼v -t k-½  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"333"	"227"	"14"	"391"	"39"	"5"	"5"	"5"	"67"	"0"	"0"	"1"	"3"	"7"	"537"	""	"537"	""
"334"	"228"	"16"	"128"	"97"	"5"	"0"	"2"	"13"	"1"	"3"	"0"	"11"	"9"	"285"	""	"285"	""
"335"	"229"	"20"	"254"	"16"	"1"	"2"	"1"	"2"	"1"	"14"	"0"	"2"	"5"	"318"	""	"318"	""
"336"	"230"	"43"	"116"	"16"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"5"	"7"	"189"	""	"189"	""
"337"	"231"	"52"	"355"	"66"	"4"	"0"	"0"	"11"	"1"	"8"	"7"	"7"	"16"	"527"	""	"527"	""
"338"	"232"	"52"	"530"	"39"	"4"	"3"	"4"	"6"	"1"	"10"	"1"	"12"	"18"	"680"	""	"680"	""
"339"	"233"	"9"	"260"	"15"	"4"	"3"	"1"	"20"	"2"	"11"	"3"	"12"	"15"	"355"	""	"355"	""
"340"	"234"	"56"	"300"	"47"	"8"	"2"	"11"	"81"	"8"	"8"	"5"	"16"	"22"	"564"	""	"564"	""
"341"	"235"	"28"	"419"	"20"	"7"	"6"	"19"	"183"	"5"	"10"	"3"	"7"	"6"	"713"	""	"713"	""
"342"	"; ksx"	"393"	"3925"	"747"	"78"	"30"	"78"	"566"	"29"	"121"	"49"	"128"	"198"	"6342"	""	"6342"	""
"343"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"13231"	"46347"	"14897"	"3382"	"667"	"1055"	"6860"	"646"	"1609"	"1160"	"2200"	"3278"	"95332"	""	"95332"	""
"344"	"d qy  ; ksx"	"13624"	"50272"	"15644"	"3460"	"697"	"1133"	"7426"	"675"	"1730"	"1209"	"2328"	"3476"	"101674"	""	"101674"	""
"345"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"346"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"347"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"348"	"236"	"60"	"250"	"57"	"10"	"5"	"6"	"49"	"2"	"1"	"2"	"2"	"7"	"451"	""	"451"	""
"349"	"237"	"29"	"225"	"14"	"5"	"7"	"3"	"78"	"2"	"5"	"2"	"2"	"10"	"382"	""	"382"	""
"350"	"238"	"61"	"273"	"39"	"20"	"10"	"13"	"93"	"6"	"7"	"8"	"14"	"15"	"559"	""	"559"	""
"351"	"239"	"19"	"267"	"43"	"9"	"5"	"7"	"14"	"5"	"2"	"2"	"10"	"7"	"390"	""	"390"	""
"352"	"240"	"24"	"184"	"57"	"3"	"2"	"2"	"45"	"3"	"3"	"3"	"3"	"8"	"337"	""	"337"	""
"353"	"241"	"25"	"126"	"19"	"3"	"0"	"1"	"21"	"0"	"0"	"0"	"1"	"1"	"197"	""	"197"	""
"354"	"242"	"35"	"149"	"72"	"5"	"4"	"5"	"140"	"5"	"1"	"1"	"2"	"6"	"425"	""	"425"	""
"355"	"243"	"42"	"228"	"27"	"4"	"2"	"3"	"28"	"3"	"5"	"4"	"14"	"20"	"380"	""	"380"	""
"356"	"244"	"33"	"272"	"136"	"9"	"6"	"12"	"41"	"4"	"3"	"20"	"24"	"43"	"603"	""	"603"	""
"357"	"245"	"39"	"459"	"53"	"5"	"2"	"7"	"41"	"1"	"5"	"4"	"10"	"18"	"644"	""	"644"	""
"358"	"246"	"50"	"303"	"119"	"17"	"7"	"15"	"64"	"4"	"1"	"12"	"12"	"19"	"623"	""	"623"	""
"359"	"247"	"27"	"280"	"10"	"4"	"1"	"4"	"10"	"1"	"1"	"0"	"0"	"3"	"341"	""	"341"	""
"360"	"248"	"28"	"229"	"67"	"6"	"3"	"2"	"16"	"2"	"1"	"3"	"8"	"6"	"371"	""	"371"	""
"361"	"249"	"21"	"328"	"40"	"5"	"2"	"4"	"16"	"1"	"3"	"2"	"8"	"7"	"437"	""	"437"	""
"362"	"; ksx"	"493"	"3573"	"753"	"105"	"56"	"84"	"656"	"39"	"38"	"63"	"110"	"170"	"6140"	""	"6140"	""
"363"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"13624"	"50272"	"15644"	"3460"	"697"	"1133"	"7426"	"675"	"1730"	"1209"	"2328"	"3476"	"101674"	""	"101674"	""
"364"	"d qy  ; ksx"	"14117"	"53845"	"16397"	"3565"	"753"	"1217"	"8082"	"714"	"1768"	"1272"	"2438"	"3646"	"107814"	""	"107814"	""
"365"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"366"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"367"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"368"	"250"	"60"	"437"	"26"	"2"	"0"	"1"	"14"	"1"	"1"	"1"	"4"	"6"	"553"	""	"553"	""
"369"	"251"	"28"	"307"	"47"	"3"	"8"	"12"	"82"	"4"	"6"	"7"	"6"	"19"	"529"	""	"529"	""
"370"	"252"	"13"	"315"	"65"	"6"	"2"	"29"	"77"	"5"	"7"	"3"	"6"	"16"	"544"	""	"544"	""
"371"	"253"	"17"	"155"	"24"	"3"	"6"	"233"	"109"	"5"	"1"	"3"	"4"	"16"	"576"	""	"576"	""
"372"	"254"	"14"	"299"	"109"	"6"	"5"	"2"	"14"	"2"	"4"	"12"	"8"	"20"	"495"	""	"495"	""
"373"	"255"	"19"	"206"	"40"	"11"	"3"	"9"	"31"	"3"	"3"	"2"	"7"	"17"	"351"	""	"351"	""
"374"	"256"	"7"	"191"	"12"	"5"	"3"	"3"	"6"	"0"	"0"	"2"	"2"	"11"	"242"	""	"242"	""
"375"	"257"	"38"	"381"	"97"	"18"	"4"	"15"	"74"	"5"	"6"	"12"	"25"	"24"	"699"	""	"699"	""
"376"	"258"	"20"	"302"	"23"	"2"	"5"	"2"	"8"	"0"	"0"	"4"	"3"	"6"	"375"	""	"375"	""
"377"	"259"	"9"	"379"	"58"	"6"	"3"	"1"	"1"	"0"	"6"	"1"	"8"	"6"	"478"	""	"478"	""
"378"	"260"	"8"	"201"	"6"	"3"	"0"	"1"	"7"	"2"	"5"	"1"	"2"	"1"	"237"	""	"237"	""
"379"	"261"	"40"	"326"	"61"	"9"	"3"	"11"	"82"	"5"	"6"	"7"	"11"	"25"	"586"	""	"586"	""
"380"	"262"	"23"	"394"	"26"	"7"	"2"	"0"	"1"	"0"	"1"	"3"	"5"	"7"	"469"	""	"469"	""
"381"	"263"	"18"	"278"	"26"	"6"	"2"	"0"	"5"	"0"	"1"	"3"	"11"	"16"	"366"	""	"366"	""
"382"	"; ksx"	"314"	"4171"	"620"	"87"	"46"	"319"	"511"	"32"	"47"	"61"	"102"	"190"	"6500"	""	"6500"	""
"383"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"14117"	"53845"	"16397"	"3565"	"753"	"1217"	"8082"	"714"	"1768"	"1272"	"2438"	"3646"	"107814"	""	"107814"	""
"384"	"d qy  ; ksx"	"14431"	"58016"	"17017"	"3652"	"799"	"1536"	"8593"	"746"	"1815"	"1333"	"2540"	"3836"	"114314"	""	"114314"	""
"385"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"386"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"387"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"388"	"264"	"57"	"474"	"50"	"3"	"1"	"7"	"18"	"2"	"2"	"8"	"10"	"15"	"647"	""	"647"	""
"389"	"265"	"22"	"194"	"118"	"5"	"1"	"4"	"6"	"1"	"2"	"11"	"7"	"18"	"389"	""	"389"	""
"390"	"266"	"11"	"152"	"33"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"206"	""	"206"	""
"391"	"267"	"19"	"252"	"48"	"3"	"4"	"1"	"9"	"3"	"8"	"3"	"11"	"9"	"370"	""	"370"	""
"392"	"268"	"23"	"181"	"45"	"1"	"2"	"1"	"1"	"3"	"15"	"3"	"5"	"5"	"285"	""	"285"	""
"393"	"269"	"14"	"165"	"8"	"4"	"6"	"4"	"41"	"1"	"10"	"4"	"7"	"8"	"272"	""	"272"	""
"394"	"270"	"5"	"128"	"7"	"4"	"0"	"9"	"97"	"2"	"3"	"5"	"11"	"9"	"280"	""	"280"	""
"395"	"271"	"51"	"273"	"87"	"5"	"63"	"7"	"16"	"1"	"10"	"9"	"12"	"24"	"558"	""	"558"	""
"396"	"272"	"19"	"203"	"25"	"4"	"6"	"1"	"2"	"1"	"11"	"0"	"2"	"0"	"274"	""	"274"	""
"397"	"273"	"42"	"268"	"26"	"5"	"7"	"5"	"6"	"2"	"4"	"2"	"6"	"7"	"380"	""	"380"	""
"398"	"274"	"23"	"317"	"116"	"18"	"2"	"3"	"4"	"2"	"5"	"15"	"21"	"31"	"557"	""	"557"	""
"399"	"275"	"12"	"389"	"186"	"9"	"3"	"2"	"6"	"3"	"8"	"14"	"18"	"29"	"679"	""	"679"	""
"400"	"276"	"60"	"367"	"60"	"24"	"1"	"7"	"1"	"1"	"4"	"2"	"7"	"9"	"543"	""	"543"	""
"401"	"; ksx"	"358"	"3363"	"809"	"91"	"96"	"51"	"207"	"22"	"83"	"76"	"120"	"164"	"5440"	""	"5440"	""
"402"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"14431"	"58016"	"17017"	"3652"	"799"	"1536"	"8593"	"746"	"1815"	"1333"	"2540"	"3836"	"114314"	""	"114314"	""
"403"	"d qy  ; ksx"	"14789"	"61379"	"17826"	"3743"	"895"	"1587"	"8800"	"768"	"1898"	"1409"	"2660"	"4000"	"119754"	""	"119754"	""
"404"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k"	"9"	"22"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"36"	"7"	"43"	""
"405"	"Mkys x; s dqy
er"	"14798"	"61401"	"17831"	"3743"	"895"	"1587"	"8800"	"768"	"1898"	"1409"	"2660"	"4000"	"119790"	"7"	"119797"	""
