"Total.No..of.Electors.in.Assembly.Constituency........198785"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"07- Chanpatia Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"266"	"149"	"130"	"169"	"16"	"146"	"154"	"11"	"19"	"3"	"3"	"3"	"2"	"4"	"0"	"2"	"5"	"51"	"8"	"5"	"731"	"0"	"731"	"0"	""
"267"	"150"	"201"	"9"	"16"	"139"	"61"	"114"	"15"	"6"	"2"	"4"	"8"	"4"	"1"	"6"	"6"	"68"	"13"	"4"	"677"	"0"	"677"	"0"	""
"268"	"151"	"46"	"54"	"32"	"318"	"45"	"9"	"21"	"3"	"5"	"4"	"2"	"6"	"5"	"4"	"7"	"35"	"16"	"10"	"622"	"0"	"622"	"0"	""
"269"	"152"	"108"	"139"	"9"	"188"	"139"	"9"	"14"	"7"	"3"	"15"	"4"	"4"	"8"	"11"	"13"	"26"	"6"	"8"	"711"	"0"	"711"	"0"	""
"270"	"153"	"24"	"28"	"12"	"304"	"57"	"1"	"4"	"5"	"2"	"3"	"2"	"5"	"7"	"3"	"3"	"36"	"7"	"4"	"507"	"0"	"507"	"0"	""
"271"	"Total"	"1554"	"584"	"161"	"4099"	"1068"	"259"	"137"	"39"	"55"	"73"	"39"	"71"	"66"	"62"	"82"	"420"	"130"	"74"	"8973"	"0"	"8973"	"0"	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"07- Chanpatia Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"282"	"154"	"11"	"103"	"13"	"138"	"128"	"18"	"11"	"8"	"9"	"6"	"10"	"12"	"13"	"9"	"14"	"21"	"1"	"7"	"532"	"0"	"532"	"0"	""
"283"	"155"	"9"	"78"	"15"	"199"	"68"	"6"	"7"	"6"	"1"	"4"	"2"	"2"	"3"	"5"	"5"	"11"	"1"	"12"	"434"	"0"	"434"	"0"	""
"284"	"155 A"	"12"	"119"	"8"	"213"	"33"	"3"	"5"	"4"	"2"	"3"	"2"	"3"	"2"	"2"	"2"	"4"	"0"	"9"	"426"	"0"	"426"	"0"	""
"285"	"156"	"31"	"186"	"12"	"378"	"140"	"14"	"10"	"7"	"10"	"12"	"7"	"8"	"4"	"2"	"5"	"18"	"3"	"20"	"867"	"0"	"867"	"0"	""
"286"	"157"	"48"	"121"	"17"	"198"	"201"	"12"	"3"	"4"	"7"	"13"	"7"	"10"	"9"	"7"	"6"	"12"	"6"	"12"	"693"	"0"	"693"	"0"	""
"287"	"158"	"24"	"17"	"7"	"182"	"167"	"11"	"128"	"5"	"3"	"7"	"3"	"5"	"2"	"3"	"5"	"19"	"1"	"2"	"591"	"0"	"591"	"0"	""
"288"	"159"	"291"	"70"	"8"	"21"	"46"	"84"	"3"	"4"	"4"	"3"	"3"	"0"	"1"	"2"	"5"	"7"	"0"	"0"	"552"	"0"	"552"	"0"	""
"289"	"160"	"441"	"33"	"3"	"36"	"47"	"28"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"2"	"1"	"1"	"599"	"0"	"599"	"0"	""
"290"	"161"	"122"	"150"	"11"	"236"	"45"	"8"	"11"	"1"	"2"	"1"	"2"	"2"	"7"	"4"	"9"	"9"	"14"	"18"	"652"	"0"	"652"	"0"	""
"291"	"162"	"422"	"42"	"5"	"110"	"12"	"68"	"3"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"3"	"0"	"2"	"673"	"0"	"673"	"0"	""
"292"	"163"	"406"	"8"	"2"	"65"	"38"	"25"	"1"	"2"	"0"	"2"	"1"	"2"	"6"	"2"	"1"	"19"	"9"	"2"	"591"	"0"	"591"	"0"	""
"293"	"164"	"28"	"46"	"4"	"220"	"53"	"37"	"43"	"10"	"6"	"4"	"16"	"7"	"6"	"5"	"6"	"35"	"1"	"5"	"532"	"0"	"532"	"0"	""
"294"	"165"	"376"	"19"	"12"	"90"	"27"	"7"	"9"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"4"	"3"	"3"	"554"	"0"	"554"	"0"	""
"295"	"166"	"427"	"19"	"1"	"42"	"63"	"25"	"3"	"2"	"4"	"4"	"2"	"3"	"2"	"3"	"5"	"32"	"6"	"4"	"647"	"0"	"647"	"0"	""
"296"	"Total"	"2648"	"1011"	"118"	"2128"	"1068"	"346"	"239"	"57"	"48"	"60"	"58"	"56"	"55"	"45"	"67"	"196"	"46"	"97"	"8343"	"0"	"8343"	"0"	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"07- Chanpatia Legislative Assembly Constituency (Round - 13)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"307"	"167"	"523"	"8"	"1"	"7"	"34"	"40"	"3"	"2"	"1"	"2"	"2"	"9"	"1"	"3"	"6"	"8"	"14"	"2"	"666"	"0"	"666"	"0"	""
"308"	"168"	"411"	"18"	"1"	"41"	"116"	"13"	"2"	"2"	"2"	"3"	"0"	"5"	"4"	"4"	"4"	"9"	"17"	"5"	"657"	"0"	"657"	"0"	""
"309"	"169"	"560"	"28"	"1"	"4"	"54"	"28"	"0"	"1"	"0"	"1"	"2"	"2"	"1"	"0"	"0"	"2"	"4"	"2"	"690"	"0"	"690"	"0"	""
"310"	"170"	"148"	"57"	"8"	"181"	"28"	"95"	"5"	"4"	"3"	"2"	"1"	"9"	"5"	"8"	"4"	"7"	"6"	"11"	"582"	"0"	"582"	"0"	""
"311"	"171"	"120"	"47"	"13"	"323"	"27"	"28"	"8"	"2"	"4"	"1"	"6"	"5"	"2"	"4"	"9"	"20"	"22"	"11"	"652"	"0"	"652"	"0"	""
"312"	"172"	"295"	"8"	"1"	"3"	"18"	"56"	"1"	"1"	"2"	"0"	"1"	"1"	"2"	"2"	"1"	"10"	"12"	"1"	"415"	"0"	"415"	"0"	""
"313"	"173"	"264"	"5"	"4"	"22"	"6"	"183"	"8"	"1"	"3"	"3"	"4"	"4"	"2"	"1"	"10"	"20"	"5"	"3"	"548"	"0"	"548"	"0"	""
"314"	"174"	"135"	"20"	"5"	"143"	"52"	"98"	"84"	"2"	"1"	"5"	"0"	"3"	"1"	"1"	"8"	"10"	"8"	"5"	"581"	"0"	"581"	"0"	""
"315"	"175"	"113"	"17"	"6"	"142"	"47"	"86"	"9"	"3"	"4"	"12"	"8"	"8"	"40"	"7"	"7"	"26"	"5"	"3"	"543"	"0"	"543"	"0"	""
"316"	"176"	"49"	"22"	"1"	"254"	"21"	"135"	"40"	"1"	"5"	"3"	"4"	"4"	"3"	"2"	"2"	"5"	"5"	"8"	"564"	"0"	"564"	"0"	""
"317"	"177"	"66"	"21"	"13"	"141"	"8"	"121"	"4"	"2"	"2"	"4"	"8"	"6"	"4"	"7"	"4"	"27"	"2"	"4"	"444"	"0"	"444"	"0"	""
"318"	"178"	"30"	"34"	"59"	"294"	"74"	"17"	"76"	"8"	"10"	"15"	"4"	"4"	"11"	"5"	"9"	"15"	"12"	"12"	"689"	"0"	"689"	"0"	""
"319"	"179"	"170"	"26"	"10"	"179"	"81"	"21"	"42"	"3"	"3"	"11"	"2"	"3"	"6"	"5"	"3"	"4"	"9"	"3"	"581"	"0"	"581"	"0"	""
"320"	"180"	"151"	"9"	"8"	"228"	"56"	"175"	"9"	"2"	"6"	"8"	"13"	"8"	"10"	"12"	"18"	"24"	"4"	"5"	"746"	"0"	"746"	"0"	""
"321"	"Total"	"3035"	"320"	"131"	"1962"	"622"	"1096"	"291"	"34"	"46"	"70"	"55"	"71"	"92"	"61"	"85"	"187"	"125"	"75"	"8358"	"0"	"8358"	"0"	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"07- Chanpatia Legislative Assembly Constituency (Round - 14)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"331"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"332"	"181"	"60"	"23"	"35"	"395"	"42"	"76"	"5"	"0"	"1"	"1"	"3"	"0"	"3"	"3"	"4"	"26"	"4"	"11"	"692"	"0"	"692"	"0"	""
"333"	"182"	"9"	"17"	"7"	"306"	"205"	"14"	"4"	"0"	"3"	"6"	"1"	"4"	"3"	"3"	"3"	"14"	"1"	"6"	"606"	"0"	"606"	"0"	""
"334"	"183"	"3"	"12"	"5"	"59"	"524"	"10"	"90"	"0"	"2"	"4"	"0"	"6"	"1"	"0"	"1"	"0"	"5"	"1"	"723"	"0"	"723"	"0"	""
"335"	"184"	"4"	"4"	"0"	"16"	"342"	"4"	"67"	"0"	"1"	"0"	"1"	"5"	"0"	"0"	"1"	"2"	"0"	"1"	"448"	"0"	"448"	"0"	""
"336"	"185"	"99"	"7"	"3"	"73"	"285"	"42"	"27"	"3"	"7"	"3"	"2"	"40"	"13"	"3"	"3"	"13"	"6"	"12"	"641"	"0"	"641"	"0"	""
"337"	"186"	"145"	"15"	"8"	"77"	"101"	"5"	"143"	"0"	"1"	"2"	"2"	"2"	"18"	"2"	"2"	"2"	"5"	"2"	"532"	"0"	"532"	"0"	""
"338"	"187"	"42"	"8"	"10"	"59"	"122"	"69"	"95"	"2"	"1"	"2"	"1"	"2"	"4"	"1"	"5"	"3"	"1"	"1"	"428"	"0"	"428"	"0"	""
"339"	"188"	"58"	"14"	"14"	"214"	"101"	"17"	"42"	"1"	"4"	"5"	"1"	"8"	"0"	"2"	"5"	"5"	"12"	"11"	"514"	"0"	"514"	"0"	""
"340"	"189"	"143"	"11"	"7"	"238"	"37"	"61"	"9"	"2"	"2"	"4"	"4"	"8"	"9"	"4"	"9"	"17"	"18"	"8"	"591"	"0"	"591"	"0"	""
"341"	"190"	"52"	"10"	"13"	"193"	"19"	"34"	"3"	"0"	"2"	"4"	"2"	"0"	"2"	"4"	"4"	"3"	"7"	"7"	"359"	"0"	"359"	"0"	""
"342"	"191"	"148"	"6"	"7"	"89"	"24"	"113"	"22"	"8"	"3"	"1"	"1"	"6"	"2"	"3"	"11"	"4"	"9"	"5"	"462"	"0"	"462"	"0"	""
"343"	"192"	"22"	"15"	"3"	"240"	"40"	"117"	"8"	"2"	"4"	"1"	"4"	"3"	"2"	"1"	"1"	"9"	"0"	"0"	"472"	"0"	"472"	"0"	""
"344"	"193"	"368"	"35"	"7"	"376"	"28"	"41"	"5"	"2"	"10"	"3"	"1"	"4"	"3"	"3"	"7"	"36"	"7"	"4"	"940"	"0"	"940"	"0"	""
"345"	"194"	"245"	"19"	"22"	"228"	"47"	"46"	"11"	"2"	"7"	"3"	"0"	"6"	"3"	"2"	"3"	"41"	"2"	"5"	"692"	"0"	"692"	"0"	""
"346"	"Total"	"1398"	"196"	"141"	"2563"	"1917"	"649"	"531"	"22"	"48"	"39"	"23"	"94"	"63"	"31"	"59"	"175"	"77"	"74"	"8100"	"0"	"8100"	"0"	""
"347"	"Postal"	"46"	"12"	"28"	"121"	"48"	"24"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"8"	"0"	"3"	"294"	"0"	"294"	"0"	""
"348"	"Grand Total"	"21423"	"7441"	"2996"	"44835"	"9131"	"7623"	"2032"	"674"	"586"	"776"	"633"	"793"	"993"	"872"	"966"	"4934"	"1640"	"2606"	"110954"	"0"	"110954"	"0"	""
"349"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
