"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X260646.29.260675.40.Laukaha"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"331"	"220A"	"448"	"11"	"2"	"1"	"32"	"13"	"7"	"2"	"2"	"0"	"0"	"2"	"1"	"3"	"524"	""	"524"	""
"332"	"221"	"71"	"98"	"10"	"4"	"18"	"202"	"8"	"4"	"7"	"0"	"2"	"8"	"1"	"5"	"438"	""	"438"	""
"333"	"222"	"309"	"9"	"3"	"8"	"5"	"74"	"22"	"4"	"3"	"9"	"1"	"7"	"3"	"4"	"461"	""	"461"	""
"334"	"222A"	"330"	"8"	"1"	"2"	"3"	"16"	"32"	"7"	"2"	"4"	"0"	"0"	"3"	"5"	"413"	""	"413"	""
"335"	"223"	"558"	"47"	"1"	"0"	"3"	"67"	"4"	"2"	"3"	"0"	"4"	"7"	"19"	"13"	"728"	""	"728"	""
"336"	"224"	"42"	"48"	"4"	"6"	"13"	"309"	"44"	"9"	"14"	"4"	"2"	"4"	"4"	"1"	"504"	""	"504"	""
"337"	"224A"	"25"	"57"	"2"	"1"	"9"	"213"	"18"	"5"	"10"	"4"	"4"	"8"	"7"	"9"	"372"	""	"372"	""
"338"	"225"	"70"	"48"	"8"	"8"	"12"	"209"	"72"	"11"	"5"	"2"	"3"	"11"	"4"	"4"	"467"	""	"467"	""
"339"	"226"	"85"	"24"	"18"	"4"	"14"	"190"	"12"	"9"	"13"	"4"	"3"	"8"	"5"	"4"	"393"	""	"393"	""
"340"	"227"	"129"	"9"	"4"	"18"	"7"	"241"	"33"	"1"	"9"	"2"	"1"	"2"	"1"	"3"	"460"	""	"460"	""
"341"	"227A"	"45"	"2"	"5"	"7"	"10"	"249"	"5"	"1"	"2"	"2"	"2"	"7"	"0"	"2"	"339"	""	"339"	""
"342"	"Total -17"	"2567"	"570"	"68"	"94"	"173"	"2009"	"274"	"64"	"84"	"32"	"24"	"81"	"57"	"66"	"6163"	"0"	"6163"	"0"
"343"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"345"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"346"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"347"	"B.F."	"27967"	"13815"	"2692"	"5983"	"5635"	"41564"	"14778"	"1744"	"1735"	"783"	"817"	"2208"	"2555"	"2846"	"125122"	"0"	"125122"	"0"
"348"	"228"	"27"	"10"	"10"	"5"	"11"	"425"	"14"	"5"	"11"	"1"	"2"	"1"	"3"	"2"	"527"	""	"527"	""
"349"	"229"	"245"	"10"	"2"	"1"	"10"	"112"	"21"	"7"	"6"	"1"	"4"	"4"	"8"	"9"	"440"	""	"440"	""
"350"	"230"	"238"	"77"	"11"	"4"	"17"	"219"	"23"	"3"	"7"	"2"	"3"	"8"	"5"	"7"	"624"	""	"624"	""
"351"	"231"	"151"	"17"	"5"	"8"	"33"	"343"	"9"	"12"	"17"	"3"	"3"	"11"	"24"	"15"	"651"	""	"651"	""
"352"	"232"	"48"	"48"	"8"	"9"	"18"	"389"	"7"	"9"	"8"	"3"	"3"	"15"	"11"	"18"	"594"	""	"594"	""
"353"	"233"	"41"	"64"	"12"	"38"	"20"	"289"	"6"	"2"	"17"	"8"	"7"	"14"	"11"	"15"	"544"	""	"544"	""
"354"	"234"	"46"	"45"	"15"	"6"	"24"	"546"	"7"	"9"	"8"	"7"	"4"	"21"	"16"	"18"	"772"	""	"772"	""
"355"	"235"	"34"	"37"	"5"	"31"	"22"	"323"	"5"	"9"	"12"	"7"	"6"	"13"	"26"	"23"	"553"	""	"553"	""
"356"	"236"	"16"	"33"	"45"	"8"	"16"	"401"	"7"	"5"	"17"	"8"	"12"	"11"	"10"	"22"	"611"	""	"611"	""
"357"	"237"	"43"	"17"	"2"	"126"	"13"	"162"	"6"	"4"	"2"	"1"	"1"	"10"	"7"	"9"	"403"	""	"403"	""
"358"	"238"	"58"	"18"	"5"	"155"	"13"	"145"	"47"	"7"	"5"	"4"	"0"	"7"	"10"	"17"	"491"	""	"491"	""
"359"	"239"	"25"	"78"	"56"	"7"	"32"	"165"	"11"	"2"	"2"	"5"	"0"	"5"	"6"	"4"	"398"	""	"398"	""
"360"	"240"	"82"	"78"	"42"	"14"	"53"	"275"	"21"	"6"	"11"	"9"	"4"	"14"	"16"	"27"	"652"	""	"652"	""
"361"	"241"	"263"	"10"	"4"	"5"	"37"	"209"	"38"	"1"	"4"	"4"	"1"	"10"	"4"	"7"	"597"	""	"597"	""
"362"	"Total -18"	"1317"	"542"	"222"	"417"	"319"	"4003"	"222"	"81"	"127"	"63"	"50"	"144"	"157"	"193"	"7857"	"0"	"7857"	"0"
"363"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"365"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"366"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"367"	"B.F."	"29284"	"14357"	"2914"	"6400"	"5954"	"45567"	"15000"	"1825"	"1862"	"846"	"867"	"2352"	"2712"	"3039"	"132979"	"0"	"132979"	"0"
"368"	"242"	"229"	"43"	"1"	"7"	"11"	"79"	"1"	"1"	"1"	"0"	"1"	"9"	"8"	"2"	"393"	""	"393"	""
"369"	"243"	"28"	"54"	"26"	"3"	"13"	"320"	"5"	"5"	"7"	"1"	"4"	"3"	"4"	"3"	"476"	""	"476"	""
"370"	"244"	"25"	"326"	"19"	"3"	"12"	"433"	"3"	"5"	"8"	"4"	"5"	"4"	"10"	"24"	"881"	""	"881"	""
"371"	"245"	"8"	"20"	"4"	"10"	"5"	"269"	"7"	"3"	"3"	"1"	"1"	"4"	"3"	"1"	"339"	""	"339"	""
"372"	"245A"	"16"	"80"	"0"	"7"	"6"	"400"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"512"	""	"512"	""
"373"	"246"	"213"	"45"	"24"	"1"	"10"	"332"	"10"	"6"	"7"	"3"	"2"	"7"	"6"	"13"	"679"	""	"679"	""
"374"	"247"	"288"	"38"	"6"	"1"	"5"	"222"	"5"	"3"	"5"	"2"	"4"	"5"	"4"	"24"	"612"	""	"612"	""
"375"	"248"	"192"	"56"	"4"	"3"	"5"	"227"	"2"	"2"	"3"	"1"	"1"	"3"	"5"	"15"	"519"	""	"519"	""
"376"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"377"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"381"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"382"	"Total -18"	"999"	"662"	"84"	"35"	"67"	"2282"	"34"	"26"	"34"	"13"	"18"	"35"	"40"	"82"	"4411"	"0"	"4411"	"0"
"383"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"385"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"386"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"387"	"Total No. of votes recorded at Polling stations"	"30283"	"15019"	"2998"	"6435"	"6021"	"47849"	"15034"	"1851"	"1896"	"859"	"885"	"2387"	"2752"	"3121"	"137390"	"0"	"137390"	"0"
"388"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"TOTAL VOTES POLLED"	"30283"	"15019"	"2998"	"6435"	"6021"	"47849"	"15034"	"1851"	"1896"	"859"	"885"	"2387"	"2752"	"3121"	"137390"	"0"	"137390"	"0"
