"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"99&  cSd q. Bi qj  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"286"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"287"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"288"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"289"	"196"	"26"	"46"	"356"	"7"	"3"	"4"	"2"	"14"	"4"	""	"1"	"6"	"10"	"6"	"14"	"499"	""	"499"	""
"290"	"197"	"39"	"145"	"333"	"8"	"5"	"6"	"3"	"15"	"5"	""	"5"	"14"	"50"	"37"	"61"	"726"	""	"726"	""
"291"	"198"	"19"	"256"	"316"	"16"	"3"	"6"	"54"	"14"	"8"	""	"2"	"3"	"9"	"8"	"8"	"722"	""	"722"	""
"292"	"199"	"6"	"136"	"299"	"5"	"1"	"2"	"110"	"6"	"9"	""	"1"	"3"	"9"	"6"	"6"	"599"	""	"599"	""
"293"	"200"	"20"	"186"	"205"	"6"	"5"	"0"	"5"	"6"	"4"	""	"4"	"3"	"106"	"19"	"13"	"582"	""	"582"	""
"294"	"201"	"39"	"137"	"440"	"17"	"5"	"11"	"8"	"20"	"11"	""	"3"	"6"	"48"	"2"	"19"	"766"	""	"766"	""
"295"	"202"	"15"	"180"	"240"	"9"	"1"	"3"	"2"	"4"	"5"	""	"4"	"2"	"13"	"7"	"5"	"490"	""	"490"	""
"296"	"203"	"18"	"194"	"96"	"3"	"7"	"3"	"4"	"3"	"2"	""	"0"	"2"	"3"	"6"	"2"	"343"	""	"343"	""
"297"	"204"	"15"	"103"	"281"	"15"	"4"	"5"	"7"	"16"	"14"	""	"7"	"13"	"24"	"12"	"35"	"551"	""	"551"	""
"298"	"204  ¼d½"	"12"	"112"	"170"	"9"	"4"	"3"	"2"	"6"	"2"	""	"1"	"4"	"3"	"3"	"6"	"337"	""	"337"	""
"299"	"205"	"16"	"230"	"353"	"10"	"6"	"15"	"7"	"26"	"23"	""	"5"	"16"	"53"	"35"	"59"	"854"	""	"854"	""
"300"	"206"	"20"	"329"	"373"	"9"	"7"	"4"	"4"	"14"	"6"	""	"18"	"4"	"12"	"12"	"12"	"824"	""	"824"	""
"301"	"207"	"10"	"242"	"236"	"5"	"4"	"2"	"4"	"8"	"3"	""	"3"	"3"	"16"	"4"	"17"	"557"	""	"557"	""
"302"	"208"	"19"	"151"	"168"	"16"	"3"	"5"	"8"	"14"	"9"	""	"8"	"10"	"19"	"19"	"25"	"474"	""	"474"	""
"303"	"; ksx"	"274"	"2447"	"3866"	"135"	"58"	"69"	"220"	"166"	"105"	""	"62"	"89"	"375"	"176"	"282"	"8324"	""	"8324"	""
"304"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"3306"	"27647"	"59092"	"2017"	"851"	"831"	"587"	"1442"	"921"	""	"415"	"548"	"1983"	"1520"	"3283"	"104443"	"0"	"104443"	""
"305"	"d qy  ; ksx"	"3580"	"30094"	"62958"	"2152"	"909"	"900"	"807"	"1608"	"1026"	""	"477"	"637"	"2358"	"1696"	"3565"	"112767"	""	"112767"	""
"306"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"307"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"308"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"309"	"209"	"20"	"98"	"249"	"29"	"6"	"6"	"3"	"20"	"6"	""	"5"	"7"	"2"	"6"	"7"	"464"	""	"464"	""
"310"	"210"	"7"	"175"	"296"	"4"	"2"	"2"	"7"	"4"	"6"	""	"5"	"1"	"22"	"20"	"20"	"571"	""	"571"	""
"311"	"211"	"22"	"282"	"222"	"10"	"2"	"2"	"7"	"12"	"9"	""	"3"	"5"	"18"	"13"	"13"	"620"	""	"620"	""
"312"	"212"	"5"	"40"	"686"	"9"	"2"	"2"	"1"	"2"	"2"	""	"1"	"1"	"3"	"3"	"2"	"759"	""	"759"	""
"313"	"213"	"21"	"255"	"237"	"14"	"12"	"2"	"4"	"5"	"4"	""	"2"	"4"	"12"	"16"	"14"	"602"	""	"602"	""
"314"	"214"	"5"	"97"	"244"	"5"	"7"	"1"	"2"	"4"	"2"	""	"2"	"9"	"9"	"2"	"20"	"409"	""	"409"	""
"315"	"215"	"18"	"324"	"65"	"4"	"1"	"1"	"1"	"2"	"0"	""	"3"	"14"	"5"	"5"	"16"	"459"	""	"459"	""
"316"	"216"	"21"	"240"	"210"	"6"	"11"	"5"	"2"	"10"	"3"	""	"1"	"1"	"10"	"9"	"8"	"537"	""	"537"	""
"317"	"217"	"8"	"244"	"126"	"5"	"8"	"3"	"4"	"2"	"1"	""	"5"	"1"	"4"	"1"	"6"	"418"	""	"418"	""
"318"	"218"	"12"	"118"	"423"	"9"	"6"	"4"	"4"	"13"	"4"	""	"1"	"5"	"12"	"5"	"5"	"621"	""	"621"	""
"319"	"219"	"11"	"196"	"220"	"15"	"6"	"4"	"4"	"11"	"7"	""	"4"	"4"	"15"	"6"	"8"	"511"	""	"511"	""
"320"	"220"	"17"	"115"	"316"	"20"	"5"	"7"	"7"	"12"	"6"	""	"5"	"3"	"8"	"7"	"10"	"538"	""	"538"	""
"321"	"221"	"12"	"60"	"445"	"9"	"8"	"5"	"6"	"13"	"9"	""	"2"	"6"	"37"	"8"	"17"	"637"	""	"637"	""
"322"	"222"	"22"	"102"	"364"	"10"	"3"	"1"	"2"	"12"	"4"	""	"1"	"0"	"7"	"4"	"6"	"538"	""	"538"	""
"323"	"; ksx"	"201"	"2346"	"4103"	"149"	"79"	"45"	"54"	"122"	"63"	""	"40"	"61"	"164"	"105"	"152"	"7684"	""	"7684"	""
"324"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"3580"	"30094"	"62958"	"2152"	"909"	"900"	"807"	"1608"	"1026"	""	"477"	"637"	"2358"	"1696"	"3565"	"112767"	"0"	"112767"	""
"325"	"d qy  ; ksx"	"3781"	"32440"	"67061"	"2301"	"988"	"945"	"861"	"1730"	"1089"	""	"517"	"698"	"2522"	"1801"	"3717"	"120451"	""	"120451"	""
"326"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"327"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"328"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"329"	"223"	"11"	"137"	"205"	"12"	"0"	"4"	"1"	"9"	"6"	""	"3"	"5"	"15"	"7"	"26"	"441"	""	"441"	""
"330"	"224"	"11"	"76"	"194"	"8"	"9"	"2"	"2"	"9"	"1"	""	"0"	"1"	"11"	"5"	"4"	"333"	""	"333"	""
"331"	"225"	"19"	"223"	"399"	"9"	"2"	"2"	"3"	"8"	"5"	""	"2"	"6"	"9"	"20"	"27"	"734"	""	"734"	""
"332"	"226"	"11"	"134"	"314"	"2"	"0"	"0"	"2"	"3"	"4"	""	"1"	"0"	"2"	"1"	"6"	"480"	""	"480"	""
"333"	"227"	"19"	"149"	"259"	"7"	"1"	"1"	"6"	"4"	"5"	""	"2"	"3"	"5"	"7"	"9"	"477"	""	"477"	""
"334"	"228"	"27"	"110"	"470"	"10"	"3"	"2"	"3"	"6"	"3"	""	"1"	"1"	"5"	"1"	"7"	"649"	""	"649"	""
"335"	"229"	"12"	"94"	"405"	"6"	"3"	"6"	"3"	"10"	"7"	""	"3"	"1"	"15"	"7"	"9"	"581"	""	"581"	""
"336"	"230"	"25"	"100"	"260"	"4"	"3"	"6"	"3"	"13"	"7"	""	"1"	"5"	"7"	"6"	"12"	"452"	""	"452"	""
"337"	"231"	"2"	"30"	"247"	"7"	"2"	"1"	"0"	"2"	"6"	""	"1"	"2"	"5"	"5"	"7"	"317"	""	"317"	""
"338"	"232"	"6"	"68"	"260"	"11"	"1"	"1"	"0"	"4"	"2"	""	"2"	"1"	"4"	"3"	"5"	"368"	""	"368"	""
"339"	"; ksx"	"143"	"1121"	"3013"	"76"	"24"	"25"	"23"	"68"	"46"	""	"16"	"25"	"78"	"62"	"112"	"4832"	""	"4832"	""
"340"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"3781"	"32440"	"67061"	"2301"	"988"	"945"	"861"	"1730"	"1089"	""	"517"	"698"	"2522"	"1801"	"3717"	"120451"	"0"	"120451"	"0"
"341"	"d qy  ; ksx"	"3924"	"33561"	"70074"	"2377"	"1012"	"970"	"884"	"1798"	"1135"	""	"533"	"723"	"2600"	"1863"	"3829"	"125283"	"0"	"125283"	""
"342"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k"	"0"	"20"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"51"	"11"	"62"	""
"343"	"Mky s  x; s
d qy  er"	"3924"	"33581"	"70105"	"2377"	"1012"	"970"	"884"	"1798"	"1135"	""	"533"	"723"	"2600"	"1863"	"3829"	"125334"	"11"	"125345"	""
