"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"212"	"156"	"114"	"47"	""	"10"	""	"163"	"50"	"14"	"3"	"4"	"6"	"4"	"3"	"2"	"27"	"201"	"13"	"56"	"12"	"4"	"3"	"11"	"4"	"1"	"752"	"0"	"752"	""	"0"
"213"	"157"	"51"	"106"	""	"49"	""	"38"	"65"	"5"	"3"	"5"	"129"	"2"	"1"	"3"	"12"	"145"	"11"	"23"	"8"	"3"	"8"	"1"	"2"	"0"	"670"	"0"	"670"	""	"0"
"214"	"158"	"26"	"20"	""	"0"	""	"26"	"17"	"2"	"2"	"1"	"8"	"1"	"0"	"2"	"2"	"122"	"5"	"5"	"1"	"0"	"27"	"1"	"0"	"0"	"268"	"0"	"268"	""	"0"
"215"	"159"	"240"	"35"	""	"3"	""	"133"	"47"	"6"	"0"	"2"	"1"	"1"	"3"	"6"	"5"	"81"	"9"	"6"	"22"	"2"	"4"	"7"	"4"	"2"	"619"	"0"	"619"	""	"0"
"216"	"160"	"17"	"43"	""	"3"	""	"1"	"5"	"0"	"2"	"2"	"125"	"0"	"3"	"12"	"93"	"2"	"7"	"10"	"2"	"1"	"1"	"3"	"2"	"8"	"342"	"0"	"342"	""	"0"
"217"	"161"	"237"	"158"	""	"63"	""	"11"	"67"	"5"	"1"	"0"	"16"	"0"	"1"	"3"	"9"	"43"	"9"	"15"	"5"	"1"	"20"	"1"	"0"	"3"	"668"	"0"	"668"	""	"0"
"218"	"162"	"85"	"93"	""	"1"	""	"2"	"28"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"5"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"224"	"0"	"224"	""	"0"
"219"	"163"	"128"	"259"	""	"4"	""	"11"	"17"	"5"	"3"	"2"	"24"	"0"	"4"	"2"	"7"	"106"	"7"	"37"	"6"	"7"	"16"	"0"	"0"	"6"	"651"	"0"	"651"	""	"0"
"220"	"164"	"35"	"46"	""	"2"	""	"2"	"2"	"11"	"2"	"1"	"8"	"2"	"1"	"6"	"87"	"1"	"3"	"6"	"1"	"1"	"2"	"1"	"0"	"5"	"225"	"0"	"225"	""	"0"
"221"	"165"	"150"	"98"	""	"16"	""	"43"	"31"	"4"	"5"	"0"	"0"	"7"	"5"	"2"	"3"	"26"	"7"	"78"	"3"	"4"	"19"	"1"	"0"	"4"	"506"	"0"	"506"	""	"0"
"222"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"223"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"224"	"TOTAL"	"24041"	"23699"	""	"2908"	""	"3283"	"9110"	"913"	"908"	"518"	"6308"	"251"	"348"	"465"	"1878"	"3129"	"851"	"4135"	"711"	"623"	"1003"	"281"	"288"	"410"	"86061"	"0"	"86061"	""	"0"
"225"	"BF"	"24041"	"23699"	""	"2908"	""	"3283"	"9110"	"913"	"908"	"518"	"6308"	"251"	"348"	"465"	"1878"	"3129"	"851"	"4135"	"711"	"623"	"1003"	"281"	"288"	"410"	"86061"	"0"	"86061"	""	"0"
"226"	"166"	"109"	"46"	""	"1"	""	"19"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"5"	"9"	"1"	"1"	"8"	"0"	"0"	"1"	"207"	"0"	"207"	""	"0"
"227"	"167"	"91"	"132"	""	"40"	""	"5"	"126"	"3"	"8"	"3"	"3"	"2"	"0"	"3"	"0"	"61"	"1"	"6"	"4"	"5"	"13"	"2"	"4"	"3"	"515"	"0"	"515"	""	"0"
"228"	"168"	"70"	"189"	""	"82"	""	"15"	"7"	"6"	"4"	"3"	"87"	"2"	"4"	"1"	"8"	"26"	"8"	"16"	"9"	"6"	"12"	"1"	"1"	"4"	"561"	"0"	"561"	""	"0"
"229"	"169"	"187"	"170"	""	"121"	""	"10"	"107"	"9"	"1"	"1"	"14"	"2"	"6"	"1"	"6"	"46"	"13"	"69"	"7"	"2"	"2"	"0"	"1"	"2"	"777"	"0"	"777"	""	"0"
"230"	"170"	"154"	"84"	""	"3"	""	"22"	"14"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"3"	"26"	"1"	"5"	"0"	"2"	"2"	"2"	"0"	"1"	"326"	"0"	"326"	""	"0"
"231"	"171"	"92"	"152"	""	"24"	""	"32"	"45"	"4"	"0"	"0"	"2"	"1"	"0"	"2"	"5"	"31"	"11"	"104"	"0"	"3"	"4"	"0"	"1"	"1"	"514"	"0"	"514"	""	"0"
"232"	"172"	"25"	"303"	""	"35"	""	"2"	"19"	"0"	"41"	"3"	"1"	"5"	"2"	"0"	"0"	"11"	"1"	"2"	"3"	"3"	"7"	"0"	"1"	"1"	"465"	"0"	"465"	""	"0"
"233"	"173"	"149"	"101"	""	"6"	""	"91"	"7"	"3"	"48"	"4"	"2"	"1"	"3"	"0"	"4"	"19"	"5"	"0"	"4"	"5"	"1"	"1"	"1"	"6"	"461"	"0"	"461"	""	"0"
"234"	"174"	"27"	"49"	""	"23"	""	"217"	"49"	"14"	"4"	"1"	"1"	"2"	"1"	"9"	"15"	"64"	"9"	"31"	"7"	"1"	"25"	"7"	"3"	"2"	"561"	"0"	"561"	""	"0"
"235"	"175"	"43"	"22"	""	"3"	""	"56"	"10"	"9"	"3"	"0"	"2"	"0"	"2"	"2"	"47"	"93"	"4"	"54"	"2"	"1"	"1"	"1"	"1"	"2"	"358"	"0"	"358"	""	"0"
"236"	"176"	"48"	"153"	""	"16"	""	"101"	"68"	"5"	"1"	"1"	"2"	"5"	"0"	"1"	"4"	"19"	"10"	"3"	"8"	"16"	"13"	"8"	"8"	"12"	"502"	"0"	"502"	""	"0"
"237"	"177"	"36"	"41"	""	"6"	""	"28"	"7"	"3"	"2"	"0"	"0"	"2"	"1"	"4"	"11"	"29"	"4"	"20"	"4"	"3"	"14"	"1"	"0"	"3"	"219"	"0"	"219"	""	"0"
"238"	"178"	"68"	"233"	""	"8"	""	"95"	"56"	"4"	"6"	"1"	"11"	"1"	"1"	"0"	"1"	"2"	"2"	"5"	"5"	"5"	"5"	"1"	"3"	"2"	"515"	"0"	"515"	""	"0"
"239"	"179"	"47"	"39"	""	"5"	""	"30"	"118"	"1"	"3"	"4"	"0"	"3"	"0"	"2"	"0"	"1"	"0"	"6"	"6"	"0"	"81"	"1"	"1"	"1"	"349"	"0"	"349"	""	"0"
"240"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"241"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"242"	"TOTAL"	"25187"	"25413"	""	"3281"	""	"4006"	"9743"	"976"	"1032"	"540"	"6434"	"277"	"369"	"492"	"1985"	"3558"	"925"	"4465"	"771"	"676"	"1191"	"306"	"313"	"451"	"92391"	"0"	"92391"	""	"0"
"243"	"BF"	"25187"	"25413"	""	"3281"	""	"4006"	"9743"	"976"	"1032"	"540"	"6434"	"277"	"369"	"492"	"1985"	"3558"	"925"	"4465"	"771"	"676"	"1191"	"306"	"313"	"451"	"92391"	"0"	"92391"	""	"0"
"244"	"180"	"146"	"186"	""	"1"	""	"131"	"74"	"7"	"2"	"1"	"1"	"9"	"4"	"2"	"7"	"22"	"7"	"25"	"3"	"3"	"8"	"1"	"2"	"4"	"646"	"0"	"646"	""	"0"
"245"	"181"	"52"	"15"	""	"5"	""	"103"	"4"	"4"	"0"	"0"	"1"	"0"	"1"	"2"	"4"	"39"	"1"	"5"	"0"	"0"	"2"	"3"	"0"	"1"	"242"	"0"	"242"	""	"0"
"246"	"182"	"139"	"160"	""	"29"	""	"222"	"136"	"12"	"4"	"3"	"3"	"16"	"2"	"3"	"10"	"14"	"0"	"9"	"2"	"5"	"94"	"1"	"2"	"0"	"866"	"0"	"866"	""	"0"
"247"	"183"	"124"	"135"	""	"11"	""	"140"	"21"	"2"	"0"	"3"	"18"	"1"	"1"	"2"	"2"	"69"	"5"	"7"	"1"	"2"	"13"	"1"	"0"	"0"	"558"	"0"	"558"	""	"0"
"248"	"184"	"62"	"82"	""	"5"	""	"85"	"26"	"4"	"11"	"2"	"0"	"3"	"6"	"1"	"1"	"12"	"5"	"11"	"1"	"2"	"1"	"0"	"0"	"1"	"321"	"0"	"321"	""	"0"
"249"	"185"	"188"	"80"	""	"89"	""	"185"	"8"	"6"	"5"	"4"	"1"	"9"	"3"	"3"	"5"	"64"	"5"	"20"	"7"	"2"	"19"	"2"	"3"	"3"	"711"	"0"	"711"	""	"0"
"250"	"186"	"80"	"85"	""	"11"	""	"39"	"2"	"0"	"0"	"0"	"7"	"5"	"1"	"0"	"1"	"0"	"2"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"241"	"0"	"241"	""	"0"
"251"	"187"	"48"	"184"	""	"123"	""	"34"	"70"	"11"	"11"	"5"	"2"	"8"	"4"	"4"	"21"	"40"	"8"	"20"	"3"	"14"	"35"	"2"	"3"	"3"	"653"	"0"	"653"	""	"0"
"252"	"188"	"21"	"67"	""	"2"	""	"76"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"0"	"2"	"0"	"1"	"1"	"0"	"183"	"0"	"183"	""	"0"
"253"	"189"	"36"	"45"	""	"10"	""	"18"	"43"	"15"	"1"	"0"	"0"	"2"	"4"	"2"	"4"	"79"	"3"	"4"	"3"	"1"	"4"	"0"	"0"	"3"	"277"	"0"	"277"	""	"0"
"254"	"190"	"177"	"158"	""	"47"	""	"14"	"141"	"8"	"50"	"8"	"3"	"2"	"5"	"2"	"0"	"42"	"6"	"55"	"11"	"6"	"25"	"1"	"3"	"2"	"766"	"0"	"766"	""	"0"
"255"	"191"	"214"	"175"	""	"108"	""	"54"	"27"	"6"	"3"	"3"	"9"	"2"	"3"	"2"	"7"	"80"	"12"	"58"	"12"	"5"	"34"	"0"	"3"	"5"	"822"	"0"	"822"	""	"0"
"256"	"192"	"105"	"79"	""	"3"	""	"27"	"6"	"62"	"5"	"0"	"0"	"0"	"1"	"3"	"6"	"14"	"4"	"6"	"3"	"4"	"7"	"1"	"1"	"3"	"340"	"0"	"340"	""	"0"
"257"	"193"	"53"	"25"	""	"2"	""	"70"	"6"	"5"	"2"	"0"	"0"	"1"	"1"	"0"	"2"	"22"	"1"	"29"	"5"	"0"	"1"	"0"	"0"	"0"	"225"	"0"	"225"	""	"0"
"258"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"259"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"260"	"TOTAL"	"26632"	"26889"	""	"3727"	""	"5204"	"10312"	"1119"	"1126"	"569"	"6479"	"335"	"405"	"519"	"2056"	"4056"	"985"	"4722"	"825"	"722"	"1434"	"319"	"331"	"476"	"99242"	"0"	"99242"	""	"0"
"261"	"BF"	"26632"	"26889"	""	"3727"	""	"5204"	"10312"	"1119"	"1126"	"569"	"6479"	"335"	"405"	"519"	"2056"	"4056"	"985"	"4722"	"825"	"722"	"1434"	"319"	"331"	"476"	"99242"	"0"	"99242"	""	"0"
"262"	"194"	"155"	"60"	""	"12"	""	"32"	"128"	"9"	"0"	"1"	"21"	"2"	"2"	"1"	"20"	"35"	"4"	"11"	"2"	"2"	"5"	"0"	"1"	"2"	"505"	"0"	"505"	""	"0"
"263"	"195"	"130"	"106"	""	"3"	""	"28"	"2"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"277"	"0"	"277"	""	"0"
"264"	"196"	"105"	"138"	""	"17"	""	"9"	"26"	"2"	"6"	"1"	"2"	"1"	"3"	"0"	"0"	"39"	"3"	"3"	"4"	"5"	"183"	"1"	"1"	"1"	"550"	"0"	"550"	""	"0"
"265"	"197"	"78"	"142"	""	"5"	""	"24"	"158"	"7"	"1"	"1"	"0"	"0"	"4"	"2"	"1"	"11"	"4"	"9"	"2"	"1"	"11"	"0"	"5"	"0"	"466"	"0"	"466"	""	"0"
"266"	"198"	"87"	"136"	""	"6"	""	"27"	"3"	"2"	"3"	"3"	"2"	"2"	"0"	"1"	"2"	"4"	"17"	"23"	"4"	"7"	"4"	"1"	"0"	"0"	"334"	"0"	"334"	""	"0"
"267"	"199"	"219"	"173"	""	"8"	""	"41"	"18"	"6"	"68"	"4"	"175"	"5"	"3"	"0"	"4"	"3"	"15"	"18"	"10"	"4"	"6"	"4"	"1"	"2"	"787"	"0"	"787"	""	"0"
"268"	"200"	"154"	"48"	""	"1"	""	"102"	"4"	"0"	"21"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	"3"	"0"	"5"	"1"	"2"	"353"	"0"	"353"	""	"0"
"269"	"201"	"235"	"169"	""	"8"	""	"23"	"14"	"10"	"4"	"2"	"130"	"2"	"2"	"10"	"7"	"17"	"11"	"77"	"1"	"7"	"9"	"0"	"0"	"3"	"741"	"0"	"741"	""	"0"
"270"	"202"	"79"	"202"	""	"1"	""	"70"	"28"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"54"	"3"	"2"	"6"	"7"	"19"	"1"	"0"	"12"	"485"	"0"	"485"	""	"0"
"271"	"203"	"59"	"329"	""	"4"	""	"14"	"9"	"0"	"4"	"1"	"2"	"2"	"2"	"1"	"6"	"57"	"9"	"10"	"7"	"3"	"5"	"0"	"0"	"2"	"526"	"0"	"526"	""	"0"
"272"	"204"	"122"	"65"	""	"1"	""	"125"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"2"	"1"	"346"	"0"	"346"	""	"0"
"273"	"205"	"20"	"84"	""	"2"	""	"22"	"92"	"9"	"1"	"0"	"2"	"2"	"1"	"4"	"1"	"27"	"6"	"27"	"5"	"0"	"8"	"0"	"0"	"0"	"313"	"0"	"313"	""	"0"
"274"	"206"	"46"	"83"	""	"9"	""	"80"	"16"	"2"	"3"	"2"	"0"	"0"	"2"	"0"	"3"	"22"	"4"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"275"	"0"	"275"	""	"0"
"275"	"207"	"32"	"173"	""	"4"	""	"90"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"8"	"6"	"0"	"5"	"1"	"1"	"0"	"1"	"323"	"0"	"323"	""	"0"
"276"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"277"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"278"	"TOTAL"	"28153"	"28797"	""	"3808"	""	"5891"	"10832"	"1168"	"1238"	"584"	"6821"	"351"	"425"	"539"	"2100"	"4327"	"1072"	"4917"	"871"	"767"	"1686"	"332"	"342"	"502"	"105523"	"0"	"105523"	""	"0"
"279"	"BF"	"28153"	"28797"	""	"3808"	""	"5891"	"10832"	"1168"	"1238"	"584"	"6821"	"351"	"425"	"539"	"2100"	"4327"	"1072"	"4917"	"871"	"767"	"1686"	"332"	"342"	"502"	"105523"	"0"	"105523"	""	"0"
"280"	"208"	"125"	"126"	""	"11"	""	"139"	"76"	"14"	"3"	"5"	"48"	"3"	"3"	"4"	"1"	"51"	"22"	"37"	"5"	"4"	"6"	"4"	"1"	"6"	"694"	"0"	"694"	""	"0"
"281"	"209"	"33"	"17"	""	"2"	""	"48"	"6"	"5"	"0"	"1"	"3"	"1"	"3"	"0"	"3"	"4"	"3"	"49"	"2"	"2"	"3"	"4"	"1"	"4"	"194"	"0"	"194"	""	"0"
"282"	"210"	"71"	"31"	""	"2"	""	"101"	"15"	"0"	"0"	"1"	"20"	"1"	"1"	"0"	"2"	"44"	"3"	"8"	"10"	"1"	"7"	"6"	"0"	"0"	"324"	"0"	"324"	""	"0"
"283"	"211"	"96"	"32"	""	"3"	""	"192"	"26"	"15"	"0"	"1"	"3"	"2"	"0"	"1"	"1"	"17"	"3"	"12"	"4"	"5"	"32"	"0"	"0"	"1"	"446"	"0"	"446"	""	"0"
"284"	"212"	"362"	"52"	""	"52"	""	"104"	"61"	"11"	"2"	"0"	"1"	"9"	"2"	"3"	"19"	"8"	"6"	"14"	"11"	"6"	"13"	"5"	"1"	"12"	"754"	"0"	"754"	""	"0"
"285"	"213"	"70"	"126"	""	"63"	""	"15"	"47"	"3"	"3"	"3"	"110"	"4"	"5"	"3"	"4"	"69"	"13"	"22"	"11"	"6"	"142"	"0"	"1"	"0"	"720"	"0"	"720"	""	"0"
"286"	"214"	"87"	"22"	""	"3"	""	"4"	"1"	"4"	"1"	"3"	"2"	"1"	"2"	"2"	"0"	"4"	"5"	"105"	"1"	"1"	"26"	"0"	"0"	"2"	"276"	"0"	"276"	""	"0"
"287"	"215"	"166"	"71"	""	"3"	""	"11"	"49"	"7"	"5"	"7"	"6"	"2"	"10"	"8"	"2"	"11"	"9"	"37"	"12"	"8"	"201"	"5"	"6"	"3"	"639"	"0"	"639"	""	"0"
"288"	"216"	"39"	"122"	""	"6"	""	"11"	"3"	"3"	"2"	"1"	"35"	"2"	"16"	"2"	"1"	"3"	"4"	"2"	"6"	"4"	"273"	"2"	"3"	"2"	"542"	"0"	"542"	""	"0"
"289"	"217"	"36"	"11"	""	"4"	""	"522"	"7"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"593"	"0"	"593"	""	"0"
"290"	"218"	"38"	"108"	""	"6"	""	"75"	"66"	"5"	"0"	"1"	"0"	"7"	"0"	"3"	"5"	"1"	"7"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"327"	"0"	"327"	""	"0"
"291"	"219"	"34"	"79"	""	"2"	""	"217"	"33"	"7"	"3"	"4"	"16"	"2"	"3"	"1"	"7"	"8"	"3"	"19"	"3"	"8"	"5"	"6"	"2"	"3"	"465"	"0"	"465"	""	"0"
"292"	"220"	"21"	"46"	""	"9"	""	"86"	"50"	"10"	"1"	"0"	"2"	"1"	"4"	"3"	"100"	"25"	"8"	"16"	"7"	"7"	"3"	"6"	"1"	"5"	"411"	"0"	"411"	""	"0"
"293"	"221"	"23"	"36"	""	"3"	""	"225"	"2"	"3"	"2"	"0"	"1"	"3"	"0"	"0"	"1"	"6"	"2"	"3"	"4"	"4"	"7"	"11"	"2"	"2"	"340"	"0"	"340"	""	"0"
"294"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"295"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"296"	"TOTAL"	"29354"	"29676"	""	"3977"	""	"7641"	"11274"	"1262"	"1261"	"611"	"7068"	"389"	"474"	"569"	"2246"	"4578"	"1160"	"5242"	"948"	"823"	"2407"	"381"	"363"	"544"	"112248"	"0"	"112248"	""	"0"
"297"	"BF"	"29354"	"29676"	""	"3977"	""	"7641"	"11274"	"1262"	"1261"	"611"	"7068"	"389"	"474"	"569"	"2246"	"4578"	"1160"	"5242"	"948"	"823"	"2407"	"381"	"363"	"544"	"112248"	"0"	"112248"	""	"0"
"298"	"222"	"3"	"73"	""	"98"	""	"134"	"34"	"6"	"0"	"0"	"2"	"0"	"3"	"1"	"4"	"9"	"5"	"5"	"12"	"8"	"20"	"9"	"3"	"7"	"436"	"0"	"436"	""	"0"
"299"	"223"	"206"	"166"	""	"79"	""	"113"	"33"	"14"	"5"	"4"	"5"	"6"	"5"	"3"	"20"	"6"	"3"	"12"	"4"	"8"	"8"	"1"	"0"	"6"	"707"	"0"	"707"	""	"0"
"300"	"224"	"41"	"3"	""	"3"	""	"94"	"83"	"2"	"0"	"4"	"1"	"1"	"1"	"0"	"3"	"25"	"0"	"2"	"4"	"1"	"2"	"2"	"1"	"0"	"273"	"0"	"273"	""	"0"
"301"	"225"	"242"	"193"	""	"22"	""	"46"	"54"	"7"	"6"	"3"	"12"	"7"	"5"	"0"	"20"	"26"	"2"	"20"	"4"	"4"	"13"	"1"	"2"	"2"	"691"	"0"	"691"	""	"0"
"302"	"226"	"167"	"63"	""	"6"	""	"28"	"239"	"7"	"0"	"5"	"213"	"5"	"4"	"2"	"1"	"19"	"4"	"7"	"4"	"2"	"49"	"2"	"0"	"2"	"829"	"0"	"829"	""	"0"
"303"	"227"	"73"	"190"	""	"115"	""	"41"	"140"	"1"	"4"	"1"	"84"	"2"	"3"	"0"	"1"	"6"	"6"	"4"	"11"	"11"	"88"	"1"	"5"	"9"	"796"	"0"	"796"	""	"0"
"304"	"228"	"41"	"6"	""	"0"	""	"81"	"62"	"2"	"12"	"4"	"0"	"1"	"1"	"1"	"0"	"10"	"0"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"227"	"0"	"227"	""	"0"
"305"	"229"	"146"	"58"	""	"8"	""	"60"	"133"	"12"	"11"	"3"	"16"	"5"	"6"	"3"	"11"	"132"	"18"	"28"	"7"	"6"	"8"	"2"	"4"	"5"	"682"	"0"	"682"	""	"0"
"306"	"230"	"192"	"300"	""	"5"	""	"7"	"3"	"8"	"2"	"0"	"3"	"5"	"3"	"1"	"0"	"0"	"3"	"2"	"0"	"0"	"35"	"0"	"0"	"0"	"569"	"0"	"569"	""	"0"
"307"	"231"	"78"	"143"	""	"27"	""	"15"	"7"	"11"	"6"	"14"	"6"	"11"	"11"	"6"	"20"	"236"	"16"	"28"	"6"	"3"	"57"	"5"	"1"	"3"	"710"	"0"	"710"	""	"0"
"308"	"232"	"134"	"215"	""	"7"	""	"6"	"0"	"4"	"3"	"2"	"1"	"9"	"2"	"1"	"0"	"0"	"2"	"6"	"3"	"5"	"65"	"3"	"2"	"4"	"474"	"0"	"474"	""	"0"
"309"	"TOTAL
Votes on Polling Stations"	"30677"	"31086"	""	"4347"	""	"8266"	"12062"	"1336"	"1310"	"651"	"7411"	"441"	"518"	"587"	"2326"	"5047"	"1219"	"5359"	"1005"	"871"	"2753"	"407"	"381"	"582"	"118642"	"0"	"118642"	""	"0"
"310"	"POSTAL
Votes"	"122"	"160"	""	"8"	""	"34"	"71"	"3"	"3"	"1"	"37"	"0"	"0"	"1"	"2"	"7"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"455"	"9"	"464"	""	""
"311"	"TOTAL"	"30799"	"31246"	""	"4355"	""	"8300"	"12133"	"1339"	"1313"	"652"	"7448"	"441"	"518"	"588"	"2328"	"5054"	"1219"	"5364"	"1006"	"871"	"2753"	"407"	"381"	"582"	"119097"	"9"	"119106"	""	"0"
"312"	"Serial No. of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Anand Bhushan Pandey"	""	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Dr. Pramod Kumar Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Ramyash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Vijay Shankar Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Vijya Laxmi Devi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Santan Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Akaloo Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Indrajit Bhai Patel"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
